date,BANKRUPT_unscaled,BANKRUPT_monthly,isPartial,scale,BANKRUPT
2005-01-01,49,35.0,False,0.35,17.15
2005-01-02,28,35.0,,0.35,9.799999999999999
2005-01-03,17,35.0,,0.35,5.949999999999999
2005-01-04,33,35.0,,0.35,11.549999999999999
2005-01-05,25,35.0,,0.35,8.75
2005-01-06,75,35.0,,0.35,26.25
2005-01-07,34,35.0,,0.35,11.899999999999999
2005-01-08,40,35.0,,0.35,14.0
2005-01-09,54,35.0,,0.35,18.9
2005-01-10,24,35.0,,0.35,8.399999999999999
2005-01-11,63,35.0,,0.35,22.049999999999997
2005-01-12,16,35.0,,0.35,5.6
2005-01-13,24,35.0,,0.35,8.399999999999999
2005-01-14,17,35.0,,0.35,5.949999999999999
2005-01-15,40,35.0,,0.35,14.0
2005-01-16,0,35.0,,0.35,0.0
2005-01-17,55,35.0,,0.35,19.25
2005-01-18,79,35.0,,0.35,27.65
2005-01-19,24,35.0,,0.35,8.399999999999999
2005-01-20,49,35.0,,0.35,17.15
2005-01-21,100,35.0,,0.35,35.0
2005-01-22,25,35.0,,0.35,8.75
2005-01-23,0,35.0,,0.35,0.0
2005-01-24,39,35.0,,0.35,13.649999999999999
2005-01-25,15,35.0,,0.35,5.25
2005-01-26,16,35.0,,0.35,5.6
2005-01-27,55,35.0,,0.35,19.25
2005-01-28,33,35.0,,0.35,11.549999999999999
2005-01-29,25,35.0,,0.35,8.75
2005-01-30,25,35.0,,0.35,8.75
2005-01-31,23,35.0,,0.35,8.049999999999999
2005-02-01,23,40.0,False,0.4,9.200000000000001
2005-02-02,72,40.0,,0.4,28.8
2005-02-03,85,40.0,,0.4,34.0
2005-02-04,25,40.0,,0.4,10.0
2005-02-05,100,40.0,,0.4,40.0
2005-02-06,80,40.0,,0.4,32.0
2005-02-07,37,40.0,,0.4,14.8
2005-02-08,46,40.0,,0.4,18.400000000000002
2005-02-09,47,40.0,,0.4,18.8
2005-02-10,48,40.0,,0.4,19.200000000000003
2005-02-11,37,40.0,,0.4,14.8
2005-02-12,79,40.0,,0.4,31.6
2005-02-13,39,40.0,,0.4,15.600000000000001
2005-02-14,24,40.0,,0.4,9.600000000000001
2005-02-15,47,40.0,,0.4,18.8
2005-02-16,24,40.0,,0.4,9.600000000000001
2005-02-17,35,40.0,,0.4,14.0
2005-02-18,50,40.0,,0.4,20.0
2005-02-19,40,40.0,,0.4,16.0
2005-02-20,40,40.0,,0.4,16.0
2005-02-21,39,40.0,,0.4,15.600000000000001
2005-02-22,92,40.0,,0.4,36.800000000000004
2005-02-23,69,40.0,,0.4,27.6
2005-02-24,35,40.0,,0.4,14.0
2005-02-25,99,40.0,,0.4,39.6
2005-02-26,0,40.0,,0.4,0.0
2005-02-27,56,40.0,,0.4,22.400000000000002
2005-02-28,69,40.0,,0.4,27.6
2005-03-01,18,39.0,False,0.39,7.0200000000000005
2005-03-02,37,39.0,,0.39,14.43
2005-03-03,78,39.0,,0.39,30.42
2005-03-04,100,39.0,,0.39,39.0
2005-03-05,0,39.0,,0.39,0.0
2005-03-06,0,39.0,,0.39,0.0
2005-03-07,18,39.0,,0.39,7.0200000000000005
2005-03-08,18,39.0,,0.39,7.0200000000000005
2005-03-09,37,39.0,,0.39,14.43
2005-03-10,19,39.0,,0.39,7.41
2005-03-11,19,39.0,,0.39,7.41
2005-03-12,0,39.0,,0.39,0.0
2005-03-13,0,39.0,,0.39,0.0
2005-03-14,55,39.0,,0.39,21.45
2005-03-15,18,39.0,,0.39,7.0200000000000005
2005-03-16,18,39.0,,0.39,7.0200000000000005
2005-03-17,38,39.0,,0.39,14.82
2005-03-18,40,39.0,,0.39,15.600000000000001
2005-03-19,0,39.0,,0.39,0.0
2005-03-20,0,39.0,,0.39,0.0
2005-03-21,74,39.0,,0.39,28.86
2005-03-22,55,39.0,,0.39,21.45
2005-03-23,73,39.0,,0.39,28.470000000000002
2005-03-24,20,39.0,,0.39,7.800000000000001
2005-03-25,45,39.0,,0.39,17.55
2005-03-26,33,39.0,,0.39,12.870000000000001
2005-03-27,42,39.0,,0.39,16.38
2005-03-28,62,39.0,,0.39,24.18
2005-03-29,19,39.0,,0.39,7.41
2005-03-30,76,39.0,,0.39,29.64
2005-03-31,57,39.0,,0.39,22.23
2005-04-01,13,31.0,False,0.31,4.03
2005-04-02,20,31.0,,0.31,6.2
2005-04-03,58,31.0,,0.31,17.98
2005-04-04,100,31.0,,0.31,31.0
2005-04-05,0,31.0,,0.31,0.0
2005-04-06,32,31.0,,0.31,9.92
2005-04-07,12,31.0,,0.31,3.7199999999999998
2005-04-08,13,31.0,,0.31,4.03
2005-04-09,22,31.0,,0.31,6.82
2005-04-10,0,31.0,,0.31,0.0
2005-04-11,12,31.0,,0.31,3.7199999999999998
2005-04-12,23,31.0,,0.31,7.13
2005-04-13,23,31.0,,0.31,7.13
2005-04-14,49,31.0,,0.31,15.19
2005-04-15,39,31.0,,0.31,12.09
2005-04-16,0,31.0,,0.31,0.0
2005-04-17,0,31.0,,0.31,0.0
2005-04-18,12,31.0,,0.31,3.7199999999999998
2005-04-19,46,31.0,,0.31,14.26
2005-04-20,24,31.0,,0.31,7.4399999999999995
2005-04-21,37,31.0,,0.31,11.47
2005-04-22,26,31.0,,0.31,8.06
2005-04-23,20,31.0,,0.31,6.2
2005-04-24,39,31.0,,0.31,12.09
2005-04-25,11,31.0,,0.31,3.41
2005-04-26,56,31.0,,0.31,17.36
2005-04-27,11,31.0,,0.31,3.41
2005-04-28,58,31.0,,0.31,17.98
2005-04-29,12,31.0,,0.31,3.7199999999999998
2005-04-30,38,31.0,,0.31,11.78
2005-05-01,44,33.0,False,0.33,14.520000000000001
2005-05-02,64,33.0,,0.33,21.12
2005-05-03,50,33.0,,0.33,16.5
2005-05-04,64,33.0,,0.33,21.12
2005-05-05,92,33.0,,0.33,30.360000000000003
2005-05-06,72,33.0,,0.33,23.76
2005-05-07,73,33.0,,0.33,24.09
2005-05-08,72,33.0,,0.33,23.76
2005-05-09,92,33.0,,0.33,30.360000000000003
2005-05-10,26,33.0,,0.33,8.58
2005-05-11,26,33.0,,0.33,8.58
2005-05-12,27,33.0,,0.33,8.91
2005-05-13,43,33.0,,0.33,14.190000000000001
2005-05-14,70,33.0,,0.33,23.1
2005-05-15,46,33.0,,0.33,15.180000000000001
2005-05-16,26,33.0,,0.33,8.58
2005-05-17,78,33.0,,0.33,25.740000000000002
2005-05-18,66,33.0,,0.33,21.78
2005-05-19,54,33.0,,0.33,17.82
2005-05-20,58,33.0,,0.33,19.14
2005-05-21,0,33.0,,0.33,0.0
2005-05-22,47,33.0,,0.33,15.510000000000002
2005-05-23,80,33.0,,0.33,26.400000000000002
2005-05-24,26,33.0,,0.33,8.58
2005-05-25,53,33.0,,0.33,17.490000000000002
2005-05-26,28,33.0,,0.33,9.24
2005-05-27,93,33.0,,0.33,30.69
2005-05-28,100,33.0,,0.33,33.0
2005-05-29,53,33.0,,0.33,17.490000000000002
2005-05-30,66,33.0,,0.33,21.78
2005-05-31,67,33.0,,0.33,22.11
2005-06-01,29,27.0,False,0.27,7.83
2005-06-02,79,27.0,,0.27,21.330000000000002
2005-06-03,21,27.0,,0.27,5.67
2005-06-04,100,27.0,,0.27,27.0
2005-06-05,34,27.0,,0.27,9.18
2005-06-06,0,27.0,,0.27,0.0
2005-06-07,88,27.0,,0.27,23.76
2005-06-08,19,27.0,,0.27,5.130000000000001
2005-06-09,20,27.0,,0.27,5.4
2005-06-10,22,27.0,,0.27,5.94
2005-06-11,0,27.0,,0.27,0.0
2005-06-12,35,27.0,,0.27,9.450000000000001
2005-06-13,40,27.0,,0.27,10.8
2005-06-14,49,27.0,,0.27,13.23
2005-06-15,30,27.0,,0.27,8.100000000000001
2005-06-16,41,27.0,,0.27,11.07
2005-06-17,33,27.0,,0.27,8.91
2005-06-18,35,27.0,,0.27,9.450000000000001
2005-06-19,37,27.0,,0.27,9.99
2005-06-20,31,27.0,,0.27,8.370000000000001
2005-06-21,40,27.0,,0.27,10.8
2005-06-22,20,27.0,,0.27,5.4
2005-06-23,21,27.0,,0.27,5.67
2005-06-24,0,27.0,,0.27,0.0
2005-06-25,35,27.0,,0.27,9.450000000000001
2005-06-26,36,27.0,,0.27,9.72
2005-06-27,20,27.0,,0.27,5.4
2005-06-28,20,27.0,,0.27,5.4
2005-06-29,40,27.0,,0.27,10.8
2005-06-30,41,27.0,,0.27,11.07
2005-07-01,0,27.0,False,0.27,0.0
2005-07-02,0,27.0,,0.27,0.0
2005-07-03,0,27.0,,0.27,0.0
2005-07-04,0,27.0,,0.27,0.0
2005-07-05,90,27.0,,0.27,24.3
2005-07-06,21,27.0,,0.27,5.67
2005-07-07,42,27.0,,0.27,11.34
2005-07-08,0,27.0,,0.27,0.0
2005-07-09,0,27.0,,0.27,0.0
2005-07-10,35,27.0,,0.27,9.450000000000001
2005-07-11,21,27.0,,0.27,5.67
2005-07-12,60,27.0,,0.27,16.200000000000003
2005-07-13,20,27.0,,0.27,5.4
2005-07-14,84,27.0,,0.27,22.68
2005-07-15,22,27.0,,0.27,5.94
2005-07-16,35,27.0,,0.27,9.450000000000001
2005-07-17,70,27.0,,0.27,18.900000000000002
2005-07-18,0,27.0,,0.27,0.0
2005-07-19,100,27.0,,0.27,27.0
2005-07-20,21,27.0,,0.27,5.67
2005-07-21,0,27.0,,0.27,0.0
2005-07-22,45,27.0,,0.27,12.15
2005-07-23,70,27.0,,0.27,18.900000000000002
2005-07-24,0,27.0,,0.27,0.0
2005-07-25,61,27.0,,0.27,16.470000000000002
2005-07-26,20,27.0,,0.27,5.4
2005-07-27,82,27.0,,0.27,22.14
2005-07-28,21,27.0,,0.27,5.67
2005-07-29,45,27.0,,0.27,12.15
2005-07-30,69,27.0,,0.27,18.630000000000003
2005-07-31,35,27.0,,0.27,9.450000000000001
2005-08-01,19,35.0,False,0.35,6.6499999999999995
2005-08-02,43,35.0,,0.35,15.049999999999999
2005-08-03,32,35.0,,0.35,11.2
2005-08-04,26,35.0,,0.35,9.1
2005-08-05,27,35.0,,0.35,9.45
2005-08-06,32,35.0,,0.35,11.2
2005-08-07,21,35.0,,0.35,7.35
2005-08-08,18,35.0,,0.35,6.3
2005-08-09,24,35.0,,0.35,8.399999999999999
2005-08-10,25,35.0,,0.35,8.75
2005-08-11,38,35.0,,0.35,13.299999999999999
2005-08-12,93,35.0,,0.35,32.55
2005-08-13,31,35.0,,0.35,10.85
2005-08-14,41,35.0,,0.35,14.35
2005-08-15,25,35.0,,0.35,8.75
2005-08-16,12,35.0,,0.35,4.199999999999999
2005-08-17,31,35.0,,0.35,10.85
2005-08-18,26,35.0,,0.35,9.1
2005-08-19,46,35.0,,0.35,16.099999999999998
2005-08-20,40,35.0,,0.35,14.0
2005-08-21,20,35.0,,0.35,7.0
2005-08-22,18,35.0,,0.35,6.3
2005-08-23,35,35.0,,0.35,12.25
2005-08-24,100,35.0,,0.35,35.0
2005-08-25,57,35.0,,0.35,19.95
2005-08-26,32,35.0,,0.35,11.2
2005-08-27,39,35.0,,0.35,13.649999999999999
2005-08-28,38,35.0,,0.35,13.299999999999999
2005-08-29,18,35.0,,0.35,6.3
2005-08-30,40,35.0,,0.35,14.0
2005-08-31,47,35.0,,0.35,16.45
2005-09-01,53,39.0,False,0.39,20.67
2005-09-02,0,39.0,,0.39,0.0
2005-09-03,0,39.0,,0.39,0.0
2005-09-04,23,39.0,,0.39,8.97
2005-09-05,19,39.0,,0.39,7.41
2005-09-06,39,39.0,,0.39,15.21
2005-09-07,25,39.0,,0.39,9.75
2005-09-08,51,39.0,,0.39,19.89
2005-09-09,13,39.0,,0.39,5.07
2005-09-10,40,39.0,,0.39,15.600000000000001
2005-09-11,20,39.0,,0.39,7.800000000000001
2005-09-12,37,39.0,,0.39,14.43
2005-09-13,36,39.0,,0.39,14.040000000000001
2005-09-14,72,39.0,,0.39,28.080000000000002
2005-09-15,49,39.0,,0.39,19.11
2005-09-16,39,39.0,,0.39,15.21
2005-09-17,100,39.0,,0.39,39.0
2005-09-18,39,39.0,,0.39,15.21
2005-09-19,36,39.0,,0.39,14.040000000000001
2005-09-20,71,39.0,,0.39,27.69
2005-09-21,60,39.0,,0.39,23.400000000000002
2005-09-22,12,39.0,,0.39,4.68
2005-09-23,66,39.0,,0.39,25.740000000000002
2005-09-24,20,39.0,,0.39,7.800000000000001
2005-09-25,39,39.0,,0.39,15.21
2005-09-26,71,39.0,,0.39,27.69
2005-09-27,12,39.0,,0.39,4.68
2005-09-28,36,39.0,,0.39,14.040000000000001
2005-09-29,73,39.0,,0.39,28.470000000000002
2005-09-30,40,39.0,,0.39,15.600000000000001
2005-10-01,25,38.0,False,0.38,9.5
2005-10-02,24,38.0,,0.38,9.120000000000001
2005-10-03,37,38.0,,0.38,14.06
2005-10-04,35,38.0,,0.38,13.3
2005-10-05,100,38.0,,0.38,38.0
2005-10-06,29,38.0,,0.38,11.02
2005-10-07,55,38.0,,0.38,20.9
2005-10-08,24,38.0,,0.38,9.120000000000001
2005-10-09,48,38.0,,0.38,18.240000000000002
2005-10-10,60,38.0,,0.38,22.8
2005-10-11,64,38.0,,0.38,24.32
2005-10-12,57,38.0,,0.38,21.66
2005-10-13,51,38.0,,0.38,19.38
2005-10-14,23,38.0,,0.38,8.74
2005-10-15,49,38.0,,0.38,18.62
2005-10-16,35,38.0,,0.38,13.3
2005-10-17,43,38.0,,0.38,16.34
2005-10-18,35,38.0,,0.38,13.3
2005-10-19,36,38.0,,0.38,13.68
2005-10-20,22,38.0,,0.38,8.36
2005-10-21,54,38.0,,0.38,20.52
2005-10-22,47,38.0,,0.38,17.86
2005-10-23,46,38.0,,0.38,17.48
2005-10-24,56,38.0,,0.38,21.28
2005-10-25,48,38.0,,0.38,18.240000000000002
2005-10-26,71,38.0,,0.38,26.98
2005-10-27,65,38.0,,0.38,24.7
2005-10-28,15,38.0,,0.38,5.7
2005-10-29,24,38.0,,0.38,9.120000000000001
2005-10-30,36,38.0,,0.38,13.68
2005-10-31,29,38.0,,0.38,11.02
2005-11-01,40,37.0,False,0.37,14.8
2005-11-02,69,37.0,,0.37,25.53
2005-11-03,39,37.0,,0.37,14.43
2005-11-04,49,37.0,,0.37,18.13
2005-11-05,25,37.0,,0.37,9.25
2005-11-06,50,37.0,,0.37,18.5
2005-11-07,53,37.0,,0.37,19.61
2005-11-08,44,37.0,,0.37,16.28
2005-11-09,100,37.0,,0.37,37.0
2005-11-10,66,37.0,,0.37,24.419999999999998
2005-11-11,35,37.0,,0.37,12.95
2005-11-12,62,37.0,,0.37,22.94
2005-11-13,25,37.0,,0.37,9.25
2005-11-14,60,37.0,,0.37,22.2
2005-11-15,66,37.0,,0.37,24.419999999999998
2005-11-16,44,37.0,,0.37,16.28
2005-11-17,45,37.0,,0.37,16.65
2005-11-18,57,37.0,,0.37,21.09
2005-11-19,49,37.0,,0.37,18.13
