date,BANKRUPTCY_unscaled,BANKRUPTCY_monthly,isPartial,scale,BANKRUPTCY
2005-01-01,36,67.0,False,0.67,24.12
2005-01-02,26,67.0,,0.67,17.42
2005-01-03,76,67.0,,0.67,50.92
2005-01-04,81,67.0,,0.67,54.27
2005-01-05,55,67.0,,0.67,36.85
2005-01-06,67,67.0,,0.67,44.89
2005-01-07,69,67.0,,0.67,46.230000000000004
2005-01-08,34,67.0,,0.67,22.78
2005-01-09,39,67.0,,0.67,26.130000000000003
2005-01-10,65,67.0,,0.67,43.550000000000004
2005-01-11,84,67.0,,0.67,56.28
2005-01-12,100,67.0,,0.67,67.0
2005-01-13,67,67.0,,0.67,44.89
2005-01-14,71,67.0,,0.67,47.57
2005-01-15,39,67.0,,0.67,26.130000000000003
2005-01-16,60,67.0,,0.67,40.2
2005-01-17,47,67.0,,0.67,31.490000000000002
2005-01-18,64,67.0,,0.67,42.88
2005-01-19,44,67.0,,0.67,29.48
2005-01-20,68,67.0,,0.67,45.56
2005-01-21,58,67.0,,0.67,38.86
2005-01-22,51,67.0,,0.67,34.17
2005-01-23,45,67.0,,0.67,30.150000000000002
2005-01-24,58,67.0,,0.67,38.86
2005-01-25,53,67.0,,0.67,35.510000000000005
2005-01-26,72,67.0,,0.67,48.24
2005-01-27,75,67.0,,0.67,50.25
2005-01-28,42,67.0,,0.67,28.14
2005-01-29,69,67.0,,0.67,46.230000000000004
2005-01-30,28,67.0,,0.67,18.76
2005-01-31,82,67.0,,0.67,54.940000000000005
2005-02-01,95,72.0,False,0.72,68.39999999999999
2005-02-02,64,72.0,,0.72,46.08
2005-02-03,90,72.0,,0.72,64.8
2005-02-04,80,72.0,,0.72,57.599999999999994
2005-02-05,56,72.0,,0.72,40.32
2005-02-06,31,72.0,,0.72,22.32
2005-02-07,81,72.0,,0.72,58.32
2005-02-08,58,72.0,,0.72,41.76
2005-02-09,69,72.0,,0.72,49.68
2005-02-10,60,72.0,,0.72,43.199999999999996
2005-02-11,82,72.0,,0.72,59.04
2005-02-12,45,72.0,,0.72,32.4
2005-02-13,44,72.0,,0.72,31.68
2005-02-14,63,72.0,,0.72,45.36
2005-02-15,99,72.0,,0.72,71.28
2005-02-16,93,72.0,,0.72,66.96
2005-02-17,79,72.0,,0.72,56.879999999999995
2005-02-18,100,72.0,,0.72,72.0
2005-02-19,56,72.0,,0.72,40.32
2005-02-20,36,72.0,,0.72,25.919999999999998
2005-02-21,84,72.0,,0.72,60.48
2005-02-22,68,72.0,,0.72,48.96
2005-02-23,82,72.0,,0.72,59.04
2005-02-24,69,72.0,,0.72,49.68
2005-02-25,60,72.0,,0.72,43.199999999999996
2005-02-26,26,72.0,,0.72,18.72
2005-02-27,22,72.0,,0.72,15.84
2005-02-28,59,72.0,,0.72,42.48
2005-03-01,46,84.0,False,0.84,38.64
2005-03-02,49,84.0,,0.84,41.16
2005-03-03,40,84.0,,0.84,33.6
2005-03-04,36,84.0,,0.84,30.24
2005-03-05,29,84.0,,0.84,24.36
2005-03-06,19,84.0,,0.84,15.959999999999999
2005-03-07,35,84.0,,0.84,29.4
2005-03-08,56,84.0,,0.84,47.04
2005-03-09,77,84.0,,0.84,64.67999999999999
2005-03-10,76,84.0,,0.84,63.839999999999996
2005-03-11,100,84.0,,0.84,84.0
2005-03-12,49,84.0,,0.84,41.16
2005-03-13,39,84.0,,0.84,32.76
2005-03-14,62,84.0,,0.84,52.08
2005-03-15,34,84.0,,0.84,28.56
2005-03-16,51,84.0,,0.84,42.839999999999996
2005-03-17,53,84.0,,0.84,44.519999999999996
2005-03-18,47,84.0,,0.84,39.48
2005-03-19,33,84.0,,0.84,27.72
2005-03-20,25,84.0,,0.84,21.0
2005-03-21,50,84.0,,0.84,42.0
2005-03-22,45,84.0,,0.84,37.8
2005-03-23,51,84.0,,0.84,42.839999999999996
2005-03-24,48,84.0,,0.84,40.32
