date,CAR DONATE_unscaled,CAR DONATE_monthly,isPartial,scale,CAR DONATE
2005-01-01,0,66.0,False,0.66,0.0
2005-01-02,0,66.0,,0.66,0.0
2005-01-03,23,66.0,,0.66,15.180000000000001
2005-01-04,0,66.0,,0.66,0.0
2005-01-05,44,66.0,,0.66,29.040000000000003
2005-01-06,44,66.0,,0.66,29.040000000000003
2005-01-07,0,66.0,,0.66,0.0
2005-01-08,71,66.0,,0.66,46.86
2005-01-09,0,66.0,,0.66,0.0
2005-01-10,64,66.0,,0.66,42.24
2005-01-11,21,66.0,,0.66,13.860000000000001
2005-01-12,0,66.0,,0.66,0.0
2005-01-13,21,66.0,,0.66,13.860000000000001
2005-01-14,68,66.0,,0.66,44.88
2005-01-15,36,66.0,,0.66,23.76
2005-01-16,0,66.0,,0.66,0.0
2005-01-17,24,66.0,,0.66,15.84
2005-01-18,21,66.0,,0.66,13.860000000000001
2005-01-19,0,66.0,,0.66,0.0
2005-01-20,0,66.0,,0.66,0.0
2005-01-21,0,66.0,,0.66,0.0
2005-01-22,0,66.0,,0.66,0.0
2005-01-23,0,66.0,,0.66,0.0
2005-01-24,63,66.0,,0.66,41.580000000000005
2005-01-25,0,66.0,,0.66,0.0
2005-01-26,63,66.0,,0.66,41.580000000000005
2005-01-27,21,66.0,,0.66,13.860000000000001
2005-01-28,44,66.0,,0.66,29.040000000000003
2005-01-29,0,66.0,,0.66,0.0
2005-01-30,100,66.0,,0.66,66.0
2005-01-31,21,66.0,,0.66,13.860000000000001
2005-02-01,41,85.0,False,0.85,34.85
2005-02-02,21,85.0,,0.85,17.849999999999998
2005-02-03,21,85.0,,0.85,17.849999999999998
2005-02-04,22,85.0,,0.85,18.7
2005-02-05,0,85.0,,0.85,0.0
2005-02-06,0,85.0,,0.85,0.0
2005-02-07,43,85.0,,0.85,36.55
2005-02-08,0,85.0,,0.85,0.0
2005-02-09,21,85.0,,0.85,17.849999999999998
2005-02-10,21,85.0,,0.85,17.849999999999998
2005-02-11,22,85.0,,0.85,18.7
2005-02-12,35,85.0,,0.85,29.75
2005-02-13,34,85.0,,0.85,28.9
2005-02-14,42,85.0,,0.85,35.699999999999996
2005-02-15,21,85.0,,0.85,17.849999999999998
2005-02-16,21,85.0,,0.85,17.849999999999998
2005-02-17,42,85.0,,0.85,35.699999999999996
2005-02-18,55,85.0,,0.85,46.75
2005-02-19,34,85.0,,0.85,28.9
2005-02-20,35,85.0,,0.85,29.75
2005-02-21,45,85.0,,0.85,38.25
2005-02-22,50,85.0,,0.85,42.5
2005-02-23,20,85.0,,0.85,17.0
2005-02-24,21,85.0,,0.85,17.849999999999998
2005-02-25,22,85.0,,0.85,18.7
2005-02-26,0,85.0,,0.85,0.0
2005-02-27,100,85.0,,0.85,85.0
2005-02-28,61,85.0,,0.85,51.85
2005-03-01,18,62.0,False,0.62,11.16
2005-03-02,76,62.0,,0.62,47.12
2005-03-03,20,62.0,,0.62,12.4
2005-03-04,0,62.0,,0.62,0.0
2005-03-05,63,62.0,,0.62,39.06
2005-03-06,0,62.0,,0.62,0.0
2005-03-07,19,62.0,,0.62,11.78
2005-03-08,18,62.0,,0.62,11.16
2005-03-09,0,62.0,,0.62,0.0
2005-03-10,0,62.0,,0.62,0.0
2005-03-11,100,62.0,,0.62,62.0
