date,CHARITY_unscaled,CHARITY_monthly,isPartial,scale,CHARITY
2005-01-01,61,93.0,False,0.93,56.730000000000004
2005-01-02,62,93.0,,0.93,57.660000000000004
2005-01-03,100,93.0,,0.93,93.0
2005-01-04,90,93.0,,0.93,83.7
2005-01-05,91,93.0,,0.93,84.63000000000001
2005-01-06,87,93.0,,0.93,80.91000000000001
2005-01-07,73,93.0,,0.93,67.89
2005-01-08,61,93.0,,0.93,56.730000000000004
2005-01-09,44,93.0,,0.93,40.92
2005-01-10,87,93.0,,0.93,80.91000000000001
2005-01-11,50,93.0,,0.93,46.5
2005-01-12,59,93.0,,0.93,54.870000000000005
2005-01-13,81,93.0,,0.93,75.33
2005-01-14,49,93.0,,0.93,45.57
2005-01-15,31,93.0,,0.93,28.830000000000002
2005-01-16,43,93.0,,0.93,39.99
2005-01-17,30,93.0,,0.93,27.900000000000002
2005-01-18,41,93.0,,0.93,38.13
2005-01-19,53,93.0,,0.93,49.29
2005-01-20,50,93.0,,0.93,46.5
2005-01-21,38,93.0,,0.93,35.34
2005-01-22,39,93.0,,0.93,36.27
2005-01-23,38,93.0,,0.93,35.34
2005-01-24,57,93.0,,0.93,53.010000000000005
2005-01-25,51,93.0,,0.93,47.43
2005-01-26,55,93.0,,0.93,51.150000000000006
2005-01-27,53,93.0,,0.93,49.29
2005-01-28,46,93.0,,0.93,42.78
2005-01-29,42,93.0,,0.93,39.06
2005-01-30,34,93.0,,0.93,31.62
2005-01-31,45,93.0,,0.93,41.85
2005-02-01,81,81.0,False,0.81,65.61
2005-02-02,87,81.0,,0.81,70.47
2005-02-03,57,81.0,,0.81,46.17
2005-02-04,60,81.0,,0.81,48.6
2005-02-05,66,81.0,,0.81,53.46
2005-02-06,44,81.0,,0.81,35.64
2005-02-07,62,81.0,,0.81,50.220000000000006
2005-02-08,41,81.0,,0.81,33.21
2005-02-09,43,81.0,,0.81,34.830000000000005
2005-02-10,77,81.0,,0.81,62.370000000000005
2005-02-11,67,81.0,,0.81,54.27
2005-02-12,21,81.0,,0.81,17.01
2005-02-13,35,81.0,,0.81,28.35
2005-02-14,86,81.0,,0.81,69.66000000000001
2005-02-15,69,81.0,,0.81,55.89
2005-02-16,38,81.0,,0.81,30.78
2005-02-17,34,81.0,,0.81,27.540000000000003
2005-02-18,41,81.0,,0.81,33.21
2005-02-19,29,81.0,,0.81,23.490000000000002
2005-02-20,58,81.0,,0.81,46.980000000000004
2005-02-21,29,81.0,,0.81,23.490000000000002
2005-02-22,84,81.0,,0.81,68.04
2005-02-23,100,81.0,,0.81,81.0
2005-02-24,47,81.0,,0.81,38.07
2005-02-25,63,81.0,,0.81,51.03
2005-02-26,38,81.0,,0.81,30.78
2005-02-27,20,81.0,,0.81,16.200000000000003
2005-02-28,84,81.0,,0.81,68.04
2005-03-01,73,71.0,False,0.71,51.83
2005-03-02,66,71.0,,0.71,46.86
2005-03-03,65,71.0,,0.71,46.15
2005-03-04,73,71.0,,0.71,51.83
2005-03-05,65,71.0,,0.71,46.15
2005-03-06,57,71.0,,0.71,40.47
2005-03-07,51,71.0,,0.71,36.21
2005-03-08,63,71.0,,0.71,44.73
2005-03-09,73,71.0,,0.71,51.83
2005-03-10,57,71.0,,0.71,40.47
2005-03-11,72,71.0,,0.71,51.12
2005-03-12,36,71.0,,0.71,25.56
2005-03-13,88,71.0,,0.71,62.48
2005-03-14,60,71.0,,0.71,42.599999999999994
2005-03-15,50,71.0,,0.71,35.5
2005-03-16,46,71.0,,0.71,32.66
2005-03-17,62,71.0,,0.71,44.019999999999996
2005-03-18,45,71.0,,0.71,31.95
2005-03-19,57,71.0,,0.71,40.47
2005-03-20,37,71.0,,0.71,26.27
2005-03-21,39,71.0,,0.71,27.689999999999998
2005-03-22,41,71.0,,0.71,29.11
2005-03-23,77,71.0,,0.71,54.669999999999995
2005-03-24,100,71.0,,0.71,71.0
2005-03-25,60,71.0,,0.71,42.599999999999994
2005-03-26,55,71.0,,0.71,39.05
2005-03-27,42,71.0,,0.71,29.82
2005-03-28,92,71.0,,0.71,65.32
2005-03-29,59,71.0,,0.71,41.89
2005-03-30,70,71.0,,0.71,49.699999999999996
2005-03-31,71,71.0,,0.71,50.41
2005-04-01,51,74.0,False,0.74,37.74
2005-04-02,61,74.0,,0.74,45.14
2005-04-03,84,74.0,,0.74,62.16
2005-04-04,61,74.0,,0.74,45.14
2005-04-05,0,74.0,,0.74,0.0
2005-04-06,60,74.0,,0.74,44.4
2005-04-07,60,74.0,,0.74,44.4
2005-04-08,62,74.0,,0.74,45.88
2005-04-09,75,74.0,,0.74,55.5
2005-04-10,48,74.0,,0.74,35.519999999999996
2005-04-11,56,74.0,,0.74,41.44
2005-04-12,62,74.0,,0.74,45.88
2005-04-13,62,74.0,,0.74,45.88
2005-04-14,52,74.0,,0.74,38.48
2005-04-15,87,74.0,,0.74,64.38
2005-04-16,100,74.0,,0.74,74.0
2005-04-17,61,74.0,,0.74,45.14
2005-04-18,27,74.0,,0.74,19.98
2005-04-19,52,74.0,,0.74,38.48
2005-04-20,65,74.0,,0.74,48.1
2005-04-21,71,74.0,,0.74,52.54
2005-04-22,63,74.0,,0.74,46.62
2005-04-23,97,74.0,,0.74,71.78
2005-04-24,52,74.0,,0.74,38.48
2005-04-25,51,74.0,,0.74,37.74
2005-04-26,83,74.0,,0.74,61.42
2005-04-27,65,74.0,,0.74,48.1
2005-04-28,89,74.0,,0.74,65.86
2005-04-29,78,74.0,,0.74,57.72
2005-04-30,70,74.0,,0.74,51.8
2005-05-01,46,68.0,False,0.68,31.28
2005-05-02,71,68.0,,0.68,48.28
2005-05-03,56,68.0,,0.68,38.080000000000005
2005-05-04,78,68.0,,0.68,53.040000000000006
2005-05-05,73,68.0,,0.68,49.64
2005-05-06,52,68.0,,0.68,35.36
2005-05-07,34,68.0,,0.68,23.12
2005-05-08,67,68.0,,0.68,45.56
2005-05-09,76,68.0,,0.68,51.68000000000001
2005-05-10,49,68.0,,0.68,33.32
2005-05-11,64,68.0,,0.68,43.52
2005-05-12,44,68.0,,0.68,29.92
2005-05-13,100,68.0,,0.68,68.0
