date,DEFAULT_unscaled,DEFAULT_monthly,isPartial,scale,DEFAULT
2005-01-01,68,65.0,False,0.65,44.2
2005-01-02,79,65.0,,0.65,51.35
2005-01-03,80,65.0,,0.65,52.0
2005-01-04,66,65.0,,0.65,42.9
2005-01-05,56,65.0,,0.65,36.4
2005-01-06,96,65.0,,0.65,62.400000000000006
2005-01-07,88,65.0,,0.65,57.2
2005-01-08,79,65.0,,0.65,51.35
2005-01-09,75,65.0,,0.65,48.75
2005-01-10,72,65.0,,0.65,46.800000000000004
2005-01-11,77,65.0,,0.65,50.050000000000004
2005-01-12,74,65.0,,0.65,48.1
2005-01-13,80,65.0,,0.65,52.0
2005-01-14,92,65.0,,0.65,59.800000000000004
2005-01-15,58,65.0,,0.65,37.7
2005-01-16,51,65.0,,0.65,33.15
2005-01-17,100,65.0,,0.65,65.0
2005-01-18,64,65.0,,0.65,41.6
2005-01-19,80,65.0,,0.65,52.0
2005-01-20,66,65.0,,0.65,42.9
2005-01-21,88,65.0,,0.65,57.2
2005-01-22,67,65.0,,0.65,43.550000000000004
2005-01-23,54,65.0,,0.65,35.1
2005-01-24,76,65.0,,0.65,49.4
2005-01-25,68,65.0,,0.65,44.2
2005-01-26,84,65.0,,0.65,54.6
2005-01-27,69,65.0,,0.65,44.85
2005-01-28,84,65.0,,0.65,54.6
2005-01-29,66,65.0,,0.65,42.9
2005-01-30,58,65.0,,0.65,37.7
2005-01-31,82,65.0,,0.65,53.300000000000004
2005-02-01,70,69.0,False,0.69,48.3
2005-02-02,61,69.0,,0.69,42.089999999999996
2005-02-03,54,69.0,,0.69,37.26
2005-02-04,76,69.0,,0.69,52.44
2005-02-05,49,69.0,,0.69,33.809999999999995
2005-02-06,45,69.0,,0.69,31.049999999999997
2005-02-07,73,69.0,,0.69,50.37
2005-02-08,82,69.0,,0.69,56.58
2005-02-09,80,69.0,,0.69,55.199999999999996
2005-02-10,76,69.0,,0.69,52.44
2005-02-11,100,69.0,,0.69,69.0
2005-02-12,22,69.0,,0.69,15.18
2005-02-13,51,69.0,,0.69,35.19
2005-02-14,68,69.0,,0.69,46.919999999999995
2005-02-15,63,69.0,,0.69,43.47
2005-02-16,71,69.0,,0.69,48.989999999999995
2005-02-17,78,69.0,,0.69,53.81999999999999
2005-02-18,78,69.0,,0.69,53.81999999999999
2005-02-19,44,69.0,,0.69,30.36
2005-02-20,53,69.0,,0.69,36.57
2005-02-21,57,69.0,,0.69,39.33
2005-02-22,77,69.0,,0.69,53.129999999999995
2005-02-23,65,69.0,,0.69,44.849999999999994
2005-02-24,92,69.0,,0.69,63.48
2005-02-25,72,69.0,,0.69,49.67999999999999
2005-02-26,20,69.0,,0.69,13.799999999999999
2005-02-27,32,69.0,,0.69,22.08
2005-02-28,65,69.0,,0.69,44.849999999999994
2005-03-01,86,64.0,False,0.64,55.04
2005-03-02,97,64.0,,0.64,62.08
