date,DEPRESSION_unscaled,DEPRESSION_monthly,isPartial,scale,DEPRESSION
2005-01-01,60,85.0,False,0.85,51.0
2005-01-02,54,85.0,,0.85,45.9
2005-01-03,64,85.0,,0.85,54.4
2005-01-04,99,85.0,,0.85,84.14999999999999
2005-01-05,61,85.0,,0.85,51.85
2005-01-06,81,85.0,,0.85,68.85
2005-01-07,79,85.0,,0.85,67.14999999999999
2005-01-08,43,85.0,,0.85,36.55
2005-01-09,63,85.0,,0.85,53.55
2005-01-10,81,85.0,,0.85,68.85
2005-01-11,74,85.0,,0.85,62.9
2005-01-12,92,85.0,,0.85,78.2
2005-01-13,67,85.0,,0.85,56.949999999999996
2005-01-14,69,85.0,,0.85,58.65
2005-01-15,47,85.0,,0.85,39.949999999999996
2005-01-16,79,85.0,,0.85,67.14999999999999
2005-01-17,61,85.0,,0.85,51.85
2005-01-18,82,85.0,,0.85,69.7
2005-01-19,68,85.0,,0.85,57.8
2005-01-20,96,85.0,,0.85,81.6
2005-01-21,69,85.0,,0.85,58.65
2005-01-22,60,85.0,,0.85,51.0
2005-01-23,55,85.0,,0.85,46.75
2005-01-24,72,85.0,,0.85,61.199999999999996
2005-01-25,100,85.0,,0.85,85.0
2005-01-26,94,85.0,,0.85,79.89999999999999
2005-01-27,77,85.0,,0.85,65.45
2005-01-28,74,85.0,,0.85,62.9
2005-01-29,54,85.0,,0.85,45.9
2005-01-30,62,85.0,,0.85,52.699999999999996
2005-01-31,99,85.0,,0.85,84.14999999999999
2005-02-01,82,100.0,False,1.0,82.0
2005-02-02,79,100.0,,1.0,79.0
2005-02-03,90,100.0,,1.0,90.0
2005-02-04,80,100.0,,1.0,80.0
2005-02-05,63,100.0,,1.0,63.0
2005-02-06,96,100.0,,1.0,96.0
2005-02-07,70,100.0,,1.0,70.0
2005-02-08,69,100.0,,1.0,69.0
2005-02-09,87,100.0,,1.0,87.0
2005-02-10,82,100.0,,1.0,82.0
2005-02-11,81,100.0,,1.0,81.0
2005-02-12,70,100.0,,1.0,70.0
2005-02-13,88,100.0,,1.0,88.0
2005-02-14,94,100.0,,1.0,94.0
2005-02-15,94,100.0,,1.0,94.0
2005-02-16,100,100.0,,1.0,100.0
2005-02-17,71,100.0,,1.0,71.0
2005-02-18,83,100.0,,1.0,83.0
2005-02-19,68,100.0,,1.0,68.0
2005-02-20,24,100.0,,1.0,24.0
2005-02-21,76,100.0,,1.0,76.0
