date,DONATION_unscaled,DONATION_monthly,isPartial,scale,DONATION
2005-01-01,90,73.0,False,0.73,65.7
2005-01-02,97,73.0,,0.73,70.81
2005-01-03,95,73.0,,0.73,69.35
2005-01-04,100,73.0,,0.73,73.0
2005-01-05,94,73.0,,0.73,68.62
2005-01-06,94,73.0,,0.73,68.62
2005-01-07,92,73.0,,0.73,67.16
2005-01-08,68,73.0,,0.73,49.64
2005-01-09,34,73.0,,0.73,24.82
2005-01-10,82,73.0,,0.73,59.86
2005-01-11,58,73.0,,0.73,42.339999999999996
2005-01-12,56,73.0,,0.73,40.879999999999995
2005-01-13,39,73.0,,0.73,28.47
2005-01-14,50,73.0,,0.73,36.5
2005-01-15,49,73.0,,0.73,35.769999999999996
2005-01-16,70,73.0,,0.73,51.1
2005-01-17,39,73.0,,0.73,28.47
2005-01-18,52,73.0,,0.73,37.96
2005-01-19,39,73.0,,0.73,28.47
2005-01-20,37,73.0,,0.73,27.009999999999998
2005-01-21,47,73.0,,0.73,34.31
2005-01-22,32,73.0,,0.73,23.36
2005-01-23,25,73.0,,0.73,18.25
2005-01-24,49,73.0,,0.73,35.769999999999996
2005-01-25,39,73.0,,0.73,28.47
2005-01-26,29,73.0,,0.73,21.169999999999998
2005-01-27,43,73.0,,0.73,31.39
2005-01-28,51,73.0,,0.73,37.23
2005-01-29,50,73.0,,0.73,36.5
2005-01-30,25,73.0,,0.73,18.25
2005-01-31,48,73.0,,0.73,35.04
2005-02-01,52,57.0,False,0.57,29.639999999999997
2005-02-02,78,57.0,,0.57,44.459999999999994
2005-02-03,63,57.0,,0.57,35.91
2005-02-04,56,57.0,,0.57,31.919999999999998
2005-02-05,42,57.0,,0.57,23.939999999999998
2005-02-06,100,57.0,,0.57,56.99999999999999
2005-02-07,99,57.0,,0.57,56.42999999999999
2005-02-08,54,57.0,,0.57,30.779999999999998
2005-02-09,77,57.0,,0.57,43.88999999999999
2005-02-10,77,57.0,,0.57,43.88999999999999
2005-02-11,65,57.0,,0.57,37.05
2005-02-12,68,57.0,,0.57,38.76
2005-02-13,81,57.0,,0.57,46.169999999999995
2005-02-14,70,57.0,,0.57,39.9
2005-02-15,40,57.0,,0.57,22.799999999999997
2005-02-16,43,57.0,,0.57,24.509999999999998
2005-02-17,65,57.0,,0.57,37.05
2005-02-18,52,57.0,,0.57,29.639999999999997
2005-02-19,57,57.0,,0.57,32.489999999999995
2005-02-20,47,57.0,,0.57,26.79
2005-02-21,82,57.0,,0.57,46.739999999999995
2005-02-22,63,57.0,,0.57,35.91
2005-02-23,87,57.0,,0.57,49.589999999999996
2005-02-24,49,57.0,,0.57,27.929999999999996
2005-02-25,52,57.0,,0.57,29.639999999999997
2005-02-26,54,57.0,,0.57,30.779999999999998
2005-02-27,52,57.0,,0.57,29.639999999999997
2005-02-28,48,57.0,,0.57,27.36
2005-03-01,36,62.0,False,0.62,22.32
2005-03-02,78,62.0,,0.62,48.36
2005-03-03,43,62.0,,0.62,26.66
2005-03-04,61,62.0,,0.62,37.82
2005-03-05,31,62.0,,0.62,19.22
2005-03-06,31,62.0,,0.62,19.22
2005-03-07,59,62.0,,0.62,36.58
2005-03-08,81,62.0,,0.62,50.22
2005-03-09,72,62.0,,0.62,44.64
2005-03-10,53,62.0,,0.62,32.86
2005-03-11,46,62.0,,0.62,28.52
2005-03-12,31,62.0,,0.62,19.22
2005-03-13,41,62.0,,0.62,25.419999999999998
2005-03-14,62,62.0,,0.62,38.44
2005-03-15,70,62.0,,0.62,43.4
2005-03-16,37,62.0,,0.62,22.94
