date,ECONOMY_unscaled,ECONOMY_monthly,isPartial,scale,ECONOMY
2005-01-01,55,54.0,False,0.54,29.700000000000003
2005-01-02,51,54.0,,0.54,27.540000000000003
2005-01-03,90,54.0,,0.54,48.6
2005-01-04,77,54.0,,0.54,41.580000000000005
2005-01-05,71,54.0,,0.54,38.34
2005-01-06,41,54.0,,0.54,22.14
2005-01-07,81,54.0,,0.54,43.74
2005-01-08,36,54.0,,0.54,19.44
2005-01-09,85,54.0,,0.54,45.900000000000006
2005-01-10,94,54.0,,0.54,50.760000000000005
2005-01-11,57,54.0,,0.54,30.78
2005-01-12,87,54.0,,0.54,46.980000000000004
2005-01-13,72,54.0,,0.54,38.88
2005-01-14,84,54.0,,0.54,45.36
2005-01-15,48,54.0,,0.54,25.92
2005-01-16,55,54.0,,0.54,29.700000000000003
2005-01-17,62,54.0,,0.54,33.480000000000004
2005-01-18,78,54.0,,0.54,42.120000000000005
2005-01-19,69,54.0,,0.54,37.260000000000005
2005-01-20,92,54.0,,0.54,49.68000000000001
2005-01-21,72,54.0,,0.54,38.88
2005-01-22,46,54.0,,0.54,24.840000000000003
2005-01-23,72,54.0,,0.54,38.88
2005-01-24,99,54.0,,0.54,53.46
2005-01-25,100,54.0,,0.54,54.0
2005-01-26,92,54.0,,0.54,49.68000000000001
2005-01-27,64,54.0,,0.54,34.56
2005-01-28,100,54.0,,0.54,54.0
2005-01-29,51,54.0,,0.54,27.540000000000003
2005-01-30,73,54.0,,0.54,39.42
2005-01-31,56,54.0,,0.54,30.240000000000002
2005-02-01,47,65.0,False,0.65,30.55
2005-02-02,82,65.0,,0.65,53.300000000000004
2005-02-03,93,65.0,,0.65,60.45
2005-02-04,51,65.0,,0.65,33.15
2005-02-05,56,65.0,,0.65,36.4
2005-02-06,56,65.0,,0.65,36.4
2005-02-07,68,65.0,,0.65,44.2
2005-02-08,100,65.0,,0.65,65.0
2005-02-09,33,65.0,,0.65,21.45
2005-02-10,81,65.0,,0.65,52.65
2005-02-11,32,65.0,,0.65,20.8
2005-02-12,29,65.0,,0.65,18.85
2005-02-13,37,65.0,,0.65,24.05
2005-02-14,68,65.0,,0.65,44.2
2005-02-15,78,65.0,,0.65,50.7
2005-02-16,83,65.0,,0.65,53.95
2005-02-17,76,65.0,,0.65,49.4
2005-02-18,67,65.0,,0.65,43.550000000000004
2005-02-19,25,65.0,,0.65,16.25
2005-02-20,21,65.0,,0.65,13.65
2005-02-21,48,65.0,,0.65,31.200000000000003
2005-02-22,59,65.0,,0.65,38.35
2005-02-23,49,65.0,,0.65,31.85
2005-02-24,63,65.0,,0.65,40.95
2005-02-25,66,65.0,,0.65,42.9
2005-02-26,66,65.0,,0.65,42.9
2005-02-27,60,65.0,,0.65,39.0
2005-02-28,89,65.0,,0.65,57.85
2005-03-01,85,67.0,False,0.67,56.95
2005-03-02,66,67.0,,0.67,44.220000000000006
2005-03-03,76,67.0,,0.67,50.92
2005-03-04,71,67.0,,0.67,47.57
2005-03-05,73,67.0,,0.67,48.910000000000004
2005-03-06,71,67.0,,0.67,47.57
2005-03-07,87,67.0,,0.67,58.290000000000006
2005-03-08,70,67.0,,0.67,46.900000000000006
2005-03-09,85,67.0,,0.67,56.95
2005-03-10,92,67.0,,0.67,61.64
2005-03-11,73,67.0,,0.67,48.910000000000004
2005-03-12,55,67.0,,0.67,36.85
2005-03-13,53,67.0,,0.67,35.510000000000005
2005-03-14,75,67.0,,0.67,50.25
2005-03-15,88,67.0,,0.67,58.96
2005-03-16,84,67.0,,0.67,56.28
2005-03-17,57,67.0,,0.67,38.190000000000005
2005-03-18,57,67.0,,0.67,38.190000000000005
2005-03-19,56,67.0,,0.67,37.52
2005-03-20,81,67.0,,0.67,54.27
2005-03-21,68,67.0,,0.67,45.56
2005-03-22,100,67.0,,0.67,67.0
2005-03-23,88,67.0,,0.67,58.96
2005-03-24,74,67.0,,0.67,49.580000000000005
2005-03-25,47,67.0,,0.67,31.490000000000002
2005-03-26,59,67.0,,0.67,39.53
2005-03-27,53,67.0,,0.67,35.510000000000005
2005-03-28,63,67.0,,0.67,42.21
2005-03-29,72,67.0,,0.67,48.24
2005-03-30,74,67.0,,0.67,49.580000000000005
2005-03-31,70,67.0,,0.67,46.900000000000006
2005-04-01,57,79.0,False,0.79,45.03
2005-04-02,34,79.0,,0.79,26.86
2005-04-03,70,79.0,,0.79,55.300000000000004
2005-04-04,76,79.0,,0.79,60.040000000000006
2005-04-05,0,79.0,,0.79,0.0
2005-04-06,61,79.0,,0.79,48.190000000000005
2005-04-07,93,79.0,,0.79,73.47
2005-04-08,60,79.0,,0.79,47.400000000000006
2005-04-09,41,79.0,,0.79,32.39
2005-04-10,60,79.0,,0.79,47.400000000000006
2005-04-11,85,79.0,,0.79,67.15
2005-04-12,66,79.0,,0.79,52.14
2005-04-13,66,79.0,,0.79,52.14
2005-04-14,67,79.0,,0.79,52.93
2005-04-15,73,79.0,,0.79,57.67
2005-04-16,28,79.0,,0.79,22.12
2005-04-17,40,79.0,,0.79,31.6
2005-04-18,78,79.0,,0.79,61.620000000000005
2005-04-19,90,79.0,,0.79,71.10000000000001
2005-04-20,79,79.0,,0.79,62.410000000000004
2005-04-21,85,79.0,,0.79,67.15
2005-04-22,63,79.0,,0.79,49.77
2005-04-23,49,79.0,,0.79,38.71
2005-04-24,78,79.0,,0.79,61.620000000000005
2005-04-25,92,79.0,,0.79,72.68
2005-04-26,83,79.0,,0.79,65.57000000000001
2005-04-27,100,79.0,,0.79,79.0
2005-04-28,86,79.0,,0.79,67.94
2005-04-29,56,79.0,,0.79,44.24
2005-04-30,54,79.0,,0.79,42.660000000000004
2005-05-01,73,74.0,False,0.74,54.019999999999996
2005-05-02,79,74.0,,0.74,58.46
2005-05-03,74,74.0,,0.74,54.76
2005-05-04,88,74.0,,0.74,65.12
2005-05-05,88,74.0,,0.74,65.12
2005-05-06,64,74.0,,0.74,47.36
2005-05-07,65,74.0,,0.74,48.1
2005-05-08,68,74.0,,0.74,50.32
2005-05-09,66,74.0,,0.74,48.839999999999996
2005-05-10,87,74.0,,0.74,64.38
2005-05-11,84,74.0,,0.74,62.16
2005-05-12,100,74.0,,0.74,74.0
2005-05-13,78,74.0,,0.74,57.72
2005-05-14,63,74.0,,0.74,46.62
2005-05-15,67,74.0,,0.74,49.58
2005-05-16,73,74.0,,0.74,54.019999999999996
2005-05-17,78,74.0,,0.74,57.72
2005-05-18,73,74.0,,0.74,54.019999999999996
2005-05-19,64,74.0,,0.74,47.36
2005-05-20,66,74.0,,0.74,48.839999999999996
2005-05-21,35,74.0,,0.74,25.9
2005-05-22,56,74.0,,0.74,41.44
2005-05-23,67,74.0,,0.74,49.58
2005-05-24,61,74.0,,0.74,45.14
2005-05-25,79,74.0,,0.74,58.46
2005-05-26,51,74.0,,0.74,37.74
2005-05-27,61,74.0,,0.74,45.14
2005-05-28,39,74.0,,0.74,28.86
2005-05-29,31,74.0,,0.74,22.94
2005-05-30,61,74.0,,0.74,45.14
2005-05-31,71,74.0,,0.74,52.54
2005-06-01,100,43.0,False,0.43,43.0
2005-06-02,91,43.0,,0.43,39.13
2005-06-03,91,43.0,,0.43,39.13
2005-06-04,91,43.0,,0.43,39.13
2005-06-05,74,43.0,,0.43,31.82
2005-06-06,92,43.0,,0.43,39.56
2005-06-07,85,43.0,,0.43,36.55
2005-06-08,82,43.0,,0.43,35.26
