date,EXPENSE_unscaled,EXPENSE_monthly,isPartial,scale,EXPENSE
2005-01-01,0,66.0,False,0.66,0.0
2005-01-02,40,66.0,,0.66,26.400000000000002
2005-01-03,42,66.0,,0.66,27.720000000000002
2005-01-04,97,66.0,,0.66,64.02
2005-01-05,64,66.0,,0.66,42.24
2005-01-06,70,66.0,,0.66,46.2
2005-01-07,24,66.0,,0.66,15.84
2005-01-08,19,66.0,,0.66,12.540000000000001
2005-01-09,47,66.0,,0.66,31.020000000000003
2005-01-10,34,66.0,,0.66,22.44
2005-01-11,16,66.0,,0.66,10.56
2005-01-12,39,66.0,,0.66,25.740000000000002
2005-01-13,89,66.0,,0.66,58.74
2005-01-14,100,66.0,,0.66,66.0
2005-01-15,56,66.0,,0.66,36.96
2005-01-16,19,66.0,,0.66,12.540000000000001
2005-01-17,13,66.0,,0.66,8.58
2005-01-18,55,66.0,,0.66,36.300000000000004
2005-01-19,62,66.0,,0.66,40.92
2005-01-20,34,66.0,,0.66,22.44
2005-01-21,87,66.0,,0.66,57.42
2005-01-22,35,66.0,,0.66,23.1
2005-01-23,69,66.0,,0.66,45.54
2005-01-24,44,66.0,,0.66,29.040000000000003
2005-01-25,59,66.0,,0.66,38.940000000000005
2005-01-26,44,66.0,,0.66,29.040000000000003
2005-01-27,66,66.0,,0.66,43.56
2005-01-28,51,66.0,,0.66,33.660000000000004
2005-01-29,35,66.0,,0.66,23.1
2005-01-30,52,66.0,,0.66,34.32
2005-01-31,54,66.0,,0.66,35.64
2005-02-01,69,70.0,False,0.7,48.3
2005-02-02,100,70.0,,0.7,70.0
2005-02-03,95,70.0,,0.7,66.5
2005-02-04,61,70.0,,0.7,42.699999999999996
2005-02-05,69,70.0,,0.7,48.3
2005-02-06,59,70.0,,0.7,41.3
2005-02-07,30,70.0,,0.7,21.0
2005-02-08,62,70.0,,0.7,43.4
2005-02-09,81,70.0,,0.7,56.699999999999996
2005-02-10,35,70.0,,0.7,24.5
2005-02-11,61,70.0,,0.7,42.699999999999996
2005-02-12,48,70.0,,0.7,33.599999999999994
2005-02-13,57,70.0,,0.7,39.9
2005-02-14,81,70.0,,0.7,56.699999999999996
2005-02-15,52,70.0,,0.7,36.4
2005-02-16,52,70.0,,0.7,36.4
2005-02-17,41,70.0,,0.7,28.7
2005-02-18,61,70.0,,0.7,42.699999999999996
2005-02-19,48,70.0,,0.7,33.599999999999994
2005-02-20,59,70.0,,0.7,41.3
2005-02-21,77,70.0,,0.7,53.9
2005-02-22,34,70.0,,0.7,23.799999999999997
2005-02-23,56,70.0,,0.7,39.199999999999996
2005-02-24,40,70.0,,0.7,28.0
2005-02-25,55,70.0,,0.7,38.5
2005-02-26,0,70.0,,0.7,0.0
2005-02-27,55,70.0,,0.7,38.5
2005-02-28,85,70.0,,0.7,59.49999999999999
2005-03-01,51,62.0,False,0.62,31.62
2005-03-02,63,62.0,,0.62,39.06
2005-03-03,67,62.0,,0.62,41.54
2005-03-04,46,62.0,,0.62,28.52
2005-03-05,88,62.0,,0.62,54.56
2005-03-06,53,62.0,,0.62,32.86
2005-03-07,73,62.0,,0.62,45.26
2005-03-08,71,62.0,,0.62,44.02
2005-03-09,32,62.0,,0.62,19.84
2005-03-10,64,62.0,,0.62,39.68
2005-03-11,78,62.0,,0.62,48.36
2005-03-12,52,62.0,,0.62,32.24
2005-03-13,0,62.0,,0.62,0.0
2005-03-14,21,62.0,,0.62,13.02
2005-03-15,41,62.0,,0.62,25.419999999999998
2005-03-16,84,62.0,,0.62,52.08
2005-03-17,22,62.0,,0.62,13.64
2005-03-18,46,62.0,,0.62,28.52
2005-03-19,53,62.0,,0.62,32.86
2005-03-20,72,62.0,,0.62,44.64
2005-03-21,32,62.0,,0.62,19.84
2005-03-22,42,62.0,,0.62,26.04
2005-03-23,83,62.0,,0.62,51.46
2005-03-24,100,62.0,,0.62,62.0
2005-03-25,52,62.0,,0.62,32.24
2005-03-26,19,62.0,,0.62,11.78
2005-03-27,0,62.0,,0.62,0.0
2005-03-28,35,62.0,,0.62,21.7
2005-03-29,42,62.0,,0.62,26.04
2005-03-30,22,62.0,,0.62,13.64
2005-03-31,76,62.0,,0.62,47.12
