date,FRUGAL_unscaled,FRUGAL_monthly,isPartial,scale,FRUGAL
2005-01-01,61,65.0,False,0.65,39.65
2005-01-02,36,65.0,,0.65,23.400000000000002
2005-01-03,32,65.0,,0.65,20.8
2005-01-04,20,65.0,,0.65,13.0
2005-01-05,82,65.0,,0.65,53.300000000000004
2005-01-06,31,65.0,,0.65,20.150000000000002
2005-01-07,53,65.0,,0.65,34.45
2005-01-08,100,65.0,,0.65,65.0
2005-01-09,50,65.0,,0.65,32.5
2005-01-10,60,65.0,,0.65,39.0
2005-01-11,59,65.0,,0.65,38.35
2005-01-12,59,65.0,,0.65,38.35
2005-01-13,30,65.0,,0.65,19.5
2005-01-14,63,65.0,,0.65,40.95
2005-01-15,33,65.0,,0.65,21.45
2005-01-16,34,65.0,,0.65,22.1
2005-01-17,45,65.0,,0.65,29.25
2005-01-18,59,65.0,,0.65,38.35
2005-01-19,100,65.0,,0.65,65.0
2005-01-20,30,65.0,,0.65,19.5
2005-01-21,42,65.0,,0.65,27.3
2005-01-22,63,65.0,,0.65,40.95
2005-01-23,92,65.0,,0.65,59.800000000000004
2005-01-24,49,65.0,,0.65,31.85
2005-01-25,38,65.0,,0.65,24.7
2005-01-26,39,65.0,,0.65,25.35
2005-01-27,30,65.0,,0.65,19.5
2005-01-28,41,65.0,,0.65,26.650000000000002
2005-01-29,47,65.0,,0.65,30.55
2005-01-30,62,65.0,,0.65,40.300000000000004
2005-01-31,38,65.0,,0.65,24.7
2005-02-01,84,56.0,False,0.56,47.040000000000006
2005-02-02,26,56.0,,0.56,14.560000000000002
2005-02-03,17,56.0,,0.56,9.520000000000001
2005-02-04,45,56.0,,0.56,25.200000000000003
2005-02-05,29,56.0,,0.56,16.240000000000002
2005-02-06,100,56.0,,0.56,56.00000000000001
2005-02-07,44,56.0,,0.56,24.64
2005-02-08,73,56.0,,0.56,40.88
2005-02-09,51,56.0,,0.56,28.560000000000002
2005-02-10,51,56.0,,0.56,28.560000000000002
2005-02-11,36,56.0,,0.56,20.160000000000004
2005-02-12,0,56.0,,0.56,0.0
2005-02-13,28,56.0,,0.56,15.680000000000001
2005-02-14,17,56.0,,0.56,9.520000000000001
2005-02-15,17,56.0,,0.56,9.520000000000001
2005-02-16,17,56.0,,0.56,9.520000000000001
2005-02-17,25,56.0,,0.56,14.000000000000002
2005-02-18,18,56.0,,0.56,10.080000000000002
2005-02-19,71,56.0,,0.56,39.760000000000005
2005-02-20,0,56.0,,0.56,0.0
2005-02-21,28,56.0,,0.56,15.680000000000001
2005-02-22,50,56.0,,0.56,28.000000000000004
2005-02-23,41,56.0,,0.56,22.96
2005-02-24,33,56.0,,0.56,18.48
2005-02-25,70,56.0,,0.56,39.2
2005-02-26,74,56.0,,0.56,41.440000000000005
2005-02-27,41,56.0,,0.56,22.96
2005-02-28,16,56.0,,0.56,8.96
2005-03-01,37,60.0,False,0.6,22.2
2005-03-02,0,60.0,,0.6,0.0
2005-03-03,40,60.0,,0.6,24.0
2005-03-04,20,60.0,,0.6,12.0
2005-03-05,31,60.0,,0.6,18.599999999999998
2005-03-06,0,60.0,,0.6,0.0
2005-03-07,75,60.0,,0.6,45.0
2005-03-08,54,60.0,,0.6,32.4
2005-03-09,19,60.0,,0.6,11.4
2005-03-10,38,60.0,,0.6,22.8
2005-03-11,20,60.0,,0.6,12.0
2005-03-12,31,60.0,,0.6,18.599999999999998
2005-03-13,31,60.0,,0.6,18.599999999999998
2005-03-14,0,60.0,,0.6,0.0
2005-03-15,18,60.0,,0.6,10.799999999999999
2005-03-16,19,60.0,,0.6,11.4
2005-03-17,39,60.0,,0.6,23.4
2005-03-18,41,60.0,,0.6,24.599999999999998
2005-03-19,32,60.0,,0.6,19.2
2005-03-20,64,60.0,,0.6,38.4
2005-03-21,38,60.0,,0.6,22.8
2005-03-22,19,60.0,,0.6,11.4
2005-03-23,19,60.0,,0.6,11.4
2005-03-24,20,60.0,,0.6,12.0
2005-03-25,23,60.0,,0.6,13.799999999999999
2005-03-26,100,60.0,,0.6,60.0
2005-03-27,43,60.0,,0.6,25.8
2005-03-28,32,60.0,,0.6,19.2
2005-03-29,19,60.0,,0.6,11.4
2005-03-30,39,60.0,,0.6,23.4
