date,GDP_unscaled,GDP_monthly,isPartial,scale,GDP
2005-01-01,36,55.0,False,0.55,19.8
2005-01-02,0,55.0,,0.55,0.0
2005-01-03,19,55.0,,0.55,10.450000000000001
2005-01-04,12,55.0,,0.55,6.6000000000000005
2005-01-05,30,55.0,,0.55,16.5
2005-01-06,36,55.0,,0.55,19.8
2005-01-07,13,55.0,,0.55,7.15
2005-01-08,29,55.0,,0.55,15.950000000000001
2005-01-09,20,55.0,,0.55,11.0
2005-01-10,23,55.0,,0.55,12.65
2005-01-11,35,55.0,,0.55,19.25
2005-01-12,29,55.0,,0.55,15.950000000000001
2005-01-13,47,55.0,,0.55,25.85
2005-01-14,6,55.0,,0.55,3.3000000000000003
2005-01-15,29,55.0,,0.55,15.950000000000001
2005-01-16,100,55.0,,0.55,55.00000000000001
2005-01-17,27,55.0,,0.55,14.850000000000001
2005-01-18,17,55.0,,0.55,9.350000000000001
2005-01-19,41,55.0,,0.55,22.55
2005-01-20,30,55.0,,0.55,16.5
2005-01-21,37,55.0,,0.55,20.35
2005-01-22,9,55.0,,0.55,4.95
2005-01-23,36,55.0,,0.55,19.8
2005-01-24,63,55.0,,0.55,34.650000000000006
2005-01-25,22,55.0,,0.55,12.100000000000001
2005-01-26,34,55.0,,0.55,18.700000000000003
2005-01-27,46,55.0,,0.55,25.3
2005-01-28,30,55.0,,0.55,16.5
2005-01-29,9,55.0,,0.55,4.95
2005-01-30,18,55.0,,0.55,9.9
2005-01-31,28,55.0,,0.55,15.400000000000002
2005-02-01,72,65.0,False,0.65,46.800000000000004
2005-02-02,55,65.0,,0.65,35.75
2005-02-03,45,65.0,,0.65,29.25
2005-02-04,68,65.0,,0.65,44.2
2005-02-05,46,65.0,,0.65,29.900000000000002
2005-02-06,61,65.0,,0.65,39.65
2005-02-07,65,65.0,,0.65,42.25
2005-02-08,35,65.0,,0.65,22.75
2005-02-09,45,65.0,,0.65,29.25
2005-02-10,100,65.0,,0.65,65.0
2005-02-11,10,65.0,,0.65,6.5
2005-02-12,45,65.0,,0.65,29.25
2005-02-13,89,65.0,,0.65,57.85
2005-02-14,98,65.0,,0.65,63.7
2005-02-15,27,65.0,,0.65,17.55
2005-02-16,63,65.0,,0.65,40.95
2005-02-17,81,65.0,,0.65,52.65
2005-02-18,38,65.0,,0.65,24.7
2005-02-19,60,65.0,,0.65,39.0
2005-02-20,61,65.0,,0.65,39.65
2005-02-21,60,65.0,,0.65,39.0
2005-02-22,71,65.0,,0.65,46.15
2005-02-23,43,65.0,,0.65,27.95
2005-02-24,80,65.0,,0.65,52.0
2005-02-25,75,65.0,,0.65,48.75
2005-02-26,0,65.0,,0.65,0.0
2005-02-27,87,65.0,,0.65,56.550000000000004
2005-02-28,79,65.0,,0.65,51.35
2005-03-01,88,61.0,False,0.61,53.68
2005-03-02,64,61.0,,0.61,39.04
2005-03-03,85,61.0,,0.61,51.85
2005-03-04,58,61.0,,0.61,35.38
2005-03-05,62,61.0,,0.61,37.82
2005-03-06,72,61.0,,0.61,43.92
2005-03-07,59,61.0,,0.61,35.99
2005-03-08,56,61.0,,0.61,34.16
2005-03-09,80,61.0,,0.61,48.8
2005-03-10,76,61.0,,0.61,46.36
2005-03-11,51,61.0,,0.61,31.11
2005-03-12,79,61.0,,0.61,48.19
2005-03-13,79,61.0,,0.61,48.19
2005-03-14,58,61.0,,0.61,35.38
2005-03-15,73,61.0,,0.61,44.53
2005-03-16,89,61.0,,0.61,54.29
2005-03-17,54,61.0,,0.61,32.94
2005-03-18,70,61.0,,0.61,42.699999999999996
2005-03-19,18,61.0,,0.61,10.98
2005-03-20,100,61.0,,0.61,61.0
2005-03-21,32,61.0,,0.61,19.52
2005-03-22,69,61.0,,0.61,42.089999999999996
2005-03-23,63,61.0,,0.61,38.43
2005-03-24,56,61.0,,0.61,34.16
2005-03-25,99,61.0,,0.61,60.39
2005-03-26,65,61.0,,0.61,39.65
2005-03-27,79,61.0,,0.61,48.19
2005-03-28,80,61.0,,0.61,48.8
2005-03-29,59,61.0,,0.61,35.99
2005-03-30,71,61.0,,0.61,43.31
2005-03-31,83,61.0,,0.61,50.629999999999995
2005-04-01,37,65.0,False,0.65,24.05
2005-04-02,32,65.0,,0.65,20.8
2005-04-03,94,65.0,,0.65,61.1
2005-04-04,100,65.0,,0.65,65.0
2005-04-05,0,65.0,,0.65,0.0
2005-04-06,58,65.0,,0.65,37.7
2005-04-07,44,65.0,,0.65,28.6
2005-04-08,69,65.0,,0.65,44.85
2005-04-09,17,65.0,,0.65,11.05
2005-04-10,43,65.0,,0.65,27.95
2005-04-11,38,65.0,,0.65,24.7
2005-04-12,86,65.0,,0.65,55.9
2005-04-13,51,65.0,,0.65,33.15
2005-04-14,98,65.0,,0.65,63.7
2005-04-15,62,65.0,,0.65,40.300000000000004
2005-04-16,51,65.0,,0.65,33.15
2005-04-17,68,65.0,,0.65,44.2
2005-04-18,90,65.0,,0.65,58.5
2005-04-19,51,65.0,,0.65,33.15
2005-04-20,89,65.0,,0.65,57.85
2005-04-21,70,65.0,,0.65,45.5
2005-04-22,56,65.0,,0.65,36.4
2005-04-23,47,65.0,,0.65,30.55
2005-04-24,47,65.0,,0.65,30.55
2005-04-25,55,65.0,,0.65,35.75
2005-04-26,41,65.0,,0.65,26.650000000000002
2005-04-27,87,65.0,,0.65,56.550000000000004
2005-04-28,97,65.0,,0.65,63.050000000000004
2005-04-29,89,65.0,,0.65,57.85
2005-04-30,69,65.0,,0.65,44.85
2005-05-01,61,59.0,False,0.59,35.989999999999995
2005-05-02,93,59.0,,0.59,54.87
2005-05-03,69,59.0,,0.59,40.71
2005-05-04,89,59.0,,0.59,52.51
2005-05-05,100,59.0,,0.59,59.0
2005-05-06,89,59.0,,0.59,52.51
2005-05-07,50,59.0,,0.59,29.5
2005-05-08,17,59.0,,0.59,10.03
2005-05-09,58,59.0,,0.59,34.22
2005-05-10,79,59.0,,0.59,46.61
2005-05-11,68,59.0,,0.59,40.12
2005-05-12,32,59.0,,0.59,18.88
2005-05-13,45,59.0,,0.59,26.549999999999997
2005-05-14,65,59.0,,0.59,38.35
2005-05-15,16,59.0,,0.59,9.44
2005-05-16,54,59.0,,0.59,31.86
2005-05-17,67,59.0,,0.59,39.53
2005-05-18,41,59.0,,0.59,24.189999999999998
2005-05-19,56,59.0,,0.59,33.04
2005-05-20,35,59.0,,0.59,20.65
2005-05-21,33,59.0,,0.59,19.47
2005-05-22,32,59.0,,0.59,18.88
2005-05-23,32,59.0,,0.59,18.88
2005-05-24,85,59.0,,0.59,50.15
2005-05-25,50,59.0,,0.59,29.5
2005-05-26,80,59.0,,0.59,47.199999999999996
2005-05-27,53,59.0,,0.59,31.27
2005-05-28,52,59.0,,0.59,30.68
2005-05-29,18,59.0,,0.59,10.62
2005-05-30,38,59.0,,0.59,22.419999999999998
2005-05-31,51,59.0,,0.59,30.09
