date,GOLD PRICE_unscaled,GOLD PRICE_monthly,isPartial,scale,GOLD PRICE
2005-01-01,100,10.0,False,0.1,10.0
2005-01-02,0,10.0,,0.1,0.0
2005-01-03,12,10.0,,0.1,1.2000000000000002
2005-01-04,17,10.0,,0.1,1.7000000000000002
2005-01-05,11,10.0,,0.1,1.1
2005-01-06,34,10.0,,0.1,3.4000000000000004
2005-01-07,24,10.0,,0.1,2.4000000000000004
2005-01-08,18,10.0,,0.1,1.8
2005-01-09,36,10.0,,0.1,3.6
2005-01-10,28,10.0,,0.1,2.8000000000000003
2005-01-11,22,10.0,,0.1,2.2
2005-01-12,27,10.0,,0.1,2.7
2005-01-13,11,10.0,,0.1,1.1
2005-01-14,17,10.0,,0.1,1.7000000000000002
2005-01-15,46,10.0,,0.1,4.6000000000000005
2005-01-16,38,10.0,,0.1,3.8000000000000003
2005-01-17,25,10.0,,0.1,2.5
2005-01-18,22,10.0,,0.1,2.2
2005-01-19,16,10.0,,0.1,1.6
2005-01-20,28,10.0,,0.1,2.8000000000000003
2005-01-21,40,10.0,,0.1,4.0
2005-01-22,69,10.0,,0.1,6.9
2005-01-23,17,10.0,,0.1,1.7000000000000002
2005-01-24,54,10.0,,0.1,5.4
2005-01-25,16,10.0,,0.1,1.6
2005-01-26,22,10.0,,0.1,2.2
2005-01-27,27,10.0,,0.1,2.7
2005-01-28,17,10.0,,0.1,1.7000000000000002
2005-01-29,17,10.0,,0.1,1.7000000000000002
2005-01-30,51,10.0,,0.1,5.1000000000000005
2005-01-31,31,10.0,,0.1,3.1
2005-02-01,52,10.0,False,0.1,5.2
2005-02-02,43,10.0,,0.1,4.3
2005-02-03,53,10.0,,0.1,5.300000000000001
2005-02-04,67,10.0,,0.1,6.7
2005-02-05,54,10.0,,0.1,5.4
2005-02-06,71,10.0,,0.1,7.1000000000000005
2005-02-07,43,10.0,,0.1,4.3
2005-02-08,51,10.0,,0.1,5.1000000000000005
2005-02-09,31,10.0,,0.1,3.1
2005-02-10,31,10.0,,0.1,3.1
2005-02-11,77,10.0,,0.1,7.7
2005-02-12,0,10.0,,0.1,0.0
2005-02-13,70,10.0,,0.1,7.0
