date,GOLD PRICES_unscaled,GOLD PRICES_monthly,isPartial,scale,GOLD PRICES
2005-01-01,60,21.0,False,0.21,12.6
2005-01-02,35,21.0,,0.21,7.35
2005-01-03,63,21.0,,0.21,13.229999999999999
2005-01-04,20,21.0,,0.21,4.2
2005-01-05,20,21.0,,0.21,4.2
2005-01-06,21,21.0,,0.21,4.41
2005-01-07,0,21.0,,0.21,0.0
2005-01-08,0,21.0,,0.21,0.0
2005-01-09,33,21.0,,0.21,6.93
2005-01-10,100,21.0,,0.21,21.0
2005-01-11,19,21.0,,0.21,3.9899999999999998
2005-01-12,19,21.0,,0.21,3.9899999999999998
2005-01-13,59,21.0,,0.21,12.389999999999999
2005-01-14,41,21.0,,0.21,8.61
2005-01-15,66,21.0,,0.21,13.86
2005-01-16,0,21.0,,0.21,0.0
2005-01-17,0,21.0,,0.21,0.0
2005-01-18,58,21.0,,0.21,12.18
2005-01-19,20,21.0,,0.21,4.2
2005-01-20,40,21.0,,0.21,8.4
2005-01-21,21,21.0,,0.21,4.41
2005-01-22,31,21.0,,0.21,6.51
2005-01-23,0,21.0,,0.21,0.0
2005-01-24,39,21.0,,0.21,8.19
2005-01-25,0,21.0,,0.21,0.0
2005-01-26,58,21.0,,0.21,12.18
2005-01-27,20,21.0,,0.21,4.2
2005-01-28,40,21.0,,0.21,8.4
2005-01-29,31,21.0,,0.21,6.51
2005-01-30,0,21.0,,0.21,0.0
2005-01-31,19,21.0,,0.21,3.9899999999999998
2005-02-01,45,17.0,False,0.17,7.65
2005-02-02,58,17.0,,0.17,9.860000000000001
2005-02-03,47,17.0,,0.17,7.99
2005-02-04,49,17.0,,0.17,8.33
2005-02-05,39,17.0,,0.17,6.630000000000001
2005-02-06,0,17.0,,0.17,0.0
2005-02-07,94,17.0,,0.17,15.98
2005-02-08,22,17.0,,0.17,3.74
2005-02-09,68,17.0,,0.17,11.56
2005-02-10,34,17.0,,0.17,5.78
2005-02-11,24,17.0,,0.17,4.08
2005-02-12,57,17.0,,0.17,9.690000000000001
2005-02-13,0,17.0,,0.17,0.0
2005-02-14,68,17.0,,0.17,11.56
2005-02-15,34,17.0,,0.17,5.78
2005-02-16,45,17.0,,0.17,7.65
2005-02-17,45,17.0,,0.17,7.65
2005-02-18,96,17.0,,0.17,16.32
2005-02-19,37,17.0,,0.17,6.29
2005-02-20,77,17.0,,0.17,13.090000000000002
2005-02-21,50,17.0,,0.17,8.5
2005-02-22,55,17.0,,0.17,9.350000000000001
2005-02-23,44,17.0,,0.17,7.48
2005-02-24,56,17.0,,0.17,9.520000000000001
2005-02-25,35,17.0,,0.17,5.95
2005-02-26,100,17.0,,0.17,17.0
2005-02-27,54,17.0,,0.17,9.180000000000001
2005-02-28,88,17.0,,0.17,14.96
2005-03-01,55,20.0,False,0.2,11.0
2005-03-02,57,20.0,,0.2,11.4
2005-03-03,60,20.0,,0.2,12.0
2005-03-04,76,20.0,,0.2,15.200000000000001
2005-03-05,95,20.0,,0.2,19.0
2005-03-06,47,20.0,,0.2,9.4
2005-03-07,57,20.0,,0.2,11.4
2005-03-08,41,20.0,,0.2,8.200000000000001
2005-03-09,42,20.0,,0.2,8.4
2005-03-10,58,20.0,,0.2,11.600000000000001
2005-03-11,60,20.0,,0.2,12.0
2005-03-12,0,20.0,,0.2,0.0
2005-03-13,47,20.0,,0.2,9.4
2005-03-14,56,20.0,,0.2,11.200000000000001
2005-03-15,28,20.0,,0.2,5.6000000000000005
2005-03-16,56,20.0,,0.2,11.200000000000001
2005-03-17,57,20.0,,0.2,11.4
2005-03-18,78,20.0,,0.2,15.600000000000001
2005-03-19,71,20.0,,0.2,14.200000000000001
2005-03-20,72,20.0,,0.2,14.4
2005-03-21,57,20.0,,0.2,11.4
2005-03-22,84,20.0,,0.2,16.8
2005-03-23,56,20.0,,0.2,11.200000000000001
2005-03-24,30,20.0,,0.2,6.0
2005-03-25,35,20.0,,0.2,7.0
2005-03-26,100,20.0,,0.2,20.0
2005-03-27,65,20.0,,0.2,13.0
2005-03-28,71,20.0,,0.2,14.200000000000001
2005-03-29,28,20.0,,0.2,5.6000000000000005
2005-03-30,58,20.0,,0.2,11.600000000000001
2005-03-31,59,20.0,,0.2,11.8
2005-04-01,0,19.0,False,0.19,0.0
2005-04-02,0,19.0,,0.19,0.0
2005-04-03,60,19.0,,0.19,11.4
2005-04-04,78,19.0,,0.19,14.82
2005-04-05,0,19.0,,0.19,0.0
2005-04-06,25,19.0,,0.19,4.75
2005-04-07,76,19.0,,0.19,14.44
2005-04-08,41,19.0,,0.19,7.79
2005-04-09,33,19.0,,0.19,6.2700000000000005
2005-04-10,33,19.0,,0.19,6.2700000000000005
2005-04-11,37,19.0,,0.19,7.03
2005-04-12,17,19.0,,0.19,3.23
2005-04-13,18,19.0,,0.19,3.42
2005-04-14,0,19.0,,0.19,0.0
2005-04-15,40,19.0,,0.19,7.6
2005-04-16,0,19.0,,0.19,0.0
2005-04-17,100,19.0,,0.19,19.0
2005-04-18,37,19.0,,0.19,7.03
2005-04-19,36,19.0,,0.19,6.84
2005-04-20,36,19.0,,0.19,6.84
2005-04-21,58,19.0,,0.19,11.02
2005-04-22,40,19.0,,0.19,7.6
2005-04-23,31,19.0,,0.19,5.89
2005-04-24,90,19.0,,0.19,17.1
2005-04-25,0,19.0,,0.19,0.0
2005-04-26,18,19.0,,0.19,3.42
2005-04-27,0,19.0,,0.19,0.0
2005-04-28,0,19.0,,0.19,0.0
2005-04-29,19,19.0,,0.19,3.61
2005-04-30,30,19.0,,0.19,5.7
2005-05-01,0,19.0,False,0.19,0.0
2005-05-02,91,19.0,,0.19,17.29
2005-05-03,51,19.0,,0.19,9.69
2005-05-04,26,19.0,,0.19,4.94
2005-05-05,67,19.0,,0.19,12.73
2005-05-06,73,19.0,,0.19,13.870000000000001
2005-05-07,100,19.0,,0.19,19.0
2005-05-08,49,19.0,,0.19,9.31
2005-05-09,80,19.0,,0.19,15.2
2005-05-10,52,19.0,,0.19,9.88
2005-05-11,53,19.0,,0.19,10.07
2005-05-12,41,19.0,,0.19,7.79
2005-05-13,59,19.0,,0.19,11.21
2005-05-14,0,19.0,,0.19,0.0
2005-05-15,70,19.0,,0.19,13.3
2005-05-16,54,19.0,,0.19,10.26
2005-05-17,39,19.0,,0.19,7.41
2005-05-18,67,19.0,,0.19,12.73
2005-05-19,83,19.0,,0.19,15.77
2005-05-20,30,19.0,,0.19,5.7
2005-05-21,49,19.0,,0.19,9.31
2005-05-22,0,19.0,,0.19,0.0
2005-05-23,81,19.0,,0.19,15.39
2005-05-24,26,19.0,,0.19,4.94
2005-05-25,40,19.0,,0.19,7.6
2005-05-26,56,19.0,,0.19,10.64
2005-05-27,62,19.0,,0.19,11.78
2005-05-28,51,19.0,,0.19,9.69
2005-05-29,54,19.0,,0.19,10.26
2005-05-30,45,19.0,,0.19,8.55
2005-05-31,27,19.0,,0.19,5.13
2005-06-01,68,14.0,False,0.14,9.520000000000001
2005-06-02,56,14.0,,0.14,7.840000000000001
2005-06-03,89,14.0,,0.14,12.46
2005-06-04,47,14.0,,0.14,6.580000000000001
2005-06-05,48,14.0,,0.14,6.720000000000001
2005-06-06,42,14.0,,0.14,5.880000000000001
2005-06-07,27,14.0,,0.14,3.7800000000000002
2005-06-08,42,14.0,,0.14,5.880000000000001
2005-06-09,43,14.0,,0.14,6.0200000000000005
2005-06-10,0,14.0,,0.14,0.0
2005-06-11,48,14.0,,0.14,6.720000000000001
2005-06-12,49,14.0,,0.14,6.86
2005-06-13,28,14.0,,0.14,3.9200000000000004
2005-06-14,56,14.0,,0.14,7.840000000000001
2005-06-15,57,14.0,,0.14,7.98
2005-06-16,29,14.0,,0.14,4.0600000000000005
2005-06-17,47,14.0,,0.14,6.580000000000001
2005-06-18,100,14.0,,0.14,14.000000000000002
2005-06-19,0,14.0,,0.14,0.0
2005-06-20,28,14.0,,0.14,3.9200000000000004
2005-06-21,28,14.0,,0.14,3.9200000000000004
2005-06-22,28,14.0,,0.14,3.9200000000000004
2005-06-23,44,14.0,,0.14,6.16
2005-06-24,32,14.0,,0.14,4.48
2005-06-25,0,14.0,,0.14,0.0
2005-06-26,50,14.0,,0.14,7.000000000000001
2005-06-27,57,14.0,,0.14,7.98
2005-06-28,41,14.0,,0.14,5.74
2005-06-29,71,14.0,,0.14,9.940000000000001
2005-06-30,58,14.0,,0.14,8.120000000000001
2005-07-01,44,15.0,False,0.15,6.6
2005-07-02,92,15.0,,0.15,13.799999999999999
2005-07-03,50,15.0,,0.15,7.5
2005-07-04,44,15.0,,0.15,6.6
2005-07-05,68,15.0,,0.15,10.2
2005-07-06,0,15.0,,0.15,0.0
2005-07-07,100,15.0,,0.15,15.0
2005-07-08,66,15.0,,0.15,9.9
2005-07-09,61,15.0,,0.15,9.15
2005-07-10,64,15.0,,0.15,9.6
2005-07-11,37,15.0,,0.15,5.55
2005-07-12,24,15.0,,0.15,3.5999999999999996
2005-07-13,24,15.0,,0.15,3.5999999999999996
2005-07-14,50,15.0,,0.15,7.5
2005-07-15,54,15.0,,0.15,8.1
2005-07-16,42,15.0,,0.15,6.3
2005-07-17,42,15.0,,0.15,6.3
