date,GOLD_unscaled,GOLD_monthly,isPartial,scale,GOLD
2005-01-01,91,47.0,False,0.47,42.769999999999996
2005-01-02,88,47.0,,0.47,41.36
2005-01-03,85,47.0,,0.47,39.949999999999996
2005-01-04,85,47.0,,0.47,39.949999999999996
2005-01-05,83,47.0,,0.47,39.01
2005-01-06,76,47.0,,0.47,35.72
2005-01-07,82,47.0,,0.47,38.54
2005-01-08,93,47.0,,0.47,43.71
2005-01-09,89,47.0,,0.47,41.83
2005-01-10,80,47.0,,0.47,37.599999999999994
2005-01-11,86,47.0,,0.47,40.419999999999995
2005-01-12,86,47.0,,0.47,40.419999999999995
2005-01-13,74,47.0,,0.47,34.78
2005-01-14,87,47.0,,0.47,40.89
2005-01-15,94,47.0,,0.47,44.18
2005-01-16,97,47.0,,0.47,45.589999999999996
2005-01-17,95,47.0,,0.47,44.65
2005-01-18,85,47.0,,0.47,39.949999999999996
2005-01-19,73,47.0,,0.47,34.309999999999995
2005-01-20,78,47.0,,0.47,36.66
2005-01-21,87,47.0,,0.47,40.89
2005-01-22,83,47.0,,0.47,39.01
2005-01-23,84,47.0,,0.47,39.48
2005-01-24,79,47.0,,0.47,37.129999999999995
2005-01-25,90,47.0,,0.47,42.3
2005-01-26,77,47.0,,0.47,36.19
2005-01-27,84,47.0,,0.47,39.48
2005-01-28,81,47.0,,0.47,38.07
2005-01-29,86,47.0,,0.47,40.419999999999995
2005-01-30,100,47.0,,0.47,47.0
2005-01-31,84,47.0,,0.47,39.48
2005-02-01,81,49.0,False,0.49,39.69
2005-02-02,77,49.0,,0.49,37.73
2005-02-03,93,49.0,,0.49,45.57
2005-02-04,76,49.0,,0.49,37.24
2005-02-05,91,49.0,,0.49,44.589999999999996
2005-02-06,74,49.0,,0.49,36.26
2005-02-07,80,49.0,,0.49,39.2
2005-02-08,75,49.0,,0.49,36.75
2005-02-09,100,49.0,,0.49,49.0
2005-02-10,76,49.0,,0.49,37.24
2005-02-11,87,49.0,,0.49,42.63
2005-02-12,88,49.0,,0.49,43.12
2005-02-13,87,49.0,,0.49,42.63
2005-02-14,88,49.0,,0.49,43.12
2005-02-15,82,49.0,,0.49,40.18
2005-02-16,83,49.0,,0.49,40.67
2005-02-17,79,49.0,,0.49,38.71
2005-02-18,74,49.0,,0.49,36.26
