date,INFLATION RATE_unscaled,INFLATION RATE_monthly,isPartial,scale,INFLATION RATE
2005-01-01,0,75.0,False,0.75,0.0
2005-01-02,34,75.0,,0.75,25.5
2005-01-03,41,75.0,,0.75,30.75
2005-01-04,59,75.0,,0.75,44.25
2005-01-05,100,75.0,,0.75,75.0
2005-01-06,20,75.0,,0.75,15.0
2005-01-07,41,75.0,,0.75,30.75
2005-01-08,0,75.0,,0.75,0.0
2005-01-09,32,75.0,,0.75,24.0
2005-01-10,96,75.0,,0.75,72.0
2005-01-11,57,75.0,,0.75,42.75
2005-01-12,19,75.0,,0.75,14.25
2005-01-13,38,75.0,,0.75,28.5
2005-01-14,41,75.0,,0.75,30.75
2005-01-15,32,75.0,,0.75,24.0
2005-01-16,0,75.0,,0.75,0.0
2005-01-17,44,75.0,,0.75,33.0
2005-01-18,19,75.0,,0.75,14.25
2005-01-19,39,75.0,,0.75,29.25
2005-01-20,0,75.0,,0.75,0.0
2005-01-21,60,75.0,,0.75,45.0
2005-01-22,30,75.0,,0.75,22.5
2005-01-23,0,75.0,,0.75,0.0
2005-01-24,19,75.0,,0.75,14.25
2005-01-25,18,75.0,,0.75,13.5
2005-01-26,19,75.0,,0.75,14.25
2005-01-27,0,75.0,,0.75,0.0
2005-01-28,20,75.0,,0.75,15.0
2005-01-29,30,75.0,,0.75,22.5
2005-01-30,60,75.0,,0.75,45.0
2005-01-31,37,75.0,,0.75,27.75
2005-02-01,39,72.0,False,0.72,28.08
2005-02-02,100,72.0,,0.72,72.0
2005-02-03,61,72.0,,0.72,43.92
2005-02-04,63,72.0,,0.72,45.36
2005-02-05,0,72.0,,0.72,0.0
2005-02-06,33,72.0,,0.72,23.759999999999998
2005-02-07,41,72.0,,0.72,29.52
2005-02-08,57,72.0,,0.72,41.04
2005-02-09,40,72.0,,0.72,28.799999999999997
2005-02-10,40,72.0,,0.72,28.799999999999997
2005-02-11,41,72.0,,0.72,29.52
2005-02-12,0,72.0,,0.72,0.0
2005-02-13,32,72.0,,0.72,23.04
2005-02-14,39,72.0,,0.72,28.08
2005-02-15,20,72.0,,0.72,14.399999999999999
