date,PRICE OF GOLD_unscaled,PRICE OF GOLD_monthly,isPartial,scale,PRICE OF GOLD
2005-01-01,0,9.0,False,0.09,0.0
2005-01-02,0,9.0,,0.09,0.0
2005-01-03,54,9.0,,0.09,4.859999999999999
2005-01-04,51,9.0,,0.09,4.59
2005-01-05,52,9.0,,0.09,4.68
2005-01-06,26,9.0,,0.09,2.34
2005-01-07,53,9.0,,0.09,4.77
2005-01-08,42,9.0,,0.09,3.78
2005-01-09,0,9.0,,0.09,0.0
2005-01-10,25,9.0,,0.09,2.25
2005-01-11,0,9.0,,0.09,0.0
2005-01-12,100,9.0,,0.09,9.0
2005-01-13,75,9.0,,0.09,6.75
2005-01-14,40,9.0,,0.09,3.5999999999999996
2005-01-15,0,9.0,,0.09,0.0
2005-01-16,0,9.0,,0.09,0.0
2005-01-17,29,9.0,,0.09,2.61
2005-01-18,61,9.0,,0.09,5.49
2005-01-19,25,9.0,,0.09,2.25
2005-01-20,25,9.0,,0.09,2.25
2005-01-21,26,9.0,,0.09,2.34
2005-01-22,0,9.0,,0.09,0.0
2005-01-23,57,9.0,,0.09,5.13
2005-01-24,49,9.0,,0.09,4.41
2005-01-25,0,9.0,,0.09,0.0
2005-01-26,49,9.0,,0.09,4.41
2005-01-27,74,9.0,,0.09,6.66
2005-01-28,26,9.0,,0.09,2.34
2005-01-29,59,9.0,,0.09,5.31
2005-01-30,78,9.0,,0.09,7.02
2005-01-31,24,9.0,,0.09,2.16
2005-02-01,0,10.0,False,0.1,0.0
2005-02-02,25,10.0,,0.1,2.5
2005-02-03,51,10.0,,0.1,5.1000000000000005
2005-02-04,0,10.0,,0.1,0.0
2005-02-05,0,10.0,,0.1,0.0
2005-02-06,0,10.0,,0.1,0.0
2005-02-07,0,10.0,,0.1,0.0
2005-02-08,24,10.0,,0.1,2.4000000000000004
2005-02-09,50,10.0,,0.1,5.0
2005-02-10,25,10.0,,0.1,2.5
2005-02-11,26,10.0,,0.1,2.6
2005-02-12,0,10.0,,0.1,0.0
2005-02-13,41,10.0,,0.1,4.1000000000000005
2005-02-14,0,10.0,,0.1,0.0
2005-02-15,100,10.0,,0.1,10.0
2005-02-16,0,10.0,,0.1,0.0
2005-02-17,0,10.0,,0.1,0.0
2005-02-18,0,10.0,,0.1,0.0
2005-02-19,42,10.0,,0.1,4.2
2005-02-20,0,10.0,,0.1,0.0
2005-02-21,28,10.0,,0.1,2.8000000000000003
2005-02-22,0,10.0,,0.1,0.0
2005-02-23,0,10.0,,0.1,0.0
2005-02-24,25,10.0,,0.1,2.5
2005-02-25,52,10.0,,0.1,5.2
2005-02-26,0,10.0,,0.1,0.0
2005-02-27,0,10.0,,0.1,0.0
2005-02-28,0,10.0,,0.1,0.0
2005-03-01,38,6.0,False,0.06,2.28
2005-03-02,39,6.0,,0.06,2.34
2005-03-03,41,6.0,,0.06,2.46
2005-03-04,0,6.0,,0.06,0.0
2005-03-05,65,6.0,,0.06,3.9
2005-03-06,65,6.0,,0.06,3.9
2005-03-07,39,6.0,,0.06,2.34
2005-03-08,37,6.0,,0.06,2.2199999999999998
2005-03-09,39,6.0,,0.06,2.34
2005-03-10,39,6.0,,0.06,2.34
2005-03-11,0,6.0,,0.06,0.0
2005-03-12,63,6.0,,0.06,3.78
2005-03-13,0,6.0,,0.06,0.0
2005-03-14,38,6.0,,0.06,2.28
2005-03-15,75,6.0,,0.06,4.5
2005-03-16,38,6.0,,0.06,2.28
