date,SAVINGS_unscaled,SAVINGS_monthly,isPartial,scale,SAVINGS
2005-01-01,68,38.0,False,0.38,25.84
2005-01-02,64,38.0,,0.38,24.32
2005-01-03,96,38.0,,0.38,36.480000000000004
2005-01-04,100,38.0,,0.38,38.0
2005-01-05,77,38.0,,0.38,29.26
2005-01-06,86,38.0,,0.38,32.68
2005-01-07,98,38.0,,0.38,37.24
2005-01-08,53,38.0,,0.38,20.14
2005-01-09,63,38.0,,0.38,23.94
2005-01-10,83,38.0,,0.38,31.54
2005-01-11,97,38.0,,0.38,36.86
2005-01-12,80,38.0,,0.38,30.4
2005-01-13,75,38.0,,0.38,28.5
2005-01-14,80,38.0,,0.38,30.4
2005-01-15,46,38.0,,0.38,17.48
2005-01-16,59,38.0,,0.38,22.42
2005-01-17,89,38.0,,0.38,33.82
2005-01-18,87,38.0,,0.38,33.06
2005-01-19,81,38.0,,0.38,30.78
2005-01-20,72,38.0,,0.38,27.36
2005-01-21,87,38.0,,0.38,33.06
2005-01-22,61,38.0,,0.38,23.18
2005-01-23,60,38.0,,0.38,22.8
2005-01-24,77,38.0,,0.38,29.26
2005-01-25,71,38.0,,0.38,26.98
2005-01-26,62,38.0,,0.38,23.56
2005-01-27,78,38.0,,0.38,29.64
2005-01-28,65,38.0,,0.38,24.7
2005-01-29,50,38.0,,0.38,19.0
2005-01-30,63,38.0,,0.38,23.94
2005-01-31,80,38.0,,0.38,30.4
2005-02-01,61,38.0,False,0.38,23.18
2005-02-02,85,38.0,,0.38,32.3
2005-02-03,100,38.0,,0.38,38.0
2005-02-04,76,38.0,,0.38,28.88
2005-02-05,51,38.0,,0.38,19.38
2005-02-06,48,38.0,,0.38,18.240000000000002
2005-02-07,76,38.0,,0.38,28.88
2005-02-08,91,38.0,,0.38,34.58
2005-02-09,60,38.0,,0.38,22.8
2005-02-10,96,38.0,,0.38,36.480000000000004
2005-02-11,99,38.0,,0.38,37.62
2005-02-12,70,38.0,,0.38,26.6
2005-02-13,61,38.0,,0.38,23.18
2005-02-14,73,38.0,,0.38,27.740000000000002
2005-02-15,68,38.0,,0.38,25.84
2005-02-16,77,38.0,,0.38,29.26
2005-02-17,100,38.0,,0.38,38.0
2005-02-18,94,38.0,,0.38,35.72
2005-02-19,73,38.0,,0.38,27.740000000000002
2005-02-20,54,38.0,,0.38,20.52
2005-02-21,80,38.0,,0.38,30.4
2005-02-22,76,38.0,,0.38,28.88
2005-02-23,85,38.0,,0.38,32.3
2005-02-24,84,38.0,,0.38,31.92
2005-02-25,83,38.0,,0.38,31.54
2005-02-26,81,38.0,,0.38,30.78
2005-02-27,76,38.0,,0.38,28.88
2005-02-28,70,38.0,,0.38,26.6
2005-03-01,31,62.0,False,0.62,19.22
2005-03-02,26,62.0,,0.62,16.12
2005-03-03,30,62.0,,0.62,18.6
2005-03-04,27,62.0,,0.62,16.74
2005-03-05,22,62.0,,0.62,13.64
2005-03-06,25,62.0,,0.62,15.5
2005-03-07,31,62.0,,0.62,19.22
2005-03-08,31,62.0,,0.62,19.22
2005-03-09,29,62.0,,0.62,17.98
2005-03-10,26,62.0,,0.62,16.12
2005-03-11,26,62.0,,0.62,16.12
2005-03-12,25,62.0,,0.62,15.5
2005-03-13,27,62.0,,0.62,16.74
2005-03-14,35,62.0,,0.62,21.7
2005-03-15,30,62.0,,0.62,18.6
2005-03-16,33,62.0,,0.62,20.46
2005-03-17,29,62.0,,0.62,17.98
