date,SOCIAL SECURITY CARD_unscaled,SOCIAL SECURITY CARD_monthly,isPartial,scale,SOCIAL SECURITY CARD
2005-01-01,34,66.0,False,0.66,22.44
2005-01-02,0,66.0,,0.66,0.0
2005-01-03,36,66.0,,0.66,23.76
2005-01-04,90,66.0,,0.66,59.400000000000006
2005-01-05,34,66.0,,0.66,22.44
2005-01-06,81,66.0,,0.66,53.46
2005-01-07,36,66.0,,0.66,23.76
2005-01-08,19,66.0,,0.66,12.540000000000001
2005-01-09,37,66.0,,0.66,24.42
2005-01-10,45,66.0,,0.66,29.700000000000003
2005-01-11,75,66.0,,0.66,49.5
2005-01-12,55,66.0,,0.66,36.300000000000004
2005-01-13,22,66.0,,0.66,14.520000000000001
2005-01-14,82,66.0,,0.66,54.120000000000005
2005-01-15,19,66.0,,0.66,12.540000000000001
2005-01-16,19,66.0,,0.66,12.540000000000001
2005-01-17,51,66.0,,0.66,33.660000000000004
2005-01-18,76,66.0,,0.66,50.160000000000004
2005-01-19,100,66.0,,0.66,66.0
2005-01-20,34,66.0,,0.66,22.44
2005-01-21,11,66.0,,0.66,7.260000000000001
2005-01-22,18,66.0,,0.66,11.88
2005-01-23,35,66.0,,0.66,23.1
2005-01-24,44,66.0,,0.66,29.040000000000003
2005-01-25,63,66.0,,0.66,41.580000000000005
2005-01-26,32,66.0,,0.66,21.12
2005-01-27,76,66.0,,0.66,50.160000000000004
2005-01-28,23,66.0,,0.66,15.180000000000001
2005-01-29,35,66.0,,0.66,23.1
2005-01-30,35,66.0,,0.66,23.1
2005-01-31,85,66.0,,0.66,56.1
2005-02-01,34,69.0,False,0.69,23.459999999999997
2005-02-02,77,69.0,,0.69,53.129999999999995
2005-02-03,50,69.0,,0.69,34.5
2005-02-04,59,69.0,,0.69,40.709999999999994
2005-02-05,47,69.0,,0.69,32.43
2005-02-06,47,69.0,,0.69,32.43
2005-02-07,100,69.0,,0.69,69.0
2005-02-08,54,69.0,,0.69,37.26
2005-02-09,62,69.0,,0.69,42.779999999999994
2005-02-10,55,69.0,,0.69,37.949999999999996
2005-02-11,95,69.0,,0.69,65.55
2005-02-12,23,69.0,,0.69,15.87
2005-02-13,23,69.0,,0.69,15.87
2005-02-14,55,69.0,,0.69,37.949999999999996
2005-02-15,97,69.0,,0.69,66.92999999999999
2005-02-16,76,69.0,,0.69,52.44
2005-02-17,35,69.0,,0.69,24.15
2005-02-18,44,69.0,,0.69,30.36
2005-02-19,58,69.0,,0.69,40.019999999999996
2005-02-20,0,69.0,,0.69,0.0
2005-02-21,23,69.0,,0.69,15.87
2005-02-22,47,69.0,,0.69,32.43
2005-02-23,67,69.0,,0.69,46.23
2005-02-24,55,69.0,,0.69,37.949999999999996
2005-02-25,65,69.0,,0.69,44.849999999999994
2005-02-26,0,69.0,,0.69,0.0
2005-02-27,67,69.0,,0.69,46.23
2005-02-28,47,69.0,,0.69,32.43
2005-03-01,34,74.0,False,0.74,25.16
2005-03-02,99,74.0,,0.74,73.26
2005-03-03,60,74.0,,0.74,44.4
2005-03-04,46,74.0,,0.74,34.04
2005-03-05,24,74.0,,0.74,17.759999999999998
2005-03-06,23,74.0,,0.74,17.02
2005-03-07,98,74.0,,0.74,72.52
2005-03-08,81,74.0,,0.74,59.94
2005-03-09,85,74.0,,0.74,62.9
2005-03-10,98,74.0,,0.74,72.52
2005-03-11,22,74.0,,0.74,16.28
2005-03-12,58,74.0,,0.74,42.92
2005-03-13,35,74.0,,0.74,25.9
2005-03-14,69,74.0,,0.74,51.06
2005-03-15,82,74.0,,0.74,60.68
2005-03-16,97,74.0,,0.74,71.78
2005-03-17,42,74.0,,0.74,31.08
2005-03-18,54,74.0,,0.74,39.96
2005-03-19,47,74.0,,0.74,34.78
2005-03-20,49,74.0,,0.74,36.26
2005-03-21,64,74.0,,0.74,47.36
2005-03-22,62,74.0,,0.74,45.88
2005-03-23,42,74.0,,0.74,31.08
2005-03-24,60,74.0,,0.74,44.4
2005-03-25,52,74.0,,0.74,38.48
2005-03-26,49,74.0,,0.74,36.26
2005-03-27,16,74.0,,0.74,11.84
2005-03-28,59,74.0,,0.74,43.66
2005-03-29,49,74.0,,0.74,36.26
2005-03-30,100,74.0,,0.74,74.0
2005-03-31,66,74.0,,0.74,48.839999999999996
2005-04-01,73,59.0,False,0.59,43.07
2005-04-02,49,59.0,,0.59,28.91
2005-04-03,24,59.0,,0.59,14.16
2005-04-04,61,59.0,,0.59,35.989999999999995
2005-04-05,0,59.0,,0.59,0.0
2005-04-06,100,59.0,,0.59,59.0
2005-04-07,98,59.0,,0.59,57.82
2005-04-08,73,59.0,,0.59,43.07
2005-04-09,40,59.0,,0.59,23.599999999999998
2005-04-10,39,59.0,,0.59,23.009999999999998
2005-04-11,66,59.0,,0.59,38.94
2005-04-12,49,59.0,,0.59,28.91
2005-04-13,65,59.0,,0.59,38.35
2005-04-14,68,59.0,,0.59,40.12
2005-04-15,88,59.0,,0.59,51.919999999999995
2005-04-16,26,59.0,,0.59,15.34
2005-04-17,26,59.0,,0.59,15.34
2005-04-18,36,59.0,,0.59,21.24
2005-04-19,50,59.0,,0.59,29.5
2005-04-20,81,59.0,,0.59,47.79
2005-04-21,76,59.0,,0.59,44.839999999999996
2005-04-22,88,59.0,,0.59,51.919999999999995
2005-04-23,48,59.0,,0.59,28.32
2005-04-24,36,59.0,,0.59,21.24
2005-04-25,50,59.0,,0.59,29.5
2005-04-26,56,59.0,,0.59,33.04
2005-04-27,64,59.0,,0.59,37.76
2005-04-28,43,59.0,,0.59,25.369999999999997
2005-04-29,76,59.0,,0.59,44.839999999999996
2005-04-30,35,59.0,,0.59,20.65
