date,SOCIAL SECURITY OFFICE_unscaled,SOCIAL SECURITY OFFICE_monthly,isPartial,scale,SOCIAL SECURITY OFFICE
2005-01-01,21,37.0,False,0.37,7.77
2005-01-02,24,37.0,,0.37,8.879999999999999
2005-01-03,7,37.0,,0.37,2.59
2005-01-04,71,37.0,,0.37,26.27
2005-01-05,100,37.0,,0.37,37.0
2005-01-06,58,37.0,,0.37,21.46
2005-01-07,22,37.0,,0.37,8.14
2005-01-08,12,37.0,,0.37,4.4399999999999995
2005-01-09,23,37.0,,0.37,8.51
2005-01-10,35,37.0,,0.37,12.95
2005-01-11,34,37.0,,0.37,12.58
2005-01-12,34,37.0,,0.37,12.58
2005-01-13,42,37.0,,0.37,15.54
2005-01-14,51,37.0,,0.37,18.87
2005-01-15,12,37.0,,0.37,4.4399999999999995
2005-01-16,0,37.0,,0.37,0.0
2005-01-17,16,37.0,,0.37,5.92
2005-01-18,34,37.0,,0.37,12.58
2005-01-19,49,37.0,,0.37,18.13
2005-01-20,42,37.0,,0.37,15.54
2005-01-21,57,37.0,,0.37,21.09
2005-01-22,0,37.0,,0.37,0.0
2005-01-23,22,37.0,,0.37,8.14
2005-01-24,27,37.0,,0.37,9.99
2005-01-25,59,37.0,,0.37,21.83
2005-01-26,33,37.0,,0.37,12.209999999999999
2005-01-27,20,37.0,,0.37,7.4
2005-01-28,28,37.0,,0.37,10.36
2005-01-29,11,37.0,,0.37,4.07
2005-01-30,11,37.0,,0.37,4.07
2005-01-31,67,37.0,,0.37,24.79
2005-02-01,88,32.0,False,0.32,28.16
2005-02-02,62,32.0,,0.32,19.84
2005-02-03,63,32.0,,0.32,20.16
2005-02-04,80,32.0,,0.32,25.6
2005-02-05,35,32.0,,0.32,11.200000000000001
2005-02-06,23,32.0,,0.32,7.36
2005-02-07,99,32.0,,0.32,31.68
2005-02-08,73,32.0,,0.32,23.36
2005-02-09,89,32.0,,0.32,28.48
2005-02-10,88,32.0,,0.32,28.16
2005-02-11,93,32.0,,0.32,29.76
2005-02-12,23,32.0,,0.32,7.36
2005-02-13,22,32.0,,0.32,7.04
2005-02-14,54,32.0,,0.32,17.28
2005-02-15,68,32.0,,0.32,21.76
2005-02-16,61,32.0,,0.32,19.52
2005-02-17,69,32.0,,0.32,22.080000000000002
2005-02-18,93,32.0,,0.32,29.76
2005-02-19,45,32.0,,0.32,14.4
2005-02-20,23,32.0,,0.32,7.36
2005-02-21,68,32.0,,0.32,21.76
2005-02-22,46,32.0,,0.32,14.72
2005-02-23,92,32.0,,0.32,29.44
2005-02-24,67,32.0,,0.32,21.44
2005-02-25,100,32.0,,0.32,32.0
2005-02-26,60,32.0,,0.32,19.2
2005-02-27,33,32.0,,0.32,10.56
2005-02-28,86,32.0,,0.32,27.52
2005-03-01,40,32.0,False,0.32,12.8
2005-03-02,66,32.0,,0.32,21.12
2005-03-03,63,32.0,,0.32,20.16
2005-03-04,32,32.0,,0.32,10.24
2005-03-05,20,32.0,,0.32,6.4
2005-03-06,20,32.0,,0.32,6.4
2005-03-07,100,32.0,,0.32,32.0
