date,THE CRISIS_unscaled,THE CRISIS_monthly,isPartial,scale,THE CRISIS
2005-01-01,54,37.0,False,0.37,19.98
2005-01-02,93,37.0,,0.37,34.41
2005-01-03,57,37.0,,0.37,21.09
2005-01-04,36,37.0,,0.37,13.32
2005-01-05,18,37.0,,0.37,6.66
2005-01-06,37,37.0,,0.37,13.69
2005-01-07,56,37.0,,0.37,20.72
2005-01-08,29,37.0,,0.37,10.73
2005-01-09,0,37.0,,0.37,0.0
2005-01-10,71,37.0,,0.37,26.27
2005-01-11,17,37.0,,0.37,6.29
2005-01-12,17,37.0,,0.37,6.29
2005-01-13,18,37.0,,0.37,6.66
2005-01-14,56,37.0,,0.37,20.72
2005-01-15,59,37.0,,0.37,21.83
2005-01-16,30,37.0,,0.37,11.1
2005-01-17,40,37.0,,0.37,14.8
2005-01-18,35,37.0,,0.37,12.95
2005-01-19,0,37.0,,0.37,0.0
2005-01-20,18,37.0,,0.37,6.66
2005-01-21,55,37.0,,0.37,20.35
2005-01-22,28,37.0,,0.37,10.36
2005-01-23,0,37.0,,0.37,0.0
2005-01-24,17,37.0,,0.37,6.29
2005-01-25,100,37.0,,0.37,37.0
2005-01-26,34,37.0,,0.37,12.58
2005-01-27,0,37.0,,0.37,0.0
2005-01-28,0,37.0,,0.37,0.0
2005-01-29,0,37.0,,0.37,0.0
2005-01-30,0,37.0,,0.37,0.0
2005-01-31,0,37.0,,0.37,0.0
2005-02-01,45,51.0,False,0.51,22.95
2005-02-02,40,51.0,,0.51,20.4
2005-02-03,12,51.0,,0.51,6.12
2005-02-04,24,51.0,,0.51,12.24
2005-02-05,29,51.0,,0.51,14.790000000000001
2005-02-06,49,51.0,,0.51,24.990000000000002
2005-02-07,53,51.0,,0.51,27.03
2005-02-08,11,51.0,,0.51,5.61
2005-02-09,40,51.0,,0.51,20.4
2005-02-10,23,51.0,,0.51,11.73
2005-02-11,18,51.0,,0.51,9.18
2005-02-12,29,51.0,,0.51,14.790000000000001
2005-02-13,38,51.0,,0.51,19.38
2005-02-14,34,51.0,,0.51,17.34
2005-02-15,56,51.0,,0.51,28.560000000000002
2005-02-16,23,51.0,,0.51,11.73
2005-02-17,35,51.0,,0.51,17.85
2005-02-18,12,51.0,,0.51,6.12
2005-02-19,19,51.0,,0.51,9.69
2005-02-20,39,51.0,,0.51,19.89
2005-02-21,38,51.0,,0.51,19.38
2005-02-22,27,51.0,,0.51,13.77
2005-02-23,39,51.0,,0.51,19.89
2005-02-24,28,51.0,,0.51,14.280000000000001
2005-02-25,30,51.0,,0.51,15.3
2005-02-26,100,51.0,,0.51,51.0
2005-02-27,41,51.0,,0.51,20.91
2005-02-28,28,51.0,,0.51,14.280000000000001
2005-03-01,87,45.0,False,0.45,39.15
2005-03-02,70,45.0,,0.45,31.5
2005-03-03,64,45.0,,0.45,28.8
2005-03-04,54,45.0,,0.45,24.3
2005-03-05,50,45.0,,0.45,22.5
2005-03-06,50,45.0,,0.45,22.5
2005-03-07,0,45.0,,0.45,0.0
2005-03-08,67,45.0,,0.45,30.150000000000002
2005-03-09,40,45.0,,0.45,18.0
2005-03-10,50,45.0,,0.45,22.5
2005-03-11,63,45.0,,0.45,28.35
2005-03-12,0,45.0,,0.45,0.0
2005-03-13,33,45.0,,0.45,14.85
2005-03-14,98,45.0,,0.45,44.1
2005-03-15,59,45.0,,0.45,26.55
2005-03-16,39,45.0,,0.45,17.55
2005-03-17,30,45.0,,0.45,13.5
2005-03-18,66,45.0,,0.45,29.7
2005-03-19,66,45.0,,0.45,29.7
2005-03-20,34,45.0,,0.45,15.3
2005-03-21,0,45.0,,0.45,0.0
2005-03-22,39,45.0,,0.45,17.55
2005-03-23,39,45.0,,0.45,17.55
2005-03-24,32,45.0,,0.45,14.4
2005-03-25,49,45.0,,0.45,22.05
2005-03-26,35,45.0,,0.45,15.75
2005-03-27,57,45.0,,0.45,25.650000000000002
2005-03-28,42,45.0,,0.45,18.900000000000002
