date,THE DEPRESSION_unscaled,THE DEPRESSION_monthly,isPartial,scale,THE DEPRESSION
2005-01-01,19,71.0,False,0.71,13.489999999999998
2005-01-02,33,71.0,,0.71,23.43
2005-01-03,53,71.0,,0.71,37.629999999999995
2005-01-04,60,71.0,,0.71,42.599999999999994
2005-01-05,25,71.0,,0.71,17.75
2005-01-06,58,71.0,,0.71,41.18
2005-01-07,33,71.0,,0.71,23.43
2005-01-08,10,71.0,,0.71,7.1
2005-01-09,46,71.0,,0.71,32.66
2005-01-10,37,71.0,,0.71,26.27
2005-01-11,57,71.0,,0.71,40.47
2005-01-12,61,71.0,,0.71,43.309999999999995
2005-01-13,52,71.0,,0.71,36.92
2005-01-14,26,71.0,,0.71,18.46
2005-01-15,10,71.0,,0.71,7.1
2005-01-16,21,71.0,,0.71,14.91
2005-01-17,21,71.0,,0.71,14.91
2005-01-18,100,71.0,,0.71,71.0
2005-01-19,46,71.0,,0.71,32.66
2005-01-20,47,71.0,,0.71,33.37
2005-01-21,55,71.0,,0.71,39.05
2005-01-22,10,71.0,,0.71,7.1
2005-01-23,24,71.0,,0.71,17.04
2005-01-24,45,71.0,,0.71,31.95
2005-01-25,35,71.0,,0.71,24.849999999999998
2005-01-26,64,71.0,,0.71,45.44
2005-01-27,67,71.0,,0.71,47.57
2005-01-28,47,71.0,,0.71,33.37
2005-01-29,44,71.0,,0.71,31.24
2005-01-30,38,71.0,,0.71,26.979999999999997
2005-01-31,50,71.0,,0.71,35.5
2005-02-01,79,94.0,False,0.94,74.25999999999999
2005-02-02,81,94.0,,0.94,76.14
2005-02-03,55,94.0,,0.94,51.699999999999996
2005-02-04,76,94.0,,0.94,71.44
2005-02-05,22,94.0,,0.94,20.68
2005-02-06,49,94.0,,0.94,46.059999999999995
2005-02-07,43,94.0,,0.94,40.419999999999995
2005-02-08,62,94.0,,0.94,58.279999999999994
2005-02-09,64,94.0,,0.94,60.16
2005-02-10,55,94.0,,0.94,51.699999999999996
2005-02-11,57,94.0,,0.94,53.58
2005-02-12,53,94.0,,0.94,49.82
2005-02-13,52,94.0,,0.94,48.879999999999995
2005-02-14,70,94.0,,0.94,65.8
2005-02-15,77,94.0,,0.94,72.38
2005-02-16,99,94.0,,0.94,93.05999999999999
2005-02-17,77,94.0,,0.94,72.38
2005-02-18,58,94.0,,0.94,54.519999999999996
2005-02-19,27,94.0,,0.94,25.38
2005-02-20,27,94.0,,0.94,25.38
2005-02-21,53,94.0,,0.94,49.82
2005-02-22,66,94.0,,0.94,62.04
2005-02-23,77,94.0,,0.94,72.38
2005-02-24,67,94.0,,0.94,62.98
2005-02-25,70,94.0,,0.94,65.8
2005-02-26,28,94.0,,0.94,26.32
2005-02-27,92,94.0,,0.94,86.47999999999999
2005-02-28,100,94.0,,0.94,94.0
2005-03-01,89,94.0,False,0.94,83.66
2005-03-02,67,94.0,,0.94,62.98
2005-03-03,58,94.0,,0.94,54.519999999999996
2005-03-04,92,94.0,,0.94,86.47999999999999
2005-03-05,41,94.0,,0.94,38.54
2005-03-06,31,94.0,,0.94,29.139999999999997
2005-03-07,67,94.0,,0.94,62.98
2005-03-08,59,94.0,,0.94,55.459999999999994
2005-03-09,37,94.0,,0.94,34.78
2005-03-10,80,94.0,,0.94,75.19999999999999
2005-03-11,64,94.0,,0.94,60.16
2005-03-12,20,94.0,,0.94,18.799999999999997
2005-03-13,70,94.0,,0.94,65.8
2005-03-14,66,94.0,,0.94,62.04
2005-03-15,95,94.0,,0.94,89.3
2005-03-16,61,94.0,,0.94,57.339999999999996
2005-03-17,81,94.0,,0.94,76.14
2005-03-18,53,94.0,,0.94,49.82
2005-03-19,10,94.0,,0.94,9.399999999999999
2005-03-20,52,94.0,,0.94,48.879999999999995
2005-03-21,80,94.0,,0.94,75.19999999999999
2005-03-22,48,94.0,,0.94,45.12
2005-03-23,90,94.0,,0.94,84.6
2005-03-24,52,94.0,,0.94,48.879999999999995
2005-03-25,22,94.0,,0.94,20.68
2005-03-26,32,94.0,,0.94,30.08
2005-03-27,35,94.0,,0.94,32.9
2005-03-28,87,94.0,,0.94,81.78
2005-03-29,62,94.0,,0.94,58.279999999999994
2005-03-30,100,94.0,,0.94,94.0
2005-03-31,76,94.0,,0.94,71.44
2005-04-01,49,100.0,False,1.0,49.0
2005-04-02,24,100.0,,1.0,24.0
2005-04-03,24,100.0,,1.0,24.0
2005-04-04,62,100.0,,1.0,62.0
2005-04-05,0,100.0,,1.0,0.0
2005-04-06,100,100.0,,1.0,100.0
2005-04-07,60,100.0,,1.0,60.0
2005-04-08,82,100.0,,1.0,82.0
2005-04-09,27,100.0,,1.0,27.0
2005-04-10,44,100.0,,1.0,44.0
2005-04-11,54,100.0,,1.0,54.0
2005-04-12,60,100.0,,1.0,60.0
2005-04-13,62,100.0,,1.0,62.0
2005-04-14,66,100.0,,1.0,66.0
2005-04-15,48,100.0,,1.0,48.0
2005-04-16,26,100.0,,1.0,26.0
2005-04-17,18,100.0,,1.0,18.0
2005-04-18,94,100.0,,1.0,94.0
2005-04-19,58,100.0,,1.0,58.0
2005-04-20,82,100.0,,1.0,82.0
2005-04-21,82,100.0,,1.0,82.0
2005-04-22,63,100.0,,1.0,63.0
2005-04-23,49,100.0,,1.0,49.0
2005-04-24,40,100.0,,1.0,40.0
2005-04-25,38,100.0,,1.0,38.0
2005-04-26,61,100.0,,1.0,61.0
2005-04-27,61,100.0,,1.0,61.0
2005-04-28,80,100.0,,1.0,80.0
2005-04-29,35,100.0,,1.0,35.0
2005-04-30,24,100.0,,1.0,24.0
2005-05-01,59,82.0,False,0.82,48.379999999999995
2005-05-02,93,82.0,,0.82,76.25999999999999
2005-05-03,77,82.0,,0.82,63.13999999999999
2005-05-04,100,82.0,,0.82,82.0
2005-05-05,78,82.0,,0.82,63.959999999999994
2005-05-06,73,82.0,,0.82,59.86
2005-05-07,52,82.0,,0.82,42.64
2005-05-08,39,82.0,,0.82,31.979999999999997
2005-05-09,66,82.0,,0.82,54.12
2005-05-10,75,82.0,,0.82,61.49999999999999
2005-05-11,91,82.0,,0.82,74.61999999999999
2005-05-12,78,82.0,,0.82,63.959999999999994
2005-05-13,73,82.0,,0.82,59.86
2005-05-14,25,82.0,,0.82,20.5
2005-05-15,24,82.0,,0.82,19.68
2005-05-16,46,82.0,,0.82,37.72
2005-05-17,63,82.0,,0.82,51.66
2005-05-18,63,82.0,,0.82,51.66
2005-05-19,80,82.0,,0.82,65.6
2005-05-20,39,82.0,,0.82,31.979999999999997
2005-05-21,19,82.0,,0.82,15.579999999999998
2005-05-22,62,82.0,,0.82,50.839999999999996
2005-05-23,67,82.0,,0.82,54.94
2005-05-24,49,82.0,,0.82,40.18
2005-05-25,75,82.0,,0.82,61.49999999999999
2005-05-26,66,82.0,,0.82,54.12
2005-05-27,49,82.0,,0.82,40.18
2005-05-28,14,82.0,,0.82,11.479999999999999
2005-05-29,21,82.0,,0.82,17.22
2005-05-30,18,82.0,,0.82,14.76
2005-05-31,54,82.0,,0.82,44.279999999999994
2005-06-01,56,32.0,False,0.32,17.92
2005-06-02,86,32.0,,0.32,27.52
2005-06-03,55,32.0,,0.32,17.6
2005-06-04,49,32.0,,0.32,15.68
2005-06-05,100,32.0,,0.32,32.0
2005-06-06,86,32.0,,0.32,27.52
2005-06-07,74,32.0,,0.32,23.68
2005-06-08,68,32.0,,0.32,21.76
2005-06-09,48,32.0,,0.32,15.36
2005-06-10,25,32.0,,0.32,8.0
2005-06-11,30,32.0,,0.32,9.6
2005-06-12,81,32.0,,0.32,25.92
2005-06-13,58,32.0,,0.32,18.56
2005-06-14,52,32.0,,0.32,16.64
2005-06-15,18,32.0,,0.32,5.76
2005-06-16,18,32.0,,0.32,5.76
2005-06-17,13,32.0,,0.32,4.16
2005-06-18,42,32.0,,0.32,13.44
2005-06-19,43,32.0,,0.32,13.76
2005-06-20,47,32.0,,0.32,15.040000000000001
2005-06-21,46,32.0,,0.32,14.72
2005-06-22,24,32.0,,0.32,7.68
2005-06-23,24,32.0,,0.32,7.68
2005-06-24,26,32.0,,0.32,8.32
2005-06-25,21,32.0,,0.32,6.72
2005-06-26,42,32.0,,0.32,13.44
2005-06-27,23,32.0,,0.32,7.36
2005-06-28,57,32.0,,0.32,18.240000000000002
2005-06-29,41,32.0,,0.32,13.120000000000001
2005-06-30,18,32.0,,0.32,5.76
2005-07-01,44,20.0,False,0.2,8.8
2005-07-02,0,20.0,,0.2,0.0
2005-07-03,73,20.0,,0.2,14.600000000000001
2005-07-04,65,20.0,,0.2,13.0
2005-07-05,60,20.0,,0.2,12.0
2005-07-06,100,20.0,,0.2,20.0
2005-07-07,46,20.0,,0.2,9.200000000000001
2005-07-08,29,20.0,,0.2,5.800000000000001
2005-07-09,30,20.0,,0.2,6.0
2005-07-10,47,20.0,,0.2,9.4
2005-07-11,37,20.0,,0.2,7.4
2005-07-12,36,20.0,,0.2,7.2
2005-07-13,36,20.0,,0.2,7.2
2005-07-14,84,20.0,,0.2,16.8
2005-07-15,39,20.0,,0.2,7.800000000000001
2005-07-16,46,20.0,,0.2,9.200000000000001
2005-07-17,94,20.0,,0.2,18.8
2005-07-18,73,20.0,,0.2,14.600000000000001
2005-07-19,26,20.0,,0.2,5.2
2005-07-20,54,20.0,,0.2,10.8
2005-07-21,56,20.0,,0.2,11.200000000000001
2005-07-22,60,20.0,,0.2,12.0
2005-07-23,62,20.0,,0.2,12.4
2005-07-24,63,20.0,,0.2,12.600000000000001
2005-07-25,45,20.0,,0.2,9.0
2005-07-26,53,20.0,,0.2,10.600000000000001
2005-07-27,73,20.0,,0.2,14.600000000000001
