date,UNEMPLOYMENT_unscaled,UNEMPLOYMENT_monthly,isPartial,scale,UNEMPLOYMENT
2005-01-01,14,23.0,False,0.23,3.22
2005-01-02,52,23.0,,0.23,11.96
2005-01-03,100,23.0,,0.23,23.0
2005-01-04,99,23.0,,0.23,22.77
2005-01-05,70,23.0,,0.23,16.1
2005-01-06,65,23.0,,0.23,14.950000000000001
2005-01-07,82,23.0,,0.23,18.86
2005-01-08,42,23.0,,0.23,9.66
2005-01-09,57,23.0,,0.23,13.110000000000001
2005-01-10,95,23.0,,0.23,21.85
2005-01-11,64,23.0,,0.23,14.72
2005-01-12,61,23.0,,0.23,14.030000000000001
2005-01-13,68,23.0,,0.23,15.64
2005-01-14,76,23.0,,0.23,17.48
2005-01-15,38,23.0,,0.23,8.74
2005-01-16,69,23.0,,0.23,15.870000000000001
2005-01-17,59,23.0,,0.23,13.57
2005-01-18,53,23.0,,0.23,12.190000000000001
2005-01-19,61,23.0,,0.23,14.030000000000001
2005-01-20,66,23.0,,0.23,15.180000000000001
2005-01-21,52,23.0,,0.23,11.96
2005-01-22,32,23.0,,0.23,7.36
2005-01-23,34,23.0,,0.23,7.82
2005-01-24,73,23.0,,0.23,16.79
2005-01-25,93,23.0,,0.23,21.39
2005-01-26,64,23.0,,0.23,14.72
2005-01-27,60,23.0,,0.23,13.8
2005-01-28,63,23.0,,0.23,14.49
2005-01-29,43,23.0,,0.23,9.89
2005-01-30,71,23.0,,0.23,16.330000000000002
2005-01-31,92,23.0,,0.23,21.16
2005-02-01,75,21.0,False,0.21,15.75
2005-02-02,77,21.0,,0.21,16.169999999999998
2005-02-03,84,21.0,,0.21,17.64
2005-02-04,84,21.0,,0.21,17.64
2005-02-05,28,21.0,,0.21,5.88
2005-02-06,42,21.0,,0.21,8.82
2005-02-07,100,21.0,,0.21,21.0
2005-02-08,78,21.0,,0.21,16.38
2005-02-09,74,21.0,,0.21,15.54
2005-02-10,79,21.0,,0.21,16.59
2005-02-11,37,21.0,,0.21,7.77
2005-02-12,41,21.0,,0.21,8.61
2005-02-13,61,21.0,,0.21,12.809999999999999
2005-02-14,78,21.0,,0.21,16.38
2005-02-15,49,21.0,,0.21,10.29
2005-02-16,64,21.0,,0.21,13.44
2005-02-17,66,21.0,,0.21,13.86
2005-02-18,66,21.0,,0.21,13.86
2005-02-19,28,21.0,,0.21,5.88
2005-02-20,94,21.0,,0.21,19.74
