date,an intervention_unscaled,an intervention_monthly,isPartial,scale,an intervention
2005-01-01,0,13.0,False,0.13,0.0
2005-01-02,0,13.0,,0.13,0.0
2005-01-03,0,13.0,,0.13,0.0
2005-01-04,0,13.0,,0.13,0.0
2005-01-05,0,13.0,,0.13,0.0
2005-01-06,0,13.0,,0.13,0.0
2005-01-07,0,13.0,,0.13,0.0
2005-01-08,0,13.0,,0.13,0.0
2005-01-09,0,13.0,,0.13,0.0
2005-01-10,0,13.0,,0.13,0.0
2005-01-11,0,13.0,,0.13,0.0
2005-01-12,0,13.0,,0.13,0.0
2005-01-13,0,13.0,,0.13,0.0
2005-01-14,0,13.0,,0.13,0.0
2005-01-15,0,13.0,,0.13,0.0
2005-01-16,0,13.0,,0.13,0.0
2005-01-17,0,13.0,,0.13,0.0
2005-01-18,0,13.0,,0.13,0.0
2005-01-19,100,13.0,,0.13,13.0
2005-01-20,0,13.0,,0.13,0.0
2005-01-21,0,13.0,,0.13,0.0
2005-01-22,0,13.0,,0.13,0.0
2005-01-23,0,13.0,,0.13,0.0
2005-01-24,0,13.0,,0.13,0.0
2005-01-25,0,13.0,,0.13,0.0
2005-01-26,0,13.0,,0.13,0.0
2005-01-27,0,13.0,,0.13,0.0
2005-01-28,0,13.0,,0.13,0.0
2005-01-29,0,13.0,,0.13,0.0
2005-01-30,0,13.0,,0.13,0.0
2005-01-31,0,13.0,,0.13,0.0
2005-02-01,0,27.0,False,0.27,0.0
2005-02-02,0,27.0,,0.27,0.0
2005-02-03,0,27.0,,0.27,0.0
2005-02-04,0,27.0,,0.27,0.0
2005-02-05,0,27.0,,0.27,0.0
2005-02-06,0,27.0,,0.27,0.0
2005-02-07,0,27.0,,0.27,0.0
2005-02-08,0,27.0,,0.27,0.0
2005-02-09,0,27.0,,0.27,0.0
2005-02-10,0,27.0,,0.27,0.0
2005-02-11,0,27.0,,0.27,0.0
2005-02-12,0,27.0,,0.27,0.0
2005-02-13,0,27.0,,0.27,0.0
2005-02-14,0,27.0,,0.27,0.0
2005-02-15,0,27.0,,0.27,0.0
2005-02-16,0,27.0,,0.27,0.0
2005-02-17,42,27.0,,0.27,11.34
2005-02-18,0,27.0,,0.27,0.0
2005-02-19,0,27.0,,0.27,0.0
2005-02-20,0,27.0,,0.27,0.0
2005-02-21,0,27.0,,0.27,0.0
2005-02-22,0,27.0,,0.27,0.0
2005-02-23,0,27.0,,0.27,0.0
2005-02-24,0,27.0,,0.27,0.0
2005-02-25,0,27.0,,0.27,0.0
2005-02-26,0,27.0,,0.27,0.0
2005-02-27,100,27.0,,0.27,27.0
2005-02-28,0,27.0,,0.27,0.0
2005-03-01,0,15.0,False,0.15,0.0
2005-03-02,0,15.0,,0.15,0.0
2005-03-03,0,15.0,,0.15,0.0
2005-03-04,0,15.0,,0.15,0.0
2005-03-05,0,15.0,,0.15,0.0
2005-03-06,0,15.0,,0.15,0.0
2005-03-07,0,15.0,,0.15,0.0
2005-03-08,48,15.0,,0.15,7.199999999999999
2005-03-09,100,15.0,,0.15,15.0
2005-03-10,0,15.0,,0.15,0.0
2005-03-11,0,15.0,,0.15,0.0
2005-03-12,0,15.0,,0.15,0.0
2005-03-13,0,15.0,,0.15,0.0
2005-03-14,0,15.0,,0.15,0.0
2005-03-15,0,15.0,,0.15,0.0
2005-03-16,0,15.0,,0.15,0.0
2005-03-17,51,15.0,,0.15,7.6499999999999995
2005-03-18,54,15.0,,0.15,8.1
2005-03-19,0,15.0,,0.15,0.0
2005-03-20,0,15.0,,0.15,0.0
2005-03-21,0,15.0,,0.15,0.0
2005-03-22,50,15.0,,0.15,7.5
2005-03-23,0,15.0,,0.15,0.0
2005-03-24,0,15.0,,0.15,0.0
2005-03-25,0,15.0,,0.15,0.0
2005-03-26,0,15.0,,0.15,0.0
2005-03-27,58,15.0,,0.15,8.7
2005-03-28,0,15.0,,0.15,0.0
2005-03-29,50,15.0,,0.15,7.5
2005-03-30,0,15.0,,0.15,0.0
2005-03-31,0,15.0,,0.15,0.0
2005-04-01,0,22.0,False,0.22,0.0
2005-04-02,0,22.0,,0.22,0.0
2005-04-03,0,22.0,,0.22,0.0
2005-04-04,0,22.0,,0.22,0.0
2005-04-05,0,22.0,,0.22,0.0
2005-04-06,0,22.0,,0.22,0.0
2005-04-07,0,22.0,,0.22,0.0
2005-04-08,54,22.0,,0.22,11.88
2005-04-09,0,22.0,,0.22,0.0
2005-04-10,0,22.0,,0.22,0.0
2005-04-11,47,22.0,,0.22,10.34
2005-04-12,0,22.0,,0.22,0.0
2005-04-13,0,22.0,,0.22,0.0
2005-04-14,0,22.0,,0.22,0.0
2005-04-15,51,22.0,,0.22,11.22
2005-04-16,0,22.0,,0.22,0.0
2005-04-17,0,22.0,,0.22,0.0
2005-04-18,0,22.0,,0.22,0.0
2005-04-19,0,22.0,,0.22,0.0
2005-04-20,0,22.0,,0.22,0.0
2005-04-21,100,22.0,,0.22,22.0
2005-04-22,0,22.0,,0.22,0.0
2005-04-23,0,22.0,,0.22,0.0
