date,auction_unscaled,auction_monthly,isPartial,scale,auction
2005-01-01,67,67,False,0.67,44.89
2005-01-02,84,84,False,0.84,70.56
2005-01-03,78,78,False,0.78,60.84
2005-01-04,70,70,False,0.7,49.0
2005-01-05,68,68,False,0.68,46.24
2005-01-06,63,63,False,0.63,39.69
2005-01-07,65,65,False,0.65,42.25
2005-01-08,63,63,False,0.63,39.69
2005-01-09,54,54,False,0.54,29.160000000000004
2005-01-10,60,60,False,0.6,36.0
2005-01-11,51,51,False,0.51,26.01
2005-01-12,67,67,False,0.67,44.89
2005-01-13,66,66,False,0.66,43.56
2005-01-14,51,51,False,0.51,26.01
2005-01-15,90,90,False,0.9,81.0
2005-01-16,77,77,False,0.77,59.29
2005-01-17,72,72,False,0.72,51.839999999999996
2005-01-18,69,69,False,0.69,47.61
2005-01-19,68,68,False,0.68,46.24
2005-01-20,69,69,False,0.69,47.61
2005-01-21,60,60,False,0.6,36.0
2005-01-22,73,73,False,0.73,53.29
2005-01-23,65,65,False,0.65,42.25
2005-01-24,50,50,False,0.5,25.0
2005-01-25,64,64,False,0.64,40.96
2005-01-26,79,79,False,0.79,62.410000000000004
2005-01-27,67,67,False,0.67,44.89
2005-01-28,82,82,False,0.82,67.24
2005-01-29,100,100,False,1.0,100.0
2005-01-30,96,96,False,0.96,92.16
2005-01-31,94,94,False,0.94,88.36
2005-02-01,79,79,False,0.79,62.410000000000004
2005-02-02,77,77,False,0.77,59.29
2005-02-03,72,72,False,0.72,51.839999999999996
2005-02-04,56,56,False,0.56,31.360000000000003
2005-02-05,100,100,False,1.0,100.0
2005-02-06,79,79,False,0.79,62.410000000000004
2005-02-07,66,66,False,0.66,43.56
2005-02-08,75,75,False,0.75,56.25
2005-02-09,88,88,False,0.88,77.44
2005-02-10,89,89,False,0.89,79.21000000000001
2005-02-11,80,80,False,0.8,64.0
2005-02-12,84,84,False,0.84,70.56
2005-02-13,57,57,False,0.57,32.489999999999995
2005-02-14,79,79,False,0.79,62.410000000000004
2005-02-15,68,68,False,0.68,46.24
2005-02-16,77,77,False,0.77,59.29
2005-02-17,69,69,False,0.69,47.61
2005-02-18,75,75,False,0.75,56.25
2005-02-19,90,90,False,0.9,81.0
2005-02-20,88,88,False,0.88,77.44
2005-02-21,88,88,False,0.88,77.44
2005-02-22,82,82,False,0.82,67.24
2005-02-23,78,78,False,0.78,60.84
2005-02-24,70,70,False,0.7,49.0
2005-02-25,61,61,False,0.61,37.21
2005-02-26,74,74,False,0.74,54.76
2005-02-27,90,90,False,0.9,81.0
2005-02-28,68,68,False,0.68,46.24
2005-03-01,70,70,False,0.7,49.0
2005-03-02,63,63,False,0.63,39.69
2005-03-03,65,65,False,0.65,42.25
2005-03-04,67,67,False,0.67,44.89
2005-03-05,100,100,False,1.0,100.0
2005-03-06,84,84,False,0.84,70.56
2005-03-07,64,64,False,0.64,40.96
2005-03-08,74,74,False,0.74,54.76
2005-03-09,66,66,False,0.66,43.56
2005-03-10,68,68,False,0.68,46.24
2005-03-11,66,66,False,0.66,43.56
2005-03-12,82,82,False,0.82,67.24
2005-03-13,89,89,False,0.89,79.21000000000001
2005-03-14,71,71,False,0.71,50.41
2005-03-15,58,58,False,0.58,33.64
2005-03-16,78,78,False,0.78,60.84
2005-03-17,75,75,False,0.75,56.25
2005-03-18,66,66,False,0.66,43.56
2005-03-19,72,72,False,0.72,51.839999999999996
2005-03-20,78,78,False,0.78,60.84
2005-03-21,65,65,False,0.65,42.25
2005-03-22,61,61,False,0.61,37.21
2005-03-23,61,61,False,0.61,37.21
2005-03-24,79,79,False,0.79,62.410000000000004
2005-03-25,62,62,False,0.62,38.44
2005-03-26,73,73,False,0.73,53.29
2005-03-27,71,71,False,0.71,50.41
2005-03-28,74,74,False,0.74,54.76
2005-03-29,87,87,False,0.87,75.69
2005-03-30,66,66,False,0.66,43.56
2005-03-31,63,63,False,0.63,39.69
2005-04-01,70,70,False,0.7,49.0
2005-04-02,65,65,False,0.65,42.25
2005-04-03,51,51,False,0.51,26.01
2005-04-04,64,64,False,0.64,40.96
2005-04-05,0,0,True,0.0,0.0
2005-04-06,63,63,False,0.63,39.69
2005-04-07,45,45,False,0.45,20.25
2005-04-08,60,60,False,0.6,36.0
2005-04-09,66,66,False,0.66,43.56
2005-04-10,78,78,False,0.78,60.84
2005-04-11,54,54,False,0.54,29.160000000000004
2005-04-12,66,66,False,0.66,43.56
2005-04-13,65,65,False,0.65,42.25
2005-04-14,60,60,False,0.6,36.0
2005-04-15,42,42,False,0.42,17.64
2005-04-16,83,83,False,0.83,68.89
2005-04-17,75,75,False,0.75,56.25
2005-04-18,50,50,False,0.5,25.0
2005-04-19,49,49,False,0.49,24.009999999999998
2005-04-20,55,55,False,0.55,30.250000000000004
2005-04-21,67,67,False,0.67,44.89
2005-04-22,74,74,False,0.74,54.76
2005-04-23,70,70,False,0.7,49.0
2005-04-24,68,68,False,0.68,46.24
2005-04-25,53,53,False,0.53,28.09
2005-04-26,61,61,False,0.61,37.21
2005-04-27,69,69,False,0.69,47.61
2005-04-28,55,55,False,0.55,30.250000000000004
2005-04-29,56,56,False,0.56,31.360000000000003
2005-04-30,100,100,False,1.0,100.0
2005-05-01,91,91,False,0.91,82.81
2005-05-02,64,64,False,0.64,40.96
2005-05-03,74,74,False,0.74,54.76
2005-05-04,62,62,False,0.62,38.44
2005-05-05,53,53,False,0.53,28.09
2005-05-06,83,83,False,0.83,68.89
2005-05-07,71,71,False,0.71,50.41
2005-05-08,60,60,False,0.6,36.0
2005-05-09,67,67,False,0.67,44.89
2005-05-10,69,69,False,0.69,47.61
2005-05-11,88,88,False,0.88,77.44
2005-05-12,71,71,False,0.71,50.41
2005-05-13,71,71,False,0.71,50.41
2005-05-14,97,97,False,0.97,94.09
2005-05-15,84,84,False,0.84,70.56
2005-05-16,79,79,False,0.79,62.410000000000004
2005-05-17,61,61,False,0.61,37.21
2005-05-18,71,71,False,0.71,50.41
2005-05-19,81,81,False,0.81,65.61
2005-05-20,100,100,False,1.0,100.0
2005-05-21,85,85,False,0.85,72.25
2005-05-22,77,77,False,0.77,59.29
2005-05-23,63,63,False,0.63,39.69
2005-05-24,65,65,False,0.65,42.25
2005-05-25,77,77,False,0.77,59.29
2005-05-26,86,86,False,0.86,73.96
2005-05-27,77,77,False,0.77,59.29
2005-05-28,83,83,False,0.83,68.89
2005-05-29,66,66,False,0.66,43.56
2005-05-30,80,80,False,0.8,64.0
2005-05-31,64,64,False,0.64,40.96
2005-06-01,64,64,False,0.64,40.96
2005-06-02,50,50,False,0.5,25.0
2005-06-03,56,56,False,0.56,31.360000000000003
2005-06-04,71,71,False,0.71,50.41
2005-06-05,71,71,False,0.71,50.41
2005-06-06,52,52,False,0.52,27.04
2005-06-07,58,58,False,0.58,33.64
2005-06-08,51,51,False,0.51,26.01
2005-06-09,56,56,False,0.56,31.360000000000003
2005-06-10,58,58,False,0.58,33.64
2005-06-11,100,100,False,1.0,100.0
2005-06-12,70,70,False,0.7,49.0
2005-06-13,59,59,False,0.59,34.809999999999995
2005-06-14,59,59,False,0.59,34.809999999999995
2005-06-15,50,50,False,0.5,25.0
2005-06-16,64,64,False,0.64,40.96
2005-06-17,71,71,False,0.71,50.41
2005-06-18,68,68,False,0.68,46.24
2005-06-19,74,74,False,0.74,54.76
2005-06-20,52,52,False,0.52,27.04
2005-06-21,66,66,False,0.66,43.56
2005-06-22,54,54,False,0.54,29.160000000000004
2005-06-23,70,70,False,0.7,49.0
2005-06-24,60,60,False,0.6,36.0
2005-06-25,83,83,False,0.83,68.89
2005-06-26,74,74,False,0.74,54.76
2005-06-27,62,62,False,0.62,38.44
2005-06-28,57,57,False,0.57,32.489999999999995
2005-06-29,54,54,False,0.54,29.160000000000004
2005-06-30,80,80,False,0.8,64.0
2005-07-01,56,56,False,0.56,31.360000000000003
2005-07-02,66,66,False,0.66,43.56
2005-07-03,100,100,False,1.0,100.0
2005-07-04,82,82,False,0.82,67.24
2005-07-05,64,64,False,0.64,40.96
2005-07-06,69,69,False,0.69,47.61
2005-07-07,62,62,False,0.62,38.44
2005-07-08,57,57,False,0.57,32.489999999999995
2005-07-09,72,72,False,0.72,51.839999999999996
2005-07-10,71,71,False,0.71,50.41
2005-07-11,62,62,False,0.62,38.44
2005-07-12,56,56,False,0.56,31.360000000000003
2005-07-13,60,60,False,0.6,36.0
2005-07-14,54,54,False,0.54,29.160000000000004
2005-07-15,78,78,False,0.78,60.84
2005-07-16,71,71,False,0.71,50.41
2005-07-17,80,80,False,0.8,64.0
2005-07-18,75,75,False,0.75,56.25
2005-07-19,65,65,False,0.65,42.25
2005-07-20,67,67,False,0.67,44.89
2005-07-21,77,77,False,0.77,59.29
2005-07-22,69,69,False,0.69,47.61
2005-07-23,66,66,False,0.66,43.56
2005-07-24,54,54,False,0.54,29.160000000000004
2005-07-25,76,76,False,0.76,57.76
2005-07-26,51,51,False,0.51,26.01
2005-07-27,59,59,False,0.59,34.809999999999995
2005-07-28,73,73,False,0.73,53.29
2005-07-29,76,76,False,0.76,57.76
2005-07-30,84,84,False,0.84,70.56
2005-07-31,77,77,False,0.77,59.29
2005-08-01,69,69,False,0.69,47.61
2005-08-02,61,61,False,0.61,37.21
2005-08-03,52,52,False,0.52,27.04
2005-08-04,74,74,False,0.74,54.76
2005-08-05,72,72,False,0.72,51.839999999999996
2005-08-06,100,100,False,1.0,100.0
2005-08-07,82,82,False,0.82,67.24
2005-08-08,57,57,False,0.57,32.489999999999995
2005-08-09,67,67,False,0.67,44.89
2005-08-10,63,63,False,0.63,39.69
2005-08-11,72,72,False,0.72,51.839999999999996
2005-08-12,51,51,False,0.51,26.01
2005-08-13,91,91,False,0.91,82.81
2005-08-14,74,74,False,0.74,54.76
2005-08-15,68,68,False,0.68,46.24
2005-08-16,73,73,False,0.73,53.29
2005-08-17,66,66,False,0.66,43.56
2005-08-18,67,67,False,0.67,44.89
2005-08-19,74,74,False,0.74,54.76
2005-08-20,89,89,False,0.89,79.21000000000001
2005-08-21,72,72,False,0.72,51.839999999999996
2005-08-22,72,72,False,0.72,51.839999999999996
2005-08-23,67,67,False,0.67,44.89
2005-08-24,56,56,False,0.56,31.360000000000003
2005-08-25,63,63,False,0.63,39.69
2005-08-26,78,78,False,0.78,60.84
2005-08-27,78,78,False,0.78,60.84
2005-08-28,76,76,False,0.76,57.76
2005-08-29,66,66,False,0.66,43.56
2005-08-30,55,55,False,0.55,30.250000000000004
2005-08-31,73,73,False,0.73,53.29
2005-09-01,70,70,False,0.7,49.0
2005-09-02,83,83,False,0.83,68.89
2005-09-03,76,76,False,0.76,57.76
2005-09-04,97,97,False,0.97,94.09
2005-09-05,86,86,False,0.86,73.96
2005-09-06,81,81,False,0.81,65.61
2005-09-07,71,71,False,0.71,50.41
