date,bankruptcy court_unscaled,bankruptcy court_monthly,isPartial,scale,bankruptcy court
2005-01-01,0,0,False,0.0,0.0
2005-01-02,0,0,False,0.0,0.0
2005-01-03,27,27,False,0.27,7.290000000000001
2005-01-04,100,100,False,1.0,100.0
2005-01-05,63,63,False,0.63,39.69
2005-01-06,38,38,False,0.38,14.44
2005-01-07,40,40,False,0.4,16.0
2005-01-08,0,0,False,0.0,0.0
2005-01-09,0,0,False,0.0,0.0
2005-01-10,12,12,False,0.12,1.44
2005-01-11,24,24,False,0.24,5.76
2005-01-12,60,60,False,0.6,36.0
2005-01-13,37,37,False,0.37,13.69
2005-01-14,78,78,False,0.78,60.84
2005-01-15,21,21,False,0.21,4.41
2005-01-16,21,21,False,0.21,4.41
2005-01-17,56,56,False,0.56,31.360000000000003
2005-01-18,60,60,False,0.6,36.0
2005-01-19,37,37,False,0.37,13.69
2005-01-20,25,25,False,0.25,6.25
2005-01-21,63,63,False,0.63,39.69
2005-01-22,20,20,False,0.2,4.0
2005-01-23,56,56,False,0.56,31.360000000000003
2005-01-24,24,24,False,0.24,5.76
2005-01-25,82,82,False,0.82,67.24
2005-01-26,12,12,False,0.12,1.44
2005-01-27,48,48,False,0.48,23.04
2005-01-28,50,50,False,0.5,25.0
2005-01-29,58,58,False,0.58,33.64
2005-01-30,19,19,False,0.19,3.61
2005-01-31,24,24,False,0.24,5.76
2005-02-01,57,57,False,0.57,32.489999999999995
2005-02-02,35,35,False,0.35,12.25
2005-02-03,58,58,False,0.58,33.64
2005-02-04,50,50,False,0.5,25.0
2005-02-05,79,79,False,0.79,62.410000000000004
2005-02-06,0,0,False,0.0,0.0
2005-02-07,36,36,False,0.36,12.959999999999999
2005-02-08,56,56,False,0.56,31.360000000000003
2005-02-09,23,23,False,0.23,5.29
2005-02-10,34,34,False,0.34,11.56
2005-02-11,60,60,False,0.6,36.0
2005-02-12,19,19,False,0.19,3.61
2005-02-13,19,19,False,0.19,3.61
2005-02-14,69,69,False,0.69,47.61
2005-02-15,34,34,False,0.34,11.56
2005-02-16,11,11,False,0.11,1.21
2005-02-17,70,70,False,0.7,49.0
2005-02-18,36,36,False,0.36,12.959999999999999
2005-02-19,0,0,False,0.0,0.0
2005-02-20,19,19,False,0.19,3.61
2005-02-21,51,51,False,0.51,26.01
2005-02-22,67,67,False,0.67,44.89
2005-02-23,100,100,False,1.0,100.0
2005-02-24,79,79,False,0.79,62.410000000000004
2005-02-25,35,35,False,0.35,12.25
2005-02-26,0,0,False,0.0,0.0
2005-02-27,0,0,False,0.0,0.0
2005-02-28,45,45,False,0.45,20.25
2005-03-01,22,22,False,0.22,4.84
2005-03-02,57,57,False,0.57,32.489999999999995
2005-03-03,36,36,False,0.36,12.959999999999999
2005-03-04,24,24,False,0.24,5.76
2005-03-05,0,0,False,0.0,0.0
2005-03-06,38,38,False,0.38,14.44
2005-03-07,45,45,False,0.45,20.25
2005-03-08,32,32,False,0.32,10.24
2005-03-09,45,45,False,0.45,20.25
2005-03-10,69,69,False,0.69,47.61
2005-03-11,71,71,False,0.71,50.41
2005-03-12,0,0,False,0.0,0.0
2005-03-13,19,19,False,0.19,3.61
2005-03-14,79,79,False,0.79,62.410000000000004
2005-03-15,33,33,False,0.33,10.89
2005-03-16,77,77,False,0.77,59.29
2005-03-17,46,46,False,0.46,21.16
2005-03-18,12,12,False,0.12,1.44
2005-03-19,38,38,False,0.38,14.44
2005-03-20,19,19,False,0.19,3.61
2005-03-21,34,34,False,0.34,11.56
2005-03-22,45,45,False,0.45,20.25
2005-03-23,100,100,False,1.0,100.0
2005-03-24,35,35,False,0.35,12.25
2005-03-25,28,28,False,0.28,7.840000000000001
2005-03-26,39,39,False,0.39,15.21
