date,bum bum bole_unscaled,bum bum bole_monthly,isPartial,scale,bum bum bole
2008-01-01,0,30.0,False,0.3,0.0
2008-01-02,0,30.0,,0.3,0.0
2008-01-03,0,30.0,,0.3,0.0
2008-01-04,0,30.0,,0.3,0.0
2008-01-05,97,30.0,,0.3,29.099999999999998
2008-01-06,100,30.0,,0.3,30.0
2008-01-07,0,30.0,,0.3,0.0
2008-01-08,0,30.0,,0.3,0.0
2008-01-09,0,30.0,,0.3,0.0
2008-01-10,0,30.0,,0.3,0.0
2008-01-11,0,30.0,,0.3,0.0
2008-01-12,0,30.0,,0.3,0.0
2008-01-13,0,30.0,,0.3,0.0
2008-01-14,0,30.0,,0.3,0.0
2008-01-15,0,30.0,,0.3,0.0
2008-01-16,0,30.0,,0.3,0.0
2008-01-17,0,30.0,,0.3,0.0
2008-01-18,0,30.0,,0.3,0.0
2008-01-19,0,30.0,,0.3,0.0
2008-01-20,0,30.0,,0.3,0.0
2008-01-21,0,30.0,,0.3,0.0
2008-01-22,0,30.0,,0.3,0.0
2008-01-23,0,30.0,,0.3,0.0
2008-01-24,0,30.0,,0.3,0.0
2008-01-25,0,30.0,,0.3,0.0
2008-01-26,0,30.0,,0.3,0.0
2008-01-27,0,30.0,,0.3,0.0
2008-01-28,0,30.0,,0.3,0.0
2008-01-29,0,30.0,,0.3,0.0
2008-01-30,0,30.0,,0.3,0.0
2008-01-31,0,30.0,,0.3,0.0
2008-02-01,0,47.0,False,0.47,0.0
2008-02-02,0,47.0,,0.47,0.0
2008-02-03,0,47.0,,0.47,0.0
2008-02-04,0,47.0,,0.47,0.0
2008-02-05,0,47.0,,0.47,0.0
2008-02-06,0,47.0,,0.47,0.0
2008-02-07,0,47.0,,0.47,0.0
2008-02-08,0,47.0,,0.47,0.0
2008-02-09,0,47.0,,0.47,0.0
2008-02-10,0,47.0,,0.47,0.0
2008-02-11,65,47.0,,0.47,30.549999999999997
2008-02-12,0,47.0,,0.47,0.0
2008-02-13,0,47.0,,0.47,0.0
2008-02-14,0,47.0,,0.47,0.0
2008-02-15,0,47.0,,0.47,0.0
2008-02-16,0,47.0,,0.47,0.0
2008-02-17,100,47.0,,0.47,47.0
2008-02-18,0,47.0,,0.47,0.0
2008-02-19,0,47.0,,0.47,0.0
2008-02-20,0,47.0,,0.47,0.0
2008-02-21,0,47.0,,0.47,0.0
2008-02-22,0,47.0,,0.47,0.0
2008-02-23,0,47.0,,0.47,0.0
2008-02-24,0,47.0,,0.47,0.0
2008-02-25,0,47.0,,0.47,0.0
2008-02-26,0,47.0,,0.47,0.0
2008-02-27,0,47.0,,0.47,0.0
2008-02-28,0,47.0,,0.47,0.0
2008-02-29,0,47.0,,0.47,0.0
2008-03-01,0,45.0,False,0.45,0.0
2008-03-02,0,45.0,,0.45,0.0
2008-03-03,0,45.0,,0.45,0.0
2008-03-04,93,45.0,,0.45,41.85
2008-03-05,0,45.0,,0.45,0.0
2008-03-06,0,45.0,,0.45,0.0
2008-03-07,100,45.0,,0.45,45.0
2008-03-08,0,45.0,,0.45,0.0
2008-03-09,0,45.0,,0.45,0.0
2008-03-10,0,45.0,,0.45,0.0
2008-03-11,0,45.0,,0.45,0.0
2008-03-12,0,45.0,,0.45,0.0
2008-03-13,0,45.0,,0.45,0.0
2008-03-14,0,45.0,,0.45,0.0
2008-03-15,0,45.0,,0.45,0.0
2008-03-16,0,45.0,,0.45,0.0
2008-03-17,97,45.0,,0.45,43.65
2008-03-18,0,45.0,,0.45,0.0
2008-03-19,100,45.0,,0.45,45.0
2008-03-20,0,45.0,,0.45,0.0
2008-03-21,0,45.0,,0.45,0.0
2008-03-22,0,45.0,,0.45,0.0
2008-03-23,0,45.0,,0.45,0.0
2008-03-24,0,45.0,,0.45,0.0
2008-03-25,0,45.0,,0.45,0.0
2008-03-26,0,45.0,,0.45,0.0
2008-03-27,0,45.0,,0.45,0.0
2008-03-28,0,45.0,,0.45,0.0
2008-03-29,0,45.0,,0.45,0.0
2008-03-30,0,45.0,,0.45,0.0
2008-03-31,0,45.0,,0.45,0.0
2008-04-01,0,29.0,False,0.29,0.0
2008-04-02,0,29.0,,0.29,0.0
2008-04-03,0,29.0,,0.29,0.0
2008-04-04,0,29.0,,0.29,0.0
2008-04-05,0,29.0,,0.29,0.0
2008-04-06,0,29.0,,0.29,0.0
2008-04-07,0,29.0,,0.29,0.0
2008-04-08,0,29.0,,0.29,0.0
2008-04-09,0,29.0,,0.29,0.0
2008-04-10,0,29.0,,0.29,0.0
2008-04-11,0,29.0,,0.29,0.0
2008-04-12,100,29.0,,0.29,28.999999999999996
2008-04-13,0,29.0,,0.29,0.0
2008-04-14,0,29.0,,0.29,0.0
2008-04-15,0,29.0,,0.29,0.0
2008-04-16,0,29.0,,0.29,0.0
2008-04-17,0,29.0,,0.29,0.0
2008-04-18,0,29.0,,0.29,0.0
2008-04-19,0,29.0,,0.29,0.0
2008-04-20,0,29.0,,0.29,0.0
2008-04-21,0,29.0,,0.29,0.0
2008-04-22,0,29.0,,0.29,0.0
2008-04-23,0,29.0,,0.29,0.0
2008-04-24,0,29.0,,0.29,0.0
2008-04-25,0,29.0,,0.29,0.0
2008-04-26,0,29.0,,0.29,0.0
2008-04-27,0,29.0,,0.29,0.0
2008-04-28,0,29.0,,0.29,0.0
2008-04-29,0,29.0,,0.29,0.0
2008-04-30,0,29.0,,0.29,0.0
2008-05-01,0,29.0,False,0.29,0.0
2008-05-02,0,29.0,,0.29,0.0
2008-05-03,0,29.0,,0.29,0.0
2008-05-04,97,29.0,,0.29,28.13
2008-05-05,0,29.0,,0.29,0.0
2008-05-06,0,29.0,,0.29,0.0
2008-05-07,0,29.0,,0.29,0.0
2008-05-08,0,29.0,,0.29,0.0
2008-05-09,0,29.0,,0.29,0.0
2008-05-10,0,29.0,,0.29,0.0
2008-05-11,100,29.0,,0.29,28.999999999999996
2008-05-12,0,29.0,,0.29,0.0
2008-05-13,60,29.0,,0.29,17.4
2008-05-14,0,29.0,,0.29,0.0
2008-05-15,0,29.0,,0.29,0.0
2008-05-16,0,29.0,,0.29,0.0
2008-05-17,0,29.0,,0.29,0.0
2008-05-18,0,29.0,,0.29,0.0
2008-05-19,0,29.0,,0.29,0.0
2008-05-20,0,29.0,,0.29,0.0
2008-05-21,0,29.0,,0.29,0.0
2008-05-22,0,29.0,,0.29,0.0
2008-05-23,71,29.0,,0.29,20.59
2008-05-24,0,29.0,,0.29,0.0
2008-05-25,0,29.0,,0.29,0.0
2008-05-26,0,29.0,,0.29,0.0
2008-05-27,0,29.0,,0.29,0.0
2008-05-28,0,29.0,,0.29,0.0
