date,business expense_unscaled,business expense_monthly,isPartial,scale,business expense
2005-01-01,0,41.0,False,0.41,0.0
2005-01-02,0,41.0,,0.41,0.0
2005-01-03,0,41.0,,0.41,0.0
2005-01-04,0,41.0,,0.41,0.0
2005-01-05,0,41.0,,0.41,0.0
2005-01-06,0,41.0,,0.41,0.0
2005-01-07,0,41.0,,0.41,0.0
2005-01-08,100,41.0,,0.41,41.0
2005-01-09,0,41.0,,0.41,0.0
2005-01-10,60,41.0,,0.41,24.599999999999998
2005-01-11,0,41.0,,0.41,0.0
2005-01-12,0,41.0,,0.41,0.0
2005-01-13,60,41.0,,0.41,24.599999999999998
2005-01-14,62,41.0,,0.41,25.419999999999998
2005-01-15,100,41.0,,0.41,41.0
2005-01-16,0,41.0,,0.41,0.0
2005-01-17,0,41.0,,0.41,0.0
2005-01-18,0,41.0,,0.41,0.0
2005-01-19,0,41.0,,0.41,0.0
2005-01-20,0,41.0,,0.41,0.0
2005-01-21,0,41.0,,0.41,0.0
2005-01-22,0,41.0,,0.41,0.0
2005-01-23,0,41.0,,0.41,0.0
2005-01-24,0,41.0,,0.41,0.0
2005-01-25,0,41.0,,0.41,0.0
2005-01-26,58,41.0,,0.41,23.779999999999998
2005-01-27,0,41.0,,0.41,0.0
2005-01-28,60,41.0,,0.41,24.599999999999998
2005-01-29,0,41.0,,0.41,0.0
2005-01-30,91,41.0,,0.41,37.309999999999995
2005-01-31,0,41.0,,0.41,0.0
2005-02-01,0,44.0,False,0.44,0.0
2005-02-02,35,44.0,,0.44,15.4
2005-02-03,70,44.0,,0.44,30.8
2005-02-04,0,44.0,,0.44,0.0
2005-02-05,58,44.0,,0.44,25.52
2005-02-06,0,44.0,,0.44,0.0
2005-02-07,35,44.0,,0.44,15.4
2005-02-08,33,44.0,,0.44,14.52
2005-02-09,0,44.0,,0.44,0.0
2005-02-10,0,44.0,,0.44,0.0
2005-02-11,0,44.0,,0.44,0.0
2005-02-12,0,44.0,,0.44,0.0
2005-02-13,0,44.0,,0.44,0.0
2005-02-14,0,44.0,,0.44,0.0
2005-02-15,0,44.0,,0.44,0.0
2005-02-16,0,44.0,,0.44,0.0
2005-02-17,34,44.0,,0.44,14.96
2005-02-18,36,44.0,,0.44,15.84
2005-02-19,0,44.0,,0.44,0.0
2005-02-20,0,44.0,,0.44,0.0
