date,community bank_unscaled,community bank_monthly,isPartial,scale,community bank
2005-01-01,50,49.0,False,0.49,24.5
2005-01-02,58,49.0,,0.49,28.419999999999998
2005-01-03,41,49.0,,0.49,20.09
2005-01-04,50,49.0,,0.49,24.5
2005-01-05,90,49.0,,0.49,44.1
2005-01-06,74,49.0,,0.49,36.26
2005-01-07,41,49.0,,0.49,20.09
2005-01-08,45,49.0,,0.49,22.05
2005-01-09,27,49.0,,0.49,13.23
2005-01-10,49,49.0,,0.49,24.009999999999998
2005-01-11,79,49.0,,0.49,38.71
2005-01-12,59,49.0,,0.49,28.91
2005-01-13,49,49.0,,0.49,24.009999999999998
2005-01-14,91,49.0,,0.49,44.589999999999996
2005-01-15,45,49.0,,0.49,22.05
2005-01-16,37,49.0,,0.49,18.13
2005-01-17,100,49.0,,0.49,49.0
2005-01-18,48,49.0,,0.49,23.52
2005-01-19,49,49.0,,0.49,24.009999999999998
2005-01-20,72,49.0,,0.49,35.28
2005-01-21,40,49.0,,0.49,19.6
2005-01-22,26,49.0,,0.49,12.74
2005-01-23,50,49.0,,0.49,24.5
2005-01-24,64,49.0,,0.49,31.36
2005-01-25,83,49.0,,0.49,40.67
2005-01-26,37,49.0,,0.49,18.13
2005-01-27,85,49.0,,0.49,41.65
2005-01-28,50,49.0,,0.49,24.5
2005-01-29,68,49.0,,0.49,33.32
2005-01-30,50,49.0,,0.49,24.5
2005-01-31,78,49.0,,0.49,38.22
2005-02-01,32,45.0,False,0.45,14.4
2005-02-02,62,45.0,,0.45,27.900000000000002
2005-02-03,57,45.0,,0.45,25.650000000000002
2005-02-04,100,45.0,,0.45,45.0
2005-02-05,32,45.0,,0.45,14.4
2005-02-06,48,45.0,,0.45,21.6
2005-02-07,62,45.0,,0.45,27.900000000000002
2005-02-08,63,45.0,,0.45,28.35
2005-02-09,51,45.0,,0.45,22.95
2005-02-10,66,45.0,,0.45,29.7
2005-02-11,78,45.0,,0.45,35.1
2005-02-12,39,45.0,,0.45,17.55
2005-02-13,15,45.0,,0.45,6.75
2005-02-14,47,45.0,,0.45,21.150000000000002
2005-02-15,28,45.0,,0.45,12.6
2005-02-16,69,45.0,,0.45,31.05
2005-02-17,51,45.0,,0.45,22.95
2005-02-18,40,45.0,,0.45,18.0
2005-02-19,54,45.0,,0.45,24.3
2005-02-20,39,45.0,,0.45,17.55
2005-02-21,51,45.0,,0.45,22.95
2005-02-22,40,45.0,,0.45,18.0
2005-02-23,81,45.0,,0.45,36.45
2005-02-24,55,45.0,,0.45,24.75
2005-02-25,68,45.0,,0.45,30.6
2005-02-26,82,45.0,,0.45,36.9
2005-02-27,68,45.0,,0.45,30.6
2005-02-28,45,45.0,,0.45,20.25
2005-03-01,66,50.0,False,0.5,33.0
2005-03-02,51,50.0,,0.5,25.5
2005-03-03,67,50.0,,0.5,33.5
2005-03-04,68,50.0,,0.5,34.0
2005-03-05,63,50.0,,0.5,31.5
2005-03-06,28,50.0,,0.5,14.0
2005-03-07,100,50.0,,0.5,50.0
2005-03-08,100,50.0,,0.5,50.0
2005-03-09,79,50.0,,0.5,39.5
2005-03-10,59,50.0,,0.5,29.5
2005-03-11,71,50.0,,0.5,35.5
2005-03-12,68,50.0,,0.5,34.0
2005-03-13,28,50.0,,0.5,14.0
2005-03-14,29,50.0,,0.5,14.5
2005-03-15,61,50.0,,0.5,30.5
2005-03-16,66,50.0,,0.5,33.0
2005-03-17,51,50.0,,0.5,25.5
2005-03-18,73,50.0,,0.5,36.5
2005-03-19,48,50.0,,0.5,24.0
2005-03-20,43,50.0,,0.5,21.5
2005-03-21,51,50.0,,0.5,25.5
2005-03-22,62,50.0,,0.5,31.0
2005-03-23,58,50.0,,0.5,29.0
2005-03-24,75,50.0,,0.5,37.5
2005-03-25,52,50.0,,0.5,26.0
2005-03-26,29,50.0,,0.5,14.5
2005-03-27,14,50.0,,0.5,7.0
2005-03-28,59,50.0,,0.5,29.5
2005-03-29,47,50.0,,0.5,23.5
2005-03-30,30,50.0,,0.5,15.0
2005-03-31,44,50.0,,0.5,22.0
2005-04-01,61,50.0,False,0.5,30.5
2005-04-02,31,50.0,,0.5,15.5
2005-04-03,30,50.0,,0.5,15.0
2005-04-04,39,50.0,,0.5,19.5
2005-04-05,0,50.0,,0.5,0.0
2005-04-06,94,50.0,,0.5,47.0
2005-04-07,80,50.0,,0.5,40.0
2005-04-08,30,50.0,,0.5,15.0
2005-04-09,33,50.0,,0.5,16.5
2005-04-10,24,50.0,,0.5,12.0
2005-04-11,60,50.0,,0.5,30.0
2005-04-12,78,50.0,,0.5,39.0
2005-04-13,49,50.0,,0.5,24.5
2005-04-14,75,50.0,,0.5,37.5
2005-04-15,70,50.0,,0.5,35.0
2005-04-16,41,50.0,,0.5,20.5
2005-04-17,99,50.0,,0.5,49.5
2005-04-18,60,50.0,,0.5,30.0
2005-04-19,49,50.0,,0.5,24.5
2005-04-20,64,50.0,,0.5,32.0
2005-04-21,67,50.0,,0.5,33.5
2005-04-22,100,50.0,,0.5,50.0
2005-04-23,31,50.0,,0.5,15.5
2005-04-24,30,50.0,,0.5,15.0
2005-04-25,62,50.0,,0.5,31.0
2005-04-26,48,50.0,,0.5,24.0
2005-04-27,40,50.0,,0.5,20.0
2005-04-28,62,50.0,,0.5,31.0
2005-04-29,62,50.0,,0.5,31.0
2005-04-30,59,50.0,,0.5,29.5
2005-05-01,24,53.0,False,0.53,12.72
2005-05-02,49,53.0,,0.53,25.970000000000002
2005-05-03,45,53.0,,0.53,23.85
2005-05-04,43,53.0,,0.53,22.790000000000003
2005-05-05,62,53.0,,0.53,32.86
2005-05-06,52,53.0,,0.53,27.560000000000002
2005-05-07,13,53.0,,0.53,6.890000000000001
2005-05-08,20,53.0,,0.53,10.600000000000001
2005-05-09,43,53.0,,0.53,22.790000000000003
2005-05-10,100,53.0,,0.53,53.0
2005-05-11,22,53.0,,0.53,11.66
2005-05-12,48,53.0,,0.53,25.44
2005-05-13,44,53.0,,0.53,23.32
2005-05-14,19,53.0,,0.53,10.07
2005-05-15,19,53.0,,0.53,10.07
2005-05-16,58,53.0,,0.53,30.740000000000002
2005-05-17,75,53.0,,0.53,39.75
2005-05-18,47,53.0,,0.53,24.91
2005-05-19,53,53.0,,0.53,28.09
2005-05-20,16,53.0,,0.53,8.48
2005-05-21,40,53.0,,0.53,21.200000000000003
2005-05-22,26,53.0,,0.53,13.780000000000001
2005-05-23,40,53.0,,0.53,21.200000000000003
2005-05-24,39,53.0,,0.53,20.67
2005-05-25,55,53.0,,0.53,29.150000000000002
2005-05-26,38,53.0,,0.53,20.14
2005-05-27,59,53.0,,0.53,31.270000000000003
2005-05-28,42,53.0,,0.53,22.26
2005-05-29,44,53.0,,0.53,23.32
2005-05-30,18,53.0,,0.53,9.540000000000001
2005-05-31,74,53.0,,0.53,39.22
2005-06-01,52,53.0,False,0.53,27.560000000000002
2005-06-02,82,53.0,,0.53,43.46
2005-06-03,24,53.0,,0.53,12.72
2005-06-04,26,53.0,,0.53,13.780000000000001
2005-06-05,85,53.0,,0.53,45.050000000000004
2005-06-06,71,53.0,,0.53,37.63
2005-06-07,45,53.0,,0.53,23.85
2005-06-08,56,53.0,,0.53,29.68
2005-06-09,74,53.0,,0.53,39.22
2005-06-10,33,53.0,,0.53,17.490000000000002
2005-06-11,26,53.0,,0.53,13.780000000000001
2005-06-12,33,53.0,,0.53,17.490000000000002
2005-06-13,76,53.0,,0.53,40.28
2005-06-14,45,53.0,,0.53,23.85
2005-06-15,69,53.0,,0.53,36.57
2005-06-16,43,53.0,,0.53,22.790000000000003
2005-06-17,59,53.0,,0.53,31.270000000000003
2005-06-18,40,53.0,,0.53,21.200000000000003
2005-06-19,14,53.0,,0.53,7.42
2005-06-20,100,53.0,,0.53,53.0
2005-06-21,64,53.0,,0.53,33.92
2005-06-22,47,53.0,,0.53,24.91
2005-06-23,64,53.0,,0.53,33.92
2005-06-24,81,53.0,,0.53,42.93
2005-06-25,20,53.0,,0.53,10.600000000000001
2005-06-26,67,53.0,,0.53,35.510000000000005
2005-06-27,42,53.0,,0.53,22.26
2005-06-28,60,53.0,,0.53,31.8
2005-06-29,72,53.0,,0.53,38.160000000000004
2005-06-30,51,53.0,,0.53,27.03
2005-07-01,77,55.0,False,0.55,42.35
2005-07-02,30,55.0,,0.55,16.5
2005-07-03,57,55.0,,0.55,31.35
2005-07-04,87,55.0,,0.55,47.85
2005-07-05,36,55.0,,0.55,19.8
2005-07-06,37,55.0,,0.55,20.35
2005-07-07,49,55.0,,0.55,26.950000000000003
2005-07-08,39,55.0,,0.55,21.450000000000003
2005-07-09,20,55.0,,0.55,11.0
2005-07-10,35,55.0,,0.55,19.25
2005-07-11,53,55.0,,0.55,29.150000000000002
2005-07-12,72,55.0,,0.55,39.6
2005-07-13,37,55.0,,0.55,20.35
2005-07-14,74,55.0,,0.55,40.7
2005-07-15,49,55.0,,0.55,26.950000000000003
2005-07-16,34,55.0,,0.55,18.700000000000003
2005-07-17,42,55.0,,0.55,23.1
2005-07-18,68,55.0,,0.55,37.400000000000006
2005-07-19,48,55.0,,0.55,26.400000000000002
2005-07-20,65,55.0,,0.55,35.75
2005-07-21,46,55.0,,0.55,25.3
2005-07-22,49,55.0,,0.55,26.950000000000003
2005-07-23,69,55.0,,0.55,37.95
2005-07-24,43,55.0,,0.55,23.650000000000002
2005-07-25,100,55.0,,0.55,55.00000000000001
2005-07-26,89,55.0,,0.55,48.95
2005-07-27,28,55.0,,0.55,15.400000000000002
2005-07-28,58,55.0,,0.55,31.900000000000002
2005-07-29,84,55.0,,0.55,46.2
2005-07-30,41,55.0,,0.55,22.55
2005-07-31,21,55.0,,0.55,11.55
2005-08-01,55,60.0,False,0.6,33.0
2005-08-02,54,60.0,,0.6,32.4
2005-08-03,77,60.0,,0.6,46.199999999999996
2005-08-04,91,60.0,,0.6,54.6
2005-08-05,55,60.0,,0.6,33.0
2005-08-06,28,60.0,,0.6,16.8
2005-08-07,14,60.0,,0.6,8.4
2005-08-08,100,60.0,,0.6,60.0
2005-08-09,65,60.0,,0.6,39.0
2005-08-10,63,60.0,,0.6,37.8
2005-08-11,60,60.0,,0.6,36.0
2005-08-12,36,60.0,,0.6,21.599999999999998
2005-08-13,41,60.0,,0.6,24.599999999999998
2005-08-14,28,60.0,,0.6,16.8
2005-08-15,76,60.0,,0.6,45.6
2005-08-16,81,60.0,,0.6,48.6
2005-08-17,59,60.0,,0.6,35.4
2005-08-18,86,60.0,,0.6,51.6
2005-08-19,98,60.0,,0.6,58.8
2005-08-20,47,60.0,,0.6,28.2
2005-08-21,48,60.0,,0.6,28.799999999999997
