date,contribution_unscaled,contribution_monthly,isPartial,scale,contribution
2005-01-01,100,91.0,False,0.91,91.0
2005-01-02,66,91.0,,0.91,60.06
2005-01-03,83,91.0,,0.91,75.53
2005-01-04,54,91.0,,0.91,49.14
2005-01-05,62,91.0,,0.91,56.42
2005-01-06,85,91.0,,0.91,77.35000000000001
2005-01-07,70,91.0,,0.91,63.7
2005-01-08,55,91.0,,0.91,50.050000000000004
2005-01-09,34,91.0,,0.91,30.94
2005-01-10,69,91.0,,0.91,62.79
2005-01-11,76,91.0,,0.91,69.16
2005-01-12,61,91.0,,0.91,55.510000000000005
2005-01-13,33,91.0,,0.91,30.03
2005-01-14,56,91.0,,0.91,50.96
2005-01-15,41,91.0,,0.91,37.31
2005-01-16,28,91.0,,0.91,25.48
2005-01-17,56,91.0,,0.91,50.96
2005-01-18,32,91.0,,0.91,29.12
2005-01-19,41,91.0,,0.91,37.31
2005-01-20,17,91.0,,0.91,15.47
2005-01-21,64,91.0,,0.91,58.24
2005-01-22,84,91.0,,0.91,76.44
2005-01-23,31,91.0,,0.91,28.21
2005-01-24,60,91.0,,0.91,54.6
2005-01-25,63,91.0,,0.91,57.330000000000005
2005-01-26,80,91.0,,0.91,72.8
2005-01-27,12,91.0,,0.91,10.92
2005-01-28,45,91.0,,0.91,40.95
2005-01-29,26,91.0,,0.91,23.66
2005-01-30,51,91.0,,0.91,46.410000000000004
2005-01-31,27,91.0,,0.91,24.57
2005-02-01,58,79.0,False,0.79,45.82
2005-02-02,27,79.0,,0.79,21.330000000000002
2005-02-03,50,79.0,,0.79,39.5
2005-02-04,76,79.0,,0.79,60.040000000000006
2005-02-05,100,79.0,,0.79,79.0
2005-02-06,55,79.0,,0.79,43.45
2005-02-07,83,79.0,,0.79,65.57000000000001
2005-02-08,73,79.0,,0.79,57.67
2005-02-09,70,79.0,,0.79,55.300000000000004
2005-02-10,76,79.0,,0.79,60.040000000000006
2005-02-11,63,79.0,,0.79,49.77
2005-02-12,36,79.0,,0.79,28.44
2005-02-13,79,79.0,,0.79,62.410000000000004
2005-02-14,65,79.0,,0.79,51.35
2005-02-15,91,79.0,,0.79,71.89
2005-02-16,59,79.0,,0.79,46.61
2005-02-17,59,79.0,,0.79,46.61
2005-02-18,74,79.0,,0.79,58.46
2005-02-19,27,79.0,,0.79,21.330000000000002
2005-02-20,45,79.0,,0.79,35.550000000000004
2005-02-21,42,79.0,,0.79,33.18
2005-02-22,37,79.0,,0.79,29.23
2005-02-23,47,79.0,,0.79,37.13
2005-02-24,74,79.0,,0.79,58.46
2005-02-25,79,79.0,,0.79,62.410000000000004
2005-02-26,47,79.0,,0.79,37.13
2005-02-27,52,79.0,,0.79,41.08
2005-02-28,57,79.0,,0.79,45.03
2005-03-01,68,79.0,False,0.79,53.72
2005-03-02,75,79.0,,0.79,59.25
2005-03-03,49,79.0,,0.79,38.71
2005-03-04,38,79.0,,0.79,30.020000000000003
2005-03-05,67,79.0,,0.79,52.93
2005-03-06,39,79.0,,0.79,30.810000000000002
2005-03-07,81,79.0,,0.79,63.99
2005-03-08,100,79.0,,0.79,79.0
2005-03-09,46,79.0,,0.79,36.34
2005-03-10,58,79.0,,0.79,45.82
2005-03-11,24,79.0,,0.79,18.96
2005-03-12,85,79.0,,0.79,67.15
2005-03-13,85,79.0,,0.79,67.15
2005-03-14,69,79.0,,0.79,54.510000000000005
2005-03-15,50,79.0,,0.79,39.5
2005-03-16,34,79.0,,0.79,26.86
2005-03-17,77,79.0,,0.79,60.830000000000005
2005-03-18,56,79.0,,0.79,44.24
2005-03-19,57,79.0,,0.79,45.03
2005-03-20,39,79.0,,0.79,30.810000000000002
2005-03-21,69,79.0,,0.79,54.510000000000005
2005-03-22,75,79.0,,0.79,59.25
2005-03-23,81,79.0,,0.79,63.99
2005-03-24,92,79.0,,0.79,72.68
2005-03-25,50,79.0,,0.79,39.5
2005-03-26,51,79.0,,0.79,40.29
2005-03-27,66,79.0,,0.79,52.14
2005-03-28,77,79.0,,0.79,60.830000000000005
2005-03-29,93,79.0,,0.79,73.47
2005-03-30,53,79.0,,0.79,41.870000000000005
2005-03-31,36,79.0,,0.79,28.44
2005-04-01,51,81.0,False,0.81,41.31
2005-04-02,61,81.0,,0.81,49.410000000000004
2005-04-03,52,81.0,,0.81,42.120000000000005
2005-04-04,76,81.0,,0.81,61.56
2005-04-05,0,81.0,,0.81,0.0
2005-04-06,50,81.0,,0.81,40.5
2005-04-07,66,81.0,,0.81,53.46
2005-04-08,67,81.0,,0.81,54.27
2005-04-09,74,81.0,,0.81,59.940000000000005
2005-04-10,16,81.0,,0.81,12.96
2005-04-11,100,81.0,,0.81,81.0
2005-04-12,96,81.0,,0.81,77.76
2005-04-13,85,81.0,,0.81,68.85000000000001
2005-04-14,94,81.0,,0.81,76.14
2005-04-15,79,81.0,,0.81,63.99
2005-04-16,33,81.0,,0.81,26.73
2005-04-17,24,81.0,,0.81,19.44
2005-04-18,41,81.0,,0.81,33.21
2005-04-19,57,81.0,,0.81,46.17
2005-04-20,23,81.0,,0.81,18.630000000000003
2005-04-21,29,81.0,,0.81,23.490000000000002
2005-04-22,35,81.0,,0.81,28.35
2005-04-23,38,81.0,,0.81,30.78
2005-04-24,30,81.0,,0.81,24.3
2005-04-25,26,81.0,,0.81,21.060000000000002
2005-04-26,39,81.0,,0.81,31.590000000000003
2005-04-27,62,81.0,,0.81,50.220000000000006
2005-04-28,44,81.0,,0.81,35.64
2005-04-29,33,81.0,,0.81,26.73
2005-04-30,29,81.0,,0.81,23.490000000000002
2005-05-01,52,46.0,False,0.46,23.92
2005-05-02,24,46.0,,0.46,11.040000000000001
2005-05-03,36,46.0,,0.46,16.560000000000002
2005-05-04,79,46.0,,0.46,36.34
2005-05-05,56,46.0,,0.46,25.76
2005-05-06,40,46.0,,0.46,18.400000000000002
2005-05-07,11,46.0,,0.46,5.0600000000000005
2005-05-08,11,46.0,,0.46,5.0600000000000005
2005-05-09,37,46.0,,0.46,17.02
2005-05-10,61,46.0,,0.46,28.060000000000002
2005-05-11,25,46.0,,0.46,11.5
2005-05-12,44,46.0,,0.46,20.240000000000002
2005-05-13,47,46.0,,0.46,21.62
2005-05-14,44,46.0,,0.46,20.240000000000002
2005-05-15,32,46.0,,0.46,14.72
2005-05-16,75,46.0,,0.46,34.5
2005-05-17,42,46.0,,0.46,19.32
2005-05-18,87,46.0,,0.46,40.02
2005-05-19,44,46.0,,0.46,20.240000000000002
2005-05-20,75,46.0,,0.46,34.5
2005-05-21,0,46.0,,0.46,0.0
2005-05-22,66,46.0,,0.46,30.360000000000003
2005-05-23,100,46.0,,0.46,46.0
2005-05-24,43,46.0,,0.46,19.78
2005-05-25,56,46.0,,0.46,25.76
2005-05-26,45,46.0,,0.46,20.7
2005-05-27,29,46.0,,0.46,13.34
2005-05-28,12,46.0,,0.46,5.5200000000000005
2005-05-29,49,46.0,,0.46,22.540000000000003
2005-05-30,21,46.0,,0.46,9.66
2005-05-31,57,46.0,,0.46,26.220000000000002
2005-06-01,57,48.0,False,0.48,27.36
2005-06-02,65,48.0,,0.48,31.2
2005-06-03,88,48.0,,0.48,42.239999999999995
2005-06-04,28,48.0,,0.48,13.44
2005-06-05,29,48.0,,0.48,13.92
2005-06-06,66,48.0,,0.48,31.68
2005-06-07,92,48.0,,0.48,44.16
2005-06-08,74,48.0,,0.48,35.519999999999996
2005-06-09,77,48.0,,0.48,36.96
2005-06-10,100,48.0,,0.48,48.0
2005-06-11,57,48.0,,0.48,27.36
2005-06-12,58,48.0,,0.48,27.84
2005-06-13,42,48.0,,0.48,20.16
2005-06-14,33,48.0,,0.48,15.84
2005-06-15,51,48.0,,0.48,24.48
2005-06-16,61,48.0,,0.48,29.279999999999998
2005-06-17,83,48.0,,0.48,39.839999999999996
2005-06-18,45,48.0,,0.48,21.599999999999998
2005-06-19,15,48.0,,0.48,7.199999999999999
2005-06-20,25,48.0,,0.48,12.0
2005-06-21,76,48.0,,0.48,36.48
2005-06-22,60,48.0,,0.48,28.799999999999997
2005-06-23,88,48.0,,0.48,42.239999999999995
2005-06-24,56,48.0,,0.48,26.88
2005-06-25,45,48.0,,0.48,21.599999999999998
2005-06-26,61,48.0,,0.48,29.279999999999998
2005-06-27,51,48.0,,0.48,24.48
2005-06-28,66,48.0,,0.48,31.68
2005-06-29,42,48.0,,0.48,20.16
2005-06-30,51,48.0,,0.48,24.48
2005-07-01,26,50.0,False,0.5,13.0
2005-07-02,13,50.0,,0.5,6.5
2005-07-03,57,50.0,,0.5,28.5
2005-07-04,0,50.0,,0.5,0.0
2005-07-05,16,50.0,,0.5,8.0
2005-07-06,100,50.0,,0.5,50.0
