date,corrupt government_unscaled,corrupt government_monthly,isPartial,scale,corrupt government
2005-01-01,0,32.0,False,0.32,0.0
2005-01-02,0,32.0,,0.32,0.0
2005-01-03,0,32.0,,0.32,0.0
2005-01-04,0,32.0,,0.32,0.0
2005-01-05,0,32.0,,0.32,0.0
2005-01-06,0,32.0,,0.32,0.0
2005-01-07,0,32.0,,0.32,0.0
2005-01-08,0,32.0,,0.32,0.0
2005-01-09,0,32.0,,0.32,0.0
2005-01-10,0,32.0,,0.32,0.0
2005-01-11,0,32.0,,0.32,0.0
2005-01-12,0,32.0,,0.32,0.0
2005-01-13,0,32.0,,0.32,0.0
2005-01-14,0,32.0,,0.32,0.0
2005-01-15,0,32.0,,0.32,0.0
2005-01-16,0,32.0,,0.32,0.0
2005-01-17,0,32.0,,0.32,0.0
2005-01-18,0,32.0,,0.32,0.0
2005-01-19,0,32.0,,0.32,0.0
2005-01-20,0,32.0,,0.32,0.0
2005-01-21,0,32.0,,0.32,0.0
2005-01-22,0,32.0,,0.32,0.0
2005-01-23,0,32.0,,0.32,0.0
2005-01-24,100,32.0,,0.32,32.0
2005-01-25,0,32.0,,0.32,0.0
2005-01-26,0,32.0,,0.32,0.0
2005-01-27,0,32.0,,0.32,0.0
2005-01-28,0,32.0,,0.32,0.0
2005-01-29,0,32.0,,0.32,0.0
2005-01-30,0,32.0,,0.32,0.0
2005-01-31,0,32.0,,0.32,0.0
2005-02-01,0,34.0,False,0.34,0.0
2005-02-02,0,34.0,,0.34,0.0
2005-02-03,0,34.0,,0.34,0.0
2005-02-04,0,34.0,,0.34,0.0
2005-02-05,0,34.0,,0.34,0.0
2005-02-06,0,34.0,,0.34,0.0
2005-02-07,0,34.0,,0.34,0.0
2005-02-08,0,34.0,,0.34,0.0
2005-02-09,0,34.0,,0.34,0.0
2005-02-10,0,34.0,,0.34,0.0
2005-02-11,0,34.0,,0.34,0.0
2005-02-12,0,34.0,,0.34,0.0
2005-02-13,100,34.0,,0.34,34.0
2005-02-14,0,34.0,,0.34,0.0
2005-02-15,0,34.0,,0.34,0.0
2005-02-16,0,34.0,,0.34,0.0
2005-02-17,0,34.0,,0.34,0.0
2005-02-18,0,34.0,,0.34,0.0
2005-02-19,0,34.0,,0.34,0.0
2005-02-20,0,34.0,,0.34,0.0
2005-02-21,0,34.0,,0.34,0.0
2005-02-22,0,34.0,,0.34,0.0
2005-02-23,0,34.0,,0.34,0.0
2005-02-24,0,34.0,,0.34,0.0
2005-02-25,0,34.0,,0.34,0.0
2005-02-26,0,34.0,,0.34,0.0
2005-02-27,0,34.0,,0.34,0.0
2005-02-28,58,34.0,,0.34,19.720000000000002
2005-03-01,0,73.0,False,0.73,0.0
2005-03-02,0,73.0,,0.73,0.0
2005-03-03,0,73.0,,0.73,0.0
2005-03-04,0,73.0,,0.73,0.0
2005-03-05,0,73.0,,0.73,0.0
2005-03-06,0,73.0,,0.73,0.0
2005-03-07,0,73.0,,0.73,0.0
2005-03-08,0,73.0,,0.73,0.0
2005-03-09,0,73.0,,0.73,0.0
2005-03-10,0,73.0,,0.73,0.0
2005-03-11,0,73.0,,0.73,0.0
2005-03-12,0,73.0,,0.73,0.0
2005-03-13,0,73.0,,0.73,0.0
2005-03-14,0,73.0,,0.73,0.0
2005-03-15,0,73.0,,0.73,0.0
2005-03-16,100,73.0,,0.73,73.0
2005-03-17,0,73.0,,0.73,0.0
2005-03-18,0,73.0,,0.73,0.0
2005-03-19,0,73.0,,0.73,0.0
2005-03-20,0,73.0,,0.73,0.0
2005-03-21,68,73.0,,0.73,49.64
2005-03-22,0,73.0,,0.73,0.0
2005-03-23,0,73.0,,0.73,0.0
2005-03-24,0,73.0,,0.73,0.0
2005-03-25,0,73.0,,0.73,0.0
2005-03-26,0,73.0,,0.73,0.0
2005-03-27,0,73.0,,0.73,0.0
2005-03-28,0,73.0,,0.73,0.0
2005-03-29,0,73.0,,0.73,0.0
2005-03-30,0,73.0,,0.73,0.0
2005-03-31,0,73.0,,0.73,0.0
2005-05-01,0,44.0,False,0.44,0.0
2005-05-02,0,44.0,,0.44,0.0
2005-05-03,0,44.0,,0.44,0.0
2005-05-04,84,44.0,,0.44,36.96
2005-05-05,0,44.0,,0.44,0.0
2005-05-06,93,44.0,,0.44,40.92
2005-05-07,0,44.0,,0.44,0.0
2005-05-08,0,44.0,,0.44,0.0
2005-05-09,0,44.0,,0.44,0.0
2005-05-10,0,44.0,,0.44,0.0
2005-05-11,86,44.0,,0.44,37.84
2005-05-12,0,44.0,,0.44,0.0
2005-05-13,0,44.0,,0.44,0.0
2005-05-14,0,44.0,,0.44,0.0
2005-05-15,0,44.0,,0.44,0.0
2005-05-16,0,44.0,,0.44,0.0
2005-05-17,0,44.0,,0.44,0.0
2005-05-18,86,44.0,,0.44,37.84
2005-05-19,0,44.0,,0.44,0.0
2005-05-20,0,44.0,,0.44,0.0
2005-05-21,0,44.0,,0.44,0.0
2005-05-22,0,44.0,,0.44,0.0
2005-05-23,0,44.0,,0.44,0.0
2005-05-24,0,44.0,,0.44,0.0
2005-05-25,0,44.0,,0.44,0.0
2005-05-26,0,44.0,,0.44,0.0
2005-05-27,100,44.0,,0.44,44.0
2005-05-28,0,44.0,,0.44,0.0
2005-05-29,0,44.0,,0.44,0.0
2005-05-30,0,44.0,,0.44,0.0
2005-05-31,0,44.0,,0.44,0.0
2005-06-01,57,76.0,False,0.76,43.32
2005-06-02,0,76.0,,0.76,0.0
2005-06-03,62,76.0,,0.76,47.12
2005-06-04,0,76.0,,0.76,0.0
2005-06-05,0,76.0,,0.76,0.0
2005-06-06,0,76.0,,0.76,0.0
2005-06-07,0,76.0,,0.76,0.0
2005-06-08,0,76.0,,0.76,0.0
2005-06-09,0,76.0,,0.76,0.0
2005-06-10,0,76.0,,0.76,0.0
2005-06-11,100,76.0,,0.76,76.0
2005-06-12,0,76.0,,0.76,0.0
2005-06-13,60,76.0,,0.76,45.6
2005-06-14,0,76.0,,0.76,0.0
2005-06-15,0,76.0,,0.76,0.0
