date,cost center_unscaled,cost center_monthly,isPartial,scale,cost center
2005-01-01,61,49.0,False,0.49,29.89
2005-01-02,0,49.0,,0.49,0.0
2005-01-03,21,49.0,,0.49,10.29
2005-01-04,0,49.0,,0.49,0.0
2005-01-05,41,49.0,,0.49,20.09
2005-01-06,0,49.0,,0.49,0.0
2005-01-07,21,49.0,,0.49,10.29
2005-01-08,100,49.0,,0.49,49.0
2005-01-09,0,49.0,,0.49,0.0
2005-01-10,98,49.0,,0.49,48.019999999999996
2005-01-11,20,49.0,,0.49,9.8
2005-01-12,39,49.0,,0.49,19.11
2005-01-13,0,49.0,,0.49,0.0
2005-01-14,31,49.0,,0.49,15.19
2005-01-15,65,49.0,,0.49,31.849999999999998
2005-01-16,0,49.0,,0.49,0.0
2005-01-17,23,49.0,,0.49,11.27
2005-01-18,20,49.0,,0.49,9.8
2005-01-19,0,49.0,,0.49,0.0
2005-01-20,40,49.0,,0.49,19.6
2005-01-21,21,49.0,,0.49,10.29
2005-01-22,48,49.0,,0.49,23.52
2005-01-23,0,49.0,,0.49,0.0
2005-01-24,19,49.0,,0.49,9.31
2005-01-25,38,49.0,,0.49,18.62
2005-01-26,19,49.0,,0.49,9.31
2005-01-27,20,49.0,,0.49,9.8
2005-01-28,0,49.0,,0.49,0.0
2005-01-29,0,49.0,,0.49,0.0
2005-01-30,31,49.0,,0.49,15.19
2005-01-31,19,49.0,,0.49,9.31
2005-02-01,29,43.0,False,0.43,12.47
2005-02-02,30,43.0,,0.43,12.9
2005-02-03,89,43.0,,0.43,38.269999999999996
2005-02-04,32,43.0,,0.43,13.76
2005-02-05,0,43.0,,0.43,0.0
2005-02-06,100,43.0,,0.43,43.0
2005-02-07,45,43.0,,0.43,19.35
2005-02-08,28,43.0,,0.43,12.04
2005-02-09,44,43.0,,0.43,18.919999999999998
2005-02-10,29,43.0,,0.43,12.47
2005-02-11,31,43.0,,0.43,13.33
2005-02-12,48,43.0,,0.43,20.64
2005-02-13,49,43.0,,0.43,21.07
2005-02-14,29,43.0,,0.43,12.47
2005-02-15,0,43.0,,0.43,0.0
2005-02-16,44,43.0,,0.43,18.919999999999998
2005-02-17,29,43.0,,0.43,12.47
2005-02-18,77,43.0,,0.43,33.11
2005-02-19,0,43.0,,0.43,0.0
2005-02-20,50,43.0,,0.43,21.5
2005-02-21,32,43.0,,0.43,13.76
2005-02-22,0,43.0,,0.43,0.0
2005-02-23,28,43.0,,0.43,12.04
2005-02-24,29,43.0,,0.43,12.47
2005-02-25,30,43.0,,0.43,12.9
2005-02-26,0,43.0,,0.43,0.0
2005-02-27,0,43.0,,0.43,0.0
2005-02-28,57,43.0,,0.43,24.509999999999998
2005-03-01,29,44.0,False,0.44,12.76
2005-03-02,29,44.0,,0.44,12.76
2005-03-03,0,44.0,,0.44,0.0
2005-03-04,32,44.0,,0.44,14.08
2005-03-05,0,44.0,,0.44,0.0
2005-03-06,0,44.0,,0.44,0.0
2005-03-07,29,44.0,,0.44,12.76
2005-03-08,56,44.0,,0.44,24.64
2005-03-09,29,44.0,,0.44,12.76
2005-03-10,30,44.0,,0.44,13.2
2005-03-11,0,44.0,,0.44,0.0
2005-03-12,0,44.0,,0.44,0.0
2005-03-13,49,44.0,,0.44,21.56
2005-03-14,59,44.0,,0.44,25.96
2005-03-15,85,44.0,,0.44,37.4
2005-03-16,29,44.0,,0.44,12.76
2005-03-17,45,44.0,,0.44,19.8
2005-03-18,81,44.0,,0.44,35.64
2005-03-19,49,44.0,,0.44,21.56
2005-03-20,100,44.0,,0.44,44.0
2005-03-21,59,44.0,,0.44,25.96
2005-03-22,44,44.0,,0.44,19.36
2005-03-23,59,44.0,,0.44,25.96
2005-03-24,31,44.0,,0.44,13.64
2005-03-25,73,44.0,,0.44,32.12
2005-03-26,52,44.0,,0.44,22.88
2005-03-27,34,44.0,,0.44,14.96
2005-03-28,24,44.0,,0.44,10.56
2005-03-29,74,44.0,,0.44,32.56
2005-03-30,91,44.0,,0.44,40.04
2005-03-31,46,44.0,,0.44,20.24
2005-04-01,0,47.0,False,0.47,0.0
2005-04-02,49,47.0,,0.47,23.029999999999998
2005-04-03,48,47.0,,0.47,22.56
2005-04-04,0,47.0,,0.47,0.0
2005-04-05,0,47.0,,0.47,0.0
2005-04-06,41,47.0,,0.47,19.27
2005-04-07,45,47.0,,0.47,21.15
2005-04-08,33,47.0,,0.47,15.51
2005-04-09,53,47.0,,0.47,24.91
2005-04-10,0,47.0,,0.47,0.0
2005-04-11,29,47.0,,0.47,13.629999999999999
2005-04-12,28,47.0,,0.47,13.16
2005-04-13,43,47.0,,0.47,20.209999999999997
2005-04-14,46,47.0,,0.47,21.619999999999997
2005-04-15,32,47.0,,0.47,15.04
2005-04-16,53,47.0,,0.47,24.91
2005-04-17,54,47.0,,0.47,25.38
2005-04-18,30,47.0,,0.47,14.1
2005-04-19,29,47.0,,0.47,13.629999999999999
2005-04-20,59,47.0,,0.47,27.729999999999997
2005-04-21,0,47.0,,0.47,0.0
2005-04-22,64,47.0,,0.47,30.08
2005-04-23,49,47.0,,0.47,23.029999999999998
2005-04-24,48,47.0,,0.47,22.56
2005-04-25,28,47.0,,0.47,13.16
2005-04-26,28,47.0,,0.47,13.16
2005-04-27,85,47.0,,0.47,39.949999999999996
2005-04-28,100,47.0,,0.47,47.0
2005-04-29,31,47.0,,0.47,14.569999999999999
2005-04-30,0,47.0,,0.47,0.0
2005-05-01,39,51.0,False,0.51,19.89
2005-05-02,57,51.0,,0.51,29.07
2005-05-03,23,51.0,,0.51,11.73
2005-05-04,0,51.0,,0.51,0.0
2005-05-05,0,51.0,,0.51,0.0
2005-05-06,38,51.0,,0.51,19.38
2005-05-07,0,51.0,,0.51,0.0
2005-05-08,0,51.0,,0.51,0.0
2005-05-09,23,51.0,,0.51,11.73
2005-05-10,0,51.0,,0.51,0.0
2005-05-11,24,51.0,,0.51,12.24
2005-05-12,83,51.0,,0.51,42.33
