date,cost plus_unscaled,cost plus_monthly,isPartial,scale,cost plus
2005-01-01,62,62,False,0.62,38.44
2005-01-02,54,54,False,0.54,29.160000000000004
2005-01-03,76,76,False,0.76,57.76
2005-01-04,41,41,False,0.41,16.81
2005-01-05,41,41,False,0.41,16.81
2005-01-06,74,74,False,0.74,54.76
2005-01-07,54,54,False,0.54,29.160000000000004
2005-01-08,67,67,False,0.67,44.89
2005-01-09,68,68,False,0.68,46.24
2005-01-10,40,40,False,0.4,16.0
2005-01-11,10,10,False,0.1,1.0
2005-01-12,60,60,False,0.6,36.0
2005-01-13,20,20,False,0.2,4.0
2005-01-14,21,21,False,0.21,4.41
2005-01-15,100,100,False,1.0,100.0
2005-01-16,52,52,False,0.52,27.04
2005-01-17,46,46,False,0.46,21.16
2005-01-18,60,60,False,0.6,36.0
2005-01-19,71,71,False,0.71,50.41
2005-01-20,41,41,False,0.41,16.81
2005-01-21,32,32,False,0.32,10.24
2005-01-22,16,16,False,0.16,2.56
2005-01-23,0,0,False,0.0,0.0
2005-01-24,79,79,False,0.79,62.410000000000004
2005-01-25,77,77,False,0.77,59.29
2005-01-26,49,49,False,0.49,24.009999999999998
2005-01-27,80,80,False,0.8,64.0
2005-01-28,71,71,False,0.71,50.41
2005-01-29,48,48,False,0.48,23.04
2005-01-30,78,78,False,0.78,60.84
2005-01-31,68,68,False,0.68,46.24
2005-02-01,61,61,False,0.61,37.21
2005-02-02,64,64,False,0.64,40.96
2005-02-03,42,42,False,0.42,17.64
2005-02-04,56,56,False,0.56,31.360000000000003
2005-02-05,35,35,False,0.35,12.25
2005-02-06,89,89,False,0.89,79.21000000000001
2005-02-07,21,21,False,0.21,4.41
2005-02-08,50,50,False,0.5,25.0
2005-02-09,0,0,False,0.0,0.0
2005-02-10,62,62,False,0.62,38.44
2005-02-11,0,0,False,0.0,0.0
2005-02-12,86,86,False,0.86,73.96
2005-02-13,84,84,False,0.84,70.56
2005-02-14,52,52,False,0.52,27.04
2005-02-15,21,21,False,0.21,4.41
2005-02-16,51,51,False,0.51,26.01
2005-02-17,10,10,False,0.1,1.0
2005-02-18,11,11,False,0.11,1.21
2005-02-19,34,34,False,0.34,11.56
2005-02-20,88,88,False,0.88,77.44
2005-02-21,57,57,False,0.57,32.489999999999995
2005-02-22,50,50,False,0.5,25.0
2005-02-23,71,71,False,0.71,50.41
2005-02-24,92,92,False,0.92,84.64
2005-02-25,22,22,False,0.22,4.84
2005-02-26,91,91,False,0.91,82.81
2005-02-27,100,100,False,1.0,100.0
2005-02-28,40,40,False,0.4,16.0
2005-03-01,34,34,False,0.34,11.56
2005-03-02,34,34,False,0.34,11.56
2005-03-03,36,36,False,0.36,12.959999999999999
2005-03-04,37,37,False,0.37,13.69
2005-03-05,100,100,False,1.0,100.0
2005-03-06,14,14,False,0.14,1.9600000000000002
2005-03-07,34,34,False,0.34,11.56
2005-03-08,49,49,False,0.49,24.009999999999998
2005-03-09,60,60,False,0.6,36.0
2005-03-10,17,17,False,0.17,2.89
2005-03-11,72,72,False,0.72,51.839999999999996
2005-03-12,14,14,False,0.14,1.9600000000000002
2005-03-13,56,56,False,0.56,31.360000000000003
2005-03-14,43,43,False,0.43,18.49
2005-03-15,41,41,False,0.41,16.81
2005-03-16,51,51,False,0.51,26.01
2005-03-17,9,9,False,0.09,0.8099999999999999
2005-03-18,19,19,False,0.19,3.61
2005-03-19,14,14,False,0.14,1.9600000000000002
2005-03-20,58,58,False,0.58,33.64
2005-03-21,34,34,False,0.34,11.56
2005-03-22,34,34,False,0.34,11.56
2005-03-23,60,60,False,0.6,36.0
2005-03-24,27,27,False,0.27,7.290000000000001
2005-03-25,21,21,False,0.21,4.41
2005-03-26,90,90,False,0.9,81.0
2005-03-27,78,78,False,0.78,60.84
2005-03-28,7,7,False,0.07,0.49000000000000005
2005-03-29,43,43,False,0.43,18.49
2005-03-30,0,0,False,0.0,0.0
2005-03-31,27,27,False,0.27,7.290000000000001
2005-04-01,44,44,False,0.44,19.36
2005-04-02,49,49,False,0.49,24.009999999999998
2005-04-03,64,64,False,0.64,40.96
2005-04-04,41,41,False,0.41,16.81
2005-04-05,0,0,True,0.0,0.0
2005-04-06,54,54,False,0.54,29.160000000000004
2005-04-07,51,51,False,0.51,26.01
2005-04-08,100,100,False,1.0,100.0
2005-04-09,18,18,False,0.18,3.2399999999999998
2005-04-10,53,53,False,0.53,28.09
2005-04-11,30,30,False,0.3,9.0
2005-04-12,47,47,False,0.47,22.09
2005-04-13,19,19,False,0.19,3.61
2005-04-14,61,61,False,0.61,37.21
2005-04-15,32,32,False,0.32,10.24
2005-04-16,71,71,False,0.71,50.41
2005-04-17,88,88,False,0.88,77.44
2005-04-18,50,50,False,0.5,25.0
2005-04-19,38,38,False,0.38,14.44
2005-04-20,29,29,False,0.29,8.41
2005-04-21,52,52,False,0.52,27.04
2005-04-22,75,75,False,0.75,56.25
2005-04-23,16,16,False,0.16,2.56
2005-04-24,65,65,False,0.65,42.25
2005-04-25,29,29,False,0.29,8.41
2005-04-26,57,57,False,0.57,32.489999999999995
2005-04-27,57,57,False,0.57,32.489999999999995
2005-04-28,38,38,False,0.38,14.44
2005-04-29,41,41,False,0.41,16.81
2005-04-30,16,16,False,0.16,2.56
2005-05-01,66,66,False,0.66,43.56
2005-05-02,46,46,False,0.46,21.16
2005-05-03,15,15,False,0.15,2.25
2005-05-04,100,100,False,1.0,100.0
2005-05-05,47,47,False,0.47,22.09
2005-05-06,51,51,False,0.51,26.01
2005-05-07,72,72,False,0.72,51.839999999999996
2005-05-08,86,86,False,0.86,73.96
2005-05-09,71,71,False,0.71,50.41
2005-05-10,23,23,False,0.23,5.29
2005-05-11,56,56,False,0.56,31.360000000000003
2005-05-12,24,24,False,0.24,5.76
2005-05-13,52,52,False,0.52,27.04
2005-05-14,28,28,False,0.28,7.840000000000001
2005-05-15,41,41,False,0.41,16.81
2005-05-16,55,55,False,0.55,30.250000000000004
2005-05-17,38,38,False,0.38,14.44
2005-05-18,31,31,False,0.31,9.61
