date,costly meaning_unscaled,costly meaning_monthly,isPartial,scale,costly meaning
2007-05-01,100,100.0,False,1.0,100.0
2007-05-02,0,100.0,,1.0,0.0
2007-05-03,0,100.0,,1.0,0.0
2007-05-04,0,100.0,,1.0,0.0
2007-05-05,0,100.0,,1.0,0.0
2007-05-06,0,100.0,,1.0,0.0
2007-05-07,0,100.0,,1.0,0.0
2007-05-08,0,100.0,,1.0,0.0
2007-05-09,0,100.0,,1.0,0.0
2007-05-10,0,100.0,,1.0,0.0
2007-05-11,0,100.0,,1.0,0.0
2007-05-12,0,100.0,,1.0,0.0
2007-05-13,0,100.0,,1.0,0.0
2007-05-14,0,100.0,,1.0,0.0
2007-05-15,0,100.0,,1.0,0.0
2007-05-16,0,100.0,,1.0,0.0
2007-05-17,0,100.0,,1.0,0.0
2007-05-18,0,100.0,,1.0,0.0
2007-05-19,0,100.0,,1.0,0.0
2007-05-20,0,100.0,,1.0,0.0
2007-05-21,0,100.0,,1.0,0.0
2007-05-22,0,100.0,,1.0,0.0
2007-05-23,0,100.0,,1.0,0.0
2007-05-24,0,100.0,,1.0,0.0
2007-05-25,0,100.0,,1.0,0.0
2007-05-26,0,100.0,,1.0,0.0
2007-05-27,0,100.0,,1.0,0.0
2007-05-28,0,100.0,,1.0,0.0
2007-05-29,0,100.0,,1.0,0.0
2007-05-30,0,100.0,,1.0,0.0
2007-05-31,0,100.0,,1.0,0.0
2008-08-01,0,0.0,False,0.0,0.0
2008-08-02,0,0.0,,0.0,0.0
2008-08-03,0,0.0,,0.0,0.0
2008-08-04,0,0.0,,0.0,0.0
2008-08-05,0,0.0,,0.0,0.0
2008-08-06,0,0.0,,0.0,0.0
2008-08-07,0,0.0,,0.0,0.0
2008-08-08,0,0.0,,0.0,0.0
2008-08-09,0,0.0,,0.0,0.0
2008-08-10,0,0.0,,0.0,0.0
2008-08-11,0,0.0,,0.0,0.0
2008-08-12,0,0.0,,0.0,0.0
2008-08-13,0,0.0,,0.0,0.0
2008-08-14,0,0.0,,0.0,0.0
2008-08-15,0,0.0,,0.0,0.0
2008-08-16,0,0.0,,0.0,0.0
2008-08-17,0,0.0,,0.0,0.0
2008-08-18,0,0.0,,0.0,0.0
2008-08-19,0,0.0,,0.0,0.0
2008-08-20,0,0.0,,0.0,0.0
2008-08-21,0,0.0,,0.0,0.0
2008-08-22,0,0.0,,0.0,0.0
2008-08-23,0,0.0,,0.0,0.0
2008-08-24,0,0.0,,0.0,0.0
2008-08-25,0,0.0,,0.0,0.0
2008-08-26,0,0.0,,0.0,0.0
2008-08-27,0,0.0,,0.0,0.0
2008-08-28,100,0.0,,0.0,0.0
2008-08-29,0,0.0,,0.0,0.0
2008-08-30,0,0.0,,0.0,0.0
2008-08-31,0,0.0,,0.0,0.0
2009-05-01,0,0.0,False,0.0,0.0
2009-05-02,0,0.0,,0.0,0.0
2009-05-03,0,0.0,,0.0,0.0
2009-05-04,0,0.0,,0.0,0.0
2009-05-05,0,0.0,,0.0,0.0
2009-05-06,0,0.0,,0.0,0.0
2009-05-07,0,0.0,,0.0,0.0
2009-05-08,0,0.0,,0.0,0.0
2009-05-09,0,0.0,,0.0,0.0
2009-05-10,0,0.0,,0.0,0.0
2009-05-11,0,0.0,,0.0,0.0
2009-05-12,0,0.0,,0.0,0.0
2009-05-13,0,0.0,,0.0,0.0
2009-05-14,0,0.0,,0.0,0.0
2009-05-15,0,0.0,,0.0,0.0
2009-05-16,0,0.0,,0.0,0.0
2009-05-17,0,0.0,,0.0,0.0
2009-05-18,0,0.0,,0.0,0.0
2009-05-19,0,0.0,,0.0,0.0
2009-05-20,0,0.0,,0.0,0.0
2009-05-21,0,0.0,,0.0,0.0
2009-05-22,0,0.0,,0.0,0.0
2009-05-23,0,0.0,,0.0,0.0
2009-05-24,0,0.0,,0.0,0.0
2009-05-25,100,0.0,,0.0,0.0
2009-05-26,0,0.0,,0.0,0.0
2009-05-27,0,0.0,,0.0,0.0
2009-05-28,0,0.0,,0.0,0.0
2009-05-29,0,0.0,,0.0,0.0
2009-05-30,0,0.0,,0.0,0.0
2009-05-31,0,0.0,,0.0,0.0
2010-01-01,0,57.0,False,0.57,0.0
2010-01-02,0,57.0,,0.57,0.0
2010-01-03,0,57.0,,0.57,0.0
2010-01-04,0,57.0,,0.57,0.0
2010-01-05,0,57.0,,0.57,0.0
2010-01-06,0,57.0,,0.57,0.0
2010-01-07,0,57.0,,0.57,0.0
2010-01-08,0,57.0,,0.57,0.0
2010-01-09,0,57.0,,0.57,0.0
2010-01-10,0,57.0,,0.57,0.0
2010-01-11,0,57.0,,0.57,0.0
2010-01-12,0,57.0,,0.57,0.0
2010-01-13,0,57.0,,0.57,0.0
2010-01-14,0,57.0,,0.57,0.0
2010-01-15,0,57.0,,0.57,0.0
2010-01-16,0,57.0,,0.57,0.0
2010-01-17,0,57.0,,0.57,0.0
2010-01-18,0,57.0,,0.57,0.0
2010-01-19,0,57.0,,0.57,0.0
2010-01-20,0,57.0,,0.57,0.0
2010-01-21,0,57.0,,0.57,0.0
2010-01-22,0,57.0,,0.57,0.0
2010-01-23,0,57.0,,0.57,0.0
2010-01-24,0,57.0,,0.57,0.0
2010-01-25,0,57.0,,0.57,0.0
2010-01-26,100,57.0,,0.57,56.99999999999999
2010-01-27,0,57.0,,0.57,0.0
2010-01-28,0,57.0,,0.57,0.0
2010-01-29,0,57.0,,0.57,0.0
2010-01-30,0,57.0,,0.57,0.0
2010-01-31,0,57.0,,0.57,0.0
2010-09-01,0,48.0,False,0.48,0.0
2010-09-02,0,48.0,,0.48,0.0
2010-09-03,0,48.0,,0.48,0.0
2010-09-04,0,48.0,,0.48,0.0
