date,creditor_unscaled,creditor_monthly,isPartial,scale,creditor
2005-01-01,0,67.0,False,0.67,0.0
2005-01-02,72,67.0,,0.67,48.24
2005-01-03,22,67.0,,0.67,14.74
2005-01-04,24,67.0,,0.67,16.080000000000002
2005-01-05,22,67.0,,0.67,14.74
2005-01-06,49,67.0,,0.67,32.830000000000005
2005-01-07,23,67.0,,0.67,15.41
2005-01-08,0,67.0,,0.67,0.0
2005-01-09,0,67.0,,0.67,0.0
2005-01-10,20,67.0,,0.67,13.4
2005-01-11,0,67.0,,0.67,0.0
2005-01-12,100,67.0,,0.67,67.0
2005-01-13,22,67.0,,0.67,14.74
2005-01-14,21,67.0,,0.67,14.07
2005-01-15,0,67.0,,0.67,0.0
2005-01-16,0,67.0,,0.67,0.0
2005-01-17,25,67.0,,0.67,16.75
2005-01-18,0,67.0,,0.67,0.0
2005-01-19,34,67.0,,0.67,22.78
2005-01-20,0,67.0,,0.67,0.0
2005-01-21,49,67.0,,0.67,32.830000000000005
2005-01-22,37,67.0,,0.67,24.790000000000003
2005-01-23,31,67.0,,0.67,20.77
2005-01-24,54,67.0,,0.67,36.18
2005-01-25,32,67.0,,0.67,21.44
2005-01-26,46,67.0,,0.67,30.82
2005-01-27,20,67.0,,0.67,13.4
2005-01-28,46,67.0,,0.67,30.82
2005-01-29,37,67.0,,0.67,24.790000000000003
2005-01-30,0,67.0,,0.67,0.0
2005-01-31,39,67.0,,0.67,26.130000000000003
2005-02-01,89,59.0,False,0.59,52.51
2005-02-02,0,59.0,,0.59,0.0
2005-02-03,93,59.0,,0.59,54.87
2005-02-04,0,59.0,,0.59,0.0
2005-02-05,0,59.0,,0.59,0.0
2005-02-06,0,59.0,,0.59,0.0
2005-02-07,31,59.0,,0.59,18.29
2005-02-08,87,59.0,,0.59,51.33
2005-02-09,0,59.0,,0.59,0.0
2005-02-10,30,59.0,,0.59,17.7
2005-02-11,32,59.0,,0.59,18.88
2005-02-12,51,59.0,,0.59,30.09
2005-02-13,0,59.0,,0.59,0.0
2005-02-14,60,59.0,,0.59,35.4
2005-02-15,60,59.0,,0.59,35.4
2005-02-16,30,59.0,,0.59,17.7
2005-02-17,30,59.0,,0.59,17.7
2005-02-18,32,59.0,,0.59,18.88
2005-02-19,100,59.0,,0.59,59.0
2005-02-20,51,59.0,,0.59,30.09
2005-02-21,33,59.0,,0.59,19.47
2005-02-22,0,59.0,,0.59,0.0
2005-02-23,58,59.0,,0.59,34.22
2005-02-24,29,59.0,,0.59,17.11
2005-02-25,0,59.0,,0.59,0.0
2005-02-26,0,59.0,,0.59,0.0
2005-02-27,0,59.0,,0.59,0.0
2005-02-28,0,59.0,,0.59,0.0
2005-03-01,0,92.0,False,0.92,0.0
2005-03-02,52,92.0,,0.92,47.84
2005-03-03,0,92.0,,0.92,0.0
2005-03-04,28,92.0,,0.92,25.76
2005-03-05,43,92.0,,0.92,39.56
2005-03-06,44,92.0,,0.92,40.480000000000004
2005-03-07,0,92.0,,0.92,0.0
2005-03-08,100,92.0,,0.92,92.0
2005-03-09,26,92.0,,0.92,23.92
2005-03-10,79,92.0,,0.92,72.68
2005-03-11,0,92.0,,0.92,0.0
2005-03-12,0,92.0,,0.92,0.0
2005-03-13,0,92.0,,0.92,0.0
2005-03-14,51,92.0,,0.92,46.92
2005-03-15,25,92.0,,0.92,23.0
2005-03-16,51,92.0,,0.92,46.92
2005-03-17,53,92.0,,0.92,48.760000000000005
2005-03-18,28,92.0,,0.92,25.76
2005-03-19,43,92.0,,0.92,39.56
2005-03-20,44,92.0,,0.92,40.480000000000004
2005-03-21,26,92.0,,0.92,23.92
2005-03-22,77,92.0,,0.92,70.84
2005-03-23,51,92.0,,0.92,46.92
2005-03-24,27,92.0,,0.92,24.84
2005-03-25,64,92.0,,0.92,58.88
2005-03-26,0,92.0,,0.92,0.0
2005-03-27,0,92.0,,0.92,0.0
2005-03-28,21,92.0,,0.92,19.32
2005-03-29,26,92.0,,0.92,23.92
2005-03-30,0,92.0,,0.92,0.0
2005-03-31,27,92.0,,0.92,24.84
2005-04-01,0,70.0,False,0.7,0.0
2005-04-02,0,70.0,,0.7,0.0
2005-04-03,0,70.0,,0.7,0.0
2005-04-04,100,70.0,,0.7,70.0
2005-04-05,0,70.0,,0.7,0.0
2005-04-06,0,70.0,,0.7,0.0
2005-04-07,24,70.0,,0.7,16.799999999999997
2005-04-08,27,70.0,,0.7,18.9
2005-04-09,43,70.0,,0.7,30.099999999999998
2005-04-10,42,70.0,,0.7,29.4
2005-04-11,47,70.0,,0.7,32.9
2005-04-12,22,70.0,,0.7,15.399999999999999
2005-04-13,93,70.0,,0.7,65.1
2005-04-14,0,70.0,,0.7,0.0
2005-04-15,26,70.0,,0.7,18.2
2005-04-16,0,70.0,,0.7,0.0
2005-04-17,0,70.0,,0.7,0.0
2005-04-18,48,70.0,,0.7,33.599999999999994
2005-04-19,23,70.0,,0.7,16.099999999999998
2005-04-20,0,70.0,,0.7,0.0
2005-04-21,50,70.0,,0.7,35.0
2005-04-22,0,70.0,,0.7,0.0
2005-04-23,39,70.0,,0.7,27.299999999999997
2005-04-24,0,70.0,,0.7,0.0
2005-04-25,23,70.0,,0.7,16.099999999999998
2005-04-26,23,70.0,,0.7,16.099999999999998
2005-04-27,23,70.0,,0.7,16.099999999999998
2005-04-28,45,70.0,,0.7,31.499999999999996
2005-04-29,25,70.0,,0.7,17.5
2005-04-30,0,70.0,,0.7,0.0
2005-05-01,0,72.0,False,0.72,0.0
2005-05-02,25,72.0,,0.72,18.0
2005-05-03,0,72.0,,0.72,0.0
2005-05-04,100,72.0,,0.72,72.0
2005-05-05,67,72.0,,0.72,48.239999999999995
2005-05-06,28,72.0,,0.72,20.16
2005-05-07,0,72.0,,0.72,0.0
2005-05-08,46,72.0,,0.72,33.12
2005-05-09,27,72.0,,0.72,19.439999999999998
2005-05-10,75,72.0,,0.72,54.0
2005-05-11,29,72.0,,0.72,20.88
2005-05-12,29,72.0,,0.72,20.88
2005-05-13,31,72.0,,0.72,22.32
2005-05-14,45,72.0,,0.72,32.4
2005-05-15,88,72.0,,0.72,63.36
2005-05-16,56,72.0,,0.72,40.32
2005-05-17,27,72.0,,0.72,19.439999999999998
2005-05-18,57,72.0,,0.72,41.04
2005-05-19,28,72.0,,0.72,20.16
2005-05-20,31,72.0,,0.72,22.32
2005-05-21,0,72.0,,0.72,0.0
2005-05-22,45,72.0,,0.72,32.4
2005-05-23,0,72.0,,0.72,0.0
2005-05-24,25,72.0,,0.72,18.0
