date,cyber security_unscaled,cyber security_monthly,isPartial,scale,cyber security
2005-01-01,0,7.0,False,0.07,0.0
2005-01-02,0,7.0,,0.07,0.0
2005-01-03,0,7.0,,0.07,0.0
2005-01-04,0,7.0,,0.07,0.0
2005-01-05,0,7.0,,0.07,0.0
2005-01-06,0,7.0,,0.07,0.0
2005-01-07,0,7.0,,0.07,0.0
2005-01-08,0,7.0,,0.07,0.0
2005-01-09,0,7.0,,0.07,0.0
2005-01-10,32,7.0,,0.07,2.24
2005-01-11,0,7.0,,0.07,0.0
2005-01-12,0,7.0,,0.07,0.0
2005-01-13,33,7.0,,0.07,2.31
2005-01-14,34,7.0,,0.07,2.3800000000000003
2005-01-15,0,7.0,,0.07,0.0
2005-01-16,0,7.0,,0.07,0.0
2005-01-17,0,7.0,,0.07,0.0
2005-01-18,0,7.0,,0.07,0.0
2005-01-19,0,7.0,,0.07,0.0
2005-01-20,0,7.0,,0.07,0.0
2005-01-21,0,7.0,,0.07,0.0
2005-01-22,0,7.0,,0.07,0.0
2005-01-23,0,7.0,,0.07,0.0
2005-01-24,32,7.0,,0.07,2.24
2005-01-25,31,7.0,,0.07,2.1700000000000004
2005-01-26,32,7.0,,0.07,2.24
2005-01-27,0,7.0,,0.07,0.0
2005-01-28,33,7.0,,0.07,2.31
2005-01-29,0,7.0,,0.07,0.0
2005-01-30,100,7.0,,0.07,7.000000000000001
2005-01-31,0,7.0,,0.07,0.0
2005-02-01,0,8.0,False,0.08,0.0
2005-02-02,0,8.0,,0.08,0.0
2005-02-03,0,8.0,,0.08,0.0
2005-02-04,64,8.0,,0.08,5.12
2005-02-05,0,8.0,,0.08,0.0
2005-02-06,0,8.0,,0.08,0.0
2005-02-07,30,8.0,,0.08,2.4
2005-02-08,29,8.0,,0.08,2.32
2005-02-09,0,8.0,,0.08,0.0
2005-02-10,30,8.0,,0.08,2.4
2005-02-11,0,8.0,,0.08,0.0
2005-02-12,0,8.0,,0.08,0.0
2005-02-13,48,8.0,,0.08,3.84
2005-02-14,0,8.0,,0.08,0.0
2005-02-15,0,8.0,,0.08,0.0
2005-02-16,0,8.0,,0.08,0.0
2005-02-17,30,8.0,,0.08,2.4
2005-02-18,0,8.0,,0.08,0.0
2005-02-19,0,8.0,,0.08,0.0
2005-02-20,100,8.0,,0.08,8.0
2005-02-21,0,8.0,,0.08,0.0
2005-02-22,0,8.0,,0.08,0.0
2005-02-23,0,8.0,,0.08,0.0
2005-02-24,29,8.0,,0.08,2.32
2005-02-25,31,8.0,,0.08,2.48
2005-02-26,0,8.0,,0.08,0.0
2005-02-27,0,8.0,,0.08,0.0
2005-02-28,29,8.0,,0.08,2.32
2005-03-01,0,10.0,False,0.1,0.0
2005-03-02,0,10.0,,0.1,0.0
2005-03-03,0,10.0,,0.1,0.0
2005-03-04,55,10.0,,0.1,5.5
2005-03-05,0,10.0,,0.1,0.0
2005-03-06,0,10.0,,0.1,0.0
2005-03-07,0,10.0,,0.1,0.0
2005-03-08,0,10.0,,0.1,0.0
2005-03-09,0,10.0,,0.1,0.0
2005-03-10,50,10.0,,0.1,5.0
2005-03-11,0,10.0,,0.1,0.0
2005-03-12,0,10.0,,0.1,0.0
2005-03-13,0,10.0,,0.1,0.0
2005-03-14,0,10.0,,0.1,0.0
2005-03-15,0,10.0,,0.1,0.0
2005-03-16,100,10.0,,0.1,10.0
2005-03-17,0,10.0,,0.1,0.0
2005-03-18,54,10.0,,0.1,5.4
2005-03-19,0,10.0,,0.1,0.0
2005-03-20,0,10.0,,0.1,0.0
2005-03-21,100,10.0,,0.1,10.0
2005-03-22,0,10.0,,0.1,0.0
2005-03-23,0,10.0,,0.1,0.0
2005-03-24,0,10.0,,0.1,0.0
2005-03-25,0,10.0,,0.1,0.0
2005-03-26,0,10.0,,0.1,0.0
2005-03-27,0,10.0,,0.1,0.0
2005-03-28,42,10.0,,0.1,4.2
2005-03-29,50,10.0,,0.1,5.0
2005-03-30,51,10.0,,0.1,5.1000000000000005
2005-03-31,52,10.0,,0.1,5.2
2005-04-01,0,6.0,False,0.06,0.0
2005-04-02,0,6.0,,0.06,0.0
2005-04-03,0,6.0,,0.06,0.0
2005-04-04,0,6.0,,0.06,0.0
2005-04-05,0,6.0,,0.06,0.0
2005-04-06,0,6.0,,0.06,0.0
2005-04-07,0,6.0,,0.06,0.0
2005-04-08,0,6.0,,0.06,0.0
2005-04-09,0,6.0,,0.06,0.0
2005-04-10,0,6.0,,0.06,0.0
2005-04-11,0,6.0,,0.06,0.0
2005-04-12,0,6.0,,0.06,0.0
2005-04-13,100,6.0,,0.06,6.0
2005-04-14,35,6.0,,0.06,2.1
2005-04-15,0,6.0,,0.06,0.0
2005-04-16,0,6.0,,0.06,0.0
2005-04-17,0,6.0,,0.06,0.0
2005-04-18,0,6.0,,0.06,0.0
2005-04-19,0,6.0,,0.06,0.0
2005-04-20,0,6.0,,0.06,0.0
2005-04-21,36,6.0,,0.06,2.16
2005-04-22,37,6.0,,0.06,2.2199999999999998
2005-04-23,0,6.0,,0.06,0.0
2005-04-24,0,6.0,,0.06,0.0
2005-04-25,33,6.0,,0.06,1.98
2005-04-26,33,6.0,,0.06,1.98
2005-04-27,33,6.0,,0.06,1.98
2005-04-28,0,6.0,,0.06,0.0
2005-04-29,0,6.0,,0.06,0.0
2005-04-30,0,6.0,,0.06,0.0
2005-05-01,0,7.0,False,0.07,0.0
2005-05-02,56,7.0,,0.07,3.9200000000000004
2005-05-03,0,7.0,,0.07,0.0
2005-05-04,57,7.0,,0.07,3.99
2005-05-05,0,7.0,,0.07,0.0
2005-05-06,0,7.0,,0.07,0.0
2005-05-07,0,7.0,,0.07,0.0
2005-05-08,0,7.0,,0.07,0.0
2005-05-09,0,7.0,,0.07,0.0
2005-05-10,0,7.0,,0.07,0.0
2005-05-11,58,7.0,,0.07,4.0600000000000005
