date,deficit fiscal_unscaled,deficit fiscal_monthly,isPartial,scale,deficit fiscal
2005-01-01,0,0.0,False,0.0,0.0
2005-01-02,0,0.0,,0.0,0.0
2005-01-03,0,0.0,,0.0,0.0
2005-01-04,0,0.0,,0.0,0.0
2005-01-05,0,0.0,,0.0,0.0
2005-01-06,0,0.0,,0.0,0.0
2005-01-07,0,0.0,,0.0,0.0
2005-01-08,0,0.0,,0.0,0.0
2005-01-09,0,0.0,,0.0,0.0
2005-01-10,0,0.0,,0.0,0.0
2005-01-11,87,0.0,,0.0,0.0
2005-01-12,0,0.0,,0.0,0.0
2005-01-13,0,0.0,,0.0,0.0
2005-01-14,0,0.0,,0.0,0.0
2005-01-15,0,0.0,,0.0,0.0
2005-01-16,0,0.0,,0.0,0.0
2005-01-17,100,0.0,,0.0,0.0
2005-01-18,0,0.0,,0.0,0.0
2005-01-19,0,0.0,,0.0,0.0
2005-01-20,0,0.0,,0.0,0.0
2005-01-21,90,0.0,,0.0,0.0
2005-01-22,0,0.0,,0.0,0.0
2005-01-23,0,0.0,,0.0,0.0
2005-01-24,0,0.0,,0.0,0.0
2005-01-25,0,0.0,,0.0,0.0
2005-01-26,0,0.0,,0.0,0.0
2005-01-27,0,0.0,,0.0,0.0
2005-01-28,0,0.0,,0.0,0.0
2005-01-29,0,0.0,,0.0,0.0
2005-01-30,0,0.0,,0.0,0.0
2005-01-31,0,0.0,,0.0,0.0
2005-02-01,0,38.0,False,0.38,0.0
2005-02-02,0,38.0,,0.38,0.0
2005-02-03,61,38.0,,0.38,23.18
2005-02-04,63,38.0,,0.38,23.94
2005-02-05,0,38.0,,0.38,0.0
2005-02-06,0,38.0,,0.38,0.0
2005-02-07,0,38.0,,0.38,0.0
2005-02-08,57,38.0,,0.38,21.66
2005-02-09,0,38.0,,0.38,0.0
2005-02-10,0,38.0,,0.38,0.0
2005-02-11,0,38.0,,0.38,0.0
2005-02-12,100,38.0,,0.38,38.0
2005-02-13,0,38.0,,0.38,0.0
2005-02-14,59,38.0,,0.38,22.42
2005-02-15,0,38.0,,0.38,0.0
2005-02-16,0,38.0,,0.38,0.0
2005-02-17,0,38.0,,0.38,0.0
2005-02-18,0,38.0,,0.38,0.0
2005-02-19,98,38.0,,0.38,37.24
2005-02-20,100,38.0,,0.38,38.0
2005-02-21,0,38.0,,0.38,0.0
2005-02-22,0,38.0,,0.38,0.0
2005-02-23,0,38.0,,0.38,0.0
2005-02-24,0,38.0,,0.38,0.0
2005-02-25,0,38.0,,0.38,0.0
2005-02-26,0,38.0,,0.38,0.0
2005-02-27,0,38.0,,0.38,0.0
2005-02-28,0,38.0,,0.38,0.0
2005-03-01,0,55.0,False,0.55,0.0
2005-03-02,0,55.0,,0.55,0.0
2005-03-03,0,55.0,,0.55,0.0
2005-03-04,65,55.0,,0.55,35.75
2005-03-05,100,55.0,,0.55,55.00000000000001
2005-03-06,0,55.0,,0.55,0.0
2005-03-07,0,55.0,,0.55,0.0
2005-03-08,0,55.0,,0.55,0.0
2005-03-09,0,55.0,,0.55,0.0
2005-03-10,62,55.0,,0.55,34.1
2005-03-11,0,55.0,,0.55,0.0
2005-03-12,99,55.0,,0.55,54.45
2005-03-13,0,55.0,,0.55,0.0
2005-03-14,0,55.0,,0.55,0.0
2005-03-15,0,55.0,,0.55,0.0
2005-03-16,0,55.0,,0.55,0.0
2005-03-17,0,55.0,,0.55,0.0
2005-03-18,0,55.0,,0.55,0.0
2005-03-19,0,55.0,,0.55,0.0
2005-03-20,0,55.0,,0.55,0.0
2005-03-21,0,55.0,,0.55,0.0
2005-03-22,59,55.0,,0.55,32.45
2005-03-23,0,55.0,,0.55,0.0
2005-03-24,0,55.0,,0.55,0.0
2005-03-25,0,55.0,,0.55,0.0
2005-03-26,0,55.0,,0.55,0.0
2005-03-27,0,55.0,,0.55,0.0
2005-03-28,0,55.0,,0.55,0.0
2005-03-29,0,55.0,,0.55,0.0
2005-03-30,0,55.0,,0.55,0.0
2005-03-31,0,55.0,,0.55,0.0
2005-04-01,0,18.0,False,0.18,0.0
2005-04-02,0,18.0,,0.18,0.0
2005-04-03,0,18.0,,0.18,0.0
2005-04-04,0,18.0,,0.18,0.0
2005-04-05,0,18.0,,0.18,0.0
2005-04-06,0,18.0,,0.18,0.0
2005-04-07,0,18.0,,0.18,0.0
2005-04-08,0,18.0,,0.18,0.0
2005-04-09,0,18.0,,0.18,0.0
2005-04-10,0,18.0,,0.18,0.0
2005-04-11,0,18.0,,0.18,0.0
2005-04-12,0,18.0,,0.18,0.0
2005-04-13,0,18.0,,0.18,0.0
2005-04-14,0,18.0,,0.18,0.0
2005-04-15,0,18.0,,0.18,0.0
2005-04-16,0,18.0,,0.18,0.0
2005-04-17,0,18.0,,0.18,0.0
2005-04-18,0,18.0,,0.18,0.0
2005-04-19,0,18.0,,0.18,0.0
2005-04-20,0,18.0,,0.18,0.0
2005-04-21,0,18.0,,0.18,0.0
2005-04-22,0,18.0,,0.18,0.0
2005-04-23,0,18.0,,0.18,0.0
2005-04-24,0,18.0,,0.18,0.0
2005-04-25,0,18.0,,0.18,0.0
2005-04-26,98,18.0,,0.18,17.64
2005-04-27,0,18.0,,0.18,0.0
2005-04-28,100,18.0,,0.18,18.0
2005-04-29,0,18.0,,0.18,0.0
2005-04-30,0,18.0,,0.18,0.0
2005-06-01,0,16.0,False,0.16,0.0
2005-06-02,0,16.0,,0.16,0.0
2005-06-03,0,16.0,,0.16,0.0
2005-06-04,0,16.0,,0.16,0.0
2005-06-05,0,16.0,,0.16,0.0
2005-06-06,0,16.0,,0.16,0.0
2005-06-07,0,16.0,,0.16,0.0
2005-06-08,0,16.0,,0.16,0.0
2005-06-09,0,16.0,,0.16,0.0
2005-06-10,0,16.0,,0.16,0.0
2005-06-11,0,16.0,,0.16,0.0
2005-06-12,0,16.0,,0.16,0.0
2005-06-13,0,16.0,,0.16,0.0
2005-06-14,0,16.0,,0.16,0.0
2005-06-15,0,16.0,,0.16,0.0
2005-06-16,0,16.0,,0.16,0.0
2005-06-17,0,16.0,,0.16,0.0
2005-06-18,0,16.0,,0.16,0.0
2005-06-19,0,16.0,,0.16,0.0
2005-06-20,0,16.0,,0.16,0.0
2005-06-21,0,16.0,,0.16,0.0
2005-06-22,0,16.0,,0.16,0.0
2005-06-23,0,16.0,,0.16,0.0
2005-06-24,100,16.0,,0.16,16.0
2005-06-25,0,16.0,,0.16,0.0
2005-06-26,0,16.0,,0.16,0.0
2005-06-27,0,16.0,,0.16,0.0
2005-06-28,0,16.0,,0.16,0.0
2005-06-29,0,16.0,,0.16,0.0
2005-06-30,0,16.0,,0.16,0.0
2005-07-01,0,25.0,False,0.25,0.0
2005-07-02,0,25.0,,0.25,0.0
2005-07-03,100,25.0,,0.25,25.0
2005-07-04,0,25.0,,0.25,0.0
2005-07-05,0,25.0,,0.25,0.0
2005-07-06,49,25.0,,0.25,12.25
2005-07-07,0,25.0,,0.25,0.0
2005-07-08,0,25.0,,0.25,0.0
2005-07-09,0,25.0,,0.25,0.0
2005-07-10,0,25.0,,0.25,0.0
2005-07-11,0,25.0,,0.25,0.0
2005-07-12,0,25.0,,0.25,0.0
2005-07-13,0,25.0,,0.25,0.0
2005-07-14,0,25.0,,0.25,0.0
2005-07-15,0,25.0,,0.25,0.0
2005-07-16,0,25.0,,0.25,0.0
2005-07-17,0,25.0,,0.25,0.0
2005-07-18,48,25.0,,0.25,12.0
2005-07-19,0,25.0,,0.25,0.0
2005-07-20,0,25.0,,0.25,0.0
2005-07-21,0,25.0,,0.25,0.0
2005-07-22,0,25.0,,0.25,0.0
2005-07-23,0,25.0,,0.25,0.0
2005-07-24,0,25.0,,0.25,0.0
2005-07-25,0,25.0,,0.25,0.0
2005-07-26,0,25.0,,0.25,0.0
2005-07-27,0,25.0,,0.25,0.0
2005-07-28,0,25.0,,0.25,0.0
2005-07-29,54,25.0,,0.25,13.5
2005-07-30,0,25.0,,0.25,0.0
2005-07-31,0,25.0,,0.25,0.0
2005-08-01,0,15.0,False,0.15,0.0
2005-08-02,0,15.0,,0.15,0.0
2005-08-03,0,15.0,,0.15,0.0
2005-08-04,0,15.0,,0.15,0.0
2005-08-05,0,15.0,,0.15,0.0
2005-08-06,0,15.0,,0.15,0.0
2005-08-07,0,15.0,,0.15,0.0
2005-08-08,0,15.0,,0.15,0.0
2005-08-09,0,15.0,,0.15,0.0
2005-08-10,0,15.0,,0.15,0.0
2005-08-11,0,15.0,,0.15,0.0
2005-08-12,0,15.0,,0.15,0.0
2005-08-13,0,15.0,,0.15,0.0
2005-08-14,0,15.0,,0.15,0.0
2005-08-15,0,15.0,,0.15,0.0
2005-08-16,100,15.0,,0.15,15.0
2005-08-17,0,15.0,,0.15,0.0
2005-08-18,0,15.0,,0.15,0.0
2005-08-19,0,15.0,,0.15,0.0
2005-08-20,0,15.0,,0.15,0.0
2005-08-21,0,15.0,,0.15,0.0
2005-08-22,0,15.0,,0.15,0.0
2005-08-23,0,15.0,,0.15,0.0
2005-08-24,0,15.0,,0.15,0.0
2005-08-25,0,15.0,,0.15,0.0
2005-08-26,0,15.0,,0.15,0.0
2005-08-27,0,15.0,,0.15,0.0
2005-08-28,0,15.0,,0.15,0.0
2005-08-29,0,15.0,,0.15,0.0
2005-08-30,0,15.0,,0.15,0.0
2005-08-31,0,15.0,,0.15,0.0
2005-09-01,68,14.0,False,0.14,9.520000000000001
2005-09-02,0,14.0,,0.14,0.0
2005-09-03,0,14.0,,0.14,0.0
2005-09-04,0,14.0,,0.14,0.0
2005-09-05,0,14.0,,0.14,0.0
2005-09-06,0,14.0,,0.14,0.0
2005-09-07,0,14.0,,0.14,0.0
2005-09-08,0,14.0,,0.14,0.0
2005-09-09,0,14.0,,0.14,0.0
2005-09-10,0,14.0,,0.14,0.0
2005-09-11,0,14.0,,0.14,0.0
2005-09-12,0,14.0,,0.14,0.0
2005-09-13,0,14.0,,0.14,0.0
2005-09-14,61,14.0,,0.14,8.540000000000001
2005-09-15,0,14.0,,0.14,0.0
2005-09-16,0,14.0,,0.14,0.0
2005-09-17,0,14.0,,0.14,0.0
2005-09-18,0,14.0,,0.14,0.0
2005-09-19,0,14.0,,0.14,0.0
2005-09-20,0,14.0,,0.14,0.0
2005-09-21,0,14.0,,0.14,0.0
2005-09-22,0,14.0,,0.14,0.0
2005-09-23,0,14.0,,0.14,0.0
2005-09-24,0,14.0,,0.14,0.0
2005-09-25,100,14.0,,0.14,14.000000000000002
2005-09-26,0,14.0,,0.14,0.0
2005-09-27,0,14.0,,0.14,0.0
2005-09-28,0,14.0,,0.14,0.0
2005-09-29,0,14.0,,0.14,0.0
2005-09-30,0,14.0,,0.14,0.0
2005-10-01,0,34.0,False,0.34,0.0
2005-10-02,0,34.0,,0.34,0.0
2005-10-03,52,34.0,,0.34,17.68
2005-10-04,50,34.0,,0.34,17.0
2005-10-05,0,34.0,,0.34,0.0
2005-10-06,0,34.0,,0.34,0.0
2005-10-07,0,34.0,,0.34,0.0
2005-10-08,0,34.0,,0.34,0.0
2005-10-09,0,34.0,,0.34,0.0
2005-10-10,0,34.0,,0.34,0.0
2005-10-11,0,34.0,,0.34,0.0
2005-10-12,0,34.0,,0.34,0.0
2005-10-13,0,34.0,,0.34,0.0
2005-10-14,0,34.0,,0.34,0.0
2005-10-15,0,34.0,,0.34,0.0
2005-10-16,0,34.0,,0.34,0.0
2005-10-17,0,34.0,,0.34,0.0
2005-10-18,100,34.0,,0.34,34.0
2005-10-19,0,34.0,,0.34,0.0
2005-10-20,0,34.0,,0.34,0.0
2005-10-21,0,34.0,,0.34,0.0
2005-10-22,0,34.0,,0.34,0.0
2005-10-23,0,34.0,,0.34,0.0
2005-10-24,0,34.0,,0.34,0.0
2005-10-25,50,34.0,,0.34,17.0
2005-10-26,0,34.0,,0.34,0.0
2005-10-27,51,34.0,,0.34,17.34
2005-10-28,0,34.0,,0.34,0.0
2005-10-29,0,34.0,,0.34,0.0
2005-10-30,0,34.0,,0.34,0.0
2005-10-31,0,34.0,,0.34,0.0
2005-11-01,0,27.0,False,0.27,0.0
2005-11-02,0,27.0,,0.27,0.0
2005-11-03,0,27.0,,0.27,0.0
2005-11-04,0,27.0,,0.27,0.0
2005-11-05,0,27.0,,0.27,0.0
2005-11-06,0,27.0,,0.27,0.0
2005-11-07,0,27.0,,0.27,0.0
2005-11-08,0,27.0,,0.27,0.0
2005-11-09,0,27.0,,0.27,0.0
2005-11-10,0,27.0,,0.27,0.0
2005-11-11,0,27.0,,0.27,0.0
2005-11-12,0,27.0,,0.27,0.0
2005-11-13,0,27.0,,0.27,0.0
2005-11-14,0,27.0,,0.27,0.0
2005-11-15,0,27.0,,0.27,0.0
2005-11-16,0,27.0,,0.27,0.0
2005-11-17,0,27.0,,0.27,0.0
2005-11-18,0,27.0,,0.27,0.0
2005-11-19,0,27.0,,0.27,0.0
2005-11-20,0,27.0,,0.27,0.0
2005-11-21,62,27.0,,0.27,16.740000000000002
2005-11-22,0,27.0,,0.27,0.0
2005-11-23,0,27.0,,0.27,0.0
2005-11-24,0,27.0,,0.27,0.0
2005-11-25,100,27.0,,0.27,27.0
2005-11-26,0,27.0,,0.27,0.0
2005-11-27,0,27.0,,0.27,0.0
2005-11-28,0,27.0,,0.27,0.0
2005-11-29,0,27.0,,0.27,0.0
2005-11-30,0,27.0,,0.27,0.0
2005-12-01,0,26.0,False,0.26,0.0
2005-12-02,48,26.0,,0.26,12.48
2005-12-03,0,26.0,,0.26,0.0
2005-12-04,0,26.0,,0.26,0.0
2005-12-05,0,26.0,,0.26,0.0
2005-12-06,44,26.0,,0.26,11.440000000000001
2005-12-07,0,26.0,,0.26,0.0
2005-12-08,0,26.0,,0.26,0.0
2005-12-09,0,26.0,,0.26,0.0
2005-12-10,0,26.0,,0.26,0.0
2005-12-11,0,26.0,,0.26,0.0
2005-12-12,0,26.0,,0.26,0.0
2005-12-13,0,26.0,,0.26,0.0
2005-12-14,0,26.0,,0.26,0.0
2005-12-15,0,26.0,,0.26,0.0
2005-12-16,100,26.0,,0.26,26.0
2005-12-17,0,26.0,,0.26,0.0
2005-12-18,0,26.0,,0.26,0.0
2005-12-19,0,26.0,,0.26,0.0
2005-12-20,0,26.0,,0.26,0.0
2005-12-21,51,26.0,,0.26,13.26
2005-12-22,54,26.0,,0.26,14.040000000000001
2005-12-23,0,26.0,,0.26,0.0
2005-12-24,92,26.0,,0.26,23.92
2005-12-25,0,26.0,,0.26,0.0
2005-12-26,0,26.0,,0.26,0.0
2005-12-27,0,26.0,,0.26,0.0
2005-12-28,0,26.0,,0.26,0.0
2005-12-29,0,26.0,,0.26,0.0
2005-12-30,0,26.0,,0.26,0.0
2005-12-31,0,26.0,,0.26,0.0
2006-01-01,0,23.0,False,0.23,0.0
2006-01-02,0,23.0,,0.23,0.0
2006-01-03,0,23.0,,0.23,0.0
2006-01-04,0,23.0,,0.23,0.0
2006-01-05,0,23.0,,0.23,0.0
2006-01-06,0,23.0,,0.23,0.0
2006-01-07,0,23.0,,0.23,0.0
2006-01-08,100,23.0,,0.23,23.0
2006-01-09,0,23.0,,0.23,0.0
2006-01-10,0,23.0,,0.23,0.0
2006-01-11,0,23.0,,0.23,0.0
2006-01-12,0,23.0,,0.23,0.0
2006-01-13,0,23.0,,0.23,0.0
2006-01-14,0,23.0,,0.23,0.0
2006-01-15,0,23.0,,0.23,0.0
2006-01-16,0,23.0,,0.23,0.0
2006-01-17,0,23.0,,0.23,0.0
2006-01-18,0,23.0,,0.23,0.0
2006-01-19,0,23.0,,0.23,0.0
2006-01-20,0,23.0,,0.23,0.0
2006-01-21,0,23.0,,0.23,0.0
2006-01-22,0,23.0,,0.23,0.0
2006-01-23,0,23.0,,0.23,0.0
2006-01-24,58,23.0,,0.23,13.34
2006-01-25,0,23.0,,0.23,0.0
2006-01-26,0,23.0,,0.23,0.0
2006-01-27,0,23.0,,0.23,0.0
2006-01-28,0,23.0,,0.23,0.0
2006-01-29,0,23.0,,0.23,0.0
2006-01-30,0,23.0,,0.23,0.0
2006-01-31,57,23.0,,0.23,13.110000000000001
2006-02-01,0,12.0,False,0.12,0.0
2006-02-02,0,12.0,,0.12,0.0
2006-02-03,100,12.0,,0.12,12.0
2006-02-04,0,12.0,,0.12,0.0
2006-02-05,0,12.0,,0.12,0.0
2006-02-06,0,12.0,,0.12,0.0
2006-02-07,0,12.0,,0.12,0.0
2006-02-08,93,12.0,,0.12,11.16
2006-02-09,0,12.0,,0.12,0.0
2006-02-10,0,12.0,,0.12,0.0
2006-02-11,0,12.0,,0.12,0.0
2006-02-12,0,12.0,,0.12,0.0
2006-02-13,0,12.0,,0.12,0.0
2006-02-14,0,12.0,,0.12,0.0
2006-02-15,95,12.0,,0.12,11.4
2006-02-16,93,12.0,,0.12,11.16
2006-02-17,0,12.0,,0.12,0.0
2006-02-18,0,12.0,,0.12,0.0
2006-02-19,0,12.0,,0.12,0.0
2006-02-20,0,12.0,,0.12,0.0
2006-02-21,94,12.0,,0.12,11.28
2006-02-22,0,12.0,,0.12,0.0
2006-02-23,0,12.0,,0.12,0.0
2006-02-24,0,12.0,,0.12,0.0
2006-02-25,0,12.0,,0.12,0.0
2006-02-26,0,12.0,,0.12,0.0
2006-02-27,0,12.0,,0.12,0.0
2006-02-28,0,12.0,,0.12,0.0
2006-03-01,0,26.0,False,0.26,0.0
2006-03-02,0,26.0,,0.26,0.0
2006-03-03,0,26.0,,0.26,0.0
2006-03-04,100,26.0,,0.26,26.0
2006-03-05,100,26.0,,0.26,26.0
2006-03-06,0,26.0,,0.26,0.0
2006-03-07,62,26.0,,0.26,16.12
2006-03-08,0,26.0,,0.26,0.0
2006-03-09,0,26.0,,0.26,0.0
2006-03-10,0,26.0,,0.26,0.0
2006-03-11,0,26.0,,0.26,0.0
2006-03-12,0,26.0,,0.26,0.0
2006-03-13,0,26.0,,0.26,0.0
2006-03-14,0,26.0,,0.26,0.0
2006-03-15,0,26.0,,0.26,0.0
2006-03-16,0,26.0,,0.26,0.0
2006-03-17,0,26.0,,0.26,0.0
2006-03-18,0,26.0,,0.26,0.0
2006-03-19,100,26.0,,0.26,26.0
2006-03-20,0,26.0,,0.26,0.0
2006-03-21,0,26.0,,0.26,0.0
2006-03-22,0,26.0,,0.26,0.0
2006-03-23,0,26.0,,0.26,0.0
2006-03-24,68,26.0,,0.26,17.68
2006-03-25,99,26.0,,0.26,25.740000000000002
2006-03-26,0,26.0,,0.26,0.0
2006-03-27,63,26.0,,0.26,16.38
2006-03-28,0,26.0,,0.26,0.0
2006-03-29,0,26.0,,0.26,0.0
2006-03-30,0,26.0,,0.26,0.0
2006-03-31,0,26.0,,0.26,0.0
2006-04-01,0,34.0,False,0.34,0.0
2006-04-02,0,34.0,,0.34,0.0
2006-04-03,58,34.0,,0.34,19.720000000000002
2006-04-04,0,34.0,,0.34,0.0
2006-04-05,0,34.0,,0.34,0.0
2006-04-06,0,34.0,,0.34,0.0
2006-04-07,0,34.0,,0.34,0.0
2006-04-08,0,34.0,,0.34,0.0
2006-04-09,0,34.0,,0.34,0.0
2006-04-10,0,34.0,,0.34,0.0
2006-04-11,0,34.0,,0.34,0.0
2006-04-12,0,34.0,,0.34,0.0
2006-04-13,0,34.0,,0.34,0.0
2006-04-14,0,34.0,,0.34,0.0
2006-04-15,100,34.0,,0.34,34.0
2006-04-16,0,34.0,,0.34,0.0
2006-04-17,0,34.0,,0.34,0.0
2006-04-18,0,34.0,,0.34,0.0
2006-04-19,0,34.0,,0.34,0.0
2006-04-20,59,34.0,,0.34,20.060000000000002
2006-04-21,0,34.0,,0.34,0.0
2006-04-22,92,34.0,,0.34,31.28
2006-04-23,0,34.0,,0.34,0.0
2006-04-24,0,34.0,,0.34,0.0
2006-04-25,56,34.0,,0.34,19.040000000000003
2006-04-26,0,34.0,,0.34,0.0
2006-04-27,0,34.0,,0.34,0.0
2006-04-28,0,34.0,,0.34,0.0
2006-04-29,0,34.0,,0.34,0.0
2006-04-30,0,34.0,,0.34,0.0
2006-05-01,0,16.0,False,0.16,0.0
2006-05-02,0,16.0,,0.16,0.0
2006-05-03,0,16.0,,0.16,0.0
2006-05-04,0,16.0,,0.16,0.0
2006-05-05,0,16.0,,0.16,0.0
2006-05-06,0,16.0,,0.16,0.0
2006-05-07,0,16.0,,0.16,0.0
2006-05-08,0,16.0,,0.16,0.0
2006-05-09,100,16.0,,0.16,16.0
2006-05-10,0,16.0,,0.16,0.0
2006-05-11,0,16.0,,0.16,0.0
2006-05-12,0,16.0,,0.16,0.0
2006-05-13,0,16.0,,0.16,0.0
2006-05-14,0,16.0,,0.16,0.0
2006-05-15,0,16.0,,0.16,0.0
2006-05-16,0,16.0,,0.16,0.0
2006-05-17,0,16.0,,0.16,0.0
2006-05-18,53,16.0,,0.16,8.48
2006-05-19,57,16.0,,0.16,9.120000000000001
2006-05-20,0,16.0,,0.16,0.0
2006-05-21,0,16.0,,0.16,0.0
2006-05-22,53,16.0,,0.16,8.48
2006-05-23,0,16.0,,0.16,0.0
2006-05-24,0,16.0,,0.16,0.0
2006-05-25,0,16.0,,0.16,0.0
2006-05-26,0,16.0,,0.16,0.0
2006-05-27,0,16.0,,0.16,0.0
2006-05-28,0,16.0,,0.16,0.0
2006-05-29,0,16.0,,0.16,0.0
2006-05-30,0,16.0,,0.16,0.0
2006-05-31,0,16.0,,0.16,0.0
2006-06-01,0,34.0,False,0.34,0.0
2006-06-02,0,34.0,,0.34,0.0
2006-06-03,0,34.0,,0.34,0.0
2006-06-04,0,34.0,,0.34,0.0
2006-06-05,0,34.0,,0.34,0.0
2006-06-06,0,34.0,,0.34,0.0
2006-06-07,0,34.0,,0.34,0.0
2006-06-08,0,34.0,,0.34,0.0
2006-06-09,0,34.0,,0.34,0.0
2006-06-10,100,34.0,,0.34,34.0
2006-06-11,0,34.0,,0.34,0.0
2006-06-12,0,34.0,,0.34,0.0
2006-06-13,0,34.0,,0.34,0.0
2006-06-14,63,34.0,,0.34,21.42
2006-06-15,0,34.0,,0.34,0.0
2006-06-16,70,34.0,,0.34,23.8
2006-06-17,0,34.0,,0.34,0.0
