date,docker_unscaled,docker_monthly,isPartial,scale,docker
2005-01-01,0,1.0,False,0.01,0.0
2005-01-02,0,1.0,,0.01,0.0
2005-01-03,53,1.0,,0.01,0.53
2005-01-04,0,1.0,,0.01,0.0
2005-01-05,0,1.0,,0.01,0.0
2005-01-06,0,1.0,,0.01,0.0
2005-01-07,0,1.0,,0.01,0.0
2005-01-08,0,1.0,,0.01,0.0
2005-01-09,0,1.0,,0.01,0.0
2005-01-10,100,1.0,,0.01,1.0
2005-01-11,0,1.0,,0.01,0.0
2005-01-12,50,1.0,,0.01,0.5
2005-01-13,0,1.0,,0.01,0.0
2005-01-14,52,1.0,,0.01,0.52
2005-01-15,83,1.0,,0.01,0.8300000000000001
2005-01-16,0,1.0,,0.01,0.0
2005-01-17,0,1.0,,0.01,0.0
2005-01-18,0,1.0,,0.01,0.0
2005-01-19,0,1.0,,0.01,0.0
2005-01-20,0,1.0,,0.01,0.0
2005-01-21,0,1.0,,0.01,0.0
2005-01-22,0,1.0,,0.01,0.0
2005-01-23,0,1.0,,0.01,0.0
2005-01-24,0,1.0,,0.01,0.0
2005-01-25,0,1.0,,0.01,0.0
2005-01-26,0,1.0,,0.01,0.0
2005-01-27,49,1.0,,0.01,0.49
2005-01-28,0,1.0,,0.01,0.0
2005-01-29,0,1.0,,0.01,0.0
2005-01-30,0,1.0,,0.01,0.0
2005-01-31,0,1.0,,0.01,0.0
2005-02-01,0,4.0,False,0.04,0.0
2005-02-02,0,4.0,,0.04,0.0
2005-02-03,0,4.0,,0.04,0.0
2005-02-04,0,4.0,,0.04,0.0
2005-02-05,70,4.0,,0.04,2.8000000000000003
2005-02-06,0,4.0,,0.04,0.0
2005-02-07,43,4.0,,0.04,1.72
2005-02-08,0,4.0,,0.04,0.0
2005-02-09,41,4.0,,0.04,1.6400000000000001
2005-02-10,42,4.0,,0.04,1.68
2005-02-11,88,4.0,,0.04,3.52
2005-02-12,0,4.0,,0.04,0.0
2005-02-13,0,4.0,,0.04,0.0
2005-02-14,0,4.0,,0.04,0.0
2005-02-15,0,4.0,,0.04,0.0
2005-02-16,0,4.0,,0.04,0.0
2005-02-17,0,4.0,,0.04,0.0
2005-02-18,0,4.0,,0.04,0.0
2005-02-19,0,4.0,,0.04,0.0
2005-02-20,70,4.0,,0.04,2.8000000000000003
2005-02-21,92,4.0,,0.04,3.68
2005-02-22,40,4.0,,0.04,1.6
2005-02-23,0,4.0,,0.04,0.0
2005-02-24,0,4.0,,0.04,0.0
2005-02-25,0,4.0,,0.04,0.0
2005-02-26,0,4.0,,0.04,0.0
2005-02-27,100,4.0,,0.04,4.0
2005-02-28,0,4.0,,0.04,0.0
2005-03-01,0,4.0,False,0.04,0.0
2005-03-02,49,4.0,,0.04,1.96
2005-03-03,0,4.0,,0.04,0.0
2005-03-04,0,4.0,,0.04,0.0
2005-03-05,0,4.0,,0.04,0.0
2005-03-06,82,4.0,,0.04,3.2800000000000002
2005-03-07,97,4.0,,0.04,3.88
2005-03-08,46,4.0,,0.04,1.84
2005-03-09,0,4.0,,0.04,0.0
2005-03-10,0,4.0,,0.04,0.0
2005-03-11,0,4.0,,0.04,0.0
2005-03-12,80,4.0,,0.04,3.2
2005-03-13,81,4.0,,0.04,3.24
2005-03-14,0,4.0,,0.04,0.0
2005-03-15,47,4.0,,0.04,1.8800000000000001
2005-03-16,0,4.0,,0.04,0.0
2005-03-17,0,4.0,,0.04,0.0
2005-03-18,53,4.0,,0.04,2.12
2005-03-19,0,4.0,,0.04,0.0
2005-03-20,83,4.0,,0.04,3.3200000000000003
2005-03-21,0,4.0,,0.04,0.0
2005-03-22,0,4.0,,0.04,0.0
2005-03-23,0,4.0,,0.04,0.0
2005-03-24,52,4.0,,0.04,2.08
2005-03-25,60,4.0,,0.04,2.4
2005-03-26,0,4.0,,0.04,0.0
2005-03-27,56,4.0,,0.04,2.24
2005-03-28,0,4.0,,0.04,0.0
2005-03-29,49,4.0,,0.04,1.96
2005-03-30,100,4.0,,0.04,4.0
2005-03-31,0,4.0,,0.04,0.0
2005-04-01,0,2.0,False,0.02,0.0
2005-04-02,93,2.0,,0.02,1.86
2005-04-03,91,2.0,,0.02,1.82
2005-04-04,0,2.0,,0.02,0.0
2005-04-05,0,2.0,,0.02,0.0
2005-04-06,0,2.0,,0.02,0.0
2005-04-07,57,2.0,,0.02,1.1400000000000001
2005-04-08,0,2.0,,0.02,0.0
2005-04-09,0,2.0,,0.02,0.0
2005-04-10,100,2.0,,0.02,2.0
2005-04-11,0,2.0,,0.02,0.0
2005-04-12,0,2.0,,0.02,0.0
2005-04-13,54,2.0,,0.02,1.08
2005-04-14,0,2.0,,0.02,0.0
2005-04-15,0,2.0,,0.02,0.0
2005-04-16,0,2.0,,0.02,0.0
2005-04-17,100,2.0,,0.02,2.0
2005-04-18,55,2.0,,0.02,1.1
2005-04-19,0,2.0,,0.02,0.0
2005-04-20,55,2.0,,0.02,1.1
2005-04-21,0,2.0,,0.02,0.0
2005-04-22,61,2.0,,0.02,1.22
2005-04-23,93,2.0,,0.02,1.86
2005-04-24,0,2.0,,0.02,0.0
2005-04-25,53,2.0,,0.02,1.06
2005-04-26,0,2.0,,0.02,0.0
2005-04-27,53,2.0,,0.02,1.06
2005-04-28,0,2.0,,0.02,0.0
