date,early intervention_unscaled,early intervention_monthly,isPartial,scale,early intervention
2005-01-01,0,88.0,False,0.88,0.0
2005-01-02,0,88.0,,0.88,0.0
2005-01-03,51,88.0,,0.88,44.88
2005-01-04,38,88.0,,0.88,33.44
2005-01-05,29,88.0,,0.88,25.52
2005-01-06,48,88.0,,0.88,42.24
2005-01-07,20,88.0,,0.88,17.6
2005-01-08,31,88.0,,0.88,27.28
2005-01-09,0,88.0,,0.88,0.0
2005-01-10,38,88.0,,0.88,33.44
2005-01-11,18,88.0,,0.88,15.84
2005-01-12,19,88.0,,0.88,16.72
2005-01-13,28,88.0,,0.88,24.64
2005-01-14,100,88.0,,0.88,88.0
2005-01-15,32,88.0,,0.88,28.16
2005-01-16,32,88.0,,0.88,28.16
2005-01-17,43,88.0,,0.88,37.84
2005-01-18,55,88.0,,0.88,48.4
2005-01-19,47,88.0,,0.88,41.36
2005-01-20,38,88.0,,0.88,33.44
2005-01-21,19,88.0,,0.88,16.72
2005-01-22,30,88.0,,0.88,26.4
2005-01-23,57,88.0,,0.88,50.160000000000004
2005-01-24,18,88.0,,0.88,15.84
2005-01-25,71,88.0,,0.88,62.48
2005-01-26,46,88.0,,0.88,40.48
2005-01-27,18,88.0,,0.88,15.84
2005-01-28,38,88.0,,0.88,33.44
2005-01-29,30,88.0,,0.88,26.4
2005-01-30,0,88.0,,0.88,0.0
2005-01-31,45,88.0,,0.88,39.6
2005-02-01,19,97.0,False,0.97,18.43
2005-02-02,68,97.0,,0.97,65.96
2005-02-03,58,97.0,,0.97,56.26
2005-02-04,62,97.0,,0.97,60.14
2005-02-05,32,97.0,,0.97,31.04
2005-02-06,49,97.0,,0.97,47.53
2005-02-07,20,97.0,,0.97,19.4
2005-02-08,46,97.0,,0.97,44.62
2005-02-09,19,97.0,,0.97,18.43
2005-02-10,19,97.0,,0.97,18.43
2005-02-11,100,97.0,,0.97,97.0
2005-02-12,31,97.0,,0.97,30.07
2005-02-13,31,97.0,,0.97,30.07
2005-02-14,48,97.0,,0.97,46.56
2005-02-15,0,97.0,,0.97,0.0
2005-02-16,47,97.0,,0.97,45.589999999999996
2005-02-17,48,97.0,,0.97,46.56
2005-02-18,50,97.0,,0.97,48.5
2005-02-19,31,97.0,,0.97,30.07
2005-02-20,32,97.0,,0.97,31.04
2005-02-21,21,97.0,,0.97,20.37
2005-02-22,18,97.0,,0.97,17.46
2005-02-23,74,97.0,,0.97,71.78
2005-02-24,28,97.0,,0.97,27.16
2005-02-25,0,97.0,,0.97,0.0
2005-02-26,83,97.0,,0.97,80.50999999999999
2005-02-27,0,97.0,,0.97,0.0
2005-02-28,28,97.0,,0.97,27.16
2005-03-01,29,91.0,False,0.91,26.39
2005-03-02,30,91.0,,0.91,27.3
2005-03-03,21,91.0,,0.91,19.11
2005-03-04,43,91.0,,0.91,39.13
2005-03-05,68,91.0,,0.91,61.88
2005-03-06,34,91.0,,0.91,30.94
2005-03-07,41,91.0,,0.91,37.31
2005-03-08,57,91.0,,0.91,51.870000000000005
2005-03-09,60,91.0,,0.91,54.6
2005-03-10,100,91.0,,0.91,91.0
2005-03-11,32,91.0,,0.91,29.12
2005-03-12,0,91.0,,0.91,0.0
2005-03-13,67,91.0,,0.91,60.97
2005-03-14,30,91.0,,0.91,27.3
2005-03-15,29,91.0,,0.91,26.39
2005-03-16,79,91.0,,0.91,71.89
2005-03-17,72,91.0,,0.91,65.52
2005-03-18,45,91.0,,0.91,40.95
2005-03-19,34,91.0,,0.91,30.94
2005-03-20,34,91.0,,0.91,30.94
