date,entrepreneurs_unscaled,entrepreneurs_monthly,isPartial,scale,entrepreneurs
2005-01-01,0,87.0,False,0.87,0.0
2005-01-02,44,87.0,,0.87,38.28
2005-01-03,27,87.0,,0.87,23.49
2005-01-04,0,87.0,,0.87,0.0
2005-01-05,75,87.0,,0.87,65.25
2005-01-06,51,87.0,,0.87,44.37
2005-01-07,26,87.0,,0.87,22.62
2005-01-08,0,87.0,,0.87,0.0
2005-01-09,0,87.0,,0.87,0.0
2005-01-10,98,87.0,,0.87,85.26
2005-01-11,48,87.0,,0.87,41.76
2005-01-12,0,87.0,,0.87,0.0
2005-01-13,74,87.0,,0.87,64.38
2005-01-14,77,87.0,,0.87,66.99
2005-01-15,0,87.0,,0.87,0.0
2005-01-16,42,87.0,,0.87,36.54
2005-01-17,0,87.0,,0.87,0.0
2005-01-18,73,87.0,,0.87,63.51
2005-01-19,49,87.0,,0.87,42.63
2005-01-20,100,87.0,,0.87,87.0
2005-01-21,0,87.0,,0.87,0.0
2005-01-22,39,87.0,,0.87,33.93
2005-01-23,76,87.0,,0.87,66.12
2005-01-24,48,87.0,,0.87,41.76
2005-01-25,70,87.0,,0.87,60.9
2005-01-26,72,87.0,,0.87,62.64
2005-01-27,73,87.0,,0.87,63.51
2005-01-28,0,87.0,,0.87,0.0
2005-01-29,0,87.0,,0.87,0.0
2005-01-30,0,87.0,,0.87,0.0
2005-01-31,71,87.0,,0.87,61.77
2005-02-01,14,100.0,False,1.0,14.0
2005-02-02,14,100.0,,1.0,14.0
2005-02-03,85,100.0,,1.0,85.0
2005-02-04,75,100.0,,1.0,75.0
2005-02-05,0,100.0,,1.0,0.0
2005-02-06,0,100.0,,1.0,0.0
2005-02-07,14,100.0,,1.0,14.0
2005-02-08,13,100.0,,1.0,13.0
2005-02-09,28,100.0,,1.0,28.0
2005-02-10,28,100.0,,1.0,28.0
2005-02-11,87,100.0,,1.0,87.0
2005-02-12,23,100.0,,1.0,23.0
2005-02-13,0,100.0,,1.0,0.0
2005-02-14,28,100.0,,1.0,28.0
2005-02-15,41,100.0,,1.0,41.0
2005-02-16,41,100.0,,1.0,41.0
2005-02-17,42,100.0,,1.0,42.0
2005-02-18,29,100.0,,1.0,29.0
2005-02-19,23,100.0,,1.0,23.0
2005-02-20,70,100.0,,1.0,70.0
2005-02-21,15,100.0,,1.0,15.0
2005-02-22,27,100.0,,1.0,27.0
2005-02-23,40,100.0,,1.0,40.0
2005-02-24,41,100.0,,1.0,41.0
2005-02-25,29,100.0,,1.0,29.0
2005-02-26,61,100.0,,1.0,61.0
2005-02-27,100,100.0,,1.0,100.0
2005-02-28,27,100.0,,1.0,27.0
2005-03-01,55,66.0,False,0.66,36.300000000000004
2005-03-02,0,66.0,,0.66,0.0
2005-03-03,20,66.0,,0.66,13.200000000000001
2005-03-04,62,66.0,,0.66,40.92
2005-03-05,32,66.0,,0.66,21.12
2005-03-06,0,66.0,,0.66,0.0
2005-03-07,75,66.0,,0.66,49.5
2005-03-08,73,66.0,,0.66,48.18
2005-03-09,19,66.0,,0.66,12.540000000000001
2005-03-10,19,66.0,,0.66,12.540000000000001
2005-03-11,40,66.0,,0.66,26.400000000000002
2005-03-12,31,66.0,,0.66,20.46
2005-03-13,0,66.0,,0.66,0.0
2005-03-14,75,66.0,,0.66,49.5
2005-03-15,18,66.0,,0.66,11.88
2005-03-16,56,66.0,,0.66,36.96
2005-03-17,19,66.0,,0.66,12.540000000000001
2005-03-18,21,66.0,,0.66,13.860000000000001
2005-03-19,0,66.0,,0.66,0.0
2005-03-20,0,66.0,,0.66,0.0
2005-03-21,19,66.0,,0.66,12.540000000000001
2005-03-22,38,66.0,,0.66,25.080000000000002
2005-03-23,19,66.0,,0.66,12.540000000000001
2005-03-24,40,66.0,,0.66,26.400000000000002
2005-03-25,24,66.0,,0.66,15.84
2005-03-26,100,66.0,,0.66,66.0
2005-03-27,22,66.0,,0.66,14.520000000000001
2005-03-28,16,66.0,,0.66,10.56
2005-03-29,38,66.0,,0.66,25.080000000000002
2005-03-30,19,66.0,,0.66,12.540000000000001
2005-03-31,79,66.0,,0.66,52.14
2005-04-01,31,79.0,False,0.79,24.490000000000002
2005-04-02,0,79.0,,0.79,0.0
2005-04-03,0,79.0,,0.79,0.0
2005-04-04,0,79.0,,0.79,0.0
2005-04-05,0,79.0,,0.79,0.0
2005-04-06,58,79.0,,0.79,45.82
2005-04-07,29,79.0,,0.79,22.91
2005-04-08,16,79.0,,0.79,12.64
2005-04-09,77,79.0,,0.79,60.830000000000005
2005-04-10,100,79.0,,0.79,79.0
2005-04-11,14,79.0,,0.79,11.06
2005-04-12,80,79.0,,0.79,63.2
2005-04-13,27,79.0,,0.79,21.330000000000002
2005-04-14,29,79.0,,0.79,22.91
2005-04-15,30,79.0,,0.79,23.700000000000003
2005-04-16,25,79.0,,0.79,19.75
2005-04-17,0,79.0,,0.79,0.0
2005-04-18,28,79.0,,0.79,22.12
2005-04-19,41,79.0,,0.79,32.39
2005-04-20,28,79.0,,0.79,22.12
2005-04-21,0,79.0,,0.79,0.0
2005-04-22,0,79.0,,0.79,0.0
2005-04-23,0,79.0,,0.79,0.0
2005-04-24,0,79.0,,0.79,0.0
2005-04-25,0,79.0,,0.79,0.0
2005-04-26,40,79.0,,0.79,31.6
2005-04-27,27,79.0,,0.79,21.330000000000002
2005-04-28,27,79.0,,0.79,21.330000000000002
2005-04-29,15,79.0,,0.79,11.850000000000001
2005-04-30,45,79.0,,0.79,35.550000000000004
2005-05-01,42,61.0,False,0.61,25.62
2005-05-02,0,61.0,,0.61,0.0
2005-05-03,49,61.0,,0.61,29.89
2005-05-04,50,61.0,,0.61,30.5
2005-05-05,51,61.0,,0.61,31.11
2005-05-06,55,61.0,,0.61,33.55
2005-05-07,0,61.0,,0.61,0.0
2005-05-08,0,61.0,,0.61,0.0
2005-05-09,100,61.0,,0.61,61.0
2005-05-10,99,61.0,,0.61,60.39
2005-05-11,51,61.0,,0.61,31.11
2005-05-12,51,61.0,,0.61,31.11
2005-05-13,82,61.0,,0.61,50.019999999999996
2005-05-14,0,61.0,,0.61,0.0
2005-05-15,44,61.0,,0.61,26.84
2005-05-16,51,61.0,,0.61,31.11
2005-05-17,75,61.0,,0.61,45.75
2005-05-18,25,61.0,,0.61,15.25
2005-05-19,26,61.0,,0.61,15.86
2005-05-20,0,61.0,,0.61,0.0
2005-05-21,0,61.0,,0.61,0.0
2005-05-22,0,61.0,,0.61,0.0
2005-05-23,76,61.0,,0.61,46.36
2005-05-24,0,61.0,,0.61,0.0
2005-05-25,51,61.0,,0.61,31.11
2005-05-26,53,61.0,,0.61,32.33
2005-05-27,29,61.0,,0.61,17.69
2005-05-28,0,61.0,,0.61,0.0
2005-05-29,0,61.0,,0.61,0.0
2005-05-30,42,61.0,,0.61,25.62
2005-05-31,0,61.0,,0.61,0.0
2005-06-01,41,62.0,False,0.62,25.419999999999998
2005-06-02,41,62.0,,0.62,25.419999999999998
2005-06-03,15,62.0,,0.62,9.3
2005-06-04,47,62.0,,0.62,29.14
2005-06-05,24,62.0,,0.62,14.879999999999999
