date,equity bank_unscaled,equity bank_monthly,isPartial,scale,equity bank
2005-01-01,0,76.0,False,0.76,0.0
2005-01-02,57,76.0,,0.76,43.32
2005-01-03,34,76.0,,0.76,25.84
2005-01-04,0,76.0,,0.76,0.0
2005-01-05,32,76.0,,0.76,24.32
2005-01-06,66,76.0,,0.76,50.160000000000004
2005-01-07,34,76.0,,0.76,25.84
2005-01-08,53,76.0,,0.76,40.28
2005-01-09,0,76.0,,0.76,0.0
2005-01-10,0,76.0,,0.76,0.0
2005-01-11,62,76.0,,0.76,47.12
2005-01-12,0,76.0,,0.76,0.0
2005-01-13,0,76.0,,0.76,0.0
2005-01-14,100,76.0,,0.76,76.0
2005-01-15,53,76.0,,0.76,40.28
2005-01-16,0,76.0,,0.76,0.0
2005-01-17,0,76.0,,0.76,0.0
2005-01-18,31,76.0,,0.76,23.56
2005-01-19,32,76.0,,0.76,24.32
2005-01-20,65,76.0,,0.76,49.4
2005-01-21,33,76.0,,0.76,25.080000000000002
2005-01-22,0,76.0,,0.76,0.0
2005-01-23,49,76.0,,0.76,37.24
2005-01-24,0,76.0,,0.76,0.0
2005-01-25,61,76.0,,0.76,46.36
2005-01-26,0,76.0,,0.76,0.0
2005-01-27,32,76.0,,0.76,24.32
2005-01-28,32,76.0,,0.76,24.32
2005-01-29,50,76.0,,0.76,38.0
2005-01-30,0,76.0,,0.76,0.0
2005-01-31,0,76.0,,0.76,0.0
2005-02-01,32,87.0,False,0.87,27.84
2005-02-02,0,87.0,,0.87,0.0
2005-02-03,0,87.0,,0.87,0.0
2005-02-04,0,87.0,,0.87,0.0
2005-02-05,56,87.0,,0.87,48.72
2005-02-06,56,87.0,,0.87,48.72
2005-02-07,0,87.0,,0.87,0.0
2005-02-08,32,87.0,,0.87,27.84
2005-02-09,33,87.0,,0.87,28.71
2005-02-10,33,87.0,,0.87,28.71
2005-02-11,35,87.0,,0.87,30.45
2005-02-12,0,87.0,,0.87,0.0
2005-02-13,0,87.0,,0.87,0.0
2005-02-14,66,87.0,,0.87,57.42
2005-02-15,0,87.0,,0.87,0.0
2005-02-16,65,87.0,,0.87,56.55
2005-02-17,100,87.0,,0.87,87.0
2005-02-18,35,87.0,,0.87,30.45
2005-02-19,55,87.0,,0.87,47.85
2005-02-20,0,87.0,,0.87,0.0
2005-02-21,73,87.0,,0.87,63.51
2005-02-22,32,87.0,,0.87,27.84
2005-02-23,64,87.0,,0.87,55.68
2005-02-24,32,87.0,,0.87,27.84
2005-02-25,0,87.0,,0.87,0.0
2005-02-26,0,87.0,,0.87,0.0
2005-02-27,0,87.0,,0.87,0.0
2005-02-28,65,87.0,,0.87,56.55
2005-03-01,28,63.0,False,0.63,17.64
2005-03-02,14,63.0,,0.63,8.82
2005-03-03,30,63.0,,0.63,18.9
2005-03-04,0,63.0,,0.63,0.0
2005-03-05,24,63.0,,0.63,15.120000000000001
2005-03-06,24,63.0,,0.63,15.120000000000001
2005-03-07,28,63.0,,0.63,17.64
2005-03-08,14,63.0,,0.63,8.82
2005-03-09,28,63.0,,0.63,17.64
2005-03-10,29,63.0,,0.63,18.27
2005-03-11,30,63.0,,0.63,18.9
2005-03-12,0,63.0,,0.63,0.0
2005-03-13,23,63.0,,0.63,14.49
2005-03-14,14,63.0,,0.63,8.82
2005-03-15,14,63.0,,0.63,8.82
2005-03-16,14,63.0,,0.63,8.82
2005-03-17,0,63.0,,0.63,0.0
2005-03-18,0,63.0,,0.63,0.0
2005-03-19,0,63.0,,0.63,0.0
2005-03-20,0,63.0,,0.63,0.0
2005-03-21,0,63.0,,0.63,0.0
2005-03-22,0,63.0,,0.63,0.0
2005-03-23,14,63.0,,0.63,8.82
2005-03-24,15,63.0,,0.63,9.45
2005-03-25,0,63.0,,0.63,0.0
2005-03-26,100,63.0,,0.63,63.0
2005-03-27,0,63.0,,0.63,0.0
2005-03-28,0,63.0,,0.63,0.0
2005-03-29,14,63.0,,0.63,8.82
2005-03-30,0,63.0,,0.63,0.0
2005-03-31,15,63.0,,0.63,9.45
2005-04-01,0,58.0,False,0.58,0.0
2005-04-02,0,58.0,,0.58,0.0
2005-04-03,39,58.0,,0.58,22.619999999999997
2005-04-04,100,58.0,,0.58,57.99999999999999
2005-04-05,0,58.0,,0.58,0.0
2005-04-06,0,58.0,,0.58,0.0
2005-04-07,0,58.0,,0.58,0.0
2005-04-08,27,58.0,,0.58,15.659999999999998
2005-04-09,43,58.0,,0.58,24.939999999999998
2005-04-10,42,58.0,,0.58,24.36
2005-04-11,24,58.0,,0.58,13.919999999999998
2005-04-12,0,58.0,,0.58,0.0
2005-04-13,0,58.0,,0.58,0.0
2005-04-14,0,58.0,,0.58,0.0
2005-04-15,0,58.0,,0.58,0.0
2005-04-16,0,58.0,,0.58,0.0
2005-04-17,0,58.0,,0.58,0.0
2005-04-18,48,58.0,,0.58,27.839999999999996
2005-04-19,46,58.0,,0.58,26.68
2005-04-20,47,58.0,,0.58,27.259999999999998
2005-04-21,50,58.0,,0.58,28.999999999999996
2005-04-22,78,58.0,,0.58,45.239999999999995
2005-04-23,79,58.0,,0.58,45.82
2005-04-24,0,58.0,,0.58,0.0
2005-04-25,69,58.0,,0.58,40.019999999999996
2005-04-26,23,58.0,,0.58,13.34
2005-04-27,23,58.0,,0.58,13.34
2005-04-28,68,58.0,,0.58,39.44
2005-04-29,25,58.0,,0.58,14.499999999999998
2005-04-30,0,58.0,,0.58,0.0
2005-05-01,0,66.0,False,0.66,0.0
2005-05-02,100,66.0,,0.66,66.0
2005-05-03,50,66.0,,0.66,33.0
2005-05-04,25,66.0,,0.66,16.5
2005-05-05,52,66.0,,0.66,34.32
2005-05-06,0,66.0,,0.66,0.0
2005-05-07,47,66.0,,0.66,31.020000000000003
2005-05-08,93,66.0,,0.66,61.38
2005-05-09,51,66.0,,0.66,33.660000000000004
2005-05-10,76,66.0,,0.66,50.160000000000004
2005-05-11,26,66.0,,0.66,17.16
2005-05-12,0,66.0,,0.66,0.0
2005-05-13,0,66.0,,0.66,0.0
2005-05-14,0,66.0,,0.66,0.0
2005-05-15,0,66.0,,0.66,0.0
2005-05-16,0,66.0,,0.66,0.0
2005-05-17,25,66.0,,0.66,16.5
2005-05-18,25,66.0,,0.66,16.5
2005-05-19,26,66.0,,0.66,17.16
2005-05-20,85,66.0,,0.66,56.1
2005-05-21,0,66.0,,0.66,0.0
2005-05-22,91,66.0,,0.66,60.06
2005-05-23,26,66.0,,0.66,17.16
2005-05-24,25,66.0,,0.66,16.5
2005-05-25,77,66.0,,0.66,50.82
2005-05-26,0,66.0,,0.66,0.0
2005-05-27,30,66.0,,0.66,19.8
2005-05-28,0,66.0,,0.66,0.0
2005-05-29,0,66.0,,0.66,0.0
2005-05-30,0,66.0,,0.66,0.0
2005-05-31,26,66.0,,0.66,17.16
2005-06-01,33,81.0,False,0.81,26.73
2005-06-02,33,81.0,,0.81,26.73
2005-06-03,71,81.0,,0.81,57.510000000000005
2005-06-04,0,81.0,,0.81,0.0
2005-06-05,0,81.0,,0.81,0.0
2005-06-06,33,81.0,,0.81,26.73
2005-06-07,100,81.0,,0.81,81.0
2005-06-08,66,81.0,,0.81,53.46
2005-06-09,34,81.0,,0.81,27.540000000000003
2005-06-10,0,81.0,,0.81,0.0
2005-06-11,0,81.0,,0.81,0.0
2005-06-12,0,81.0,,0.81,0.0
2005-06-13,100,81.0,,0.81,81.0
2005-06-14,33,81.0,,0.81,26.73
2005-06-15,34,81.0,,0.81,27.540000000000003
2005-06-16,69,81.0,,0.81,55.89
2005-06-17,37,81.0,,0.81,29.970000000000002
2005-06-18,0,81.0,,0.81,0.0
2005-06-19,0,81.0,,0.81,0.0
2005-06-20,67,81.0,,0.81,54.27
2005-06-21,33,81.0,,0.81,26.73
2005-06-22,34,81.0,,0.81,27.540000000000003
2005-06-23,35,81.0,,0.81,28.35
2005-06-24,0,81.0,,0.81,0.0
2005-06-25,0,81.0,,0.81,0.0
2005-06-26,60,81.0,,0.81,48.6
2005-06-27,33,81.0,,0.81,26.73
2005-06-28,99,81.0,,0.81,80.19000000000001
2005-06-29,0,81.0,,0.81,0.0
