date,equity loan_unscaled,equity loan_monthly,isPartial,scale,equity loan
2005-01-01,0,87.0,False,0.87,0.0
2005-01-02,100,87.0,,0.87,87.0
2005-01-03,38,87.0,,0.87,33.06
2005-01-04,50,87.0,,0.87,43.5
2005-01-05,43,87.0,,0.87,37.41
2005-01-06,36,87.0,,0.87,31.32
2005-01-07,45,87.0,,0.87,39.15
2005-01-08,47,87.0,,0.87,40.89
2005-01-09,46,87.0,,0.87,40.02
2005-01-10,21,87.0,,0.87,18.27
2005-01-11,54,87.0,,0.87,46.98
2005-01-12,76,87.0,,0.87,66.12
2005-01-13,28,87.0,,0.87,24.36
2005-01-14,29,87.0,,0.87,25.23
2005-01-15,35,87.0,,0.87,30.45
2005-01-16,48,87.0,,0.87,41.76
2005-01-17,32,87.0,,0.87,27.84
2005-01-18,48,87.0,,0.87,41.76
2005-01-19,42,87.0,,0.87,36.54
2005-01-20,28,87.0,,0.87,24.36
2005-01-21,73,87.0,,0.87,63.51
2005-01-22,33,87.0,,0.87,28.71
2005-01-23,22,87.0,,0.87,19.14
2005-01-24,28,87.0,,0.87,24.36
2005-01-25,40,87.0,,0.87,34.8
2005-01-26,20,87.0,,0.87,17.4
2005-01-27,62,87.0,,0.87,53.94
2005-01-28,36,87.0,,0.87,31.32
2005-01-29,66,87.0,,0.87,57.42
2005-01-30,22,87.0,,0.87,19.14
2005-01-31,47,87.0,,0.87,40.89
2005-02-01,36,80.0,False,0.8,28.8
2005-02-02,100,80.0,,0.8,80.0
2005-02-03,25,80.0,,0.8,20.0
2005-02-04,26,80.0,,0.8,20.8
2005-02-05,0,80.0,,0.8,0.0
2005-02-06,21,80.0,,0.8,16.8
2005-02-07,26,80.0,,0.8,20.8
2005-02-08,48,80.0,,0.8,38.400000000000006
2005-02-09,49,80.0,,0.8,39.2
2005-02-10,37,80.0,,0.8,29.6
2005-02-11,39,80.0,,0.8,31.200000000000003
2005-02-12,42,80.0,,0.8,33.6
2005-02-13,61,80.0,,0.8,48.800000000000004
2005-02-14,12,80.0,,0.8,9.600000000000001
2005-02-15,12,80.0,,0.8,9.600000000000001
2005-02-16,0,80.0,,0.8,0.0
2005-02-17,37,80.0,,0.8,29.6
2005-02-18,78,80.0,,0.8,62.400000000000006
2005-02-19,41,80.0,,0.8,32.800000000000004
2005-02-20,63,80.0,,0.8,50.400000000000006
2005-02-21,41,80.0,,0.8,32.800000000000004
2005-02-22,36,80.0,,0.8,28.8
2005-02-23,24,80.0,,0.8,19.200000000000003
2005-02-24,60,80.0,,0.8,48.0
2005-02-25,26,80.0,,0.8,20.8
2005-02-26,0,80.0,,0.8,0.0
2005-02-27,0,80.0,,0.8,0.0
2005-02-28,24,80.0,,0.8,19.200000000000003
2005-03-01,40,86.0,False,0.86,34.4
2005-03-02,34,86.0,,0.86,29.24
2005-03-03,35,86.0,,0.86,30.099999999999998
2005-03-04,36,86.0,,0.86,30.96
2005-03-05,56,86.0,,0.86,48.16
2005-03-06,56,86.0,,0.86,48.16
2005-03-07,33,86.0,,0.86,28.38
2005-03-08,24,86.0,,0.86,20.64
2005-03-09,100,86.0,,0.86,86.0
2005-03-10,33,86.0,,0.86,28.38
2005-03-11,79,86.0,,0.86,67.94
2005-03-12,27,86.0,,0.86,23.22
2005-03-13,27,86.0,,0.86,23.22
2005-03-14,33,86.0,,0.86,28.38
2005-03-15,40,86.0,,0.86,34.4
2005-03-16,41,86.0,,0.86,35.26
2005-03-17,50,86.0,,0.86,43.0
2005-03-18,36,86.0,,0.86,30.96
2005-03-19,68,86.0,,0.86,58.48
2005-03-20,71,86.0,,0.86,61.06
2005-03-21,42,86.0,,0.86,36.12
2005-03-22,90,86.0,,0.86,77.4
2005-03-23,58,86.0,,0.86,49.88
2005-03-24,53,86.0,,0.86,45.58
2005-03-25,71,86.0,,0.86,61.06
2005-03-26,29,86.0,,0.86,24.94
2005-03-27,66,86.0,,0.86,56.76
2005-03-28,35,86.0,,0.86,30.099999999999998
2005-03-29,42,86.0,,0.86,36.12
2005-03-30,34,86.0,,0.86,29.24
2005-03-31,70,86.0,,0.86,60.199999999999996
2005-04-01,15,78.0,False,0.78,11.700000000000001
2005-04-02,23,78.0,,0.78,17.94
2005-04-03,68,78.0,,0.78,53.04
2005-04-04,59,78.0,,0.78,46.02
2005-04-05,0,78.0,,0.78,0.0
2005-04-06,57,78.0,,0.78,44.46
2005-04-07,57,78.0,,0.78,44.46
2005-04-08,47,78.0,,0.78,36.660000000000004
2005-04-09,51,78.0,,0.78,39.78
2005-04-10,0,78.0,,0.78,0.0
2005-04-11,14,78.0,,0.78,10.92
2005-04-12,26,78.0,,0.78,20.28
2005-04-13,27,78.0,,0.78,21.060000000000002
2005-04-14,100,78.0,,0.78,78.0
2005-04-15,46,78.0,,0.78,35.88
2005-04-16,0,78.0,,0.78,0.0
2005-04-17,25,78.0,,0.78,19.5
2005-04-18,28,78.0,,0.78,21.84
2005-04-19,68,78.0,,0.78,53.04
2005-04-20,28,78.0,,0.78,21.84
2005-04-21,29,78.0,,0.78,22.62
2005-04-22,30,78.0,,0.78,23.400000000000002
2005-04-23,46,78.0,,0.78,35.88
2005-04-24,45,78.0,,0.78,35.1
2005-04-25,55,78.0,,0.78,42.9
2005-04-26,40,78.0,,0.78,31.200000000000003
2005-04-27,68,78.0,,0.78,53.04
2005-04-28,27,78.0,,0.78,21.060000000000002
2005-04-29,29,78.0,,0.78,22.62
2005-04-30,0,78.0,,0.78,0.0
2005-05-01,45,96.0,False,0.96,43.199999999999996
2005-05-02,59,96.0,,0.96,56.64
2005-05-03,58,96.0,,0.96,55.68
2005-05-04,53,96.0,,0.96,50.879999999999995
2005-05-05,54,96.0,,0.96,51.839999999999996
2005-05-06,37,96.0,,0.96,35.519999999999996
2005-05-07,37,96.0,,0.96,35.519999999999996
2005-05-08,25,96.0,,0.96,24.0
2005-05-09,100,96.0,,0.96,96.0
2005-05-10,47,96.0,,0.96,45.12
2005-05-11,48,96.0,,0.96,46.08
2005-05-12,34,96.0,,0.96,32.64
2005-05-13,59,96.0,,0.96,56.64
2005-05-14,24,96.0,,0.96,23.04
2005-05-15,59,96.0,,0.96,56.64
2005-05-16,27,96.0,,0.96,25.919999999999998
2005-05-17,33,96.0,,0.96,31.68
2005-05-18,61,96.0,,0.96,58.559999999999995
2005-05-19,42,96.0,,0.96,40.32
2005-05-20,45,96.0,,0.96,43.199999999999996
2005-05-21,37,96.0,,0.96,35.519999999999996
2005-05-22,24,96.0,,0.96,23.04
2005-05-23,41,96.0,,0.96,39.36
2005-05-24,13,96.0,,0.96,12.48
2005-05-25,68,96.0,,0.96,65.28
2005-05-26,64,96.0,,0.96,61.44
2005-05-27,32,96.0,,0.96,30.72
2005-05-28,52,96.0,,0.96,49.92
2005-05-29,41,96.0,,0.96,39.36
2005-05-30,45,96.0,,0.96,43.199999999999996
2005-05-31,27,96.0,,0.96,25.919999999999998
2005-06-01,71,94.0,False,0.94,66.74
2005-06-02,64,94.0,,0.94,60.16
2005-06-03,48,94.0,,0.94,45.12
2005-06-04,78,94.0,,0.94,73.32
2005-06-05,80,94.0,,0.94,75.19999999999999
2005-06-06,18,94.0,,0.94,16.919999999999998
2005-06-07,63,94.0,,0.94,59.22
2005-06-08,45,94.0,,0.94,42.3
2005-06-09,47,94.0,,0.94,44.18
2005-06-10,100,94.0,,0.94,94.0
2005-06-11,93,94.0,,0.94,87.42
2005-06-12,79,94.0,,0.94,74.25999999999999
2005-06-13,83,94.0,,0.94,78.02
2005-06-14,54,94.0,,0.94,50.76
2005-06-15,65,94.0,,0.94,61.099999999999994
2005-06-16,47,94.0,,0.94,44.18
2005-06-17,41,94.0,,0.94,38.54
2005-06-18,33,94.0,,0.94,31.02
2005-06-19,34,94.0,,0.94,31.959999999999997
2005-06-20,74,94.0,,0.94,69.56
2005-06-21,55,94.0,,0.94,51.699999999999996
2005-06-22,19,94.0,,0.94,17.86
2005-06-23,48,94.0,,0.94,45.12
2005-06-24,21,94.0,,0.94,19.74
2005-06-25,80,94.0,,0.94,75.19999999999999
