date,expense ratio_unscaled,expense ratio_monthly,isPartial,scale,expense ratio
2005-01-01,0,20.0,False,0.2,0.0
2005-01-02,0,20.0,,0.2,0.0
2005-01-03,0,20.0,,0.2,0.0
2005-01-04,0,20.0,,0.2,0.0
2005-01-05,31,20.0,,0.2,6.2
2005-01-06,31,20.0,,0.2,6.2
2005-01-07,0,20.0,,0.2,0.0
2005-01-08,0,20.0,,0.2,0.0
2005-01-09,0,20.0,,0.2,0.0
2005-01-10,0,20.0,,0.2,0.0
2005-01-11,0,20.0,,0.2,0.0
2005-01-12,0,20.0,,0.2,0.0
2005-01-13,0,20.0,,0.2,0.0
2005-01-14,31,20.0,,0.2,6.2
2005-01-15,100,20.0,,0.2,20.0
2005-01-16,51,20.0,,0.2,10.200000000000001
2005-01-17,0,20.0,,0.2,0.0
2005-01-18,0,20.0,,0.2,0.0
2005-01-19,0,20.0,,0.2,0.0
2005-01-20,0,20.0,,0.2,0.0
2005-01-21,0,20.0,,0.2,0.0
2005-01-22,0,20.0,,0.2,0.0
2005-01-23,0,20.0,,0.2,0.0
2005-01-24,0,20.0,,0.2,0.0
2005-01-25,0,20.0,,0.2,0.0
2005-01-26,0,20.0,,0.2,0.0
2005-01-27,0,20.0,,0.2,0.0
2005-01-28,30,20.0,,0.2,6.0
2005-01-29,0,20.0,,0.2,0.0
2005-01-30,0,20.0,,0.2,0.0
2005-01-31,0,20.0,,0.2,0.0
2005-02-01,0,72.0,False,0.72,0.0
2005-02-02,0,72.0,,0.72,0.0
2005-02-03,0,72.0,,0.72,0.0
2005-02-04,0,72.0,,0.72,0.0
2005-02-05,0,72.0,,0.72,0.0
2005-02-06,0,72.0,,0.72,0.0
2005-02-07,0,72.0,,0.72,0.0
2005-02-08,0,72.0,,0.72,0.0
2005-02-09,0,72.0,,0.72,0.0
2005-02-10,0,72.0,,0.72,0.0
2005-02-11,0,72.0,,0.72,0.0
2005-02-12,0,72.0,,0.72,0.0
2005-02-13,0,72.0,,0.72,0.0
2005-02-14,61,72.0,,0.72,43.92
2005-02-15,0,72.0,,0.72,0.0
2005-02-16,0,72.0,,0.72,0.0
2005-02-17,0,72.0,,0.72,0.0
2005-02-18,64,72.0,,0.72,46.08
2005-02-19,100,72.0,,0.72,72.0
2005-02-20,0,72.0,,0.72,0.0
2005-02-21,0,72.0,,0.72,0.0
2005-02-22,0,72.0,,0.72,0.0
2005-02-23,0,72.0,,0.72,0.0
2005-02-24,0,72.0,,0.72,0.0
2005-02-25,0,72.0,,0.72,0.0
2005-02-26,0,72.0,,0.72,0.0
2005-02-27,0,72.0,,0.72,0.0
2005-02-28,0,72.0,,0.72,0.0
2005-03-01,0,55.0,False,0.55,0.0
2005-03-02,0,55.0,,0.55,0.0
2005-03-03,52,55.0,,0.55,28.6
2005-03-04,0,55.0,,0.55,0.0
2005-03-05,0,55.0,,0.55,0.0
2005-03-06,83,55.0,,0.55,45.650000000000006
2005-03-07,0,55.0,,0.55,0.0
2005-03-08,0,55.0,,0.55,0.0
2005-03-09,0,55.0,,0.55,0.0
2005-03-10,0,55.0,,0.55,0.0
2005-03-11,53,55.0,,0.55,29.150000000000002
2005-03-12,0,55.0,,0.55,0.0
2005-03-13,81,55.0,,0.55,44.550000000000004
2005-03-14,0,55.0,,0.55,0.0
2005-03-15,0,55.0,,0.55,0.0
2005-03-16,0,55.0,,0.55,0.0
2005-03-17,0,55.0,,0.55,0.0
2005-03-18,0,55.0,,0.55,0.0
2005-03-19,0,55.0,,0.55,0.0
2005-03-20,0,55.0,,0.55,0.0
2005-03-21,100,55.0,,0.55,55.00000000000001
2005-03-22,0,55.0,,0.55,0.0
2005-03-23,0,55.0,,0.55,0.0
2005-03-24,52,55.0,,0.55,28.6
2005-03-25,0,55.0,,0.55,0.0
2005-03-26,0,55.0,,0.55,0.0
2005-03-27,0,55.0,,0.55,0.0
2005-03-28,42,55.0,,0.55,23.1
2005-03-29,0,55.0,,0.55,0.0
2005-03-30,0,55.0,,0.55,0.0
2005-03-31,52,55.0,,0.55,28.6
2005-04-01,0,14.0,False,0.14,0.0
2005-04-02,0,14.0,,0.14,0.0
2005-04-03,0,14.0,,0.14,0.0
