date,financial crisis_unscaled,financial crisis_monthly,isPartial,scale,financial crisis
2005-01-01,0,2.0,False,0.02,0.0
2005-01-02,0,2.0,,0.02,0.0
2005-01-03,0,2.0,,0.02,0.0
2005-01-04,0,2.0,,0.02,0.0
2005-01-05,67,2.0,,0.02,1.34
2005-01-06,0,2.0,,0.02,0.0
2005-01-07,0,2.0,,0.02,0.0
2005-01-08,0,2.0,,0.02,0.0
2005-01-09,0,2.0,,0.02,0.0
2005-01-10,65,2.0,,0.02,1.3
2005-01-11,0,2.0,,0.02,0.0
2005-01-12,0,2.0,,0.02,0.0
2005-01-13,0,2.0,,0.02,0.0
2005-01-14,0,2.0,,0.02,0.0
2005-01-15,0,2.0,,0.02,0.0
2005-01-16,0,2.0,,0.02,0.0
2005-01-17,0,2.0,,0.02,0.0
2005-01-18,0,2.0,,0.02,0.0
2005-01-19,65,2.0,,0.02,1.3
2005-01-20,0,2.0,,0.02,0.0
2005-01-21,0,2.0,,0.02,0.0
2005-01-22,0,2.0,,0.02,0.0
2005-01-23,100,2.0,,0.02,2.0
2005-01-24,0,2.0,,0.02,0.0
2005-01-25,0,2.0,,0.02,0.0
2005-01-26,0,2.0,,0.02,0.0
2005-01-27,0,2.0,,0.02,0.0
2005-01-28,0,2.0,,0.02,0.0
2005-01-29,0,2.0,,0.02,0.0
2005-01-30,0,2.0,,0.02,0.0
2005-01-31,0,2.0,,0.02,0.0
2005-02-01,30,4.0,False,0.04,1.2
2005-02-02,30,4.0,,0.04,1.2
2005-02-03,31,4.0,,0.04,1.24
2005-02-04,0,4.0,,0.04,0.0
2005-02-05,0,4.0,,0.04,0.0
2005-02-06,0,4.0,,0.04,0.0
2005-02-07,0,4.0,,0.04,0.0
2005-02-08,0,4.0,,0.04,0.0
2005-02-09,30,4.0,,0.04,1.2
2005-02-10,0,4.0,,0.04,0.0
2005-02-11,0,4.0,,0.04,0.0
2005-02-12,0,4.0,,0.04,0.0
2005-02-13,0,4.0,,0.04,0.0
2005-02-14,30,4.0,,0.04,1.2
2005-02-15,30,4.0,,0.04,1.2
2005-02-16,0,4.0,,0.04,0.0
2005-02-17,30,4.0,,0.04,1.2
2005-02-18,0,4.0,,0.04,0.0
2005-02-19,0,4.0,,0.04,0.0
2005-02-20,100,4.0,,0.04,4.0
2005-02-21,0,4.0,,0.04,0.0
2005-02-22,0,4.0,,0.04,0.0
2005-02-23,0,4.0,,0.04,0.0
2005-02-24,0,4.0,,0.04,0.0
2005-02-25,0,4.0,,0.04,0.0
2005-02-26,0,4.0,,0.04,0.0
2005-02-27,72,4.0,,0.04,2.88
2005-02-28,0,4.0,,0.04,0.0
2005-03-01,39,5.0,False,0.05,1.9500000000000002
2005-03-02,40,5.0,,0.05,2.0
2005-03-03,0,5.0,,0.05,0.0
2005-03-04,0,5.0,,0.05,0.0
2005-03-05,0,5.0,,0.05,0.0
2005-03-06,0,5.0,,0.05,0.0
2005-03-07,40,5.0,,0.05,2.0
2005-03-08,0,5.0,,0.05,0.0
2005-03-09,79,5.0,,0.05,3.95
2005-03-10,0,5.0,,0.05,0.0
2005-03-11,0,5.0,,0.05,0.0
2005-03-12,0,5.0,,0.05,0.0
2005-03-13,65,5.0,,0.05,3.25
2005-03-14,0,5.0,,0.05,0.0
2005-03-15,0,5.0,,0.05,0.0
2005-03-16,0,5.0,,0.05,0.0
2005-03-17,0,5.0,,0.05,0.0
2005-03-18,0,5.0,,0.05,0.0
2005-03-19,0,5.0,,0.05,0.0
2005-03-20,0,5.0,,0.05,0.0
2005-03-21,0,5.0,,0.05,0.0
2005-03-22,59,5.0,,0.05,2.95
2005-03-23,39,5.0,,0.05,1.9500000000000002
2005-03-24,0,5.0,,0.05,0.0
2005-03-25,0,5.0,,0.05,0.0
2005-03-26,0,5.0,,0.05,0.0
2005-03-27,0,5.0,,0.05,0.0
2005-03-28,100,5.0,,0.05,5.0
2005-03-29,79,5.0,,0.05,3.95
2005-03-30,41,5.0,,0.05,2.0500000000000003
2005-03-31,41,5.0,,0.05,2.0500000000000003
2005-04-01,0,7.0,False,0.07,0.0
2005-04-02,0,7.0,,0.07,0.0
2005-04-03,0,7.0,,0.07,0.0
2005-04-04,0,7.0,,0.07,0.0
2005-04-05,0,7.0,,0.07,0.0
2005-04-06,66,7.0,,0.07,4.62
2005-04-07,0,7.0,,0.07,0.0
2005-04-08,0,7.0,,0.07,0.0
2005-04-09,0,7.0,,0.07,0.0
2005-04-10,0,7.0,,0.07,0.0
2005-04-11,0,7.0,,0.07,0.0
2005-04-12,0,7.0,,0.07,0.0
2005-04-13,48,7.0,,0.07,3.3600000000000003
2005-04-14,50,7.0,,0.07,3.5000000000000004
2005-04-15,52,7.0,,0.07,3.6400000000000006
2005-04-16,0,7.0,,0.07,0.0
2005-04-17,0,7.0,,0.07,0.0
2005-04-18,0,7.0,,0.07,0.0
2005-04-19,47,7.0,,0.07,3.2900000000000005
2005-04-20,95,7.0,,0.07,6.65
2005-04-21,50,7.0,,0.07,3.5000000000000004
2005-04-22,0,7.0,,0.07,0.0
2005-04-23,0,7.0,,0.07,0.0
2005-04-24,79,7.0,,0.07,5.53
2005-04-25,93,7.0,,0.07,6.510000000000001
2005-04-26,46,7.0,,0.07,3.22
2005-04-27,0,7.0,,0.07,0.0
2005-04-28,46,7.0,,0.07,3.22
2005-04-29,100,7.0,,0.07,7.000000000000001
2005-04-30,0,7.0,,0.07,0.0
2005-05-01,87,2.0,False,0.02,1.74
2005-05-02,51,2.0,,0.02,1.02
2005-05-03,50,2.0,,0.02,1.0
2005-05-04,0,2.0,,0.02,0.0
2005-05-05,52,2.0,,0.02,1.04
2005-05-06,0,2.0,,0.02,0.0
2005-05-07,0,2.0,,0.02,0.0
2005-05-08,0,2.0,,0.02,0.0
2005-05-09,0,2.0,,0.02,0.0
2005-05-10,51,2.0,,0.02,1.02
2005-05-11,52,2.0,,0.02,1.04
2005-05-12,53,2.0,,0.02,1.06
2005-05-13,0,2.0,,0.02,0.0
2005-05-14,0,2.0,,0.02,0.0
2005-05-15,0,2.0,,0.02,0.0
2005-05-16,0,2.0,,0.02,0.0
2005-05-17,0,2.0,,0.02,0.0
2005-05-18,0,2.0,,0.02,0.0
2005-05-19,0,2.0,,0.02,0.0
2005-05-20,58,2.0,,0.02,1.16
2005-05-21,0,2.0,,0.02,0.0
2005-05-22,0,2.0,,0.02,0.0
2005-05-23,0,2.0,,0.02,0.0
2005-05-24,0,2.0,,0.02,0.0
2005-05-25,0,2.0,,0.02,0.0
2005-05-26,0,2.0,,0.02,0.0
2005-05-27,0,2.0,,0.02,0.0
2005-05-28,100,2.0,,0.02,2.0
2005-05-29,0,2.0,,0.02,0.0
2005-05-30,0,2.0,,0.02,0.0
2005-05-31,0,2.0,,0.02,0.0
2005-06-01,46,3.0,False,0.03,1.38
2005-06-02,0,3.0,,0.03,0.0
2005-06-03,0,3.0,,0.03,0.0
2005-06-04,0,3.0,,0.03,0.0
2005-06-05,0,3.0,,0.03,0.0
2005-06-06,47,3.0,,0.03,1.41
