date,for prosperity_unscaled,for prosperity_monthly,isPartial,scale,for prosperity
2005-02-01,94,37.0,False,0.37,34.78
2005-02-02,0,37.0,,0.37,0.0
2005-02-03,0,37.0,,0.37,0.0
2005-02-04,0,37.0,,0.37,0.0
2005-02-05,0,37.0,,0.37,0.0
2005-02-06,0,37.0,,0.37,0.0
2005-02-07,0,37.0,,0.37,0.0
2005-02-08,0,37.0,,0.37,0.0
2005-02-09,0,37.0,,0.37,0.0
2005-02-10,0,37.0,,0.37,0.0
2005-02-11,0,37.0,,0.37,0.0
2005-02-12,0,37.0,,0.37,0.0
2005-02-13,0,37.0,,0.37,0.0
2005-02-14,0,37.0,,0.37,0.0
2005-02-15,95,37.0,,0.37,35.15
2005-02-16,0,37.0,,0.37,0.0
2005-02-17,95,37.0,,0.37,35.15
2005-02-18,100,37.0,,0.37,37.0
2005-02-19,0,37.0,,0.37,0.0
2005-02-20,0,37.0,,0.37,0.0
2005-02-21,0,37.0,,0.37,0.0
2005-02-22,92,37.0,,0.37,34.04
2005-02-23,93,37.0,,0.37,34.41
2005-02-24,0,37.0,,0.37,0.0
2005-02-25,0,37.0,,0.37,0.0
2005-02-26,0,37.0,,0.37,0.0
2005-02-27,0,37.0,,0.37,0.0
2005-02-28,0,37.0,,0.37,0.0
2005-03-01,0,14.0,False,0.14,0.0
2005-03-02,0,14.0,,0.14,0.0
2005-03-03,0,14.0,,0.14,0.0
2005-03-04,100,14.0,,0.14,14.000000000000002
2005-03-05,0,14.0,,0.14,0.0
2005-03-06,0,14.0,,0.14,0.0
2005-03-07,0,14.0,,0.14,0.0
2005-03-08,0,14.0,,0.14,0.0
2005-03-09,0,14.0,,0.14,0.0
2005-03-10,47,14.0,,0.14,6.580000000000001
2005-03-11,0,14.0,,0.14,0.0
2005-03-12,0,14.0,,0.14,0.0
2005-03-13,0,14.0,,0.14,0.0
2005-03-14,0,14.0,,0.14,0.0
2005-03-15,0,14.0,,0.14,0.0
2005-03-16,0,14.0,,0.14,0.0
2005-03-17,0,14.0,,0.14,0.0
2005-03-18,0,14.0,,0.14,0.0
2005-03-19,0,14.0,,0.14,0.0
2005-03-20,0,14.0,,0.14,0.0
2005-03-21,0,14.0,,0.14,0.0
2005-03-22,0,14.0,,0.14,0.0
2005-03-23,0,14.0,,0.14,0.0
2005-03-24,0,14.0,,0.14,0.0
2005-03-25,0,14.0,,0.14,0.0
2005-03-26,0,14.0,,0.14,0.0
2005-03-27,0,14.0,,0.14,0.0
2005-03-28,0,14.0,,0.14,0.0
2005-03-29,0,14.0,,0.14,0.0
2005-03-30,0,14.0,,0.14,0.0
2005-03-31,0,14.0,,0.14,0.0
2005-04-01,0,20.0,False,0.2,0.0
2005-04-02,0,20.0,,0.2,0.0
2005-04-03,0,20.0,,0.2,0.0
2005-04-04,0,20.0,,0.2,0.0
2005-04-05,0,20.0,,0.2,0.0
2005-04-06,100,20.0,,0.2,20.0
2005-04-07,0,20.0,,0.2,0.0
2005-04-08,80,20.0,,0.2,16.0
2005-04-09,0,20.0,,0.2,0.0
2005-04-10,0,20.0,,0.2,0.0
2005-04-11,0,20.0,,0.2,0.0
2005-04-12,0,20.0,,0.2,0.0
2005-04-13,0,20.0,,0.2,0.0
2005-04-14,0,20.0,,0.2,0.0
2005-04-15,0,20.0,,0.2,0.0
2005-04-16,0,20.0,,0.2,0.0
2005-04-17,0,20.0,,0.2,0.0
2005-04-18,72,20.0,,0.2,14.4
2005-04-19,0,20.0,,0.2,0.0
2005-04-20,0,20.0,,0.2,0.0
2005-04-21,76,20.0,,0.2,15.200000000000001
2005-04-22,79,20.0,,0.2,15.8
2005-04-23,0,20.0,,0.2,0.0
2005-04-24,0,20.0,,0.2,0.0
2005-04-25,0,20.0,,0.2,0.0
2005-04-26,0,20.0,,0.2,0.0
2005-04-27,0,20.0,,0.2,0.0
2005-04-28,0,20.0,,0.2,0.0
2005-04-29,0,20.0,,0.2,0.0
2005-04-30,0,20.0,,0.2,0.0
2005-05-01,0,18.0,False,0.18,0.0
2005-05-02,48,18.0,,0.18,8.64
2005-05-03,0,18.0,,0.18,0.0
2005-05-04,0,18.0,,0.18,0.0
2005-05-05,0,18.0,,0.18,0.0
2005-05-06,0,18.0,,0.18,0.0
2005-05-07,0,18.0,,0.18,0.0
2005-05-08,0,18.0,,0.18,0.0
2005-05-09,0,18.0,,0.18,0.0
2005-05-10,0,18.0,,0.18,0.0
2005-05-11,0,18.0,,0.18,0.0
2005-05-12,0,18.0,,0.18,0.0
2005-05-13,0,18.0,,0.18,0.0
2005-05-14,0,18.0,,0.18,0.0
2005-05-15,0,18.0,,0.18,0.0
2005-05-16,0,18.0,,0.18,0.0
2005-05-17,0,18.0,,0.18,0.0
2005-05-18,0,18.0,,0.18,0.0
2005-05-19,0,18.0,,0.18,0.0
2005-05-20,0,18.0,,0.18,0.0
2005-05-21,0,18.0,,0.18,0.0
2005-05-22,0,18.0,,0.18,0.0
2005-05-23,100,18.0,,0.18,18.0
2005-05-24,0,18.0,,0.18,0.0
2005-05-25,0,18.0,,0.18,0.0
2005-05-26,0,18.0,,0.18,0.0
2005-05-27,0,18.0,,0.18,0.0
2005-05-28,0,18.0,,0.18,0.0
2005-05-29,0,18.0,,0.18,0.0
