date,fort worth_unscaled,fort worth_monthly,isPartial,scale,fort worth
2005-01-01,91,91,False,0.91,82.81
2005-01-02,53,53,False,0.53,28.09
2005-01-03,67,67,False,0.67,44.89
2005-01-04,90,90,False,0.9,81.0
2005-01-05,83,83,False,0.83,68.89
2005-01-06,94,94,False,0.94,88.36
2005-01-07,42,42,False,0.42,17.64
2005-01-08,75,75,False,0.75,56.25
2005-01-09,63,63,False,0.63,39.69
2005-01-10,80,80,False,0.8,64.0
2005-01-11,71,71,False,0.71,50.41
2005-01-12,79,79,False,0.79,62.410000000000004
2005-01-13,93,93,False,0.93,86.49000000000001
2005-01-14,100,100,False,1.0,100.0
2005-01-15,95,95,False,0.95,90.25
2005-01-16,68,68,False,0.68,46.24
2005-01-17,100,100,False,1.0,100.0
2005-01-18,67,67,False,0.67,44.89
2005-01-19,75,75,False,0.75,56.25
2005-01-20,66,66,False,0.66,43.56
2005-01-21,97,97,False,0.97,94.09
2005-01-22,83,83,False,0.83,68.89
2005-01-23,76,76,False,0.76,57.76
2005-01-24,98,98,False,0.98,96.03999999999999
2005-01-25,76,76,False,0.76,57.76
2005-01-26,83,83,False,0.83,68.89
2005-01-27,99,99,False,0.99,98.01
2005-01-28,61,61,False,0.61,37.21
2005-01-29,79,79,False,0.79,62.410000000000004
2005-01-30,62,62,False,0.62,38.44
2005-01-31,77,77,False,0.77,59.29
2005-02-01,72,72,False,0.72,51.839999999999996
2005-02-02,79,79,False,0.79,62.410000000000004
2005-02-03,71,71,False,0.71,50.41
2005-02-04,47,47,False,0.47,22.09
2005-02-05,70,70,False,0.7,49.0
2005-02-06,81,81,False,0.81,65.61
2005-02-07,45,45,False,0.45,20.25
2005-02-08,81,81,False,0.81,65.61
2005-02-09,77,77,False,0.77,59.29
2005-02-10,77,77,False,0.77,59.29
2005-02-11,61,61,False,0.61,37.21
2005-02-12,65,65,False,0.65,42.25
2005-02-13,61,61,False,0.61,37.21
2005-02-14,54,54,False,0.54,29.160000000000004
2005-02-15,69,69,False,0.69,47.61
2005-02-16,79,79,False,0.79,62.410000000000004
2005-02-17,62,62,False,0.62,38.44
2005-02-18,85,85,False,0.85,72.25
2005-02-19,78,78,False,0.78,60.84
2005-02-20,63,63,False,0.63,39.69
2005-02-21,59,59,False,0.59,34.809999999999995
2005-02-22,75,75,False,0.75,56.25
2005-02-23,67,67,False,0.67,44.89
2005-02-24,58,58,False,0.58,33.64
2005-02-25,50,50,False,0.5,25.0
2005-02-26,26,26,False,0.26,6.76
2005-02-27,100,100,False,1.0,100.0
2005-02-28,71,71,False,0.71,50.41
2005-03-01,66,66,False,0.66,43.56
2005-03-02,82,82,False,0.82,67.24
2005-03-03,88,88,False,0.88,77.44
2005-03-04,87,87,False,0.87,75.69
2005-03-05,84,84,False,0.84,70.56
2005-03-06,91,91,False,0.91,82.81
2005-03-07,88,88,False,0.88,77.44
2005-03-08,77,77,False,0.77,59.29
2005-03-09,90,90,False,0.9,81.0
2005-03-10,63,63,False,0.63,39.69
2005-03-11,71,71,False,0.71,50.41
2005-03-12,86,86,False,0.86,73.96
2005-03-13,41,41,False,0.41,16.81
2005-03-14,50,50,False,0.5,25.0
2005-03-15,56,56,False,0.56,31.360000000000003
2005-03-16,48,48,False,0.48,23.04
2005-03-17,88,88,False,0.88,77.44
2005-03-18,75,75,False,0.75,56.25
2005-03-19,59,59,False,0.59,34.809999999999995
2005-03-20,86,86,False,0.86,73.96
2005-03-21,82,82,False,0.82,67.24
2005-03-22,92,92,False,0.92,84.64
2005-03-23,84,84,False,0.84,70.56
2005-03-24,100,100,False,1.0,100.0
2005-03-25,86,86,False,0.86,73.96
2005-03-26,63,63,False,0.63,39.69
2005-03-27,96,96,False,0.96,92.16
2005-03-28,76,76,False,0.76,57.76
2005-03-29,82,82,False,0.82,67.24
2005-03-30,90,90,False,0.9,81.0
2005-03-31,88,88,False,0.88,77.44
2005-04-01,98,98,False,0.98,96.03999999999999
2005-04-02,96,96,False,0.96,92.16
2005-04-03,52,52,False,0.52,27.04
2005-04-04,80,80,False,0.8,64.0
2005-04-05,0,0,True,0.0,0.0
2005-04-06,91,91,False,0.91,82.81
2005-04-07,59,59,False,0.59,34.809999999999995
2005-04-08,96,96,False,0.96,92.16
2005-04-09,100,100,False,1.0,100.0
2005-04-10,42,42,False,0.42,17.64
2005-04-11,62,62,False,0.62,38.44
2005-04-12,55,55,False,0.55,30.250000000000004
2005-04-13,73,73,False,0.73,53.29
2005-04-14,86,86,False,0.86,73.96
2005-04-15,93,93,False,0.93,86.49000000000001
2005-04-16,100,100,False,1.0,100.0
2005-04-17,53,53,False,0.53,28.09
2005-04-18,82,82,False,0.82,67.24
2005-04-19,79,79,False,0.79,62.410000000000004
2005-04-20,57,57,False,0.57,32.489999999999995
2005-04-21,80,80,False,0.8,64.0
2005-04-22,77,77,False,0.77,59.29
2005-04-23,53,53,False,0.53,28.09
2005-04-24,53,53,False,0.53,28.09
2005-04-25,97,97,False,0.97,94.09
2005-04-26,84,84,False,0.84,70.56
2005-04-27,70,70,False,0.7,49.0
2005-04-28,58,58,False,0.58,33.64
2005-04-29,91,91,False,0.91,82.81
2005-04-30,68,68,False,0.68,46.24
2005-05-01,48,48,False,0.48,23.04
2005-05-02,87,87,False,0.87,75.69
2005-05-03,71,71,False,0.71,50.41
2005-05-04,92,92,False,0.92,84.64
2005-05-05,67,67,False,0.67,44.89
2005-05-06,86,86,False,0.86,73.96
2005-05-07,82,82,False,0.82,67.24
2005-05-08,70,70,False,0.7,49.0
2005-05-09,85,85,False,0.85,72.25
2005-05-10,74,74,False,0.74,54.76
2005-05-11,86,86,False,0.86,73.96
2005-05-12,82,82,False,0.82,67.24
2005-05-13,67,67,False,0.67,44.89
2005-05-14,95,95,False,0.95,90.25
2005-05-15,53,53,False,0.53,28.09
2005-05-16,92,92,False,0.92,84.64
2005-05-17,80,80,False,0.8,64.0
2005-05-18,100,100,False,1.0,100.0
2005-05-19,85,85,False,0.85,72.25
2005-05-20,88,88,False,0.88,77.44
2005-05-21,97,97,False,0.97,94.09
2005-05-22,55,55,False,0.55,30.250000000000004
2005-05-23,80,80,False,0.8,64.0
2005-05-24,44,44,False,0.44,19.36
2005-05-25,57,57,False,0.57,32.489999999999995
2005-05-26,72,72,False,0.72,51.839999999999996
2005-05-27,83,83,False,0.83,68.89
2005-05-28,66,66,False,0.66,43.56
2005-05-29,61,61,False,0.61,37.21
2005-05-30,92,92,False,0.92,84.64
2005-05-31,77,77,False,0.77,59.29
2005-06-01,76,76,False,0.76,57.76
2005-06-02,64,64,False,0.64,40.96
