date,gold coast_unscaled,gold coast_monthly,isPartial,scale,gold coast
2005-01-01,28,72.0,False,0.72,20.16
2005-01-02,0,72.0,,0.72,0.0
2005-01-03,40,72.0,,0.72,28.799999999999997
2005-01-04,19,72.0,,0.72,13.68
2005-01-05,56,72.0,,0.72,40.32
2005-01-06,58,72.0,,0.72,41.76
2005-01-07,20,72.0,,0.72,14.399999999999999
2005-01-08,0,72.0,,0.72,0.0
2005-01-09,15,72.0,,0.72,10.799999999999999
2005-01-10,28,72.0,,0.72,20.16
2005-01-11,54,72.0,,0.72,38.879999999999995
2005-01-12,55,72.0,,0.72,39.6
2005-01-13,9,72.0,,0.72,6.4799999999999995
2005-01-14,48,72.0,,0.72,34.56
2005-01-15,46,72.0,,0.72,33.12
2005-01-16,47,72.0,,0.72,33.839999999999996
2005-01-17,63,72.0,,0.72,45.36
2005-01-18,36,72.0,,0.72,25.919999999999998
2005-01-19,37,72.0,,0.72,26.64
2005-01-20,37,72.0,,0.72,26.64
2005-01-21,48,72.0,,0.72,34.56
2005-01-22,44,72.0,,0.72,31.68
2005-01-23,100,72.0,,0.72,72.0
2005-01-24,18,72.0,,0.72,12.959999999999999
2005-01-25,44,72.0,,0.72,31.68
2005-01-26,18,72.0,,0.72,12.959999999999999
2005-01-27,55,72.0,,0.72,39.6
2005-01-28,47,72.0,,0.72,33.839999999999996
2005-01-29,29,72.0,,0.72,20.88
2005-01-30,43,72.0,,0.72,30.959999999999997
2005-01-31,53,72.0,,0.72,38.16
2005-05-01,28,73.0,False,0.73,20.439999999999998
2005-05-02,100,73.0,,0.73,73.0
2005-05-03,25,73.0,,0.73,18.25
2005-05-04,17,73.0,,0.73,12.41
2005-05-05,34,73.0,,0.73,24.82
2005-05-06,9,73.0,,0.73,6.57
2005-05-07,78,73.0,,0.73,56.94
2005-05-08,47,73.0,,0.73,34.31
2005-05-09,76,73.0,,0.73,55.48
2005-05-10,25,73.0,,0.73,18.25
2005-05-11,51,73.0,,0.73,37.23
2005-05-12,34,73.0,,0.73,24.82
2005-05-13,28,73.0,,0.73,20.439999999999998
2005-05-14,61,73.0,,0.73,44.53
2005-05-15,44,73.0,,0.73,32.12
2005-05-16,17,73.0,,0.73,12.41
2005-05-17,8,73.0,,0.73,5.84
2005-05-18,17,73.0,,0.73,12.41
2005-05-19,35,73.0,,0.73,25.55
2005-05-20,66,73.0,,0.73,48.18
2005-05-21,31,73.0,,0.73,22.63
2005-05-22,45,73.0,,0.73,32.85
2005-05-23,26,73.0,,0.73,18.98
2005-05-24,67,73.0,,0.73,48.91
2005-05-25,34,73.0,,0.73,24.82
2005-05-26,44,73.0,,0.73,32.12
2005-05-27,30,73.0,,0.73,21.9
2005-05-28,33,73.0,,0.73,24.09
2005-05-29,17,73.0,,0.73,12.41
2005-05-30,43,73.0,,0.73,31.39
2005-05-31,52,73.0,,0.73,37.96
2005-07-01,30,86.0,False,0.86,25.8
2005-07-02,16,86.0,,0.86,13.76
2005-07-03,17,86.0,,0.86,14.62
2005-07-04,61,86.0,,0.86,52.46
2005-07-05,56,86.0,,0.86,48.16
2005-07-06,42,86.0,,0.86,36.12
2005-07-07,61,86.0,,0.86,52.46
2005-07-08,64,86.0,,0.86,55.04
2005-07-09,43,86.0,,0.86,36.98
2005-07-10,45,86.0,,0.86,38.7
2005-07-11,34,86.0,,0.86,29.24
2005-07-12,50,86.0,,0.86,43.0
2005-07-13,51,86.0,,0.86,43.86
2005-07-14,43,86.0,,0.86,36.98
2005-07-15,47,86.0,,0.86,40.42
2005-07-16,29,86.0,,0.86,24.94
2005-07-17,44,86.0,,0.86,37.839999999999996
2005-07-18,42,86.0,,0.86,36.12
2005-07-19,33,86.0,,0.86,28.38
2005-07-20,26,86.0,,0.86,22.36
2005-07-21,44,86.0,,0.86,37.839999999999996
2005-07-22,37,86.0,,0.86,31.82
2005-07-23,85,86.0,,0.86,73.1
2005-07-24,59,86.0,,0.86,50.74
2005-07-25,100,86.0,,0.86,86.0
2005-07-26,66,86.0,,0.86,56.76
2005-07-27,51,86.0,,0.86,43.86
2005-07-28,17,86.0,,0.86,14.62
2005-07-29,47,86.0,,0.86,40.42
2005-07-30,28,86.0,,0.86,24.08
2005-07-31,29,86.0,,0.86,24.94
2005-08-01,52,84.0,False,0.84,43.68
2005-08-02,34,84.0,,0.84,28.56
2005-08-03,34,84.0,,0.84,28.56
2005-08-04,61,84.0,,0.84,51.239999999999995
2005-08-05,65,84.0,,0.84,54.6
2005-08-06,72,84.0,,0.84,60.48
2005-08-07,29,84.0,,0.84,24.36
2005-08-08,17,84.0,,0.84,14.28
2005-08-09,25,84.0,,0.84,21.0
2005-08-10,42,84.0,,0.84,35.28
