date,great depression_unscaled,great depression_monthly,isPartial,scale,great depression
2005-01-01,14,67.0,False,0.67,9.38
2005-01-02,33,67.0,,0.67,22.110000000000003
2005-01-03,35,67.0,,0.67,23.450000000000003
2005-01-04,33,67.0,,0.67,22.110000000000003
2005-01-05,53,67.0,,0.67,35.510000000000005
2005-01-06,34,67.0,,0.67,22.78
2005-01-07,55,67.0,,0.67,36.85
2005-01-08,15,67.0,,0.67,10.05
2005-01-09,15,67.0,,0.67,10.05
2005-01-10,14,67.0,,0.67,9.38
2005-01-11,40,67.0,,0.67,26.8
2005-01-12,55,67.0,,0.67,36.85
2005-01-13,51,67.0,,0.67,34.17
2005-01-14,49,67.0,,0.67,32.830000000000005
2005-01-15,8,67.0,,0.67,5.36
2005-01-16,24,67.0,,0.67,16.080000000000002
2005-01-17,27,67.0,,0.67,18.09
2005-01-18,36,67.0,,0.67,24.12
2005-01-19,23,67.0,,0.67,15.41
2005-01-20,81,67.0,,0.67,54.27
2005-01-21,58,67.0,,0.67,38.86
2005-01-22,7,67.0,,0.67,4.69
2005-01-23,36,67.0,,0.67,24.12
2005-01-24,37,67.0,,0.67,24.790000000000003
2005-01-25,62,67.0,,0.67,41.54
2005-01-26,32,67.0,,0.67,21.44
2005-01-27,100,67.0,,0.67,67.0
2005-01-28,19,67.0,,0.67,12.73
2005-01-29,0,67.0,,0.67,0.0
2005-01-30,36,67.0,,0.67,24.12
2005-01-31,49,67.0,,0.67,32.830000000000005
2005-02-01,84,85.0,False,0.85,71.39999999999999
2005-02-02,55,85.0,,0.85,46.75
2005-02-03,77,85.0,,0.85,65.45
2005-02-04,66,85.0,,0.85,56.1
2005-02-05,12,85.0,,0.85,10.2
2005-02-06,17,85.0,,0.85,14.45
2005-02-07,95,85.0,,0.85,80.75
2005-02-08,79,85.0,,0.85,67.14999999999999
2005-02-09,85,85.0,,0.85,72.25
2005-02-10,72,85.0,,0.85,61.199999999999996
2005-02-11,82,85.0,,0.85,69.7
2005-02-12,29,85.0,,0.85,24.65
2005-02-13,40,85.0,,0.85,34.0
2005-02-14,62,85.0,,0.85,52.699999999999996
2005-02-15,71,85.0,,0.85,60.35
2005-02-16,99,85.0,,0.85,84.14999999999999
2005-02-17,85,85.0,,0.85,72.25
2005-02-18,76,85.0,,0.85,64.6
2005-02-19,45,85.0,,0.85,38.25
2005-02-20,23,85.0,,0.85,19.55
2005-02-21,87,85.0,,0.85,73.95
2005-02-22,89,85.0,,0.85,75.64999999999999
2005-02-23,69,85.0,,0.85,58.65
2005-02-24,70,85.0,,0.85,59.5
2005-02-25,100,85.0,,0.85,85.0
2005-02-26,30,85.0,,0.85,25.5
2005-02-27,82,85.0,,0.85,69.7
2005-02-28,46,85.0,,0.85,39.1
2005-03-01,73,91.0,False,0.91,66.43
2005-03-02,100,91.0,,0.91,91.0
2005-03-03,69,91.0,,0.91,62.79
2005-03-04,63,91.0,,0.91,57.330000000000005
2005-03-05,8,91.0,,0.91,7.28
2005-03-06,44,91.0,,0.91,40.04
2005-03-07,60,91.0,,0.91,54.6
2005-03-08,55,91.0,,0.91,50.050000000000004
2005-03-09,77,91.0,,0.91,70.07000000000001
2005-03-10,46,91.0,,0.91,41.86
2005-03-11,61,91.0,,0.91,55.510000000000005
2005-03-12,20,91.0,,0.91,18.2
2005-03-13,44,91.0,,0.91,40.04
2005-03-14,46,91.0,,0.91,41.86
