date,guide tv_unscaled,guide tv_monthly,isPartial,scale,guide tv
2005-01-01,49,69.0,False,0.69,33.809999999999995
2005-01-02,100,69.0,,0.69,69.0
2005-01-03,48,69.0,,0.69,33.12
2005-01-04,48,69.0,,0.69,33.12
2005-01-05,43,69.0,,0.69,29.669999999999998
2005-01-06,49,69.0,,0.69,33.809999999999995
2005-01-07,30,69.0,,0.69,20.7
2005-01-08,44,69.0,,0.69,30.36
2005-01-09,34,69.0,,0.69,23.459999999999997
2005-01-10,37,69.0,,0.69,25.529999999999998
2005-01-11,44,69.0,,0.69,30.36
2005-01-12,32,69.0,,0.69,22.08
2005-01-13,37,69.0,,0.69,25.529999999999998
2005-01-14,37,69.0,,0.69,25.529999999999998
2005-01-15,59,69.0,,0.69,40.709999999999994
2005-01-16,70,69.0,,0.69,48.3
2005-01-17,49,69.0,,0.69,33.809999999999995
2005-01-18,55,69.0,,0.69,37.949999999999996
2005-01-19,54,69.0,,0.69,37.26
2005-01-20,47,69.0,,0.69,32.43
2005-01-21,45,69.0,,0.69,31.049999999999997
2005-01-22,40,69.0,,0.69,27.599999999999998
2005-01-23,73,69.0,,0.69,50.37
2005-01-24,47,69.0,,0.69,32.43
2005-01-25,41,69.0,,0.69,28.29
2005-01-26,42,69.0,,0.69,28.979999999999997
2005-01-27,49,69.0,,0.69,33.809999999999995
2005-01-28,27,69.0,,0.69,18.63
2005-01-29,46,69.0,,0.69,31.74
2005-01-30,46,69.0,,0.69,31.74
2005-01-31,38,69.0,,0.69,26.22
2005-02-01,43,59.0,False,0.59,25.369999999999997
2005-02-02,60,59.0,,0.59,35.4
2005-02-03,52,59.0,,0.59,30.68
2005-02-04,43,59.0,,0.59,25.369999999999997
2005-02-05,55,59.0,,0.59,32.449999999999996
2005-02-06,100,59.0,,0.59,59.0
2005-02-07,57,59.0,,0.59,33.629999999999995
2005-02-08,41,59.0,,0.59,24.189999999999998
2005-02-09,40,59.0,,0.59,23.599999999999998
2005-02-10,35,59.0,,0.59,20.65
2005-02-11,48,59.0,,0.59,28.32
2005-02-12,47,59.0,,0.59,27.729999999999997
2005-02-13,55,59.0,,0.59,32.449999999999996
2005-02-14,50,59.0,,0.59,29.5
2005-02-15,35,59.0,,0.59,20.65
2005-02-16,28,59.0,,0.59,16.52
2005-02-17,38,59.0,,0.59,22.419999999999998
2005-02-18,37,59.0,,0.59,21.83
2005-02-19,40,59.0,,0.59,23.599999999999998
2005-02-20,61,59.0,,0.59,35.989999999999995
2005-02-21,47,59.0,,0.59,27.729999999999997
2005-02-22,38,59.0,,0.59,22.419999999999998
2005-02-23,51,59.0,,0.59,30.09
2005-02-24,41,59.0,,0.59,24.189999999999998
2005-02-25,29,59.0,,0.59,17.11
2005-02-26,40,59.0,,0.59,23.599999999999998
2005-02-27,93,59.0,,0.59,54.87
2005-02-28,62,59.0,,0.59,36.58
2005-03-01,53,55.0,False,0.55,29.150000000000002
2005-03-02,46,55.0,,0.55,25.3
2005-03-03,51,55.0,,0.55,28.05
2005-03-04,57,55.0,,0.55,31.35
2005-03-05,79,55.0,,0.55,43.45
2005-03-06,100,55.0,,0.55,55.00000000000001
2005-03-07,68,55.0,,0.55,37.400000000000006
2005-03-08,39,55.0,,0.55,21.450000000000003
2005-03-09,63,55.0,,0.55,34.650000000000006
2005-03-10,45,55.0,,0.55,24.750000000000004
2005-03-11,45,55.0,,0.55,24.750000000000004
2005-03-12,59,55.0,,0.55,32.45
2005-03-13,91,55.0,,0.55,50.050000000000004
2005-03-14,64,55.0,,0.55,35.2
2005-03-15,57,55.0,,0.55,31.35
2005-03-16,70,55.0,,0.55,38.5
2005-03-17,71,55.0,,0.55,39.050000000000004
2005-03-18,59,55.0,,0.55,32.45
2005-03-19,54,55.0,,0.55,29.700000000000003
2005-03-20,76,55.0,,0.55,41.800000000000004
2005-03-21,55,55.0,,0.55,30.250000000000004
2005-03-22,52,55.0,,0.55,28.6
2005-03-23,58,55.0,,0.55,31.900000000000002
2005-03-24,68,55.0,,0.55,37.400000000000006
2005-03-25,49,55.0,,0.55,26.950000000000003
2005-03-26,74,55.0,,0.55,40.7
2005-03-27,94,55.0,,0.55,51.7
2005-03-28,78,55.0,,0.55,42.900000000000006
2005-03-29,71,55.0,,0.55,39.050000000000004
2005-03-30,64,55.0,,0.55,35.2
2005-03-31,44,55.0,,0.55,24.200000000000003
2005-04-01,57,50.0,False,0.5,28.5
2005-04-02,88,50.0,,0.5,44.0
2005-04-03,100,50.0,,0.5,50.0
2005-04-04,85,50.0,,0.5,42.5
2005-04-05,0,50.0,,0.5,0.0
2005-04-06,39,50.0,,0.5,19.5
2005-04-07,41,50.0,,0.5,20.5
2005-04-08,58,50.0,,0.5,29.0
2005-04-09,73,50.0,,0.5,36.5
2005-04-10,68,50.0,,0.5,34.0
2005-04-11,53,50.0,,0.5,26.5
2005-04-12,64,50.0,,0.5,32.0
2005-04-13,62,50.0,,0.5,31.0
2005-04-14,44,50.0,,0.5,22.0
2005-04-15,52,50.0,,0.5,26.0
2005-04-16,58,50.0,,0.5,29.0
2005-04-17,84,50.0,,0.5,42.0
2005-04-18,68,50.0,,0.5,34.0
2005-04-19,33,50.0,,0.5,16.5
2005-04-20,57,50.0,,0.5,28.5
2005-04-21,40,50.0,,0.5,20.0
