date,home equity loan_unscaled,home equity loan_monthly,isPartial,scale,home equity loan
2005-01-01,39,39,False,0.39,15.21
2005-01-02,23,23,False,0.23,5.29
2005-01-03,41,41,False,0.41,16.81
2005-01-04,39,39,False,0.39,15.21
2005-01-05,64,64,False,0.64,40.96
2005-01-06,40,40,False,0.4,16.0
2005-01-07,40,40,False,0.4,16.0
2005-01-08,0,0,False,0.0,0.0
2005-01-09,64,64,False,0.64,40.96
2005-01-10,38,38,False,0.38,14.44
2005-01-11,50,50,False,0.5,25.0
2005-01-12,38,38,False,0.38,14.44
2005-01-13,38,38,False,0.38,14.44
2005-01-14,0,0,False,0.0,0.0
2005-01-15,21,21,False,0.21,4.41
2005-01-16,22,22,False,0.22,4.84
2005-01-17,29,29,False,0.29,8.41
2005-01-18,100,100,False,1.0,100.0
2005-01-19,63,63,False,0.63,39.69
2005-01-20,39,39,False,0.39,15.21
2005-01-21,27,27,False,0.27,7.290000000000001
2005-01-22,0,0,False,0.0,0.0
2005-01-23,19,19,False,0.19,3.61
2005-01-24,37,37,False,0.37,13.69
2005-01-25,0,0,False,0.0,0.0
2005-01-26,62,62,False,0.62,38.44
2005-01-27,13,13,False,0.13,1.69
2005-01-28,38,38,False,0.38,14.44
2005-01-29,60,60,False,0.6,36.0
2005-01-30,78,78,False,0.78,60.84
2005-01-31,12,12,False,0.12,1.44
2005-02-01,19,19,False,0.19,3.61
2005-02-02,40,40,False,0.4,16.0
2005-02-03,80,80,False,0.8,64.0
2005-02-04,63,63,False,0.63,39.69
2005-02-05,66,66,False,0.66,43.56
2005-02-06,67,67,False,0.67,44.89
2005-02-07,100,100,False,1.0,100.0
2005-02-08,75,75,False,0.75,56.25
2005-02-09,39,39,False,0.39,15.21
2005-02-10,39,39,False,0.39,15.21
2005-02-11,41,41,False,0.41,16.81
2005-02-12,32,32,False,0.32,10.24
2005-02-13,63,63,False,0.63,39.69
2005-02-14,20,20,False,0.2,4.0
2005-02-15,39,39,False,0.39,15.21
2005-02-16,96,96,False,0.96,92.16
2005-02-17,78,78,False,0.78,60.84
2005-02-18,41,41,False,0.41,16.81
2005-02-19,32,32,False,0.32,10.24
2005-02-20,98,98,False,0.98,96.03999999999999
2005-02-21,43,43,False,0.43,18.49
2005-02-22,75,75,False,0.75,56.25
2005-02-23,76,76,False,0.76,57.76
2005-02-24,95,95,False,0.95,90.25
2005-02-25,41,41,False,0.41,16.81
2005-02-26,0,0,False,0.0,0.0
2005-02-27,47,47,False,0.47,22.09
2005-02-28,57,57,False,0.57,32.489999999999995
2005-03-01,42,42,False,0.42,17.64
2005-03-02,72,72,False,0.72,51.839999999999996
2005-03-03,30,30,False,0.3,9.0
2005-03-04,47,47,False,0.47,22.09
2005-03-05,72,72,False,0.72,51.839999999999996
2005-03-06,48,48,False,0.48,23.04
2005-03-07,43,43,False,0.43,18.49
2005-03-08,28,28,False,0.28,7.840000000000001
2005-03-09,43,43,False,0.43,18.49
2005-03-10,29,29,False,0.29,8.41
2005-03-11,45,45,False,0.45,20.25
2005-03-12,70,70,False,0.7,49.0
2005-03-13,0,0,False,0.0,0.0
2005-03-14,57,57,False,0.57,32.489999999999995
2005-03-15,27,27,False,0.27,7.290000000000001
2005-03-16,28,28,False,0.28,7.840000000000001
2005-03-17,15,15,False,0.15,2.25
2005-03-18,31,31,False,0.31,9.61
2005-03-19,0,0,False,0.0,0.0
2005-03-20,24,24,False,0.24,5.76
2005-03-21,100,100,False,1.0,100.0
2005-03-22,57,57,False,0.57,32.489999999999995
2005-03-23,43,43,False,0.43,18.49
2005-03-24,91,91,False,0.91,82.81
2005-03-25,53,53,False,0.53,28.09
2005-03-26,50,50,False,0.5,25.0
2005-03-27,82,82,False,0.82,67.24
2005-03-28,59,59,False,0.59,34.809999999999995
2005-03-29,29,29,False,0.29,8.41
2005-03-30,15,15,False,0.15,2.25
2005-03-31,60,60,False,0.6,36.0
2005-04-01,39,39,False,0.39,15.21
2005-04-02,77,77,False,0.77,59.29
2005-04-03,56,56,False,0.56,31.360000000000003
2005-04-04,48,48,False,0.48,23.04
2005-04-05,0,0,True,0.0,0.0
2005-04-06,32,32,False,0.32,10.24
2005-04-07,12,12,False,0.12,1.44
2005-04-08,13,13,False,0.13,1.69
2005-04-09,0,0,False,0.0,0.0
2005-04-10,0,0,False,0.0,0.0
2005-04-11,35,35,False,0.35,12.25
2005-04-12,100,100,False,1.0,100.0
2005-04-13,57,57,False,0.57,32.489999999999995
2005-04-14,83,83,False,0.83,68.89
2005-04-15,38,38,False,0.38,14.44
2005-04-16,42,42,False,0.42,17.64
2005-04-17,83,83,False,0.83,68.89
2005-04-18,35,35,False,0.35,12.25
2005-04-19,22,22,False,0.22,4.84
2005-04-20,92,92,False,0.92,84.64
2005-04-21,36,36,False,0.36,12.959999999999999
2005-04-22,38,38,False,0.38,14.44
2005-04-23,19,19,False,0.19,3.61
2005-04-24,19,19,False,0.19,3.61
2005-04-25,33,33,False,0.33,10.89
2005-04-26,11,11,False,0.11,1.21
2005-04-27,22,22,False,0.22,4.84
2005-04-28,0,0,False,0.0,0.0
2005-04-29,48,48,False,0.48,23.04
2005-04-30,56,56,False,0.56,31.360000000000003
2005-05-01,25,25,False,0.25,6.25
2005-05-02,57,57,False,0.57,32.489999999999995
2005-05-03,100,100,False,1.0,100.0
2005-05-04,87,87,False,0.87,75.69
2005-05-05,45,45,False,0.45,20.25
2005-05-06,32,32,False,0.32,10.24
2005-05-07,54,54,False,0.54,29.160000000000004
2005-05-08,0,0,False,0.0,0.0
2005-05-09,89,89,False,0.89,79.21000000000001
2005-05-10,73,73,False,0.73,53.29
2005-05-11,30,30,False,0.3,9.0
2005-05-12,0,0,False,0.0,0.0
2005-05-13,32,32,False,0.32,10.24
2005-05-14,53,53,False,0.53,28.09
2005-05-15,51,51,False,0.51,26.01
2005-05-16,59,59,False,0.59,34.809999999999995
2005-05-17,87,87,False,0.87,75.69
2005-05-18,59,59,False,0.59,34.809999999999995
2005-05-19,91,91,False,0.91,82.81
2005-05-20,16,16,False,0.16,2.56
2005-05-21,0,0,False,0.0,0.0
2005-05-22,26,26,False,0.26,6.76
2005-05-23,30,30,False,0.3,9.0
2005-05-24,15,15,False,0.15,2.25
2005-05-25,30,30,False,0.3,9.0
2005-05-26,46,46,False,0.46,21.16
2005-05-27,51,51,False,0.51,26.01
2005-05-28,57,57,False,0.57,32.489999999999995
2005-05-29,59,59,False,0.59,34.809999999999995
2005-05-30,25,25,False,0.25,6.25
2005-05-31,60,60,False,0.6,36.0
2005-06-01,71,71,False,0.71,50.41
2005-06-02,71,71,False,0.71,50.41
2005-06-03,77,77,False,0.77,59.29
2005-06-04,49,49,False,0.49,24.009999999999998
2005-06-05,0,0,False,0.0,0.0
2005-06-06,29,29,False,0.29,8.41
2005-06-07,14,14,False,0.14,1.9600000000000002
2005-06-08,100,100,False,1.0,100.0
2005-06-09,44,44,False,0.44,19.36
2005-06-10,63,63,False,0.63,39.69
2005-06-11,50,50,False,0.5,25.0
2005-06-12,25,25,False,0.25,6.25
2005-06-13,88,88,False,0.88,77.44
2005-06-14,58,58,False,0.58,33.64
2005-06-15,74,74,False,0.74,54.76
2005-06-16,30,30,False,0.3,9.0
2005-06-17,48,48,False,0.48,23.04
2005-06-18,52,52,False,0.52,27.04
2005-06-19,27,27,False,0.27,7.290000000000001
2005-06-20,44,44,False,0.44,19.36
2005-06-21,73,73,False,0.73,53.29
2005-06-22,59,59,False,0.59,34.809999999999995
2005-06-23,61,61,False,0.61,37.21
2005-06-24,98,98,False,0.98,96.03999999999999
2005-06-25,78,78,False,0.78,60.84
2005-06-26,26,26,False,0.26,6.76
2005-06-27,59,59,False,0.59,34.809999999999995
2005-06-28,86,86,False,0.86,73.96
2005-06-29,29,29,False,0.29,8.41
2005-06-30,45,45,False,0.45,20.25
2005-07-01,78,78,False,0.78,60.84
2005-07-02,30,30,False,0.3,9.0
2005-07-03,0,0,False,0.0,0.0
2005-07-04,87,87,False,0.87,75.69
2005-07-05,72,72,False,0.72,51.839999999999996
2005-07-06,16,16,False,0.16,2.56
2005-07-07,100,100,False,1.0,100.0
2005-07-08,0,0,False,0.0,0.0
2005-07-09,27,27,False,0.27,7.290000000000001
2005-07-10,28,28,False,0.28,7.840000000000001
2005-07-11,81,81,False,0.81,65.61
2005-07-12,64,64,False,0.64,40.96
2005-07-13,98,98,False,0.98,96.03999999999999
2005-07-14,66,66,False,0.66,43.56
2005-07-15,35,35,False,0.35,12.25
2005-07-16,28,28,False,0.28,7.840000000000001
2005-07-17,85,85,False,0.85,72.25
2005-07-18,81,81,False,0.81,65.61
2005-07-19,79,79,False,0.79,62.410000000000004
2005-07-20,66,66,False,0.66,43.56
2005-07-21,33,33,False,0.33,10.89
2005-07-22,35,35,False,0.35,12.25
2005-07-23,82,82,False,0.82,67.24
2005-07-24,28,28,False,0.28,7.840000000000001
2005-07-25,97,97,False,0.97,94.09
2005-07-26,79,79,False,0.79,62.410000000000004
2005-07-27,66,66,False,0.66,43.56
2005-07-28,83,83,False,0.83,68.89
2005-07-29,18,18,False,0.18,3.2399999999999998
2005-07-30,27,27,False,0.27,7.290000000000001
2005-07-31,0,0,False,0.0,0.0
2005-08-01,26,26,False,0.26,6.76
2005-08-02,100,100,False,1.0,100.0
2005-08-03,38,38,False,0.38,14.44
2005-08-04,40,40,False,0.4,16.0
2005-08-05,28,28,False,0.28,7.840000000000001
2005-08-06,86,86,False,0.86,73.96
2005-08-07,43,43,False,0.43,18.49
2005-08-08,37,37,False,0.37,13.69
2005-08-09,85,85,False,0.85,72.25
2005-08-10,0,0,False,0.0,0.0
2005-08-11,51,51,False,0.51,26.01
2005-08-12,27,27,False,0.27,7.290000000000001
2005-08-13,21,21,False,0.21,4.41
2005-08-14,84,84,False,0.84,70.56
2005-08-15,37,37,False,0.37,13.69
2005-08-16,37,37,False,0.37,13.69
2005-08-17,25,25,False,0.25,6.25
2005-08-18,65,65,False,0.65,42.25
2005-08-19,13,13,False,0.13,1.69
2005-08-20,40,40,False,0.4,16.0
2005-08-21,0,0,False,0.0,0.0
2005-08-22,25,25,False,0.25,6.25
2005-08-23,36,36,False,0.36,12.959999999999999
2005-08-24,0,0,False,0.0,0.0
2005-08-25,49,49,False,0.49,24.009999999999998
2005-08-26,0,0,False,0.0,0.0
2005-08-27,39,39,False,0.39,15.21
2005-08-28,39,39,False,0.39,15.21
2005-08-29,24,24,False,0.24,5.76
2005-08-30,59,59,False,0.59,34.809999999999995
2005-08-31,24,24,False,0.24,5.76
2005-09-01,43,43,False,0.43,18.49
2005-09-02,47,47,False,0.47,22.09
2005-09-03,24,24,False,0.24,5.76
2005-09-04,25,25,False,0.25,6.25
2005-09-05,21,21,False,0.21,4.41
2005-09-06,14,14,False,0.14,1.9600000000000002
2005-09-07,0,0,False,0.0,0.0
2005-09-08,14,14,False,0.14,1.9600000000000002
2005-09-09,29,29,False,0.29,8.41
2005-09-10,44,44,False,0.44,19.36
2005-09-11,43,43,False,0.43,18.49
2005-09-12,53,53,False,0.53,28.09
2005-09-13,92,92,False,0.92,84.64
2005-09-14,13,13,False,0.13,1.69
2005-09-15,40,40,False,0.4,16.0
2005-09-16,43,43,False,0.43,18.49
2005-09-17,65,65,False,0.65,42.25
2005-09-18,87,87,False,0.87,75.69
2005-09-19,39,39,False,0.39,15.21
2005-09-20,38,38,False,0.38,14.44
2005-09-21,64,64,False,0.64,40.96
2005-09-22,26,26,False,0.26,6.76
2005-09-23,57,57,False,0.57,32.489999999999995
2005-09-24,22,22,False,0.22,4.84
2005-09-25,43,43,False,0.43,18.49
2005-09-26,39,39,False,0.39,15.21
2005-09-27,50,50,False,0.5,25.0
2005-09-28,52,52,False,0.52,27.04
2005-09-29,52,52,False,0.52,27.04
2005-09-30,100,100,False,1.0,100.0
2005-10-01,0,0,False,0.0,0.0
2005-10-02,21,21,False,0.21,4.41
2005-10-03,87,87,False,0.87,75.69
2005-10-04,0,0,False,0.0,0.0
2005-10-05,61,61,False,0.61,37.21
2005-10-06,74,74,False,0.74,54.76
2005-10-07,53,53,False,0.53,28.09
2005-10-08,0,0,False,0.0,0.0
2005-10-09,61,61,False,0.61,37.21
2005-10-10,51,51,False,0.51,26.01
2005-10-11,83,83,False,0.83,68.89
2005-10-12,62,62,False,0.62,38.44
2005-10-13,25,25,False,0.25,6.25
2005-10-14,26,26,False,0.26,6.76
2005-10-15,21,21,False,0.21,4.41
2005-10-16,100,100,False,1.0,100.0
2005-10-17,49,49,False,0.49,24.009999999999998
2005-10-18,48,48,False,0.48,23.04
2005-10-19,24,24,False,0.24,5.76
2005-10-20,37,37,False,0.37,13.69
2005-10-21,78,78,False,0.78,60.84
2005-10-22,20,20,False,0.2,4.0
2005-10-23,19,19,False,0.19,3.61
2005-10-24,36,36,False,0.36,12.959999999999999
2005-10-25,59,59,False,0.59,34.809999999999995
2005-10-26,48,48,False,0.48,23.04
2005-10-27,61,61,False,0.61,37.21
2005-10-28,0,0,False,0.0,0.0
2005-10-29,20,20,False,0.2,4.0
2005-10-30,41,41,False,0.41,16.81
2005-10-31,49,49,False,0.49,24.009999999999998
2005-11-01,27,27,False,0.27,7.290000000000001
2005-11-02,64,64,False,0.64,40.96
2005-11-03,39,39,False,0.39,15.21
2005-11-04,41,41,False,0.41,16.81
2005-11-05,84,84,False,0.84,70.56
2005-11-06,83,83,False,0.83,68.89
2005-11-07,50,50,False,0.5,25.0
2005-11-08,24,24,False,0.24,5.76
2005-11-09,41,41,False,0.41,16.81
2005-11-10,36,36,False,0.36,12.959999999999999
2005-11-11,43,43,False,0.43,18.49
2005-11-12,42,42,False,0.42,17.64
2005-11-13,0,0,False,0.0,0.0
2005-11-14,100,100,False,1.0,100.0
2005-11-15,24,24,False,0.24,5.76
2005-11-16,61,61,False,0.61,37.21
2005-11-17,13,13,False,0.13,1.69
2005-11-18,40,40,False,0.4,16.0
2005-11-19,41,41,False,0.41,16.81
2005-11-20,0,0,False,0.0,0.0
2005-11-21,12,12,False,0.12,1.44
2005-11-22,25,25,False,0.25,6.25
2005-11-23,0,0,False,0.0,0.0
2005-11-24,23,23,False,0.23,5.29
2005-11-25,20,20,False,0.2,4.0
2005-11-26,21,21,False,0.21,4.41
2005-11-27,40,40,False,0.4,16.0
2005-11-28,36,36,False,0.36,12.959999999999999
2005-11-29,58,58,False,0.58,33.64
2005-11-30,24,24,False,0.24,5.76
2005-12-01,16,16,False,0.16,2.56
2005-12-02,33,33,False,0.33,10.89
2005-12-03,0,0,False,0.0,0.0
2005-12-04,25,25,False,0.25,6.25
2005-12-05,78,78,False,0.78,60.84
2005-12-06,0,0,False,0.0,0.0
2005-12-07,92,92,False,0.92,84.64
2005-12-08,47,47,False,0.47,22.09
2005-12-09,17,17,False,0.17,2.89
2005-12-10,25,25,False,0.25,6.25
2005-12-11,51,51,False,0.51,26.01
2005-12-12,16,16,False,0.16,2.56
2005-12-13,15,15,False,0.15,2.25
2005-12-14,32,32,False,0.32,10.24
2005-12-15,82,82,False,0.82,67.24
2005-12-16,17,17,False,0.17,2.89
2005-12-17,52,52,False,0.52,27.04
2005-12-18,54,54,False,0.54,29.160000000000004
2005-12-19,68,68,False,0.68,46.24
2005-12-20,33,33,False,0.33,10.89
2005-12-21,18,18,False,0.18,3.2399999999999998
2005-12-22,0,0,False,0.0,0.0
2005-12-23,68,68,False,0.68,46.24
2005-12-24,0,0,False,0.0,0.0
2005-12-25,0,0,False,0.0,0.0
2005-12-26,0,0,False,0.0,0.0
2005-12-27,100,100,False,1.0,100.0
2005-12-28,57,57,False,0.57,32.489999999999995
2005-12-29,57,57,False,0.57,32.489999999999995
2005-12-30,42,42,False,0.42,17.64
2005-12-31,0,0,False,0.0,0.0
2006-01-01,0,0,False,0.0,0.0
2006-01-02,56,56,False,0.56,31.360000000000003
2006-01-03,43,43,False,0.43,18.49
2006-01-04,41,41,False,0.41,16.81
2006-01-05,53,53,False,0.53,28.09
2006-01-06,54,54,False,0.54,29.160000000000004
2006-01-07,79,79,False,0.79,62.410000000000004
2006-01-08,49,49,False,0.49,24.009999999999998
2006-01-09,41,41,False,0.41,16.81
2006-01-10,10,10,False,0.1,1.0
2006-01-11,40,40,False,0.4,16.0
2006-01-12,10,10,False,0.1,1.0
2006-01-13,53,53,False,0.53,28.09
2006-01-14,0,0,False,0.0,0.0
2006-01-15,64,64,False,0.64,40.96
2006-01-16,11,11,False,0.11,1.21
2006-01-17,59,59,False,0.59,34.809999999999995
2006-01-18,49,49,False,0.49,24.009999999999998
2006-01-19,100,100,False,1.0,100.0
2006-01-20,52,52,False,0.52,27.04
2006-01-21,31,31,False,0.31,9.61
2006-01-22,15,15,False,0.15,2.25
2006-01-23,38,38,False,0.38,14.44
2006-01-24,66,66,False,0.66,43.56
2006-01-25,48,48,False,0.48,23.04
2006-01-26,29,29,False,0.29,8.41
2006-01-27,61,61,False,0.61,37.21
2006-01-28,60,60,False,0.6,36.0
2006-01-29,44,44,False,0.44,19.36
2006-01-30,57,57,False,0.57,32.489999999999995
2006-01-31,65,65,False,0.65,42.25
2006-02-01,57,57,False,0.57,32.489999999999995
2006-02-02,100,100,False,1.0,100.0
2006-02-03,15,15,False,0.15,2.25
2006-02-04,43,43,False,0.43,18.49
2006-02-05,45,45,False,0.45,20.25
2006-02-06,44,44,False,0.44,19.36
2006-02-07,55,55,False,0.55,30.250000000000004
2006-02-08,42,42,False,0.42,17.64
2006-02-09,71,71,False,0.71,50.41
2006-02-10,30,30,False,0.3,9.0
2006-02-11,64,64,False,0.64,40.96
2006-02-12,43,43,False,0.43,18.49
2006-02-13,57,57,False,0.57,32.489999999999995
2006-02-14,70,70,False,0.7,49.0
2006-02-15,0,0,False,0.0,0.0
2006-02-16,43,43,False,0.43,18.49
2006-02-17,45,45,False,0.45,20.25
2006-02-18,86,86,False,0.86,73.96
