date,poverty rate_unscaled,poverty rate_monthly,isPartial,scale,poverty rate
2005-01-01,0,0,False,0.0,0.0
2005-01-02,0,0,False,0.0,0.0
2005-01-03,64,64,False,0.64,40.96
2005-01-04,0,0,False,0.0,0.0
2005-01-05,0,0,False,0.0,0.0
2005-01-06,0,0,False,0.0,0.0
2005-01-07,0,0,False,0.0,0.0
2005-01-08,0,0,False,0.0,0.0
2005-01-09,100,100,False,1.0,100.0
2005-01-10,0,0,False,0.0,0.0
2005-01-11,0,0,False,0.0,0.0
2005-01-12,0,0,False,0.0,0.0
2005-01-13,0,0,False,0.0,0.0
2005-01-14,0,0,False,0.0,0.0
2005-01-15,0,0,False,0.0,0.0
2005-01-16,0,0,False,0.0,0.0
2005-01-17,0,0,False,0.0,0.0
2005-01-18,0,0,False,0.0,0.0
2005-01-19,0,0,False,0.0,0.0
2005-01-20,0,0,False,0.0,0.0
2005-01-21,0,0,False,0.0,0.0
2005-01-22,0,0,False,0.0,0.0
2005-01-23,92,92,False,0.92,84.64
2005-01-24,0,0,False,0.0,0.0
2005-01-25,0,0,False,0.0,0.0
2005-01-26,0,0,False,0.0,0.0
2005-01-27,59,59,False,0.59,34.809999999999995
2005-01-28,0,0,False,0.0,0.0
2005-01-29,0,0,False,0.0,0.0
2005-01-30,0,0,False,0.0,0.0
2005-01-31,0,0,False,0.0,0.0
2005-02-01,0,0,False,0.0,0.0
2005-02-02,0,0,False,0.0,0.0
2005-02-03,0,0,False,0.0,0.0
2005-02-04,0,0,False,0.0,0.0
2005-02-05,0,0,False,0.0,0.0
2005-02-06,0,0,False,0.0,0.0
2005-02-07,0,0,False,0.0,0.0
2005-02-08,0,0,False,0.0,0.0
2005-02-09,52,52,False,0.52,27.04
2005-02-10,0,0,False,0.0,0.0
2005-02-11,0,0,False,0.0,0.0
2005-02-12,0,0,False,0.0,0.0
2005-02-13,0,0,False,0.0,0.0
2005-02-14,51,51,False,0.51,26.01
2005-02-15,0,0,False,0.0,0.0
2005-02-16,0,0,False,0.0,0.0
2005-02-17,0,0,False,0.0,0.0
2005-02-18,0,0,False,0.0,0.0
2005-02-19,0,0,False,0.0,0.0
2005-02-20,0,0,False,0.0,0.0
2005-02-21,0,0,False,0.0,0.0
2005-02-22,0,0,False,0.0,0.0
2005-02-23,100,100,False,1.0,100.0
2005-02-24,0,0,False,0.0,0.0
2005-02-25,0,0,False,0.0,0.0
2005-02-26,0,0,False,0.0,0.0
2005-02-27,0,0,False,0.0,0.0
2005-02-28,0,0,False,0.0,0.0
2005-03-01,0,0,False,0.0,0.0
2005-03-02,0,0,False,0.0,0.0
2005-03-03,0,0,False,0.0,0.0
2005-03-04,47,47,False,0.47,22.09
2005-03-05,0,0,False,0.0,0.0
2005-03-06,0,0,False,0.0,0.0
2005-03-07,0,0,False,0.0,0.0
2005-03-08,42,42,False,0.42,17.64
2005-03-09,43,43,False,0.43,18.49
2005-03-10,0,0,False,0.0,0.0
2005-03-11,46,46,False,0.46,21.16
2005-03-12,0,0,False,0.0,0.0
2005-03-13,0,0,False,0.0,0.0
2005-03-14,0,0,False,0.0,0.0
2005-03-15,0,0,False,0.0,0.0
2005-03-16,86,86,False,0.86,73.96
2005-03-17,44,44,False,0.44,19.36
2005-03-18,0,0,False,0.0,0.0
2005-03-19,0,0,False,0.0,0.0
2005-03-20,0,0,False,0.0,0.0
2005-03-21,87,87,False,0.87,75.69
2005-03-22,0,0,False,0.0,0.0
2005-03-23,0,0,False,0.0,0.0
2005-03-24,0,0,False,0.0,0.0
2005-03-25,0,0,False,0.0,0.0
2005-03-26,0,0,False,0.0,0.0
2005-03-27,100,100,False,1.0,100.0
2005-03-28,72,72,False,0.72,51.839999999999996
