date,inflation calculator_unscaled,inflation calculator_monthly,isPartial,scale,inflation calculator
2005-01-01,0,47.0,False,0.47,0.0
2005-01-02,0,47.0,,0.47,0.0
2005-01-03,0,47.0,,0.47,0.0
2005-01-04,0,47.0,,0.47,0.0
2005-01-05,0,47.0,,0.47,0.0
2005-01-06,26,47.0,,0.47,12.219999999999999
2005-01-07,27,47.0,,0.47,12.69
2005-01-08,0,47.0,,0.47,0.0
2005-01-09,0,47.0,,0.47,0.0
2005-01-10,0,47.0,,0.47,0.0
2005-01-11,49,47.0,,0.47,23.029999999999998
2005-01-12,25,47.0,,0.47,11.75
2005-01-13,0,47.0,,0.47,0.0
2005-01-14,79,47.0,,0.47,37.129999999999995
2005-01-15,0,47.0,,0.47,0.0
2005-01-16,43,47.0,,0.47,20.209999999999997
2005-01-17,29,47.0,,0.47,13.629999999999999
2005-01-18,75,47.0,,0.47,35.25
2005-01-19,51,47.0,,0.47,23.97
2005-01-20,77,47.0,,0.47,36.19
2005-01-21,0,47.0,,0.47,0.0
2005-01-22,0,47.0,,0.47,0.0
2005-01-23,78,47.0,,0.47,36.66
2005-01-24,0,47.0,,0.47,0.0
2005-01-25,24,47.0,,0.47,11.28
2005-01-26,0,47.0,,0.47,0.0
2005-01-27,100,47.0,,0.47,47.0
2005-01-28,26,47.0,,0.47,12.219999999999999
2005-01-29,40,47.0,,0.47,18.799999999999997
2005-01-30,39,47.0,,0.47,18.33
2005-01-31,0,47.0,,0.47,0.0
2005-02-01,0,51.0,False,0.51,0.0
2005-02-02,60,51.0,,0.51,30.6
2005-02-03,0,51.0,,0.51,0.0
2005-02-04,32,51.0,,0.51,16.32
2005-02-05,0,51.0,,0.51,0.0
2005-02-06,100,51.0,,0.51,51.0
2005-02-07,30,51.0,,0.51,15.3
2005-02-08,28,51.0,,0.51,14.280000000000001
2005-02-09,0,51.0,,0.51,0.0
2005-02-10,59,51.0,,0.51,30.09
2005-02-11,92,51.0,,0.51,46.92
2005-02-12,0,51.0,,0.51,0.0
2005-02-13,48,51.0,,0.51,24.48
2005-02-14,29,51.0,,0.51,14.790000000000001
2005-02-15,87,51.0,,0.51,44.37
2005-02-16,29,51.0,,0.51,14.790000000000001
2005-02-17,0,51.0,,0.51,0.0
2005-02-18,31,51.0,,0.51,15.81
2005-02-19,0,51.0,,0.51,0.0
2005-02-20,0,51.0,,0.51,0.0
2005-02-21,64,51.0,,0.51,32.64
2005-02-22,28,51.0,,0.51,14.280000000000001
2005-02-23,85,51.0,,0.51,43.35
2005-02-24,86,51.0,,0.51,43.86
2005-02-25,92,51.0,,0.51,46.92
2005-02-26,0,51.0,,0.51,0.0
2005-02-27,70,51.0,,0.51,35.7
2005-02-28,57,51.0,,0.51,29.07
2005-03-01,59,56.0,False,0.56,33.040000000000006
2005-03-02,0,56.0,,0.56,0.0
2005-03-03,21,56.0,,0.56,11.760000000000002
2005-03-04,0,56.0,,0.56,0.0
2005-03-05,68,56.0,,0.56,38.080000000000005
2005-03-06,0,56.0,,0.56,0.0
2005-03-07,0,56.0,,0.56,0.0
2005-03-08,19,56.0,,0.56,10.64
2005-03-09,0,56.0,,0.56,0.0
2005-03-10,41,56.0,,0.56,22.96
2005-03-11,64,56.0,,0.56,35.84
2005-03-12,0,56.0,,0.56,0.0
2005-03-13,0,56.0,,0.56,0.0
2005-03-14,40,56.0,,0.56,22.400000000000002
2005-03-15,58,56.0,,0.56,32.480000000000004
2005-03-16,20,56.0,,0.56,11.200000000000001
2005-03-17,41,56.0,,0.56,22.96
2005-03-18,66,56.0,,0.56,36.96
2005-03-19,100,56.0,,0.56,56.00000000000001
2005-03-20,0,56.0,,0.56,0.0
2005-03-21,20,56.0,,0.56,11.200000000000001
2005-03-22,20,56.0,,0.56,11.200000000000001
2005-03-23,0,56.0,,0.56,0.0
2005-03-24,0,56.0,,0.56,0.0
2005-03-25,0,56.0,,0.56,0.0
2005-03-26,0,56.0,,0.56,0.0
2005-03-27,0,56.0,,0.56,0.0
2005-03-28,17,56.0,,0.56,9.520000000000001
2005-03-29,20,56.0,,0.56,11.200000000000001
2005-03-30,20,56.0,,0.56,11.200000000000001
2005-03-31,21,56.0,,0.56,11.760000000000002
2005-04-01,53,41.0,False,0.41,21.73
2005-04-02,0,41.0,,0.41,0.0
2005-04-03,0,41.0,,0.41,0.0
2005-04-04,100,41.0,,0.41,41.0
2005-04-05,0,41.0,,0.41,0.0
2005-04-06,65,41.0,,0.41,26.65
2005-04-07,0,41.0,,0.41,0.0
2005-04-08,0,41.0,,0.41,0.0
2005-04-09,0,41.0,,0.41,0.0
2005-04-10,0,41.0,,0.41,0.0
2005-04-11,47,41.0,,0.41,19.27
2005-04-12,0,41.0,,0.41,0.0
2005-04-13,23,41.0,,0.41,9.43
2005-04-14,0,41.0,,0.41,0.0
2005-04-15,26,41.0,,0.41,10.66
2005-04-16,43,41.0,,0.41,17.63
2005-04-17,85,41.0,,0.41,34.85
2005-04-18,24,41.0,,0.41,9.84
2005-04-19,0,41.0,,0.41,0.0
2005-04-20,70,41.0,,0.41,28.7
2005-04-21,25,41.0,,0.41,10.25
2005-04-22,52,41.0,,0.41,21.32
2005-04-23,39,41.0,,0.41,15.989999999999998
2005-04-24,39,41.0,,0.41,15.989999999999998
2005-04-25,0,41.0,,0.41,0.0
2005-04-26,45,41.0,,0.41,18.45
2005-04-27,69,41.0,,0.41,28.29
2005-04-28,23,41.0,,0.41,9.43
2005-04-29,25,41.0,,0.41,10.25
2005-04-30,0,41.0,,0.41,0.0
2005-05-01,33,52.0,False,0.52,17.16
2005-05-02,39,52.0,,0.52,20.28
2005-05-03,19,52.0,,0.52,9.88
2005-05-04,39,52.0,,0.52,20.28
2005-05-05,20,52.0,,0.52,10.4
2005-05-06,44,52.0,,0.52,22.880000000000003
2005-05-07,0,52.0,,0.52,0.0
2005-05-08,73,52.0,,0.52,37.96
2005-05-09,59,52.0,,0.52,30.68
2005-05-10,20,52.0,,0.52,10.4
2005-05-11,40,52.0,,0.52,20.8
2005-05-12,0,52.0,,0.52,0.0
2005-05-13,0,52.0,,0.52,0.0
2005-05-14,71,52.0,,0.52,36.92
2005-05-15,0,52.0,,0.52,0.0
2005-05-16,20,52.0,,0.52,10.4
2005-05-17,0,52.0,,0.52,0.0
2005-05-18,20,52.0,,0.52,10.4
2005-05-19,61,52.0,,0.52,31.720000000000002
2005-05-20,0,52.0,,0.52,0.0
2005-05-21,37,52.0,,0.52,19.240000000000002
2005-05-22,35,52.0,,0.52,18.2
2005-05-23,20,52.0,,0.52,10.4
2005-05-24,0,52.0,,0.52,0.0
2005-05-25,20,52.0,,0.52,10.4
2005-05-26,0,52.0,,0.52,0.0
2005-05-27,0,52.0,,0.52,0.0
2005-05-28,38,52.0,,0.52,19.76
2005-05-29,40,52.0,,0.52,20.8
2005-05-30,100,52.0,,0.52,52.0
2005-05-31,0,52.0,,0.52,0.0
2005-06-01,27,28.0,False,0.28,7.5600000000000005
2005-06-02,80,28.0,,0.28,22.400000000000002
2005-06-03,0,28.0,,0.28,0.0
2005-06-04,0,28.0,,0.28,0.0
2005-06-05,47,28.0,,0.28,13.160000000000002
2005-06-06,0,28.0,,0.28,0.0
2005-06-07,54,28.0,,0.28,15.120000000000001
2005-06-08,0,28.0,,0.28,0.0
2005-06-09,28,28.0,,0.28,7.840000000000001
2005-06-10,0,28.0,,0.28,0.0
2005-06-11,47,28.0,,0.28,13.160000000000002
2005-06-12,95,28.0,,0.28,26.6
2005-06-13,54,28.0,,0.28,15.120000000000001
2005-06-14,0,28.0,,0.28,0.0
2005-06-15,27,28.0,,0.28,7.5600000000000005
2005-06-16,0,28.0,,0.28,0.0
2005-06-17,30,28.0,,0.28,8.4
2005-06-18,0,28.0,,0.28,0.0
2005-06-19,100,28.0,,0.28,28.000000000000004
2005-06-20,27,28.0,,0.28,7.5600000000000005
2005-06-21,54,28.0,,0.28,15.120000000000001
2005-06-22,0,28.0,,0.28,0.0
2005-06-23,28,28.0,,0.28,7.840000000000001
2005-06-24,31,28.0,,0.28,8.680000000000001
2005-06-25,49,28.0,,0.28,13.72
2005-06-26,49,28.0,,0.28,13.72
2005-06-27,0,28.0,,0.28,0.0
2005-06-28,27,28.0,,0.28,7.5600000000000005
2005-06-29,0,28.0,,0.28,0.0
2005-06-30,0,28.0,,0.28,0.0
2005-07-01,48,39.0,False,0.39,18.72
2005-07-02,0,39.0,,0.39,0.0
2005-07-03,40,39.0,,0.39,15.600000000000001
2005-07-04,36,39.0,,0.39,14.040000000000001
2005-07-05,0,39.0,,0.39,0.0
2005-07-06,40,39.0,,0.39,15.600000000000001
2005-07-07,0,39.0,,0.39,0.0
2005-07-08,22,39.0,,0.39,8.58
2005-07-09,100,39.0,,0.39,39.0
2005-07-10,0,39.0,,0.39,0.0
2005-07-11,40,39.0,,0.39,15.600000000000001
2005-07-12,20,39.0,,0.39,7.800000000000001
2005-07-13,0,39.0,,0.39,0.0
2005-07-14,0,39.0,,0.39,0.0
2005-07-15,22,39.0,,0.39,8.58
2005-07-16,0,39.0,,0.39,0.0
2005-07-17,0,39.0,,0.39,0.0
2005-07-18,0,39.0,,0.39,0.0
2005-07-19,20,39.0,,0.39,7.800000000000001
2005-07-20,40,39.0,,0.39,15.600000000000001
2005-07-21,21,39.0,,0.39,8.19
2005-07-22,0,39.0,,0.39,0.0
2005-07-23,0,39.0,,0.39,0.0
2005-07-24,35,39.0,,0.39,13.65
2005-07-25,59,39.0,,0.39,23.01
2005-07-26,19,39.0,,0.39,7.41
2005-07-27,20,39.0,,0.39,7.800000000000001
2005-07-28,0,39.0,,0.39,0.0
2005-07-29,0,39.0,,0.39,0.0
2005-07-30,0,39.0,,0.39,0.0
2005-07-31,0,39.0,,0.39,0.0
2005-08-01,0,40.0,False,0.4,0.0
2005-08-02,0,40.0,,0.4,0.0
