date,life insurance_unscaled,life insurance_monthly,isPartial,scale,life insurance
2005-01-01,80,80,False,0.8,64.0
2005-01-02,40,40,False,0.4,16.0
2005-01-03,92,92,False,0.92,84.64
2005-01-04,95,95,False,0.95,90.25
2005-01-05,49,49,False,0.49,24.009999999999998
2005-01-06,82,82,False,0.82,67.24
2005-01-07,79,79,False,0.79,62.410000000000004
2005-01-08,37,37,False,0.37,13.69
2005-01-09,62,62,False,0.62,38.44
2005-01-10,74,74,False,0.74,54.76
2005-01-11,44,44,False,0.44,19.36
2005-01-12,85,85,False,0.85,72.25
2005-01-13,82,82,False,0.82,67.24
2005-01-14,66,66,False,0.66,43.56
2005-01-15,31,31,False,0.31,9.61
2005-01-16,57,57,False,0.57,32.489999999999995
2005-01-17,51,51,False,0.51,26.01
2005-01-18,44,44,False,0.44,19.36
2005-01-19,93,93,False,0.93,86.49000000000001
2005-01-20,49,49,False,0.49,24.009999999999998
2005-01-21,55,55,False,0.55,30.250000000000004
2005-01-22,35,35,False,0.35,12.25
2005-01-23,79,79,False,0.79,62.410000000000004
2005-01-24,62,62,False,0.62,38.44
2005-01-25,68,68,False,0.68,46.24
2005-01-26,80,80,False,0.8,64.0
2005-01-27,92,92,False,0.92,84.64
2005-01-28,71,71,False,0.71,50.41
2005-01-29,59,59,False,0.59,34.809999999999995
2005-01-30,35,35,False,0.35,12.25
2005-01-31,100,100,False,1.0,100.0
2005-02-01,79,79,False,0.79,62.410000000000004
2005-02-02,78,78,False,0.78,60.84
2005-02-03,82,82,False,0.82,67.24
2005-02-04,83,83,False,0.83,68.89
2005-02-05,51,51,False,0.51,26.01
2005-02-06,29,29,False,0.29,8.41
2005-02-07,72,72,False,0.72,51.839999999999996
2005-02-08,100,100,False,1.0,100.0
2005-02-09,90,90,False,0.9,81.0
2005-02-10,73,73,False,0.73,53.29
2005-02-11,49,49,False,0.49,24.009999999999998
2005-02-12,94,94,False,0.94,88.36
2005-02-13,59,59,False,0.59,34.809999999999995
2005-02-14,74,74,False,0.74,54.76
2005-02-15,83,83,False,0.83,68.89
2005-02-16,83,83,False,0.83,68.89
2005-02-17,80,80,False,0.8,64.0
2005-02-18,59,59,False,0.59,34.809999999999995
2005-02-19,49,49,False,0.49,24.009999999999998
2005-02-20,67,67,False,0.67,44.89
2005-02-21,62,62,False,0.62,38.44
2005-02-22,68,68,False,0.68,46.24
2005-02-23,78,78,False,0.78,60.84
2005-02-24,42,42,False,0.42,17.64
2005-02-25,66,66,False,0.66,43.56
2005-02-26,0,0,False,0.0,0.0
2005-02-27,24,24,False,0.24,5.76
2005-02-28,42,42,False,0.42,17.64
2005-03-01,93,93,False,0.93,86.49000000000001
2005-03-02,88,88,False,0.88,77.44
2005-03-03,77,77,False,0.77,59.29
2005-03-04,54,54,False,0.54,29.160000000000004
2005-03-05,40,40,False,0.4,16.0
2005-03-06,19,19,False,0.19,3.61
2005-03-07,79,79,False,0.79,62.410000000000004
2005-03-08,95,95,False,0.95,90.25
2005-03-09,76,76,False,0.76,57.76
2005-03-10,84,84,False,0.84,70.56
2005-03-11,64,64,False,0.64,40.96
2005-03-12,65,65,False,0.65,42.25
2005-03-13,44,44,False,0.44,19.36
