date,limited partnership_unscaled,limited partnership_monthly,isPartial,scale,limited partnership
2005-01-01,0,56.0,False,0.56,0.0
2005-01-02,50,56.0,,0.56,28.000000000000004
2005-01-03,92,56.0,,0.56,51.52
2005-01-04,29,56.0,,0.56,16.240000000000002
2005-01-05,29,56.0,,0.56,16.240000000000002
2005-01-06,0,56.0,,0.56,0.0
2005-01-07,30,56.0,,0.56,16.8
2005-01-08,47,56.0,,0.56,26.320000000000004
2005-01-09,47,56.0,,0.56,26.320000000000004
2005-01-10,43,56.0,,0.56,24.080000000000002
2005-01-11,28,56.0,,0.56,15.680000000000001
2005-01-12,56,56.0,,0.56,31.360000000000003
2005-01-13,100,56.0,,0.56,56.00000000000001
2005-01-14,75,56.0,,0.56,42.00000000000001
2005-01-15,95,56.0,,0.56,53.2
2005-01-16,48,56.0,,0.56,26.880000000000003
2005-01-17,32,56.0,,0.56,17.92
2005-01-18,0,56.0,,0.56,0.0
2005-01-19,43,56.0,,0.56,24.080000000000002
2005-01-20,29,56.0,,0.56,16.240000000000002
2005-01-21,29,56.0,,0.56,16.240000000000002
2005-01-22,45,56.0,,0.56,25.200000000000003
2005-01-23,43,56.0,,0.56,24.080000000000002
2005-01-24,97,56.0,,0.56,54.32000000000001
2005-01-25,41,56.0,,0.56,22.96
2005-01-26,28,56.0,,0.56,15.680000000000001
2005-01-27,28,56.0,,0.56,15.680000000000001
2005-01-28,58,56.0,,0.56,32.480000000000004
2005-01-29,45,56.0,,0.56,25.200000000000003
2005-01-30,0,56.0,,0.56,0.0
2005-01-31,82,56.0,,0.56,45.92
2005-02-01,25,48.0,False,0.48,12.0
2005-02-02,0,48.0,,0.48,0.0
2005-02-03,53,48.0,,0.48,25.439999999999998
2005-02-04,56,48.0,,0.48,26.88
2005-02-05,0,48.0,,0.48,0.0
2005-02-06,0,48.0,,0.48,0.0
2005-02-07,27,48.0,,0.48,12.959999999999999
2005-02-08,100,48.0,,0.48,48.0
2005-02-09,78,48.0,,0.48,37.44
2005-02-10,26,48.0,,0.48,12.48
2005-02-11,0,48.0,,0.48,0.0
2005-02-12,0,48.0,,0.48,0.0
2005-02-13,42,48.0,,0.48,20.16
