date,live gold_unscaled,live gold_monthly,isPartial,scale,live gold
2005-01-01,0,0,False,0.0,0.0
2005-01-02,0,0,False,0.0,0.0
2005-01-03,0,0,False,0.0,0.0
2005-01-04,0,0,False,0.0,0.0
2005-01-05,0,0,False,0.0,0.0
2005-01-06,0,0,False,0.0,0.0
2005-01-07,34,34,False,0.34,11.56
2005-01-08,0,0,False,0.0,0.0
2005-01-09,0,0,False,0.0,0.0
2005-01-10,0,0,False,0.0,0.0
2005-01-11,0,0,False,0.0,0.0
2005-01-12,0,0,False,0.0,0.0
2005-01-13,0,0,False,0.0,0.0
2005-01-14,100,100,False,1.0,100.0
2005-01-15,0,0,False,0.0,0.0
2005-01-16,54,54,False,0.54,29.160000000000004
2005-01-17,0,0,False,0.0,0.0
2005-01-18,31,31,False,0.31,9.61
2005-01-19,0,0,False,0.0,0.0
2005-01-20,32,32,False,0.32,10.24
2005-01-21,0,0,False,0.0,0.0
2005-01-22,0,0,False,0.0,0.0
2005-01-23,0,0,False,0.0,0.0
2005-01-24,0,0,False,0.0,0.0
2005-01-25,0,0,False,0.0,0.0
2005-01-26,0,0,False,0.0,0.0
2005-01-27,0,0,False,0.0,0.0
2005-01-28,0,0,False,0.0,0.0
2005-01-29,0,0,False,0.0,0.0
2005-01-30,0,0,False,0.0,0.0
2005-01-31,0,0,False,0.0,0.0
2005-02-01,0,0,False,0.0,0.0
2005-02-02,0,0,False,0.0,0.0
2005-02-03,0,0,False,0.0,0.0
2005-02-04,0,0,False,0.0,0.0
2005-02-05,0,0,False,0.0,0.0
2005-02-06,0,0,False,0.0,0.0
2005-02-07,35,35,False,0.35,12.25
2005-02-08,0,0,False,0.0,0.0
2005-02-09,0,0,False,0.0,0.0
2005-02-10,0,0,False,0.0,0.0
2005-02-11,0,0,False,0.0,0.0
2005-02-12,0,0,False,0.0,0.0
2005-02-13,0,0,False,0.0,0.0
2005-02-14,69,69,False,0.69,47.61
2005-02-15,0,0,False,0.0,0.0
2005-02-16,0,0,False,0.0,0.0
2005-02-17,0,0,False,0.0,0.0
2005-02-18,72,72,False,0.72,51.839999999999996
2005-02-19,57,57,False,0.57,32.489999999999995
2005-02-20,0,0,False,0.0,0.0
2005-02-21,0,0,False,0.0,0.0
2005-02-22,100,100,False,1.0,100.0
2005-02-23,33,33,False,0.33,10.89
2005-02-24,34,34,False,0.34,11.56
2005-02-25,0,0,False,0.0,0.0
2005-02-26,0,0,False,0.0,0.0
2005-02-27,83,83,False,0.83,68.89
2005-02-28,0,0,False,0.0,0.0
2005-03-01,46,46,False,0.46,21.16
2005-03-02,0,0,False,0.0,0.0
2005-03-03,0,0,False,0.0,0.0
2005-03-04,0,0,False,0.0,0.0
2005-03-05,0,0,False,0.0,0.0
2005-03-06,0,0,False,0.0,0.0
2005-03-07,0,0,False,0.0,0.0
2005-03-08,0,0,False,0.0,0.0
2005-03-09,0,0,False,0.0,0.0
2005-03-10,0,0,False,0.0,0.0
2005-03-11,0,0,False,0.0,0.0
2005-03-12,0,0,False,0.0,0.0
2005-03-13,0,0,False,0.0,0.0
2005-03-14,0,0,False,0.0,0.0
2005-03-15,45,45,False,0.45,20.25
2005-03-16,0,0,False,0.0,0.0
2005-03-17,97,97,False,0.97,94.09
2005-03-18,51,51,False,0.51,26.01
2005-03-19,0,0,False,0.0,0.0
2005-03-20,0,0,False,0.0,0.0
2005-03-21,0,0,False,0.0,0.0
2005-03-22,47,47,False,0.47,22.09
2005-03-23,0,0,False,0.0,0.0
2005-03-24,100,100,False,1.0,100.0
2005-03-25,59,59,False,0.59,34.809999999999995
2005-03-26,0,0,False,0.0,0.0
2005-03-27,0,0,False,0.0,0.0
2005-03-28,39,39,False,0.39,15.21
