date,loan_unscaled,loan_monthly,isPartial,scale,loan
2005-01-01,62,68.0,False,0.68,42.160000000000004
2005-01-02,68,68.0,,0.68,46.24
2005-01-03,90,68.0,,0.68,61.2
2005-01-04,100,68.0,,0.68,68.0
2005-01-05,81,68.0,,0.68,55.080000000000005
2005-01-06,87,68.0,,0.68,59.160000000000004
2005-01-07,83,68.0,,0.68,56.440000000000005
2005-01-08,67,68.0,,0.68,45.56
2005-01-09,75,68.0,,0.68,51.00000000000001
2005-01-10,80,68.0,,0.68,54.400000000000006
2005-01-11,79,68.0,,0.68,53.720000000000006
2005-01-12,82,68.0,,0.68,55.760000000000005
2005-01-13,93,68.0,,0.68,63.24
2005-01-14,89,68.0,,0.68,60.52
2005-01-15,81,68.0,,0.68,55.080000000000005
2005-01-16,59,68.0,,0.68,40.120000000000005
2005-01-17,80,68.0,,0.68,54.400000000000006
2005-01-18,91,68.0,,0.68,61.88
2005-01-19,85,68.0,,0.68,57.800000000000004
2005-01-20,81,68.0,,0.68,55.080000000000005
2005-01-21,91,68.0,,0.68,61.88
2005-01-22,64,68.0,,0.68,43.52
2005-01-23,70,68.0,,0.68,47.6
2005-01-24,89,68.0,,0.68,60.52
2005-01-25,92,68.0,,0.68,62.56
2005-01-26,91,68.0,,0.68,61.88
2005-01-27,71,68.0,,0.68,48.28
2005-01-28,72,68.0,,0.68,48.96
2005-01-29,71,68.0,,0.68,48.28
2005-01-30,72,68.0,,0.68,48.96
2005-01-31,100,68.0,,0.68,68.0
2005-02-01,88,70.0,False,0.7,61.599999999999994
2005-02-02,100,70.0,,0.7,70.0
2005-02-03,88,70.0,,0.7,61.599999999999994
2005-02-04,88,70.0,,0.7,61.599999999999994
2005-02-05,67,70.0,,0.7,46.9
2005-02-06,70,70.0,,0.7,49.0
2005-02-07,85,70.0,,0.7,59.49999999999999
2005-02-08,94,70.0,,0.7,65.8
2005-02-09,79,70.0,,0.7,55.3
2005-02-10,85,70.0,,0.7,59.49999999999999
2005-02-11,85,70.0,,0.7,59.49999999999999
2005-02-12,82,70.0,,0.7,57.4
2005-02-13,59,70.0,,0.7,41.3
2005-02-14,85,70.0,,0.7,59.49999999999999
2005-02-15,83,70.0,,0.7,58.099999999999994
2005-02-16,96,70.0,,0.7,67.19999999999999
2005-02-17,79,70.0,,0.7,55.3
2005-02-18,74,70.0,,0.7,51.8
2005-02-19,73,70.0,,0.7,51.099999999999994
2005-02-20,64,70.0,,0.7,44.8
2005-02-21,83,70.0,,0.7,58.099999999999994
2005-02-22,77,70.0,,0.7,53.9
2005-02-23,67,70.0,,0.7,46.9
2005-02-24,80,70.0,,0.7,56.0
2005-02-25,84,70.0,,0.7,58.8
2005-02-26,68,70.0,,0.7,47.599999999999994
2005-02-27,64,70.0,,0.7,44.8
2005-02-28,81,70.0,,0.7,56.699999999999996
2005-03-01,77,68.0,False,0.68,52.36000000000001
2005-03-02,82,68.0,,0.68,55.760000000000005
2005-03-03,79,68.0,,0.68,53.720000000000006
2005-03-04,76,68.0,,0.68,51.68000000000001
2005-03-05,58,68.0,,0.68,39.440000000000005
2005-03-06,59,68.0,,0.68,40.120000000000005
2005-03-07,100,68.0,,0.68,68.0
2005-03-08,74,68.0,,0.68,50.32
2005-03-09,68,68.0,,0.68,46.24
2005-03-10,84,68.0,,0.68,57.120000000000005
2005-03-11,77,68.0,,0.68,52.36000000000001
2005-03-12,73,68.0,,0.68,49.64
2005-03-13,52,68.0,,0.68,35.36
2005-03-14,79,68.0,,0.68,53.720000000000006
2005-03-15,93,68.0,,0.68,63.24
2005-03-16,89,68.0,,0.68,60.52
2005-03-17,91,68.0,,0.68,61.88
2005-03-18,69,68.0,,0.68,46.92
2005-03-19,55,68.0,,0.68,37.400000000000006
2005-03-20,76,68.0,,0.68,51.68000000000001
2005-03-21,91,68.0,,0.68,61.88
2005-03-22,98,68.0,,0.68,66.64
2005-03-23,78,68.0,,0.68,53.040000000000006
2005-03-24,79,68.0,,0.68,53.720000000000006
2005-03-25,94,68.0,,0.68,63.92
2005-03-26,62,68.0,,0.68,42.160000000000004
2005-03-27,67,68.0,,0.68,45.56
2005-03-28,88,68.0,,0.68,59.84
2005-03-29,80,68.0,,0.68,54.400000000000006
2005-03-30,83,68.0,,0.68,56.440000000000005
2005-03-31,75,68.0,,0.68,51.00000000000001
2005-04-01,83,70.0,False,0.7,58.099999999999994
2005-04-02,81,70.0,,0.7,56.699999999999996
2005-04-03,67,70.0,,0.7,46.9
2005-04-04,63,70.0,,0.7,44.099999999999994
2005-04-05,0,70.0,,0.7,0.0
2005-04-06,82,70.0,,0.7,57.4
2005-04-07,94,70.0,,0.7,65.8
2005-04-08,75,70.0,,0.7,52.5
2005-04-09,72,70.0,,0.7,50.4
2005-04-10,68,70.0,,0.7,47.599999999999994
2005-04-11,91,70.0,,0.7,63.699999999999996
2005-04-12,80,70.0,,0.7,56.0
2005-04-13,82,70.0,,0.7,57.4
2005-04-14,91,70.0,,0.7,63.699999999999996
2005-04-15,76,70.0,,0.7,53.199999999999996
2005-04-16,77,70.0,,0.7,53.9
2005-04-17,63,70.0,,0.7,44.099999999999994
2005-04-18,100,70.0,,0.7,70.0
2005-04-19,84,70.0,,0.7,58.8
2005-04-20,86,70.0,,0.7,60.199999999999996
2005-04-21,84,70.0,,0.7,58.8
2005-04-22,77,70.0,,0.7,53.9
2005-04-23,59,70.0,,0.7,41.3
2005-04-24,62,70.0,,0.7,43.4
2005-04-25,86,70.0,,0.7,60.199999999999996
2005-04-26,92,70.0,,0.7,64.39999999999999
2005-04-27,87,70.0,,0.7,60.9
2005-04-28,85,70.0,,0.7,59.49999999999999
2005-04-29,83,70.0,,0.7,58.099999999999994
2005-04-30,76,70.0,,0.7,53.199999999999996
2005-05-01,66,73.0,False,0.73,48.18
2005-05-02,91,73.0,,0.73,66.42999999999999
2005-05-03,85,73.0,,0.73,62.05
2005-05-04,84,73.0,,0.73,61.32
2005-05-05,74,73.0,,0.73,54.019999999999996
2005-05-06,77,73.0,,0.73,56.21
2005-05-07,65,73.0,,0.73,47.449999999999996
2005-05-08,59,73.0,,0.73,43.07
2005-05-09,88,73.0,,0.73,64.24
2005-05-10,85,73.0,,0.73,62.05
2005-05-11,78,73.0,,0.73,56.94
2005-05-12,87,73.0,,0.73,63.51
2005-05-13,93,73.0,,0.73,67.89
2005-05-14,67,73.0,,0.73,48.91
2005-05-15,52,73.0,,0.73,37.96
2005-05-16,95,73.0,,0.73,69.35
2005-05-17,98,73.0,,0.73,71.53999999999999
2005-05-18,90,73.0,,0.73,65.7
2005-05-19,78,73.0,,0.73,56.94
2005-05-20,79,73.0,,0.73,57.67
2005-05-21,75,73.0,,0.73,54.75
2005-05-22,72,73.0,,0.73,52.56
2005-05-23,93,73.0,,0.73,67.89
2005-05-24,91,73.0,,0.73,66.42999999999999
2005-05-25,88,73.0,,0.73,64.24
2005-05-26,80,73.0,,0.73,58.4
2005-05-27,78,73.0,,0.73,56.94
2005-05-28,60,73.0,,0.73,43.8
2005-05-29,62,73.0,,0.73,45.26
2005-05-30,58,73.0,,0.73,42.339999999999996
2005-05-31,100,73.0,,0.73,73.0
2005-06-01,63,100.0,False,1.0,63.0
2005-06-02,60,100.0,,1.0,60.0
2005-06-03,57,100.0,,1.0,57.0
2005-06-04,51,100.0,,1.0,51.0
2005-06-05,45,100.0,,1.0,45.0
2005-06-06,62,100.0,,1.0,62.0
2005-06-07,63,100.0,,1.0,63.0
2005-06-08,67,100.0,,1.0,67.0
2005-06-09,57,100.0,,1.0,57.0
2005-06-10,60,100.0,,1.0,60.0
2005-06-11,50,100.0,,1.0,50.0
2005-06-12,48,100.0,,1.0,48.0
2005-06-13,64,100.0,,1.0,64.0
2005-06-14,72,100.0,,1.0,72.0
2005-06-15,62,100.0,,1.0,62.0
2005-06-16,74,100.0,,1.0,74.0
2005-06-17,65,100.0,,1.0,65.0
2005-06-18,58,100.0,,1.0,58.0
2005-06-19,47,100.0,,1.0,47.0
2005-06-20,66,100.0,,1.0,66.0
2005-06-21,78,100.0,,1.0,78.0
2005-06-22,84,100.0,,1.0,84.0
2005-06-23,66,100.0,,1.0,66.0
2005-06-24,73,100.0,,1.0,73.0
2005-06-25,51,100.0,,1.0,51.0
2005-06-26,57,100.0,,1.0,57.0
2005-06-27,81,100.0,,1.0,81.0
