date,luxury apartments_unscaled,luxury apartments_monthly,isPartial,scale,luxury apartments
2005-01-01,0,0,False,0.0,0.0
2005-01-02,0,0,False,0.0,0.0
2005-01-03,36,36,False,0.36,12.959999999999999
2005-01-04,34,34,False,0.34,11.56
2005-01-05,0,0,False,0.0,0.0
2005-01-06,0,0,False,0.0,0.0
2005-01-07,35,35,False,0.35,12.25
2005-01-08,0,0,False,0.0,0.0
2005-01-09,55,55,False,0.55,30.250000000000004
2005-01-10,0,0,False,0.0,0.0
2005-01-11,0,0,False,0.0,0.0
2005-01-12,100,100,False,1.0,100.0
2005-01-13,67,67,False,0.67,44.89
2005-01-14,0,0,False,0.0,0.0
2005-01-15,0,0,False,0.0,0.0
2005-01-16,0,0,False,0.0,0.0
2005-01-17,0,0,False,0.0,0.0
2005-01-18,0,0,False,0.0,0.0
2005-01-19,33,33,False,0.33,10.89
2005-01-20,0,0,False,0.0,0.0
2005-01-21,35,35,False,0.35,12.25
2005-01-22,0,0,False,0.0,0.0
2005-01-23,51,51,False,0.51,26.01
2005-01-24,33,33,False,0.33,10.89
2005-01-25,32,32,False,0.32,10.24
2005-01-26,33,33,False,0.33,10.89
2005-01-27,33,33,False,0.33,10.89
2005-01-28,34,34,False,0.34,11.56
2005-01-29,53,53,False,0.53,28.09
2005-01-30,0,0,False,0.0,0.0
2005-01-31,32,32,False,0.32,10.24
2005-02-01,0,0,False,0.0,0.0
2005-02-02,19,19,False,0.19,3.61
2005-02-03,39,39,False,0.39,15.21
2005-02-04,20,20,False,0.2,4.0
2005-02-05,0,0,False,0.0,0.0
2005-02-06,0,0,False,0.0,0.0
2005-02-07,0,0,False,0.0,0.0
2005-02-08,55,55,False,0.55,30.250000000000004
2005-02-09,19,19,False,0.19,3.61
2005-02-10,19,19,False,0.19,3.61
2005-02-11,40,40,False,0.4,16.0
2005-02-12,0,0,False,0.0,0.0
2005-02-13,31,31,False,0.31,9.61
2005-02-14,38,38,False,0.38,14.44
2005-02-15,38,38,False,0.38,14.44
2005-02-16,0,0,False,0.0,0.0
2005-02-17,0,0,False,0.0,0.0
2005-02-18,0,0,False,0.0,0.0
2005-02-19,32,32,False,0.32,10.24
2005-02-20,0,0,False,0.0,0.0
2005-02-21,63,63,False,0.63,39.69
2005-02-22,0,0,False,0.0,0.0
2005-02-23,0,0,False,0.0,0.0
2005-02-24,0,0,False,0.0,0.0
2005-02-25,100,100,False,1.0,100.0
2005-02-26,0,0,False,0.0,0.0
2005-02-27,0,0,False,0.0,0.0
2005-02-28,74,74,False,0.74,54.76
2005-03-01,24,24,False,0.24,5.76
2005-03-02,25,25,False,0.25,6.25
2005-03-03,27,27,False,0.27,7.290000000000001
2005-03-04,54,54,False,0.54,29.160000000000004
2005-03-05,0,0,False,0.0,0.0
2005-03-06,42,42,False,0.42,17.64
2005-03-07,0,0,False,0.0,0.0
2005-03-08,24,24,False,0.24,5.76
2005-03-09,0,0,False,0.0,0.0
2005-03-10,25,25,False,0.25,6.25
2005-03-11,52,52,False,0.52,27.04
2005-03-12,0,0,False,0.0,0.0
2005-03-13,0,0,False,0.0,0.0
2005-03-14,74,74,False,0.74,54.76
2005-03-15,24,24,False,0.24,5.76
2005-03-16,24,24,False,0.24,5.76
2005-03-17,51,51,False,0.51,26.01
2005-03-18,0,0,False,0.0,0.0
2005-03-19,41,41,False,0.41,16.81
2005-03-20,0,0,False,0.0,0.0
2005-03-21,100,100,False,1.0,100.0
2005-03-22,0,0,False,0.0,0.0
2005-03-23,0,0,False,0.0,0.0
2005-03-24,0,0,False,0.0,0.0
2005-03-25,31,31,False,0.31,9.61
2005-03-26,0,0,False,0.0,0.0
2005-03-27,0,0,False,0.0,0.0
2005-03-28,62,62,False,0.62,38.44
