date,luxury home_unscaled,luxury home_monthly,isPartial,scale,luxury home
2005-01-01,0,88.0,False,0.88,0.0
2005-01-02,100,88.0,,0.88,88.0
2005-01-03,20,88.0,,0.88,17.6
2005-01-04,19,88.0,,0.88,16.72
2005-01-05,57,88.0,,0.88,50.160000000000004
2005-01-06,19,88.0,,0.88,16.72
2005-01-07,30,88.0,,0.88,26.4
2005-01-08,46,88.0,,0.88,40.48
2005-01-09,47,88.0,,0.88,41.36
2005-01-10,19,88.0,,0.88,16.72
2005-01-11,0,88.0,,0.88,0.0
2005-01-12,37,88.0,,0.88,32.56
2005-01-13,19,88.0,,0.88,16.72
2005-01-14,20,88.0,,0.88,17.6
2005-01-15,0,88.0,,0.88,0.0
2005-01-16,32,88.0,,0.88,28.16
2005-01-17,21,88.0,,0.88,18.48
2005-01-18,37,88.0,,0.88,32.56
2005-01-19,0,88.0,,0.88,0.0
2005-01-20,0,88.0,,0.88,0.0
2005-01-21,0,88.0,,0.88,0.0
2005-01-22,0,88.0,,0.88,0.0
2005-01-23,29,88.0,,0.88,25.52
2005-01-24,18,88.0,,0.88,15.84
2005-01-25,27,88.0,,0.88,23.76
2005-01-26,18,88.0,,0.88,15.84
2005-01-27,27,88.0,,0.88,23.76
2005-01-28,19,88.0,,0.88,16.72
2005-01-29,0,88.0,,0.88,0.0
2005-01-30,58,88.0,,0.88,51.04
2005-01-31,36,88.0,,0.88,31.68
2005-02-01,20,81.0,False,0.81,16.200000000000003
2005-02-02,41,81.0,,0.81,33.21
2005-02-03,21,81.0,,0.81,17.01
2005-02-04,65,81.0,,0.81,52.650000000000006
2005-02-05,34,81.0,,0.81,27.540000000000003
2005-02-06,0,81.0,,0.81,0.0
2005-02-07,21,81.0,,0.81,17.01
2005-02-08,29,81.0,,0.81,23.490000000000002
2005-02-09,59,81.0,,0.81,47.790000000000006
2005-02-10,40,81.0,,0.81,32.400000000000006
2005-02-11,0,81.0,,0.81,0.0
2005-02-12,33,81.0,,0.81,26.73
2005-02-13,33,81.0,,0.81,26.73
2005-02-14,20,81.0,,0.81,16.200000000000003
2005-02-15,0,81.0,,0.81,0.0
2005-02-16,20,81.0,,0.81,16.200000000000003
2005-02-17,40,81.0,,0.81,32.400000000000006
2005-02-18,21,81.0,,0.81,17.01
2005-02-19,100,81.0,,0.81,81.0
2005-02-20,0,81.0,,0.81,0.0
2005-02-21,22,81.0,,0.81,17.82
2005-02-22,48,81.0,,0.81,38.88
2005-02-23,29,81.0,,0.81,23.490000000000002
2005-02-24,20,81.0,,0.81,16.200000000000003
2005-02-25,42,81.0,,0.81,34.02
2005-02-26,0,81.0,,0.81,0.0
2005-02-27,96,81.0,,0.81,77.76
2005-02-28,58,81.0,,0.81,46.980000000000004
2005-03-01,48,77.0,False,0.77,36.96
2005-03-02,33,77.0,,0.77,25.41
2005-03-03,17,77.0,,0.77,13.09
2005-03-04,35,77.0,,0.77,26.95
2005-03-05,0,77.0,,0.77,0.0
2005-03-06,54,77.0,,0.77,41.58
2005-03-07,32,77.0,,0.77,24.64
2005-03-08,31,77.0,,0.77,23.87
2005-03-09,16,77.0,,0.77,12.32
2005-03-10,16,77.0,,0.77,12.32
2005-03-11,17,77.0,,0.77,13.09
