date,mastercard_unscaled,mastercard_monthly,isPartial,scale,mastercard
01/01/2005,62,73,FALSE,0.73,45.26
02/01/2005,54,73,,0.73,39.42
03/01/2005,98,73,,0.73,71.54
04/01/2005,77,73,,0.73,56.21
05/01/2005,68,73,,0.73,49.64
06/01/2005,100,73,,0.73,73
07/01/2005,49,73,,0.73,35.77
08/01/2005,76,73,,0.73,55.48
09/01/2005,25,73,,0.73,18.25
10/01/2005,57,73,,0.73,41.61
11/01/2005,50,73,,0.73,36.5
12/01/2005,66,73,,0.73,48.18
13/01/2005,71,73,,0.73,51.83
14/01/2005,53,73,,0.73,38.69
15/01/2005,60,73,,0.73,43.8
16/01/2005,52,73,,0.73,37.96
17/01/2005,94,73,,0.73,68.62
18/01/2005,50,73,,0.73,36.5
19/01/2005,51,73,,0.73,37.23
20/01/2005,41,73,,0.73,29.93
21/01/2005,47,73,,0.73,34.31
22/01/2005,40,73,,0.73,29.2
23/01/2005,71,73,,0.73,51.83
24/01/2005,70,73,,0.73,51.1
25/01/2005,97,73,,0.73,70.81
26/01/2005,45,73,,0.73,32.85
27/01/2005,60,73,,0.73,43.8
28/01/2005,62,73,,0.73,45.26
29/01/2005,80,73,,0.73,58.4
30/01/2005,8,73,,0.73,5.84
31/01/2005,69,73,,0.73,50.37
01/02/2005,54,70,FALSE,0.7,37.8
02/02/2005,51,70,,0.7,35.7
03/02/2005,47,70,,0.7,32.9
04/02/2005,58,70,,0.7,40.6
05/02/2005,54,70,,0.7,37.8
06/02/2005,15,70,,0.7,10.5
07/02/2005,85,70,,0.7,59.5
08/02/2005,66,70,,0.7,46.2
09/02/2005,54,70,,0.7,37.8
10/02/2005,59,70,,0.7,41.3
11/02/2005,38,70,,0.7,26.6
12/02/2005,53,70,,0.7,37.1
13/02/2005,45,70,,0.7,31.5
14/02/2005,59,70,,0.7,41.3
15/02/2005,72,70,,0.7,50.4
16/02/2005,45,70,,0.7,31.5
17/02/2005,45,70,,0.7,31.5
18/02/2005,38,70,,0.7,26.6
19/02/2005,67,70,,0.7,46.9
20/02/2005,54,70,,0.7,37.8
21/02/2005,60,70,,0.7,42
22/02/2005,75,70,,0.7,52.5
23/02/2005,65,70,,0.7,45.5
24/02/2005,53,70,,0.7,37.1
25/02/2005,100,70,,0.7,70
26/02/2005,80,70,,0.7,56
27/02/2005,54,70,,0.7,37.8
28/02/2005,70,70,,0.7,49
01/03/2005,100,68,FALSE,0.68,68
02/03/2005,30,68,,0.68,20.4
03/03/2005,49,68,,0.68,33.32
04/03/2005,42,68,,0.68,28.56
05/03/2005,57,68,,0.68,38.76
06/03/2005,57,68,,0.68,38.76
07/03/2005,68,68,,0.68,46.24
08/03/2005,53,68,,0.68,36.04
09/03/2005,72,68,,0.68,48.96
10/03/2005,73,68,,0.68,49.64
11/03/2005,68,68,,0.68,46.24
12/03/2005,49,68,,0.68,33.32
13/03/2005,35,68,,0.68,23.8
14/03/2005,46,68,,0.68,31.28
15/03/2005,70,68,,0.68,47.6
16/03/2005,42,68,,0.68,28.56
17/03/2005,42,68,,0.68,28.56
18/03/2005,46,68,,0.68,31.28
19/03/2005,49,68,,0.68,33.32
20/03/2005,80,68,,0.68,54.4
21/03/2005,56,68,,0.68,38.08
22/03/2005,46,68,,0.68,31.28
23/03/2005,51,68,,0.68,34.68
24/03/2005,63,68,,0.68,42.84
25/03/2005,26,68,,0.68,17.68
26/03/2005,75,68,,0.68,51
27/03/2005,29,68,,0.68,19.72
28/03/2005,57,68,,0.68,38.76
29/03/2005,47,68,,0.68,31.96
30/03/2005,39,68,,0.68,26.52
31/03/2005,45,68,,0.68,30.6
01/04/2005,64,67,FALSE,0.67,42.88
02/04/2005,88,67,,0.67,58.96
03/04/2005,60,67,,0.67,40.2
04/04/2005,0,67,,0.67,0
05/04/2005,0,67,,0.67,0
06/04/2005,57,67,,0.67,38.19
07/04/2005,32,67,,0.67,21.44
08/04/2005,46,67,,0.67,30.82
09/04/2005,56,67,,0.67,37.52
10/04/2005,38,67,,0.67,25.46
11/04/2005,94,67,,0.67,62.98
12/04/2005,50,67,,0.67,33.5
13/04/2005,72,67,,0.67,48.24
14/04/2005,37,67,,0.67,24.79
15/04/2005,63,67,,0.67,42.21
16/04/2005,19,67,,0.67,12.73
17/04/2005,66,67,,0.67,44.22
18/04/2005,99,67,,0.67,66.33
19/04/2005,51,67,,0.67,34.17
20/04/2005,42,67,,0.67,28.14
21/04/2005,49,67,,0.67,32.83
22/04/2005,74,67,,0.67,49.58
23/04/2005,61,67,,0.67,40.87
24/04/2005,34,67,,0.67,22.78
25/04/2005,61,67,,0.67,40.87
26/04/2005,100,67,,0.67,67
27/04/2005,71,67,,0.67,47.57
28/04/2005,66,67,,0.67,44.22
29/04/2005,49,67,,0.67,32.83
30/04/2005,83,67,,0.67,55.61
01/05/2005,50,69,FALSE,0.69,34.5
02/05/2005,68,69,,0.69,46.92
03/05/2005,56,69,,0.69,38.64
04/05/2005,63,69,,0.69,43.47
05/05/2005,88,69,,0.69,60.72
06/05/2005,80,69,,0.69,55.2
07/05/2005,73,69,,0.69,50.37
08/05/2005,45,69,,0.69,31.05
09/05/2005,44,69,,0.69,30.36
10/05/2005,34,69,,0.69,23.46
11/05/2005,74,69,,0.69,51.06
12/05/2005,70,69,,0.69,48.3
