date,most profitable_unscaled,most profitable_monthly,isPartial,scale,most profitable
2005-01-01,0,39.0,False,0.39,0.0
2005-01-02,57,39.0,,0.39,22.23
2005-01-03,34,39.0,,0.39,13.26
2005-01-04,33,39.0,,0.39,12.870000000000001
2005-01-05,33,39.0,,0.39,12.870000000000001
2005-01-06,50,39.0,,0.39,19.5
2005-01-07,0,39.0,,0.39,0.0
2005-01-08,0,39.0,,0.39,0.0
2005-01-09,0,39.0,,0.39,0.0
2005-01-10,32,39.0,,0.39,12.48
2005-01-11,0,39.0,,0.39,0.0
2005-01-12,0,39.0,,0.39,0.0
2005-01-13,32,39.0,,0.39,12.48
2005-01-14,0,39.0,,0.39,0.0
2005-01-15,0,39.0,,0.39,0.0
2005-01-16,55,39.0,,0.39,21.45
2005-01-17,0,39.0,,0.39,0.0
2005-01-18,0,39.0,,0.39,0.0
2005-01-19,32,39.0,,0.39,12.48
2005-01-20,0,39.0,,0.39,0.0
2005-01-21,100,39.0,,0.39,39.0
2005-01-22,0,39.0,,0.39,0.0
2005-01-23,49,39.0,,0.39,19.11
2005-01-24,0,39.0,,0.39,0.0
2005-01-25,30,39.0,,0.39,11.700000000000001
2005-01-26,31,39.0,,0.39,12.09
2005-01-27,0,39.0,,0.39,0.0
2005-01-28,0,39.0,,0.39,0.0
2005-01-29,0,39.0,,0.39,0.0
2005-01-30,0,39.0,,0.39,0.0
2005-01-31,0,39.0,,0.39,0.0
2005-02-01,0,44.0,False,0.44,0.0
2005-02-02,23,44.0,,0.44,10.12
2005-02-03,23,44.0,,0.44,10.12
2005-02-04,0,44.0,,0.44,0.0
2005-02-05,0,44.0,,0.44,0.0
2005-02-06,0,44.0,,0.44,0.0
2005-02-07,23,44.0,,0.44,10.12
2005-02-08,0,44.0,,0.44,0.0
2005-02-09,23,44.0,,0.44,10.12
2005-02-10,0,44.0,,0.44,0.0
2005-02-11,0,44.0,,0.44,0.0
2005-02-12,0,44.0,,0.44,0.0
2005-02-13,38,44.0,,0.44,16.72
2005-02-14,23,44.0,,0.44,10.12
2005-02-15,23,44.0,,0.44,10.12
2005-02-16,23,44.0,,0.44,10.12
2005-02-17,23,44.0,,0.44,10.12
2005-02-18,0,44.0,,0.44,0.0
2005-02-19,0,44.0,,0.44,0.0
2005-02-20,0,44.0,,0.44,0.0
2005-02-21,25,44.0,,0.44,11.0
2005-02-22,22,44.0,,0.44,9.68
2005-02-23,0,44.0,,0.44,0.0
2005-02-24,0,44.0,,0.44,0.0
2005-02-25,0,44.0,,0.44,0.0
