date,on fire_unscaled,on fire_monthly,isPartial,scale,on fire
2005-01-01,37,27.0,False,0.27,9.99
2005-01-02,51,27.0,,0.27,13.770000000000001
2005-01-03,44,27.0,,0.27,11.88
2005-01-04,49,27.0,,0.27,13.23
2005-01-05,44,27.0,,0.27,11.88
2005-01-06,47,27.0,,0.27,12.690000000000001
2005-01-07,51,27.0,,0.27,13.770000000000001
2005-01-08,48,27.0,,0.27,12.96
2005-01-09,100,27.0,,0.27,27.0
2005-01-10,43,27.0,,0.27,11.610000000000001
2005-01-11,42,27.0,,0.27,11.34
2005-01-12,50,27.0,,0.27,13.5
2005-01-13,39,27.0,,0.27,10.530000000000001
2005-01-14,60,27.0,,0.27,16.200000000000003
2005-01-15,60,27.0,,0.27,16.200000000000003
2005-01-16,37,27.0,,0.27,9.99
2005-01-17,41,27.0,,0.27,11.07
2005-01-18,42,27.0,,0.27,11.34
2005-01-19,43,27.0,,0.27,11.610000000000001
2005-01-20,34,27.0,,0.27,9.18
2005-01-21,37,27.0,,0.27,9.99
2005-01-22,64,27.0,,0.27,17.28
2005-01-23,33,27.0,,0.27,8.91
2005-01-24,26,27.0,,0.27,7.0200000000000005
2005-01-25,57,27.0,,0.27,15.39
2005-01-26,40,27.0,,0.27,10.8
2005-01-27,45,27.0,,0.27,12.15
2005-01-28,47,27.0,,0.27,12.690000000000001
2005-01-29,49,27.0,,0.27,13.23
2005-01-30,41,27.0,,0.27,11.07
2005-01-31,46,27.0,,0.27,12.420000000000002
2005-02-01,53,30.0,False,0.3,15.899999999999999
2005-02-02,41,30.0,,0.3,12.299999999999999
2005-02-03,68,30.0,,0.3,20.4
2005-02-04,40,30.0,,0.3,12.0
2005-02-05,59,30.0,,0.3,17.7
2005-02-06,100,30.0,,0.3,30.0
2005-02-07,39,30.0,,0.3,11.7
2005-02-08,52,30.0,,0.3,15.6
2005-02-09,32,30.0,,0.3,9.6
2005-02-10,48,30.0,,0.3,14.399999999999999
2005-02-11,45,30.0,,0.3,13.5
2005-02-12,58,30.0,,0.3,17.4
2005-02-13,97,30.0,,0.3,29.099999999999998
2005-02-14,56,30.0,,0.3,16.8
2005-02-15,42,30.0,,0.3,12.6
2005-02-16,66,30.0,,0.3,19.8
2005-02-17,48,30.0,,0.3,14.399999999999999
2005-02-18,57,30.0,,0.3,17.099999999999998
2005-02-19,44,30.0,,0.3,13.2
2005-02-20,45,30.0,,0.3,13.5
2005-02-21,68,30.0,,0.3,20.4
2005-02-22,57,30.0,,0.3,17.099999999999998
2005-02-23,64,30.0,,0.3,19.2
2005-02-24,42,30.0,,0.3,12.6
2005-02-25,36,30.0,,0.3,10.799999999999999
2005-02-26,47,30.0,,0.3,14.1
2005-02-27,38,30.0,,0.3,11.4
2005-02-28,59,30.0,,0.3,17.7
2005-03-01,25,34.0,False,0.34,8.5
2005-03-02,21,34.0,,0.34,7.140000000000001
2005-03-03,25,34.0,,0.34,8.5
2005-03-04,23,34.0,,0.34,7.82
2005-03-05,28,34.0,,0.34,9.520000000000001
2005-03-06,100,34.0,,0.34,34.0
2005-03-07,30,34.0,,0.34,10.200000000000001
2005-03-08,30,34.0,,0.34,10.200000000000001
2005-03-09,25,34.0,,0.34,8.5
2005-03-10,34,34.0,,0.34,11.56
2005-03-11,35,34.0,,0.34,11.9
2005-03-12,50,34.0,,0.34,17.0
2005-03-13,37,34.0,,0.34,12.58
2005-03-14,42,34.0,,0.34,14.280000000000001
2005-03-15,32,34.0,,0.34,10.88
2005-03-16,29,34.0,,0.34,9.860000000000001
2005-03-17,35,34.0,,0.34,11.9
2005-03-18,44,34.0,,0.34,14.96
2005-03-19,34,34.0,,0.34,11.56
2005-03-20,43,34.0,,0.34,14.620000000000001
2005-03-21,47,34.0,,0.34,15.98
2005-03-22,29,34.0,,0.34,9.860000000000001
2005-03-23,36,34.0,,0.34,12.24
2005-03-24,40,34.0,,0.34,13.600000000000001
2005-03-25,17,34.0,,0.34,5.78
2005-03-26,41,34.0,,0.34,13.940000000000001
2005-03-27,30,34.0,,0.34,10.200000000000001
2005-03-28,37,34.0,,0.34,12.58
2005-03-29,17,34.0,,0.34,5.78
2005-03-30,23,34.0,,0.34,7.82
2005-03-31,45,34.0,,0.34,15.3
2005-04-01,50,28.0,False,0.28,14.000000000000002
2005-04-02,60,28.0,,0.28,16.8
2005-04-03,98,28.0,,0.28,27.44
2005-04-04,75,28.0,,0.28,21.000000000000004
2005-04-05,0,28.0,,0.28,0.0
2005-04-06,81,28.0,,0.28,22.680000000000003
2005-04-07,46,28.0,,0.28,12.88
2005-04-08,53,28.0,,0.28,14.840000000000002
2005-04-09,65,28.0,,0.28,18.200000000000003
2005-04-10,90,28.0,,0.28,25.200000000000003
2005-04-11,66,28.0,,0.28,18.48
2005-04-12,48,28.0,,0.28,13.440000000000001
2005-04-13,52,28.0,,0.28,14.560000000000002
2005-04-14,70,28.0,,0.28,19.6
2005-04-15,55,28.0,,0.28,15.400000000000002
2005-04-16,37,28.0,,0.28,10.360000000000001
2005-04-17,59,28.0,,0.28,16.520000000000003
2005-04-18,51,28.0,,0.28,14.280000000000001
2005-04-19,64,28.0,,0.28,17.92
2005-04-20,77,28.0,,0.28,21.560000000000002
2005-04-21,65,28.0,,0.28,18.200000000000003
2005-04-22,52,28.0,,0.28,14.560000000000002
2005-04-23,60,28.0,,0.28,16.8
2005-04-24,88,28.0,,0.28,24.64
2005-04-25,67,28.0,,0.28,18.76
2005-04-26,34,28.0,,0.28,9.520000000000001
2005-04-27,40,28.0,,0.28,11.200000000000001
2005-04-28,66,28.0,,0.28,18.48
2005-04-29,56,28.0,,0.28,15.680000000000001
2005-04-30,100,28.0,,0.28,28.000000000000004
2005-05-01,59,28.0,False,0.28,16.520000000000003
2005-05-02,42,28.0,,0.28,11.760000000000002
2005-05-03,49,28.0,,0.28,13.72
2005-05-04,43,28.0,,0.28,12.040000000000001
2005-05-05,44,28.0,,0.28,12.32
2005-05-06,47,28.0,,0.28,13.160000000000002
2005-05-07,72,28.0,,0.28,20.160000000000004
2005-05-08,100,28.0,,0.28,28.000000000000004
2005-05-09,43,28.0,,0.28,12.040000000000001
2005-05-10,39,28.0,,0.28,10.920000000000002
2005-05-11,32,28.0,,0.28,8.96
2005-05-12,48,28.0,,0.28,13.440000000000001
2005-05-13,65,28.0,,0.28,18.200000000000003
2005-05-14,49,28.0,,0.28,13.72
2005-05-15,62,28.0,,0.28,17.360000000000003
2005-05-16,24,28.0,,0.28,6.720000000000001
2005-05-17,27,28.0,,0.28,7.5600000000000005
2005-05-18,16,28.0,,0.28,4.48
2005-05-19,20,28.0,,0.28,5.6000000000000005
2005-05-20,56,28.0,,0.28,15.680000000000001
2005-05-21,36,28.0,,0.28,10.080000000000002
2005-05-22,28,28.0,,0.28,7.840000000000001
2005-05-23,47,28.0,,0.28,13.160000000000002
2005-05-24,39,28.0,,0.28,10.920000000000002
2005-05-25,36,28.0,,0.28,10.080000000000002
2005-05-26,41,28.0,,0.28,11.48
2005-05-27,41,28.0,,0.28,11.48
2005-05-28,46,28.0,,0.28,12.88
2005-05-29,71,28.0,,0.28,19.880000000000003
2005-05-30,46,28.0,,0.28,12.88
2005-05-31,28,28.0,,0.28,7.840000000000001
2005-06-01,81,26.0,False,0.26,21.060000000000002
2005-06-02,56,26.0,,0.26,14.56
2005-06-03,81,26.0,,0.26,21.060000000000002
2005-06-04,74,26.0,,0.26,19.240000000000002
2005-06-05,87,26.0,,0.26,22.62
2005-06-06,66,26.0,,0.26,17.16
2005-06-07,62,26.0,,0.26,16.12
2005-06-08,89,26.0,,0.26,23.14
2005-06-09,51,26.0,,0.26,13.26
2005-06-10,51,26.0,,0.26,13.26
2005-06-11,40,26.0,,0.26,10.4
2005-06-12,46,26.0,,0.26,11.96
2005-06-13,84,26.0,,0.26,21.84
2005-06-14,83,26.0,,0.26,21.580000000000002
2005-06-15,47,26.0,,0.26,12.22
2005-06-16,79,26.0,,0.26,20.54
2005-06-17,59,26.0,,0.26,15.34
2005-06-18,65,26.0,,0.26,16.900000000000002
2005-06-19,67,26.0,,0.26,17.42
2005-06-20,71,26.0,,0.26,18.46
2005-06-21,80,26.0,,0.26,20.8
2005-06-22,55,26.0,,0.26,14.3
2005-06-23,63,26.0,,0.26,16.38
2005-06-24,49,26.0,,0.26,12.74
2005-06-25,100,26.0,,0.26,26.0
2005-06-26,71,26.0,,0.26,18.46
2005-06-27,70,26.0,,0.26,18.2
2005-06-28,36,26.0,,0.26,9.36
2005-06-29,90,26.0,,0.26,23.400000000000002
