date,one direction_unscaled,one direction_monthly,isPartial,scale,one direction
2005-01-01,0,0.0,False,0.0,0.0
2005-01-02,0,0.0,,0.0,0.0
2005-01-03,0,0.0,,0.0,0.0
2005-01-04,0,0.0,,0.0,0.0
2005-01-05,0,0.0,,0.0,0.0
2005-01-06,0,0.0,,0.0,0.0
2005-01-07,0,0.0,,0.0,0.0
2005-01-08,0,0.0,,0.0,0.0
2005-01-09,0,0.0,,0.0,0.0
2005-01-10,0,0.0,,0.0,0.0
2005-01-11,0,0.0,,0.0,0.0
2005-01-12,0,0.0,,0.0,0.0
2005-01-13,0,0.0,,0.0,0.0
2005-01-14,52,0.0,,0.0,0.0
2005-01-15,0,0.0,,0.0,0.0
2005-01-16,0,0.0,,0.0,0.0
2005-01-17,0,0.0,,0.0,0.0
2005-01-18,0,0.0,,0.0,0.0
2005-01-19,100,0.0,,0.0,0.0
2005-01-20,0,0.0,,0.0,0.0
2005-01-21,0,0.0,,0.0,0.0
2005-01-22,0,0.0,,0.0,0.0
2005-01-23,0,0.0,,0.0,0.0
2005-01-24,49,0.0,,0.0,0.0
2005-01-25,48,0.0,,0.0,0.0
2005-01-26,0,0.0,,0.0,0.0
2005-01-27,49,0.0,,0.0,0.0
2005-01-28,0,0.0,,0.0,0.0
2005-01-29,0,0.0,,0.0,0.0
2005-01-30,0,0.0,,0.0,0.0
2005-01-31,0,0.0,,0.0,0.0
2005-02-01,0,0.0,False,0.0,0.0
2005-02-02,0,0.0,,0.0,0.0
2005-02-03,0,0.0,,0.0,0.0
2005-02-04,0,0.0,,0.0,0.0
2005-02-05,0,0.0,,0.0,0.0
2005-02-06,0,0.0,,0.0,0.0
2005-02-07,0,0.0,,0.0,0.0
2005-02-08,87,0.0,,0.0,0.0
2005-02-09,90,0.0,,0.0,0.0
2005-02-10,90,0.0,,0.0,0.0
2005-02-11,0,0.0,,0.0,0.0
2005-02-12,0,0.0,,0.0,0.0
2005-02-13,0,0.0,,0.0,0.0
2005-02-14,0,0.0,,0.0,0.0
2005-02-15,0,0.0,,0.0,0.0
2005-02-16,90,0.0,,0.0,0.0
2005-02-17,91,0.0,,0.0,0.0
2005-02-18,0,0.0,,0.0,0.0
2005-02-19,0,0.0,,0.0,0.0
2005-02-20,0,0.0,,0.0,0.0
2005-02-21,100,0.0,,0.0,0.0
2005-02-22,0,0.0,,0.0,0.0
2005-02-23,88,0.0,,0.0,0.0
2005-02-24,0,0.0,,0.0,0.0
2005-02-25,0,0.0,,0.0,0.0
2005-02-26,0,0.0,,0.0,0.0
2005-02-27,0,0.0,,0.0,0.0
2005-02-28,0,0.0,,0.0,0.0
2005-03-01,0,0.0,False,0.0,0.0
2005-03-02,0,0.0,,0.0,0.0
2005-03-03,0,0.0,,0.0,0.0
2005-03-04,0,0.0,,0.0,0.0
2005-03-05,0,0.0,,0.0,0.0
2005-03-06,0,0.0,,0.0,0.0
2005-03-07,0,0.0,,0.0,0.0
2005-03-08,0,0.0,,0.0,0.0
2005-03-09,0,0.0,,0.0,0.0
2005-03-10,0,0.0,,0.0,0.0
2005-03-11,0,0.0,,0.0,0.0
2005-03-12,0,0.0,,0.0,0.0
2005-03-13,0,0.0,,0.0,0.0
2005-03-14,0,0.0,,0.0,0.0
2005-03-15,0,0.0,,0.0,0.0
2005-03-16,0,0.0,,0.0,0.0
2005-03-17,0,0.0,,0.0,0.0
2005-03-18,0,0.0,,0.0,0.0
2005-03-19,0,0.0,,0.0,0.0
2005-03-20,0,0.0,,0.0,0.0
2005-03-21,0,0.0,,0.0,0.0
2005-03-22,80,0.0,,0.0,0.0
2005-03-23,0,0.0,,0.0,0.0
2005-03-24,0,0.0,,0.0,0.0
2005-03-25,100,0.0,,0.0,0.0
2005-03-26,0,0.0,,0.0,0.0
2005-03-27,0,0.0,,0.0,0.0
2005-03-28,0,0.0,,0.0,0.0
2005-03-29,0,0.0,,0.0,0.0
2005-03-30,0,0.0,,0.0,0.0
2005-03-31,85,0.0,,0.0,0.0
2005-04-01,0,0.0,False,0.0,0.0
2005-04-02,0,0.0,,0.0,0.0
2005-04-03,0,0.0,,0.0,0.0
2005-04-04,0,0.0,,0.0,0.0
2005-04-05,0,0.0,,0.0,0.0
2005-04-06,0,0.0,,0.0,0.0
2005-04-07,0,0.0,,0.0,0.0
2005-04-08,0,0.0,,0.0,0.0
2005-04-09,0,0.0,,0.0,0.0
2005-04-10,0,0.0,,0.0,0.0
2005-04-11,56,0.0,,0.0,0.0
2005-04-12,0,0.0,,0.0,0.0
2005-04-13,0,0.0,,0.0,0.0
2005-04-14,57,0.0,,0.0,0.0
2005-04-15,0,0.0,,0.0,0.0
2005-04-16,0,0.0,,0.0,0.0
2005-04-17,100,0.0,,0.0,0.0
2005-04-18,0,0.0,,0.0,0.0
2005-04-19,0,0.0,,0.0,0.0
2005-04-20,0,0.0,,0.0,0.0
2005-04-21,0,0.0,,0.0,0.0
2005-04-22,0,0.0,,0.0,0.0
2005-04-23,0,0.0,,0.0,0.0
2005-04-24,0,0.0,,0.0,0.0
2005-04-25,0,0.0,,0.0,0.0
2005-04-26,0,0.0,,0.0,0.0
2005-04-27,0,0.0,,0.0,0.0
2005-04-28,0,0.0,,0.0,0.0
2005-04-29,0,0.0,,0.0,0.0
2005-04-30,0,0.0,,0.0,0.0
2005-05-01,0,0.0,False,0.0,0.0
2005-05-02,53,0.0,,0.0,0.0
2005-05-03,0,0.0,,0.0,0.0
2005-05-04,54,0.0,,0.0,0.0
2005-05-05,0,0.0,,0.0,0.0
2005-05-06,0,0.0,,0.0,0.0
2005-05-07,0,0.0,,0.0,0.0
2005-05-08,0,0.0,,0.0,0.0
2005-05-09,55,0.0,,0.0,0.0
2005-05-10,0,0.0,,0.0,0.0
2005-05-11,0,0.0,,0.0,0.0
2005-05-12,56,0.0,,0.0,0.0
2005-05-13,0,0.0,,0.0,0.0
2005-05-14,0,0.0,,0.0,0.0
2005-05-15,0,0.0,,0.0,0.0
2005-05-16,0,0.0,,0.0,0.0
2005-05-17,0,0.0,,0.0,0.0
2005-05-18,0,0.0,,0.0,0.0
2005-05-19,0,0.0,,0.0,0.0
2005-05-20,0,0.0,,0.0,0.0
2005-05-21,100,0.0,,0.0,0.0
2005-05-22,0,0.0,,0.0,0.0
2005-05-23,0,0.0,,0.0,0.0
2005-05-24,54,0.0,,0.0,0.0
2005-05-25,0,0.0,,0.0,0.0
2005-05-26,0,0.0,,0.0,0.0
2005-05-27,65,0.0,,0.0,0.0
2005-05-28,0,0.0,,0.0,0.0
2005-05-29,0,0.0,,0.0,0.0
2005-05-30,0,0.0,,0.0,0.0
2005-05-31,0,0.0,,0.0,0.0
2005-06-01,87,0.0,False,0.0,0.0
2005-06-02,0,0.0,,0.0,0.0
2005-06-03,0,0.0,,0.0,0.0
2005-06-04,0,0.0,,0.0,0.0
2005-06-05,0,0.0,,0.0,0.0
2005-06-06,0,0.0,,0.0,0.0
2005-06-07,0,0.0,,0.0,0.0
2005-06-08,0,0.0,,0.0,0.0
2005-06-09,0,0.0,,0.0,0.0
2005-06-10,0,0.0,,0.0,0.0
2005-06-11,0,0.0,,0.0,0.0
2005-06-12,0,0.0,,0.0,0.0
2005-06-13,0,0.0,,0.0,0.0
2005-06-14,0,0.0,,0.0,0.0
2005-06-15,0,0.0,,0.0,0.0
2005-06-16,0,0.0,,0.0,0.0
2005-06-17,100,0.0,,0.0,0.0
2005-06-18,0,0.0,,0.0,0.0
2005-06-19,0,0.0,,0.0,0.0
2005-06-20,0,0.0,,0.0,0.0
2005-06-21,0,0.0,,0.0,0.0
2005-06-22,0,0.0,,0.0,0.0
2005-06-23,94,0.0,,0.0,0.0
2005-06-24,0,0.0,,0.0,0.0
2005-06-25,0,0.0,,0.0,0.0
2005-06-26,0,0.0,,0.0,0.0
2005-06-27,0,0.0,,0.0,0.0
2005-06-28,0,0.0,,0.0,0.0
2005-06-29,0,0.0,,0.0,0.0
2005-06-30,0,0.0,,0.0,0.0
2005-07-01,70,0.0,False,0.0,0.0
2005-07-02,0,0.0,,0.0,0.0
2005-07-03,0,0.0,,0.0,0.0
2005-07-04,0,0.0,,0.0,0.0
2005-07-05,0,0.0,,0.0,0.0
2005-07-06,0,0.0,,0.0,0.0
2005-07-07,60,0.0,,0.0,0.0
2005-07-08,0,0.0,,0.0,0.0
2005-07-09,0,0.0,,0.0,0.0
2005-07-10,0,0.0,,0.0,0.0
2005-07-11,0,0.0,,0.0,0.0
2005-07-12,0,0.0,,0.0,0.0
2005-07-13,0,0.0,,0.0,0.0
2005-07-14,0,0.0,,0.0,0.0
2005-07-15,0,0.0,,0.0,0.0
2005-07-16,100,0.0,,0.0,0.0
2005-07-17,0,0.0,,0.0,0.0
2005-07-18,0,0.0,,0.0,0.0
2005-07-19,0,0.0,,0.0,0.0
2005-07-20,0,0.0,,0.0,0.0
2005-07-21,60,0.0,,0.0,0.0
2005-07-22,65,0.0,,0.0,0.0
2005-07-23,0,0.0,,0.0,0.0
2005-07-24,0,0.0,,0.0,0.0
2005-07-25,58,0.0,,0.0,0.0
2005-07-26,0,0.0,,0.0,0.0
2005-07-27,0,0.0,,0.0,0.0
2005-07-28,0,0.0,,0.0,0.0
2005-07-29,0,0.0,,0.0,0.0
2005-07-30,0,0.0,,0.0,0.0
2005-07-31,0,0.0,,0.0,0.0
2005-08-01,0,0.0,False,0.0,0.0
2005-08-02,0,0.0,,0.0,0.0
2005-08-03,0,0.0,,0.0,0.0
2005-08-04,0,0.0,,0.0,0.0
2005-08-05,0,0.0,,0.0,0.0
2005-08-06,0,0.0,,0.0,0.0
2005-08-07,0,0.0,,0.0,0.0
2005-08-08,0,0.0,,0.0,0.0
2005-08-09,0,0.0,,0.0,0.0
2005-08-10,33,0.0,,0.0,0.0
2005-08-11,0,0.0,,0.0,0.0
2005-08-12,0,0.0,,0.0,0.0
2005-08-13,0,0.0,,0.0,0.0
2005-08-14,0,0.0,,0.0,0.0
2005-08-15,0,0.0,,0.0,0.0
2005-08-16,0,0.0,,0.0,0.0
2005-08-17,0,0.0,,0.0,0.0
2005-08-18,33,0.0,,0.0,0.0
2005-08-19,0,0.0,,0.0,0.0
2005-08-20,0,0.0,,0.0,0.0
2005-08-21,0,0.0,,0.0,0.0
2005-08-22,0,0.0,,0.0,0.0
2005-08-23,31,0.0,,0.0,0.0
2005-08-24,0,0.0,,0.0,0.0
2005-08-25,0,0.0,,0.0,0.0
2005-08-26,0,0.0,,0.0,0.0
2005-08-27,0,0.0,,0.0,0.0
2005-08-28,100,0.0,,0.0,0.0
2005-08-29,0,0.0,,0.0,0.0
2005-08-30,0,0.0,,0.0,0.0
2005-08-31,0,0.0,,0.0,0.0
2005-09-01,0,0.0,False,0.0,0.0
2005-09-02,0,0.0,,0.0,0.0
2005-09-03,0,0.0,,0.0,0.0
2005-09-04,0,0.0,,0.0,0.0
2005-09-05,0,0.0,,0.0,0.0
2005-09-06,0,0.0,,0.0,0.0
2005-09-07,0,0.0,,0.0,0.0
2005-09-08,0,0.0,,0.0,0.0
2005-09-09,0,0.0,,0.0,0.0
2005-09-10,100,0.0,,0.0,0.0
2005-09-11,0,0.0,,0.0,0.0
2005-09-12,0,0.0,,0.0,0.0
2005-09-13,0,0.0,,0.0,0.0
2005-09-14,0,0.0,,0.0,0.0
2005-09-15,0,0.0,,0.0,0.0
2005-09-16,0,0.0,,0.0,0.0
2005-09-17,0,0.0,,0.0,0.0
2005-09-18,0,0.0,,0.0,0.0
2005-09-19,0,0.0,,0.0,0.0
2005-09-20,0,0.0,,0.0,0.0
2005-09-21,59,0.0,,0.0,0.0
2005-09-22,0,0.0,,0.0,0.0
2005-09-23,65,0.0,,0.0,0.0
2005-09-24,0,0.0,,0.0,0.0
2005-09-25,0,0.0,,0.0,0.0
2005-09-26,0,0.0,,0.0,0.0
2005-09-27,58,0.0,,0.0,0.0
2005-09-28,59,0.0,,0.0,0.0
2005-09-29,0,0.0,,0.0,0.0
2005-09-30,66,0.0,,0.0,0.0
2005-10-01,0,0.0,False,0.0,0.0
2005-10-02,0,0.0,,0.0,0.0
2005-10-03,0,0.0,,0.0,0.0
2005-10-04,49,0.0,,0.0,0.0
2005-10-05,49,0.0,,0.0,0.0
2005-10-06,0,0.0,,0.0,0.0
2005-10-07,53,0.0,,0.0,0.0
2005-10-08,0,0.0,,0.0,0.0
2005-10-09,0,0.0,,0.0,0.0
2005-10-10,0,0.0,,0.0,0.0
2005-10-11,48,0.0,,0.0,0.0
2005-10-12,49,0.0,,0.0,0.0
2005-10-13,100,0.0,,0.0,0.0
2005-10-14,0,0.0,,0.0,0.0
2005-10-15,0,0.0,,0.0,0.0
2005-10-16,0,0.0,,0.0,0.0
2005-10-17,0,0.0,,0.0,0.0
2005-10-18,48,0.0,,0.0,0.0
2005-10-19,0,0.0,,0.0,0.0
2005-10-20,0,0.0,,0.0,0.0
2005-10-21,0,0.0,,0.0,0.0
2005-10-22,0,0.0,,0.0,0.0
2005-10-23,0,0.0,,0.0,0.0
2005-10-24,0,0.0,,0.0,0.0
2005-10-25,0,0.0,,0.0,0.0
2005-10-26,0,0.0,,0.0,0.0
2005-10-27,49,0.0,,0.0,0.0
2005-10-28,0,0.0,,0.0,0.0
2005-10-29,0,0.0,,0.0,0.0
2005-10-30,82,0.0,,0.0,0.0
2005-10-31,50,0.0,,0.0,0.0
2005-11-01,75,0.0,False,0.0,0.0
2005-11-02,0,0.0,,0.0,0.0
2005-11-03,0,0.0,,0.0,0.0
2005-11-04,77,0.0,,0.0,0.0
2005-11-05,0,0.0,,0.0,0.0
2005-11-06,0,0.0,,0.0,0.0
2005-11-07,0,0.0,,0.0,0.0
2005-11-08,0,0.0,,0.0,0.0
2005-11-09,0,0.0,,0.0,0.0
2005-11-10,100,0.0,,0.0,0.0
2005-11-11,0,0.0,,0.0,0.0
2005-11-12,0,0.0,,0.0,0.0
2005-11-13,0,0.0,,0.0,0.0
2005-11-14,70,0.0,,0.0,0.0
2005-11-15,0,0.0,,0.0,0.0
2005-11-16,69,0.0,,0.0,0.0
2005-11-17,69,0.0,,0.0,0.0
2005-11-18,75,0.0,,0.0,0.0
2005-11-19,0,0.0,,0.0,0.0
2005-11-20,0,0.0,,0.0,0.0
2005-11-21,0,0.0,,0.0,0.0
2005-11-22,0,0.0,,0.0,0.0
2005-11-23,0,0.0,,0.0,0.0
2005-11-24,0,0.0,,0.0,0.0
2005-11-25,0,0.0,,0.0,0.0
2005-11-26,0,0.0,,0.0,0.0
2005-11-27,0,0.0,,0.0,0.0
2005-11-28,0,0.0,,0.0,0.0
2005-11-29,0,0.0,,0.0,0.0
2005-11-30,0,0.0,,0.0,0.0
2005-12-01,50,0.0,False,0.0,0.0
2005-12-02,0,0.0,,0.0,0.0
2005-12-03,0,0.0,,0.0,0.0
2005-12-04,0,0.0,,0.0,0.0
2005-12-05,0,0.0,,0.0,0.0
2005-12-06,0,0.0,,0.0,0.0
2005-12-07,49,0.0,,0.0,0.0
2005-12-08,51,0.0,,0.0,0.0
2005-12-09,53,0.0,,0.0,0.0
2005-12-10,0,0.0,,0.0,0.0
2005-12-11,0,0.0,,0.0,0.0
2005-12-12,50,0.0,,0.0,0.0
2005-12-13,0,0.0,,0.0,0.0
2005-12-14,0,0.0,,0.0,0.0
2005-12-15,0,0.0,,0.0,0.0
2005-12-16,0,0.0,,0.0,0.0
2005-12-17,0,0.0,,0.0,0.0
2005-12-18,86,0.0,,0.0,0.0
2005-12-19,0,0.0,,0.0,0.0
2005-12-20,0,0.0,,0.0,0.0
2005-12-21,0,0.0,,0.0,0.0
2005-12-22,0,0.0,,0.0,0.0
2005-12-23,0,0.0,,0.0,0.0
2005-12-24,100,0.0,,0.0,0.0
2005-12-25,0,0.0,,0.0,0.0
2005-12-26,0,0.0,,0.0,0.0
2005-12-27,64,0.0,,0.0,0.0
2005-12-28,0,0.0,,0.0,0.0
2005-12-29,60,0.0,,0.0,0.0
2005-12-30,0,0.0,,0.0,0.0
2005-12-31,85,0.0,,0.0,0.0
2006-01-01,0,0.0,False,0.0,0.0
2006-01-02,0,0.0,,0.0,0.0
2006-01-03,0,0.0,,0.0,0.0
2006-01-04,100,0.0,,0.0,0.0
2006-01-05,0,0.0,,0.0,0.0
2006-01-06,52,0.0,,0.0,0.0
2006-01-07,0,0.0,,0.0,0.0
2006-01-08,0,0.0,,0.0,0.0
2006-01-09,0,0.0,,0.0,0.0
2006-01-10,0,0.0,,0.0,0.0
2006-01-11,0,0.0,,0.0,0.0
2006-01-12,50,0.0,,0.0,0.0
2006-01-13,0,0.0,,0.0,0.0
2006-01-14,0,0.0,,0.0,0.0
2006-01-15,0,0.0,,0.0,0.0
2006-01-16,55,0.0,,0.0,0.0
2006-01-17,48,0.0,,0.0,0.0
2006-01-18,0,0.0,,0.0,0.0
2006-01-19,0,0.0,,0.0,0.0
2006-01-20,0,0.0,,0.0,0.0
2006-01-21,73,0.0,,0.0,0.0
2006-01-22,0,0.0,,0.0,0.0
2006-01-23,0,0.0,,0.0,0.0
2006-01-24,0,0.0,,0.0,0.0
2006-01-25,94,0.0,,0.0,0.0
2006-01-26,48,0.0,,0.0,0.0
2006-01-27,0,0.0,,0.0,0.0
2006-01-28,0,0.0,,0.0,0.0
2006-01-29,0,0.0,,0.0,0.0
2006-01-30,0,0.0,,0.0,0.0
2006-01-31,90,0.0,,0.0,0.0
2006-02-01,0,0.0,False,0.0,0.0
2006-02-02,0,0.0,,0.0,0.0
2006-02-03,0,0.0,,0.0,0.0
2006-02-04,0,0.0,,0.0,0.0
2006-02-05,0,0.0,,0.0,0.0
2006-02-06,0,0.0,,0.0,0.0
2006-02-07,0,0.0,,0.0,0.0
2006-02-08,0,0.0,,0.0,0.0
2006-02-09,0,0.0,,0.0,0.0
2006-02-10,0,0.0,,0.0,0.0
2006-02-11,0,0.0,,0.0,0.0
2006-02-12,100,0.0,,0.0,0.0
2006-02-13,0,0.0,,0.0,0.0
2006-02-14,0,0.0,,0.0,0.0
2006-02-15,34,0.0,,0.0,0.0
2006-02-16,0,0.0,,0.0,0.0
2006-02-17,35,0.0,,0.0,0.0
2006-02-18,51,0.0,,0.0,0.0
2006-02-19,0,0.0,,0.0,0.0
2006-02-20,0,0.0,,0.0,0.0
2006-02-21,0,0.0,,0.0,0.0
2006-02-22,0,0.0,,0.0,0.0
2006-02-23,0,0.0,,0.0,0.0
2006-02-24,0,0.0,,0.0,0.0
2006-02-25,0,0.0,,0.0,0.0
2006-02-26,52,0.0,,0.0,0.0
2006-02-27,32,0.0,,0.0,0.0
2006-02-28,31,0.0,,0.0,0.0
2006-03-01,0,0.0,False,0.0,0.0
2006-03-02,0,0.0,,0.0,0.0
2006-03-03,0,0.0,,0.0,0.0
2006-03-04,0,0.0,,0.0,0.0
2006-03-05,0,0.0,,0.0,0.0
2006-03-06,0,0.0,,0.0,0.0
2006-03-07,0,0.0,,0.0,0.0
2006-03-08,63,0.0,,0.0,0.0
2006-03-09,0,0.0,,0.0,0.0
2006-03-10,0,0.0,,0.0,0.0
2006-03-11,0,0.0,,0.0,0.0
2006-03-12,0,0.0,,0.0,0.0
2006-03-13,65,0.0,,0.0,0.0
2006-03-14,0,0.0,,0.0,0.0
2006-03-15,64,0.0,,0.0,0.0
2006-03-16,0,0.0,,0.0,0.0
2006-03-17,0,0.0,,0.0,0.0
2006-03-18,0,0.0,,0.0,0.0
2006-03-19,0,0.0,,0.0,0.0
2006-03-20,63,0.0,,0.0,0.0
2006-03-21,0,0.0,,0.0,0.0
2006-03-22,0,0.0,,0.0,0.0
2006-03-23,0,0.0,,0.0,0.0
2006-03-24,68,0.0,,0.0,0.0
2006-03-25,0,0.0,,0.0,0.0
2006-03-26,100,0.0,,0.0,0.0
2006-03-27,0,0.0,,0.0,0.0
2006-03-28,0,0.0,,0.0,0.0
2006-03-29,0,0.0,,0.0,0.0
2006-03-30,65,0.0,,0.0,0.0
2006-03-31,0,0.0,,0.0,0.0
2006-04-01,84,0.0,False,0.0,0.0
2006-04-02,0,0.0,,0.0,0.0
2006-04-03,0,0.0,,0.0,0.0
2006-04-04,0,0.0,,0.0,0.0
2006-04-05,0,0.0,,0.0,0.0
2006-04-06,53,0.0,,0.0,0.0
2006-04-07,0,0.0,,0.0,0.0
2006-04-08,0,0.0,,0.0,0.0
2006-04-09,85,0.0,,0.0,0.0
2006-04-10,53,0.0,,0.0,0.0
2006-04-11,0,0.0,,0.0,0.0
2006-04-12,0,0.0,,0.0,0.0
2006-04-13,0,0.0,,0.0,0.0
2006-04-14,63,0.0,,0.0,0.0
2006-04-15,0,0.0,,0.0,0.0
2006-04-16,0,0.0,,0.0,0.0
2006-04-17,0,0.0,,0.0,0.0
2006-04-18,0,0.0,,0.0,0.0
2006-04-19,0,0.0,,0.0,0.0
2006-04-20,0,0.0,,0.0,0.0
2006-04-21,56,0.0,,0.0,0.0
2006-04-22,82,0.0,,0.0,0.0
2006-04-23,0,0.0,,0.0,0.0
2006-04-24,0,0.0,,0.0,0.0
2006-04-25,100,0.0,,0.0,0.0
2006-04-26,0,0.0,,0.0,0.0
2006-04-27,0,0.0,,0.0,0.0
2006-04-28,0,0.0,,0.0,0.0
2006-04-29,0,0.0,,0.0,0.0
2006-04-30,0,0.0,,0.0,0.0
2006-05-01,0,0.0,False,0.0,0.0
2006-05-02,0,0.0,,0.0,0.0
2006-05-03,0,0.0,,0.0,0.0
2006-05-04,0,0.0,,0.0,0.0
2006-05-05,0,0.0,,0.0,0.0
2006-05-06,0,0.0,,0.0,0.0
2006-05-07,0,0.0,,0.0,0.0
2006-05-08,0,0.0,,0.0,0.0
2006-05-09,0,0.0,,0.0,0.0
2006-05-10,0,0.0,,0.0,0.0
2006-05-11,0,0.0,,0.0,0.0
2006-05-12,0,0.0,,0.0,0.0
2006-05-13,0,0.0,,0.0,0.0
2006-05-14,0,0.0,,0.0,0.0
2006-05-15,0,0.0,,0.0,0.0
2006-05-16,0,0.0,,0.0,0.0
2006-05-17,0,0.0,,0.0,0.0
2006-05-18,0,0.0,,0.0,0.0
2006-05-19,0,0.0,,0.0,0.0
2006-05-20,100,0.0,,0.0,0.0
