date,patron_unscaled,patron_monthly,isPartial,scale,patron
2005-01-01,25,40.0,False,0.4,10.0
2005-01-02,29,40.0,,0.4,11.600000000000001
2005-01-03,26,40.0,,0.4,10.4
2005-01-04,25,40.0,,0.4,10.0
2005-01-05,83,40.0,,0.4,33.2
2005-01-06,76,40.0,,0.4,30.400000000000002
2005-01-07,26,40.0,,0.4,10.4
2005-01-08,14,40.0,,0.4,5.6000000000000005
2005-01-09,54,40.0,,0.4,21.6
2005-01-10,57,40.0,,0.4,22.8
2005-01-11,40,40.0,,0.4,16.0
2005-01-12,49,40.0,,0.4,19.6
2005-01-13,82,40.0,,0.4,32.800000000000004
2005-01-14,94,40.0,,0.4,37.6
2005-01-15,27,40.0,,0.4,10.8
2005-01-16,28,40.0,,0.4,11.200000000000001
2005-01-17,37,40.0,,0.4,14.8
2005-01-18,32,40.0,,0.4,12.8
2005-01-19,57,40.0,,0.4,22.8
2005-01-20,50,40.0,,0.4,20.0
2005-01-21,9,40.0,,0.4,3.6
2005-01-22,64,40.0,,0.4,25.6
2005-01-23,50,40.0,,0.4,20.0
2005-01-24,48,40.0,,0.4,19.200000000000003
2005-01-25,62,40.0,,0.4,24.8
2005-01-26,24,40.0,,0.4,9.600000000000001
2005-01-27,32,40.0,,0.4,12.8
2005-01-28,41,40.0,,0.4,16.400000000000002
2005-01-29,26,40.0,,0.4,10.4
2005-01-30,100,40.0,,0.4,40.0
2005-01-31,55,40.0,,0.4,22.0
2005-02-01,75,44.0,False,0.44,33.0
2005-02-02,35,44.0,,0.44,15.4
2005-02-03,35,44.0,,0.44,15.4
2005-02-04,64,44.0,,0.44,28.16
2005-02-05,29,44.0,,0.44,12.76
2005-02-06,44,44.0,,0.44,19.36
2005-02-07,87,44.0,,0.44,38.28
2005-02-08,41,44.0,,0.44,18.04
2005-02-09,59,44.0,,0.44,25.96
2005-02-10,77,44.0,,0.44,33.88
2005-02-11,45,44.0,,0.44,19.8
2005-02-12,100,44.0,,0.44,44.0
2005-02-13,98,44.0,,0.44,43.12
2005-02-14,42,44.0,,0.44,18.48
2005-02-15,17,44.0,,0.44,7.48
2005-02-16,8,44.0,,0.44,3.52
2005-02-17,51,44.0,,0.44,22.44
2005-02-18,45,44.0,,0.44,19.8
2005-02-19,56,44.0,,0.44,24.64
2005-02-20,100,44.0,,0.44,44.0
2005-02-21,47,44.0,,0.44,20.68
2005-02-22,49,44.0,,0.44,21.56
2005-02-23,33,44.0,,0.44,14.52
2005-02-24,50,44.0,,0.44,22.0
2005-02-25,45,44.0,,0.44,19.8
2005-02-26,37,44.0,,0.44,16.28
2005-02-27,41,44.0,,0.44,18.04
2005-02-28,33,44.0,,0.44,14.52
2005-03-01,74,44.0,False,0.44,32.56
2005-03-02,43,44.0,,0.44,18.92
2005-03-03,45,44.0,,0.44,19.8
2005-03-04,46,44.0,,0.44,20.24
2005-03-05,28,44.0,,0.44,12.32
2005-03-06,71,44.0,,0.44,31.24
2005-03-07,75,44.0,,0.44,33.0
2005-03-08,90,44.0,,0.44,39.6
2005-03-09,68,44.0,,0.44,29.92
2005-03-10,60,44.0,,0.44,26.4
2005-03-11,27,44.0,,0.44,11.88
2005-03-12,97,44.0,,0.44,42.68
2005-03-13,56,44.0,,0.44,24.64
2005-03-14,100,44.0,,0.44,44.0
2005-03-15,41,44.0,,0.44,18.04
2005-03-16,50,44.0,,0.44,22.0
2005-03-17,86,44.0,,0.44,37.84
2005-03-18,83,44.0,,0.44,36.52
2005-03-19,56,44.0,,0.44,24.64
