date,poverty level_unscaled,poverty level_monthly,isPartial,scale,poverty level
2005-01-01,0,55.0,False,0.55,0.0
2005-01-02,0,55.0,,0.55,0.0
2005-01-03,71,55.0,,0.55,39.050000000000004
2005-01-04,33,55.0,,0.55,18.150000000000002
2005-01-05,34,55.0,,0.55,18.700000000000003
2005-01-06,34,55.0,,0.55,18.700000000000003
2005-01-07,70,55.0,,0.55,38.5
2005-01-08,0,55.0,,0.55,0.0
2005-01-09,0,55.0,,0.55,0.0
2005-01-10,0,55.0,,0.55,0.0
2005-01-11,32,55.0,,0.55,17.6
2005-01-12,64,55.0,,0.55,35.2
2005-01-13,33,55.0,,0.55,18.150000000000002
2005-01-14,0,55.0,,0.55,0.0
2005-01-15,55,55.0,,0.55,30.250000000000004
2005-01-16,0,55.0,,0.55,0.0
2005-01-17,0,55.0,,0.55,0.0
2005-01-18,32,55.0,,0.55,17.6
2005-01-19,98,55.0,,0.55,53.900000000000006
2005-01-20,99,55.0,,0.55,54.45
2005-01-21,0,55.0,,0.55,0.0
2005-01-22,0,55.0,,0.55,0.0
2005-01-23,100,55.0,,0.55,55.00000000000001
2005-01-24,32,55.0,,0.55,17.6
2005-01-25,62,55.0,,0.55,34.1
2005-01-26,0,55.0,,0.55,0.0
2005-01-27,64,55.0,,0.55,35.2
2005-01-28,67,55.0,,0.55,36.85
2005-01-29,52,55.0,,0.55,28.6
2005-01-30,0,55.0,,0.55,0.0
2005-01-31,63,55.0,,0.55,34.650000000000006
2005-02-01,25,48.0,False,0.48,12.0
2005-02-02,25,48.0,,0.48,12.0
2005-02-03,51,48.0,,0.48,24.48
2005-02-04,0,48.0,,0.48,0.0
2005-02-05,42,48.0,,0.48,20.16
2005-02-06,43,48.0,,0.48,20.64
2005-02-07,0,48.0,,0.48,0.0
2005-02-08,24,48.0,,0.48,11.52
2005-02-09,100,48.0,,0.48,48.0
2005-02-10,25,48.0,,0.48,12.0
2005-02-11,0,48.0,,0.48,0.0
2005-02-12,41,48.0,,0.48,19.68
2005-02-13,0,48.0,,0.48,0.0
2005-02-14,25,48.0,,0.48,12.0
2005-02-15,50,48.0,,0.48,24.0
2005-02-16,25,48.0,,0.48,12.0
2005-02-17,50,48.0,,0.48,24.0
2005-02-18,52,48.0,,0.48,24.96
2005-02-19,0,48.0,,0.48,0.0
2005-02-20,42,48.0,,0.48,20.16
2005-02-21,28,48.0,,0.48,13.44
2005-02-22,0,48.0,,0.48,0.0
2005-02-23,0,48.0,,0.48,0.0
2005-02-24,24,48.0,,0.48,11.52
2005-02-25,52,48.0,,0.48,24.96
2005-02-26,0,48.0,,0.48,0.0
2005-02-27,60,48.0,,0.48,28.799999999999997
2005-02-28,24,48.0,,0.48,11.52
2005-03-01,45,61.0,False,0.61,27.45
2005-03-02,23,61.0,,0.61,14.03
2005-03-03,0,61.0,,0.61,0.0
2005-03-04,50,61.0,,0.61,30.5
2005-03-05,0,61.0,,0.61,0.0
2005-03-06,77,61.0,,0.61,46.97
2005-03-07,46,61.0,,0.61,28.06
2005-03-08,44,61.0,,0.61,26.84
2005-03-09,69,61.0,,0.61,42.089999999999996
2005-03-10,70,61.0,,0.61,42.699999999999996
2005-03-11,98,61.0,,0.61,59.78
2005-03-12,0,61.0,,0.61,0.0
2005-03-13,38,61.0,,0.61,23.18
2005-03-14,23,61.0,,0.61,14.03
2005-03-15,0,61.0,,0.61,0.0
2005-03-16,46,61.0,,0.61,28.06
2005-03-17,0,61.0,,0.61,0.0
2005-03-18,100,61.0,,0.61,61.0
2005-03-19,0,61.0,,0.61,0.0
2005-03-20,0,61.0,,0.61,0.0
2005-03-21,23,61.0,,0.61,14.03
2005-03-22,0,61.0,,0.61,0.0
2005-03-23,0,61.0,,0.61,0.0
2005-03-24,24,61.0,,0.61,14.64
2005-03-25,57,61.0,,0.61,34.769999999999996
2005-03-26,41,61.0,,0.61,25.009999999999998
2005-03-27,26,61.0,,0.61,15.86
2005-03-28,38,61.0,,0.61,23.18
2005-03-29,70,61.0,,0.61,42.699999999999996
2005-03-30,47,61.0,,0.61,28.669999999999998
2005-03-31,24,61.0,,0.61,14.64
2005-04-01,41,66.0,False,0.66,27.060000000000002
2005-04-02,31,66.0,,0.66,20.46
2005-04-03,30,66.0,,0.66,19.8
2005-04-04,77,66.0,,0.66,50.82
2005-04-05,0,66.0,,0.66,0.0
2005-04-06,0,66.0,,0.66,0.0
2005-04-07,19,66.0,,0.66,12.540000000000001
2005-04-08,41,66.0,,0.66,27.060000000000002
2005-04-09,66,66.0,,0.66,43.56
2005-04-10,33,66.0,,0.66,21.78
2005-04-11,18,66.0,,0.66,11.88
