date,poverty line_unscaled,poverty line_monthly,isPartial,scale,poverty line
2005-01-01,85,85,False,0.85,72.25
2005-01-02,100,100,False,1.0,100.0
2005-01-03,0,0,False,0.0,0.0
2005-01-04,0,0,False,0.0,0.0
2005-01-05,0,0,False,0.0,0.0
2005-01-06,29,29,False,0.29,8.41
2005-01-07,0,0,False,0.0,0.0
2005-01-08,0,0,False,0.0,0.0
2005-01-09,0,0,False,0.0,0.0
2005-01-10,28,28,False,0.28,7.840000000000001
2005-01-11,27,27,False,0.27,7.290000000000001
2005-01-12,28,28,False,0.28,7.840000000000001
2005-01-13,28,28,False,0.28,7.840000000000001
2005-01-14,29,29,False,0.29,8.41
2005-01-15,0,0,False,0.0,0.0
2005-01-16,48,48,False,0.48,23.04
2005-01-17,32,32,False,0.32,10.24
2005-01-18,27,27,False,0.27,7.290000000000001
2005-01-19,0,0,False,0.0,0.0
2005-01-20,0,0,False,0.0,0.0
2005-01-21,29,29,False,0.29,8.41
2005-01-22,0,0,False,0.0,0.0
2005-01-23,43,43,False,0.43,18.49
2005-01-24,28,28,False,0.28,7.840000000000001
2005-01-25,0,0,False,0.0,0.0
2005-01-26,0,0,False,0.0,0.0
2005-01-27,27,27,False,0.27,7.290000000000001
2005-01-28,28,28,False,0.28,7.840000000000001
2005-01-29,44,44,False,0.44,19.36
2005-01-30,44,44,False,0.44,19.36
2005-01-31,27,27,False,0.27,7.290000000000001
2005-02-01,32,32,False,0.32,10.24
2005-02-02,100,100,False,1.0,100.0
2005-02-03,50,50,False,0.5,25.0
2005-02-04,70,70,False,0.7,49.0
2005-02-05,0,0,False,0.0,0.0
2005-02-06,0,0,False,0.0,0.0
2005-02-07,0,0,False,0.0,0.0
2005-02-08,0,0,False,0.0,0.0
2005-02-09,65,65,False,0.65,42.25
2005-02-10,0,0,False,0.0,0.0
2005-02-11,34,34,False,0.34,11.56
2005-02-12,0,0,False,0.0,0.0
2005-02-13,0,0,False,0.0,0.0
2005-02-14,0,0,False,0.0,0.0
2005-02-15,48,48,False,0.48,23.04
2005-02-16,65,65,False,0.65,42.25
2005-02-17,49,49,False,0.49,24.009999999999998
2005-02-18,34,34,False,0.34,11.56
2005-02-19,0,0,False,0.0,0.0
2005-02-20,0,0,False,0.0,0.0
2005-02-21,36,36,False,0.36,12.959999999999999
2005-02-22,48,48,False,0.48,23.04
2005-02-23,0,0,False,0.0,0.0
2005-02-24,48,48,False,0.48,23.04
2005-02-25,0,0,False,0.0,0.0
2005-02-26,0,0,False,0.0,0.0
2005-02-27,0,0,False,0.0,0.0
2005-02-28,63,63,False,0.63,39.69
2005-03-01,44,44,False,0.44,19.36
2005-03-02,59,59,False,0.59,34.809999999999995
2005-03-03,94,94,False,0.94,88.36
2005-03-04,32,32,False,0.32,10.24
2005-03-05,0,0,False,0.0,0.0
2005-03-06,0,0,False,0.0,0.0
2005-03-07,60,60,False,0.6,36.0
2005-03-08,43,43,False,0.43,18.49
2005-03-09,30,30,False,0.3,9.0
2005-03-10,46,46,False,0.46,21.16
2005-03-11,31,31,False,0.31,9.61
2005-03-12,0,0,False,0.0,0.0
2005-03-13,0,0,False,0.0,0.0
